count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,45695,0,45695,0,0
52,64619,0,64619,0,0
53,93436,0,93436,0,0
54,87578,0,87578,0,0
55,26393,0,26393,0,0
56,44011,0,44011,0,0
57,44425,0,44425,0,0
58,67310,0,67310,0,0
59,92608,0,92608,0,0
60,103173,0,103173,0,0
61,57765,0,57765,0,0
62,62551,0,62551,0,0
63,95603,0,95603,0,0
64,55609,0,55609,0,0
65,53766,0,53766,0,0
66,64012,0,64012,0,0
67,91817,0,91817,0,0
68,79029,0,79029,0,0
69,50292,0,50292,0,0
70,34776,0,34776,0,0
71,39837,0,39837,0,0
72,61059,0,61059,0,0
73,95169,0,95169,0,0
74,54928,0,54928,0,0
75,54338,0,54338,0,0
76,62232,0,62232,0,0
77,92254,0,92254,0,0
78,57138,0,57138,0,0
79,53370,0,53370,0,0
80,55437,0,55437,0,0
81,72481,0,72481,0,0
82,42007,0,42007,0,0
83,34979,0,34979,0,0
84,80339,0,80339,0,0
85,57056,0,57056,0,0
86,58641,0,58641,0,0
87,79869,0,79869,0,0
88,17400,0,17400,0,0
89,80509,0,80509,0,0
90,46775,0,46775,0,0
91,62261,0,62261,0,0
92,48958,0,48958,0,0
93,91918,0,91918,0,0
94,108922,0,108922,0,0
95,105201,0,105201,0,0
96,254681,0,254681,0,0
97,48573,0,48573,0,0
98,182944,0,182944,0,0
99,92388,0,92388,0,0
100,18407,0,18407,0,0
101,76494,0,76494,0,0
102,59150,0,59150,0,0
103,48652,0,48652,0,0
104,32858,0,32858,0,0
105,16966,0,16966,0,0
106,37175,0,37175,0,0
107,32448,0,32448,0,0
108,21397,0,21397,0,0
109,36714,0,36714,0,0
110,32043,0,32043,0,0
111,18192,0,18192,0,0
112,37960,0,37960,0,0
113,44501,0,44501,0,0
114,46843,0,46843,0,0
115,90258,0,90258,0,0
116,17368,0,17368,0,0
117,77370,0,77370,0,0
118,19437,0,19437,0,0
119,38757,0,38757,0,0
120,31531,0,31531,0,0
121,20705,0,20705,0,0
122,35603,0,35603,0,0
123,15956,0,15956,0,0
124,35289,0,35289,0,0
125,30512,0,30512,0,0
126,16559,0,16559,0,0
127,34873,0,34873,0,0
128,41690,0,41690,0,0
129,44068,0,44068,0,0
130,80257,0,80257,0,0
131,90451,0,90451,0,0
132,45560,0,45560,0,0
133,33207,0,33207,0,0
134,28816,0,28816,0,0
135,35423,0,35423,0,0
136,32370,0,32370,0,0
137,27731,0,27731,0,0
138,14952,0,14952,0,0
139,30602,0,30602,0,0
140,26855,0,26855,0,0
141,33211,0,33211,0,0
142,30597,0,30597,0,0
143,26609,0,26609,0,0
144,33177,0,33177,0,0
145,30510,0,30510,0,0
146,26131,0,26131,0,0
147,14585,0,14585,0,0
148,30654,0,30654,0,0
149,25545,0,25545,0,0
150,13590,0,13590,0,0
151,28000,0,28000,0,0
152,24151,0,24151,0,0
153,26112,0,26112,0,0
154,25648,0,25648,0,0
155,25975,0,25975,0,0
156,24630,0,24630,0,0
157,24493,0,24493,0,0
158,24658,0,24658,0,0
159,28873,0,28873,0,0
160,23810,0,23810,0,0
161,27094,0,27094,0,0
162,23994,0,23994,0,0
163,24061,0,24061,0,0
164,23483,0,23483,0,0
165,29284,0,29284,0,0
166,44139,0,44139,0,0
167,28078,0,28078,0,0
168,25645,0,25645,0,0
169,21672,0,21672,0,0
170,23189,0,23189,0,0
171,22994,0,22994,0,0
172,24211,0,24211,0,0
173,21416,0,21416,0,0
174,24168,0,24168,0,0
175,20788,0,20788,0,0
176,23184,0,23184,0,0
177,90405,0,90405,0,0
178,23454,0,23454,0,0
179,24100,0,24100,0,0
180,24070,0,24070,0,0
181,23854,0,23854,0,0
182,23012,0,23012,0,0
183,23216,0,23216,0,0
184,23026,0,23026,0,0
185,22909,0,22909,0,0
186,22747,0,22747,0,0
187,22779,0,22779,0,0
188,22867,0,22867,0,0
189,22855,0,22855,0,0
190,22818,0,22818,0,0
191,22732,0,22732,0,0
192,22933,0,22933,0,0
193,22497,0,22497,0,0
194,22850,0,22850,0,0
195,22630,0,22630,0,0
196,23168,0,23168,0,0
197,22880,0,22880,0,0
198,22653,0,22653,0,0
199,20159,0,20159,0,0
200,19548,0,19548,0,0
201,21218,0,21218,0,0
202,20018,0,20018,0,0
203,19608,0,19608,0,0
204,19569,0,19569,0,0
205,19974,0,19974,0,0
206,19514,0,19514,0,0
207,19495,0,19495,0,0
208,19645,0,19645,0,0
209,19208,0,19208,0,0
210,19409,0,19409,0,0
211,19427,0,19427,0,0
212,19627,0,19627,0,0
213,19314,0,19314,0,0
214,19975,0,19975,0,0
215,19500,0,19500,0,0
216,19422,0,19422,0,0
217,45780,0,45780,0,0
218,35792,0,35792,0,0
219,33805,0,33805,0,0
220,20626,0,20626,0,0
221,20732,0,20732,0,0
222,19844,0,19844,0,0
223,20860,0,20860,0,0
224,20152,0,20152,0,0
225,19935,0,19935,0,0
226,19811,0,19811,0,0
227,20406,0,20406,0,0
228,19618,0,19618,0,0
229,19775,0,19775,0,0
230,19561,0,19561,0,0
231,19940,0,19940,0,0
232,19609,0,19609,0,0
233,19489,0,19489,0,0
234,20203,0,20203,0,0
235,19689,0,19689,0,0
236,19617,0,19617,0,0
237,19757,0,19757,0,0
238,19747,0,19747,0,0
239,19751,0,19751,0,0
240,19705,0,19705,0,0
241,19711,0,19711,0,0
242,19814,0,19814,0,0
243,19830,0,19830,0,0
244,19910,0,19910,0,0
245,19843,0,19843,0,0
246,19600,0,19600,0,0
247,19706,0,19706,0,0
248,19719,0,19719,0,0
249,19645,0,19645,0,0
250,19577,0,19577,0,0
251,19714,0,19714,0,0
252,19424,0,19424,0,0
253,19673,0,19673,0,0
254,19617,0,19617,0,0
255,19623,0,19623,0,0
256,19677,0,19677,0,0
257,19917,0,19917,0,0
258,19796,0,19796,0,0
259,19664,0,19664,0,0
260,19607,0,19607,0,0
261,19564,0,19564,0,0
262,19462,0,19462,0,0
263,19558,0,19558,0,0
264,19566,0,19566,0,0
265,19416,0,19416,0,0
266,19693,0,19693,0,0
267,19366,0,19366,0,0
268,19598,0,19598,0,0
269,19295,0,19295,0,0
270,19596,0,19596,0,0
271,19731,0,19731,0,0
272,19500,0,19500,0,0
273,19512,0,19512,0,0
274,19474,0,19474,0,0
275,19761,0,19761,0,0
276,19793,0,19793,0,0
277,19481,0,19481,0,0
278,19390,0,19390,0,0
279,19516,0,19516,0,0
280,19537,0,19537,0,0
281,19469,0,19469,0,0
282,19653,0,19653,0,0
283,19292,0,19292,0,0
284,19628,0,19628,0,0
285,19519,0,19519,0,0
286,19245,0,19245,0,0
287,19570,0,19570,0,0
288,19568,0,19568,0,0
289,19585,0,19585,0,0
290,19426,0,19426,0,0
291,19413,0,19413,0,0
292,19521,0,19521,0,0
293,19484,0,19484,0,0
294,19158,0,19158,0,0
295,19347,0,19347,0,0
296,19451,0,19451,0,0
297,19532,0,19532,0,0
298,19455,0,19455,0,0
299,19471,0,19471,0,0
300,19604,0,19604,0,0
301,19138,0,19138,0,0
302,19208,0,19208,0,0
303,19463,0,19463,0,0
304,19465,0,19465,0,0
305,19443,0,19443,0,0
306,19461,0,19461,0,0
307,19468,0,19468,0,0
308,19736,0,19736,0,0
309,19245,0,19245,0,0
310,19627,0,19627,0,0
311,19316,0,19316,0,0
312,19181,0,19181,0,0
313,19325,0,19325,0,0
314,19397,0,19397,0,0
315,20485,0,20485,0,0
316,19471,0,19471,0,0
317,19535,0,19535,0,0
318,19395,0,19395,0,0
319,19462,0,19462,0,0
320,19676,0,19676,0,0
321,19448,0,19448,0,0
322,19543,0,19543,0,0
323,19522,0,19522,0,0
324,41521,0,41521,0,0
325,30997,0,30997,0,0
326,20908,0,20908,0,0
327,20149,0,20149,0,0
328,19975,0,19975,0,0
329,19980,0,19980,0,0
330,19817,0,19817,0,0
331,19818,0,19818,0,0
332,20081,0,20081,0,0
333,19758,0,19758,0,0
334,19746,0,19746,0,0
335,19921,0,19921,0,0
336,19833,0,19833,0,0
337,19809,0,19809,0,0
338,20031,0,20031,0,0
339,19775,0,19775,0,0
340,19851,0,19851,0,0
341,19996,0,19996,0,0
342,20004,0,20004,0,0
343,19526,0,19526,0,0
344,19548,0,19548,0,0
345,19466,0,19466,0,0
346,19651,0,19651,0,0
347,19902,0,19902,0,0
348,19355,0,19355,0,0
349,19582,0,19582,0,0
350,19418,0,19418,0,0
351,19545,0,19545,0,0
352,20113,0,20113,0,0
353,19570,0,19570,0,0
354,19244,0,19244,0,0
355,19514,0,19514,0,0
356,19446,0,19446,0,0
357,19391,0,19391,0,0
358,19369,0,19369,0,0
359,19533,0,19533,0,0
360,19657,0,19657,0,0
361,19433,0,19433,0,0
362,19408,0,19408,0,0
363,19391,0,19391,0,0
364,19708,0,19708,0,0
365,19662,0,19662,0,0
366,19380,0,19380,0,0
367,19638,0,19638,0,0
368,19710,0,19710,0,0
369,19505,0,19505,0,0
370,19630,0,19630,0,0
371,19682,0,19682,0,0
372,19649,0,19649,0,0
373,19735,0,19735,0,0
374,19623,0,19623,0,0
375,19518,0,19518,0,0
376,19728,0,19728,0,0
377,19597,0,19597,0,0
378,19469,0,19469,0,0
379,41524,0,41524,0,0
380,32739,0,32739,0,0
381,20476,0,20476,0,0
382,19972,0,19972,0,0
383,19923,0,19923,0,0
384,27589,0,27589,0,0
385,25861,0,25861,0,0
386,20410,0,20410,0,0
387,22295,0,22295,0,0
388,22607,0,22607,0,0
389,21924,0,21924,0,0
390,23458,0,23458,0,0
391,20331,0,20331,0,0
392,19748,0,19748,0,0
393,19794,0,19794,0,0
394,19636,0,19636,0,0
395,32661,0,32661,0,0
396,19576,0,19576,0,0
397,19631,0,19631,0,0
398,19805,0,19805,0,0
399,19626,0,19626,0,0
400,19642,0,19642,0,0
401,19523,0,19523,0,0
402,19451,0,19451,0,0
403,19570,0,19570,0,0
404,19886,0,19886,0,0
405,19445,0,19445,0,0
406,19548,0,19548,0,0
407,19655,0,19655,0,0
408,19508,0,19508,0,0
409,19427,0,19427,0,0
410,19473,0,19473,0,0
411,19783,0,19783,0,0
412,19736,0,19736,0,0
413,19585,0,19585,0,0
414,19611,0,19611,0,0
415,19675,0,19675,0,0
416,19691,0,19691,0,0
417,19628,0,19628,0,0
418,19641,0,19641,0,0
419,19719,0,19719,0,0
420,19599,0,19599,0,0
421,19482,0,19482,0,0
422,19438,0,19438,0,0
423,19687,0,19687,0,0
424,19423,0,19423,0,0
425,19502,0,19502,0,0
426,19472,0,19472,0,0
427,19715,0,19715,0,0
428,19548,0,19548,0,0
429,30895,0,30895,0,0
430,26561,0,26561,0,0
431,21081,0,21081,0,0
432,20446,0,20446,0,0
433,20226,0,20226,0,0
434,19801,0,19801,0,0
435,19913,0,19913,0,0
436,19805,0,19805,0,0
437,19755,0,19755,0,0
438,19694,0,19694,0,0
439,19770,0,19770,0,0
440,19709,0,19709,0,0
441,19955,0,19955,0,0
442,19748,0,19748,0,0
443,19878,0,19878,0,0
444,19718,0,19718,0,0
445,20037,0,20037,0,0
446,19847,0,19847,0,0
447,19867,0,19867,0,0
448,19846,0,19846,0,0
449,20011,0,20011,0,0
450,19907,0,19907,0,0
451,20025,0,20025,0,0
452,19914,0,19914,0,0
453,19831,0,19831,0,0
454,19719,0,19719,0,0
455,19850,0,19850,0,0
456,19745,0,19745,0,0
457,23177,0,23177,0,0
458,25794,0,25794,0,0
459,20518,0,20518,0,0
460,20049,0,20049,0,0
461,19872,0,19872,0,0
462,19679,0,19679,0,0
463,19764,0,19764,0,0
464,19792,0,19792,0,0
465,19907,0,19907,0,0
466,19907,0,19907,0,0
467,20367,0,20367,0,0
468,19906,0,19906,0,0
469,20028,0,20028,0,0
470,19907,0,19907,0,0
471,19794,0,19794,0,0
472,19812,0,19812,0,0
473,19662,0,19662,0,0
474,19726,0,19726,0,0
475,19799,0,19799,0,0
476,19948,0,19948,0,0
477,19901,0,19901,0,0
478,19958,0,19958,0,0
479,19806,0,19806,0,0
480,19695,0,19695,0,0
481,19715,0,19715,0,0
