count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,492464,0,492464,645296984,238512
52,490674,0,490674,645296984,238512
53,488824,0,488824,645296984,238512
54,486684,0,486684,645296984,238512
55,494393,0,494393,645296984,238512
56,492103,0,492103,645296984,238512
57,489623,0,489623,645296984,238512
58,487183,0,487183,645296984,238512
59,484723,0,484723,645296984,238512
60,482193,0,482193,645296984,238512
61,479733,0,479733,645296984,238512
62,477223,0,477223,645296984,238512
63,474083,0,474083,645296984,238512
64,472393,0,472393,645296984,238512
65,469603,0,469603,645296984,238512
66,460053,0,460053,645296984,238512
67,457663,0,457663,645296984,238512
68,442243,0,442243,645296984,238512
69,429583,0,429583,645296984,238512
70,417723,0,417723,645296984,238512
71,410413,0,410413,645296984,238512
72,389182,0,389182,645296984,238512
73,386432,0,386432,645296984,238512
74,368382,0,368382,645296984,238512
75,354002,0,354002,645296984,238512
76,356621,0,356621,645296984,238512
77,342311,0,342311,645296984,238512
78,327891,0,327891,645296984,238512
79,324401,0,324401,645296984,238512
80,310441,0,310441,645296984,238512
81,275310,0,275310,645296984,238512
82,254910,0,254910,645296984,238512
83,241089,0,241089,645296984,238512
84,254198,0,254198,645296984,238512
85,239198,0,239198,645296984,238512
86,239458,0,239458,645296984,238512
87,222228,0,222228,645296984,238512
88,225548,0,225548,645296984,238512
89,283946,0,283946,645296984,238512
90,271496,0,271496,645296984,238512
91,268596,0,268596,645296984,238512
92,264296,0,264296,645296984,238512
93,405163,0,405163,645296984,238512
94,406733,0,406733,645296984,238512
95,394293,0,394293,645296984,238512
96,381752,0,381752,645296984,238512
97,368712,0,368712,645296984,238512
98,365752,0,365752,645296984,238512
99,353482,0,353482,645296984,238512
100,340022,0,340022,645296984,238512
101,327532,0,327532,645296984,238512
102,314261,0,314261,645296984,238512
103,311251,0,311251,645296984,238512
104,284001,0,284001,645296984,238512
105,275371,0,275371,645296984,238512
106,272271,0,272271,645296984,238512
107,270231,0,270231,645296984,238512
108,297880,0,297880,645296984,238512
109,258619,0,258619,645296984,238512
110,238839,0,238839,645296984,238512
111,224759,0,224759,645296984,238512
112,273108,0,273108,645296984,238512
113,252128,0,252128,645296984,238512
114,231578,0,231578,645296984,238512
115,217867,0,217867,645296984,238512
116,283426,0,283426,645296984,238512
117,263885,0,263885,645296984,238512
118,240825,0,240825,645296984,238512
119,219074,0,219074,645296984,238512
120,206164,0,206164,645296984,238512
121,263273,0,263273,645296984,238512
122,246403,0,246403,645296984,238512
123,233423,0,233423,645296984,238512
124,284951,0,284951,645296984,238512
125,257470,0,257470,645296984,238512
126,238590,0,238590,645296984,238512
127,228090,0,228090,645296984,238512
128,231300,0,231300,645296984,238512
129,293298,0,293298,645296984,238512
130,287748,0,287748,645296984,238512
