count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,606623,0,606623,645306315,240521
52,605683,0,605683,645306315,240521
53,591193,0,591193,645306315,240521
54,588993,0,588993,645306315,240521
55,587383,0,587383,645306315,240521
56,585453,0,585453,645306315,240521
57,583063,0,583063,645306315,240521
58,580723,0,580723,645306315,240521
59,578513,0,578513,645306315,240521
60,576303,0,576303,645306315,240521
61,573843,0,573843,645306315,240521
62,571613,0,571613,645306315,240521
63,568522,0,568522,645306315,240521
64,567292,0,567292,645306315,240521
65,564822,0,564822,645306315,240521
66,562332,0,562332,645306315,240521
67,559882,0,559882,645306315,240521
68,557352,0,557352,645306315,240521
69,546812,0,546812,645306315,240521
70,544352,0,544352,645306315,240521
71,530552,0,530552,645306315,240521
72,519262,0,519262,645306315,240521
73,516302,0,516302,645306315,240521
74,503802,0,503802,645306315,240521
75,490241,0,490241,645306315,240521
76,477831,0,477831,645306315,240521
77,487291,0,487291,645306315,240521
78,480921,0,480921,645306315,240521
79,469511,0,469511,645306315,240521
80,456111,0,456111,645306315,240521
81,452970,0,452970,645306315,240521
82,447270,0,447270,645306315,240521
83,430520,0,430520,645306315,240521
84,428320,0,428320,645306315,240521
85,418910,0,418910,645306315,240521
86,394280,0,394280,645306315,240521
87,376230,0,376230,645306315,240521
88,356729,0,356729,645306315,240521
89,336239,0,336239,645306315,240521
90,323259,0,323259,645306315,240521
91,310779,0,310779,645306315,240521
92,298209,0,298209,645306315,240521
93,287109,0,287109,645306315,240521
94,271579,0,271579,645306315,240521
95,268229,0,268229,645306315,240521
96,255839,0,255839,645306315,240521
97,241529,0,241529,645306315,240521
98,237879,0,237879,645306315,240521
99,224449,0,224449,645306315,240521
100,218158,0,218158,645306315,240521
101,270276,0,270276,645306315,240521
102,274416,0,274416,645306315,240521
103,486432,0,486432,645306315,240521
104,483302,0,483302,645306315,240521
105,471562,0,471562,645306315,240521
106,468962,0,468962,645306315,240521
107,455352,0,455352,645306315,240521
108,442222,0,442222,645306315,240521
109,433412,0,433412,645306315,240521
110,423232,0,423232,645306315,240521
111,415742,0,415742,645306315,240521
112,407752,0,407752,645306315,240521
113,404932,0,404932,645306315,240521
114,391672,0,391672,645306315,240521
115,378582,0,378582,645306315,240521
116,356481,0,356481,645306315,240521
117,347371,0,347371,645306315,240521
118,344160,0,344160,645306315,240521
119,333480,0,333480,645306315,240521
120,329130,0,329130,645306315,240521
121,314360,0,314360,645306315,240521
122,305310,0,305310,645306315,240521
123,311530,0,311530,645306315,240521
124,295880,0,295880,645306315,240521
125,276140,0,276140,645306315,240521
126,262210,0,262210,645306315,240521
127,236860,0,236860,645306315,240521
128,217409,0,217409,645306315,240521
129,318166,0,318166,645306315,240521
130,301356,0,301356,645306315,240521
131,279306,0,279306,645306315,240521
132,261446,0,261446,645306315,240521
133,254286,0,254286,645306315,240521
134,258095,0,258095,645306315,240521
135,237505,0,237505,645306315,240521
136,217344,0,217344,645306315,240521
137,202124,0,202124,645306315,240521
138,254153,0,254153,645306315,240521
139,231222,0,231222,645306315,240521
140,215052,0,215052,645306315,240521
141,270421,0,270421,645306315,240521
142,250391,0,250391,645306315,240521
143,230491,0,230491,645306315,240521
144,235089,0,235089,645306315,240521
145,289558,0,289558,645306315,240521
146,275208,0,275208,645306315,240521
147,246628,0,246628,645306315,240521
148,226598,0,226598,645306315,240521
149,205158,0,205158,645306315,240521
150,191268,0,191268,645306315,240521
151,251066,0,251066,645306315,240521
152,233916,0,233916,645306315,240521
153,219135,0,219135,645306315,240521
154,258104,0,258104,645306315,240521
155,232714,0,232714,645306315,240521
156,209783,0,209783,645306315,240521
157,264332,0,264332,645306315,240521
158,244242,0,244242,645306315,240521
159,221472,0,221472,645306315,240521
160,202291,0,202291,645306315,240521
161,189001,0,189001,645306315,240521
162,243909,0,243909,645306315,240521
163,222879,0,222879,645306315,240521
164,204019,0,204019,645306315,240521
165,204219,0,204219,645306315,240521
166,266097,0,266097,645306315,240521
167,263557,0,263557,645306315,240521
168,249907,0,249907,645306315,240521
169,237777,0,237777,645306315,240521
170,225767,0,225767,645306315,240521
171,285724,0,285724,645306315,240521
172,272054,0,272054,645306315,240521
173,270994,0,270994,645306315,240521
174,255454,0,255454,645306315,240521
175,243354,0,243354,645306315,240521
176,227504,0,227504,645306315,240521
177,216474,0,216474,645306315,240521
178,213564,0,213564,645306315,240521
179,203504,0,203504,645306315,240521
180,261572,0,261572,645306315,240521
181,218502,0,218502,645306315,240521
182,208101,0,208101,645306315,240521
183,262090,0,262090,645306315,240521
184,240659,0,240659,645306315,240521
185,221849,0,221849,645306315,240521
186,207469,0,207469,645306315,240521
187,268308,0,268308,645306315,240521
188,246918,0,246918,645306315,240521
189,228718,0,228718,645306315,240521
190,210346,0,210346,645306315,240521
191,194156,0,194156,645306315,240521
192,261554,0,261554,645306315,240521
193,241054,0,241054,645306315,240521
194,225704,0,225704,645306315,240521
195,277453,0,277453,645306315,240521
196,256833,0,256833,645306315,240521
197,236713,0,236713,645306315,240521
198,214022,0,214022,645306315,240521
199,200491,0,200491,645306315,240521
200,249300,0,249300,645306315,240521
201,230070,0,230070,645306315,240521
202,209180,0,209180,645306315,240521
203,193990,0,193990,645306315,240521
204,244478,0,244478,645306315,240521
205,206317,0,206317,645306315,240521
206,195087,0,195087,645306315,240521
207,242226,0,242226,645306315,240521
208,221726,0,221726,645306315,240521
209,205725,0,205725,645306315,240521
210,259854,0,259854,645306315,240521
211,238924,0,238924,645306315,240521
212,217234,0,217234,645306315,240521
213,197993,0,197993,645306315,240521
214,183763,0,183763,645306315,240521
215,241241,0,241241,645306315,240521
216,219211,0,219211,645306315,240521
217,207651,0,207651,645306315,240521
218,263589,0,263589,645306315,240521
219,243808,0,243808,645306315,240521
220,222618,0,222618,645306315,240521
221,211738,0,211738,645306315,240521
222,268675,0,268675,645306315,240521
223,252435,0,252435,645306315,240521
224,231045,0,231045,645306315,240521
225,207945,0,207945,645306315,240521
226,249754,0,249754,645306315,240521
227,229704,0,229704,645306315,240521
228,209774,0,209774,645306315,240521
229,261442,0,261442,645306315,240521
230,244851,0,244851,645306315,240521
231,225251,0,225251,645306315,240521
232,211651,0,211651,645306315,240521
233,213651,0,213651,645306315,240521
234,267120,0,267120,645306315,240521
235,253679,0,253679,645306315,240521
236,250209,0,250209,645306315,240521
237,240659,0,240659,645306315,240521
238,237579,0,237579,645306315,240521
239,222629,0,222629,645306315,240521
240,209719,0,209719,645306315,240521
241,212149,0,212149,645306315,240521
242,265038,0,265038,645306315,240521
243,252727,0,252727,645306315,240521
244,249837,0,249837,645306315,240521
245,236037,0,236037,645306315,240521
246,222516,0,222516,645306315,240521
247,225446,0,225446,645306315,240521
248,278885,0,278885,645306315,240521
249,267115,0,267115,645306315,240521
250,251825,0,251825,645306315,240521
251,248795,0,248795,645306315,240521
252,234175,0,234175,645306315,240521
253,226535,0,226535,645306315,240521
254,253993,0,253993,645306315,240521
255,237123,0,237123,645306315,240521
256,217022,0,217022,645306315,240521
257,201932,0,201932,645306315,240521
258,247951,0,247951,645306315,240521
259,229981,0,229981,645306315,240521
260,216600,0,216600,645306315,240521
261,263479,0,263479,645306315,240521
262,244009,0,244009,645306315,240521
263,223109,0,223109,645306315,240521
264,207948,0,207948,645306315,240521
265,272047,0,272047,645306315,240521
266,260807,0,260807,645306315,240521
267,256407,0,256407,645306315,240521
268,242817,0,242817,645306315,240521
269,229137,0,229137,645306315,240521
270,226437,0,226437,645306315,240521
271,203817,0,203817,645306315,240521
272,241925,0,241925,645306315,240521
273,223565,0,223565,645306315,240521
274,209404,0,209404,645306315,240521
275,260653,0,260653,645306315,240521
276,242583,0,242583,645306315,240521
277,225872,0,225872,645306315,240521
278,213222,0,213222,645306315,240521
279,278001,0,278001,645306315,240521
280,264171,0,264171,645306315,240521
281,249401,0,249401,645306315,240521
282,246521,0,246521,645306315,240521
283,232661,0,232661,645306315,240521
284,216251,0,216251,645306315,240521
285,202780,0,202780,645306315,240521
286,204549,0,204549,645306315,240521
287,257968,0,257968,645306315,240521
288,229088,0,229088,645306315,240521
289,213588,0,213588,645306315,240521
290,200288,0,200288,645306315,240521
291,245086,0,245086,645306315,240521
292,226706,0,226706,645306315,240521
293,212376,0,212376,645306315,240521
294,277203,0,277203,645306315,240521
295,258853,0,258853,645306315,240521
296,240243,0,240243,645306315,240521
297,219103,0,219103,645306315,240521
298,214263,0,214263,645306315,240521
299,206673,0,206673,645306315,240521
300,262742,0,262742,645306315,240521
301,260992,0,260992,645306315,240521
302,245512,0,245512,645306315,240521
303,215701,0,215701,645306315,240521
304,287219,0,287219,645306315,240521
305,269078,0,269078,645306315,240521
306,264358,0,264358,645306315,240521
307,250268,0,250268,645306315,240521
308,228838,0,228838,645306315,240521
309,266397,0,266397,645306315,240521
310,241917,0,241917,645306315,240521
311,219027,0,219027,645306315,240521
312,204987,0,204987,645306315,240521
313,189566,0,189566,645306315,240521
314,251284,0,251284,645306315,240521
315,230074,0,230074,645306315,240521
316,209604,0,209604,645306315,240521
317,288942,0,288942,645306315,240521
318,267192,0,267192,645306315,240521
319,247062,0,247062,645306315,240521
320,234572,0,234572,645306315,240521
321,237072,0,237072,645306315,240521
322,294779,0,294779,645306315,240521
323,264569,0,264569,645306315,240521
