sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780313768551154781,1780313767635886032,1780313767635886702,1780313768551980976,-915268749,916094274,915681511,412762,915782015,250068
2,1780313768551989126,1780313767636615962,1780313767636616702,1780313768552670370,-915373164,916053668,915713416,340252,915782015,250068
3,1780313768552678480,1780313767637178322,1780313767637178542,1780313768553230343,-915500158,916051801,915775979,275821,915782015,250068
4,1780313768553239333,1780313767637723093,1780313767637723253,1780313768553726756,-915516240,916003503,915759871,243631,915782015,250068
5,1780313768553734626,1780313767638217143,1780313767638217383,1780313768554265489,-915517483,916048106,915782794,265311,915782015,250068
6,1780313768554273490,1780313767638707643,1780313767638707773,1780313768554754622,-915565847,916046849,915806348,240501,915782015,250068
7,1780313768554762542,1780313767639258814,1780313767639258974,1780313768555312705,-915503728,916053731,915778729,275001,915782015,250068
8,1780313768555321365,1780313767639797594,1780313767639797764,1780313768555842358,-915523771,916044594,915784182,260411,915782015,250068
9,1780313768555850428,1780313767640332614,1780313767640332784,1780313768556375501,-915517814,916042717,915780265,262451,915782015,250068
10,1780313768556383421,1780313767640799635,1780313767640799765,1780313768556804363,-915583786,916004598,915794192,210406,915782015,250068
11,1780313768556812213,1780313767641305165,1780313767641305555,1780313768557350216,-915507048,916044661,915775854,268806,915782015,250068
12,1780313768557357956,1780313767641838155,1780313767641838375,1780313768557883600,-915519801,916045225,915782513,262712,915782015,250068
13,1780313768557891520,1780313767642371136,1780313767642371316,1780313768558413683,-915520384,916042367,915781375,260991,915782015,250068
14,1780313768558421393,1780313767642830476,1780313767642830606,1780313768558838516,-915590917,916007910,915799413,208496,915782015,250068
15,1780313768558846536,1780313767643347296,1780313767643347456,1780313768559390269,-915499240,916042813,915771026,271786,915782015,250068
16,1780313768559398209,1780313767643873127,1780313767643873277,1780313768559920301,-915525082,916047024,915786053,260971,915782015,250068
17,1780313768559928182,1780313767644407297,1780313767644407477,1780313768560449384,-915520885,916041907,915781396,260511,915782015,250068
18,1780313768560457104,1780313767644866858,1780313767644866988,1780313768560883487,-915590246,916016499,915803372,213126,915782015,250068
19,1780313768560891357,1780313767645380858,1780313767645381028,1780313768561428581,-915510499,916047553,915779026,268527,915782015,250068
20,1780313768561436651,1780313767645912938,1780313767645913108,1780313768561933394,-915523713,916020286,915771999,248286,915782015,250068
21,1780313768561942494,1780313767646419989,1780313767646420159,1780313768562438026,-915522505,916017867,915770186,247681,915782015,250068
22,1780313768562446086,1780313767646857459,1780313767646857609,1780313768562900939,-915588627,916043330,915815978,227351,915782015,250068
23,1780313768562908599,1780313767647400129,1780313767647400319,1780313768563444092,-915508470,916043773,915776121,267651,915782015,250068
24,1780313768563451732,1780313767647928470,1780313767647928620,1780313768563973235,-915523262,916044615,915783938,260676,915782015,250068
25,1780313768563981225,1780313767648460590,1780313767648460730,1780313768564506718,-915520635,916045988,915783311,262676,915782015,250068
26,1780313768564514418,1780313767648925720,1780313767648925840,1780313768564969460,-915588698,916043620,915816159,227461,915782015,250068
27,1780313768564977261,1780313767649467721,1780313767649467881,1780313768565522744,-915509540,916054863,915782201,272661,915782015,250068
28,1780313768565530814,1780313767650006041,1780313767650006201,1780313768566049207,-915524773,916043006,915783889,259116,915782015,250068
29,1780313768566059277,1780313767650540391,1780313767650540541,1780313768566585970,-915518886,916045429,915782157,263271,915782015,250068
30,1780313768566594930,1780313767651001952,1780313767651002072,1780313768567005032,-915592978,916002960,915797969,204991,915782015,250068
31,1780313768567012702,1780313767651509112,1780313767651509272,1780313768567552445,-915503590,916043173,915773381,269791,915782015,250068
32,1780313768567560075,1780313767652034552,1780313767652034702,1780313768568077778,-915525523,916043076,915784299,258776,915782015,250068
33,1780313768568085498,1780313767652575183,1780313767652575323,1780313768568617562,-915510315,916042239,915776277,265962,915782015,250068
34,1780313768568625402,1780313767653036263,1780313767653036553,1780313768569037834,-915589139,916001281,915795210,206071,915782015,250068
35,1780313768569045495,1780313767653537613,1780313767653537793,1780313768569581987,-915507882,916044194,915776038,268156,915782015,250068
36,1780313768569589837,1780313767654066464,1780313767654066654,1780313768570114370,-915523373,916047716,915785544,262171,915782015,250068
37,1780313768570122210,1780313767654602154,1780313767654602334,1780313768570649143,-915520056,916046809,915783432,263376,915782015,250068
38,1780313768570657443,1780313767655066994,1780313767655067104,1780313768571070006,-915590449,916002902,915796675,206226,915782015,250068
39,1780313768571078166,1780313767655568615,1780313767655568755,1780313768571611519,-915509551,916042764,915776157,266606,915782015,250068
40,1780313768571619599,1780313767656102575,1780313767656102855,1780313768572153802,-915517024,916050947,915783985,266961,915782015,250068
