sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780313016912640076,1780313016268580670,1780313016268581310,1780313016913201489,-644059406,644620179,644339792,280386,644377536,231141
2,1780313016913212359,1780313016269022361,1780313016269022551,1780313016913623611,-644189998,644601060,644395529,205531,644377536,231141
3,1780313016913632501,1780313016269498992,1780313016269499172,1780313016914107314,-644133509,644608142,644370825,237316,644377536,231141
4,1780313016914115684,1780313016269981112,1780313016269981272,1780313016914592347,-644134572,644611075,644372823,238251,644377536,231141
5,1780313016914600267,1780313016270402565,1780313016270402715,1780313016915017069,-644197702,644614354,644406028,208326,644377536,231141
6,1780313016915024989,1780313016270904485,1780313016270904645,1780313016915516882,-644120504,644612237,644366370,245866,644377536,231141
7,1780313016915524332,1780313016271386616,1780313016271386805,1780313016915999404,-644137716,644612599,644375157,237441,644377536,231141
8,1780313016916006874,1780313016271871136,1780313016271871356,1780313016916485568,-644135738,644614212,644374975,239237,644377536,231141
9,1780313016916493038,1780313016272293368,1780313016272293508,1780313016916907790,-644199670,644614282,644406976,207306,644377536,231141
10,1780313016916915220,1780313016272790908,1780313016272791108,1780313016917406093,-644124312,644614985,644369648,245336,644377536,231141
11,1780313016917413853,1780313016273277149,1780313016273277329,1780313016917891466,-644136704,644614137,644375420,238716,644377536,231141
12,1780313016917899146,1780313016273762039,1780313016273762199,1780313016918380938,-644137107,644618739,644377923,240816,644377536,231141
13,1780313016918389218,1780313016274188101,1780313016274188241,1780313016918803771,-644201117,644615530,644408323,207206,644377536,231141
14,1780313016918811781,1780313016274690141,1780313016274690341,1780313016919305283,-644121640,644614942,644368291,246651,644377536,231141
15,1780313016919312933,1780313016275176562,1780313016275176742,1780313016919790367,-644136371,644613625,644374998,238627,644377536,231141
16,1780313016919798017,1780313016275661072,1780313016275661232,1780313016920273490,-644136945,644612258,644374601,237656,644377536,231141
17,1780313016920281050,1780313016276087834,1780313016276088044,1780313016920700192,-644193216,644612148,644402682,209466,644377536,231141
