sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780313399058283012,1780313398413801891,1780313398413802611,1780313399058902796,-644481121,645100185,644790653,309532,644838652,228686
2,1780313399058912746,1780313398414314272,1780313398414314622,1780313399059379499,-644598474,645064877,644831675,233201,644838652,228686
3,1780313399059388989,1780313398414807882,1780313398414808092,1780313399059880741,-644581107,645072649,644826878,245771,644838652,228686
4,1780313399059888991,1780313398415291672,1780313398415291882,1780313399060373204,-644597319,645081322,644839320,242001,644838652,228686
5,1780313399060380814,1780313398415785363,1780313398415785563,1780313399060879787,-644595451,645094224,644844837,249386,644838652,228686
6,1780313399060887857,1780313398416228514,1780313398416228654,1780313399061505620,-644659343,645276966,644968154,308811,644838652,228686
7,1780313399061513310,1780313398416931040,1780313398416931210,1780313399062016903,-644582270,645085693,644833981,251711,644838652,228686
8,1780313399062026543,1780313398417427321,1780313398417427501,1780313399062515777,-644599222,645088276,644843749,244527,644838652,228686
9,1780313399062524017,1780313398417927021,1780313398417927221,1780313399063012920,-644596996,645085699,644841347,244351,644838652,228686
10,1780313399063020630,1780313398418359932,1780313398418360072,1780313399063409882,-644660698,645049810,644855254,194556,644838652,228686
11,1780313399063417502,1780313398418832093,1780313398418832273,1780313399063885034,-644585409,645052761,644819085,233676,644838652,228686
12,1780313399063893024,1780313398419290624,1780313398419290854,1780313399064382197,-644602400,645091343,644846871,244471,644838652,228686
13,1780313399064389727,1780313398419793204,1780313398419793404,1780313399064888680,-644596523,645095276,644845899,249376,644838652,228686
14,1780313399064896480,1780313398420233386,1780313398420233506,1780313399065295472,-644663094,645061966,644862530,199436,644838652,228686
15,1780313399065305672,1780313398420722556,1780313398420722716,1780313399065770435,-644583116,645047719,644815417,232301,644838652,228686
16,1780313399065778195,1780313398421178157,1780313398421178337,1780313399066226448,-644600038,645048111,644824074,224036,644838652,228686
17,1780313399066234748,1780313398421639568,1780313398421639778,1780313399066685221,-644595180,645045443,644820311,225131,644838652,228686
18,1780313399066692891,1780313398422027320,1780313398422027460,1780313399067071753,-644665571,645044293,644854932,189361,644838652,228686
19,1780313399067079233,1780313398422492951,1780313398422493141,1780313399067576756,-644586282,645083615,644834948,248666,644838652,228686
20,1780313399067584306,1780313398422983751,1780313398422983931,1780313399068028648,-644600555,645044717,644822636,222081,644838652,228686
21,1780313399068036108,1780313398423436873,1780313398423437033,1780313399068523281,-644599235,645086248,644842741,243506,644838652,228686
22,1780313399068530971,1780313398423884074,1780313398423884194,1780313399068938273,-644646897,645054079,644850488,203591,644838652,228686
23,1780313399068945843,1780313398424363365,1780313398424363545,1780313399069412186,-644582478,645048641,644815559,233081,644838652,228686
24,1780313399069422266,1780313398424825996,1780313398424826236,1780313399069876249,-644596270,645050013,644823141,226871,644838652,228686
25,1780313399069884719,1780313398425286726,1780313398425286956,1780313399070372022,-644597993,645085066,644841529,243536,644838652,228686
26,1780313399070381332,1780313398425722118,1780313398425722248,1780313399070769794,-644659214,645047546,644853380,194166,644838652,228686
27,1780313399070778594,1780313398426193019,1780313398426193219,1780313399071276847,-644585575,645083628,644834601,249026,644838652,228686
28,1780313399071284677,1780313398426685779,1780313398426685979,1780313399071768560,-644598898,645082581,644840739,241841,644838652,228686
29,1780313399071776380,1780313398427188259,1780313398427188469,1780313399072270582,-644588121,645082113,644835117,246996,644838652,228686
30,1780313399072278142,1780313398427616871,1780313398427617021,1780313399072701385,-644661271,645084364,644872817,211546,644838652,228686
31,1780313399072709265,1780313398428123321,1780313398428123521,1780313399073206857,-644585944,645083336,644834640,248696,644838652,228686
32,1780313399073215107,1780313398428614261,1780313398428614431,1780313399073697121,-644600846,645082690,644841768,240922,644838652,228686
33,1780313399073705171,1780313398429105711,1780313398429105931,1780313399074195254,-644599460,645089323,644844391,244931,644838652,228686
34,1780313399074203974,1780313398429546874,1780313398429547164,1780313399074601266,-644657100,645054102,644855601,198501,644838652,228686
35,1780313399074609036,1780313398430024934,1780313398430025114,1780313399075075059,-644584102,645049945,644817023,232921,644838652,228686
36,1780313399075082529,1780313398430481945,1780313398430482095,1780313399075571421,-644600584,645089326,644844955,244371,644838652,228686
37,1780313399075579991,1780313398430983095,1780313398430983275,1780313399076071354,-644596896,645088079,644842487,245591,644838652,228686
38,1780313399076078894,1780313398431414906,1780313398431415046,1780313399076464146,-644663988,645049100,644856544,192556,644838652,228686
39,1780313399076474736,1780313398431890867,1780313398431891077,1780313399076979630,-644583869,645088553,644836211,252342,644838652,228686
40,1780313399076987920,1780313398432388118,1780313398432388288,1780313399077481413,-644599802,645093125,644846463,246661,644838652,228686
41,1780313399077489563,1780313398432892128,1780313398432892288,1780313399077943995,-644597435,645051707,644824571,227136,644838652,228686
42,1780313399077951485,1780313398433288200,1780313398433288450,1780313399078337778,-644663285,645049328,644856306,193021,644838652,228686
43,1780313399078345308,1780313398433772370,1780313398433772530,1780313399078821790,-644572938,645049260,644811099,238161,644838652,228686
44,1780313399078829290,1780313398434229801,1780313398434229961,1780313399079280393,-644599489,645050432,644824960,225471,644838652,228686
45,1780313399079287853,1780313398434691432,1780313398434691622,1780313399079780775,-644596421,645089153,644842787,246366,644838652,228686
46,1780313399079788686,1780313398435134724,1780313398435134854,1780313399080185788,-644653962,645050934,644852448,198486,644838652,228686
47,1780313399080195378,1780313398435612725,1780313398435612885,1780313399080663991,-644582653,645051106,644816879,234226,644838652,228686
48,1780313399080671391,1780313398436071376,1780313398436071516,1780313399081159794,-644600015,645088278,644844146,244131,644838652,228686
49,1780313399081167794,1780313398436570626,1780313398436570816,1780313399081625157,-644597168,645054341,644825754,228586,644838652,228686
50,1780313399081633847,1780313398436980498,1780313398436980628,1780313399082030809,-644653349,645050181,644851765,198416,644838652,228686
51,1780313399082038329,1780313398437455138,1780313398437455288,1780313399082506831,-644583191,645051543,644817367,234176,644838652,228686
