count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,219211,0,219211,930068774,242277
52,206391,0,206391,930068774,242277
53,193101,0,193101,930068774,242277
54,260521,0,260521,930068774,242277
55,248821,0,248821,930068774,242277
56,235771,0,235771,930068774,242277
57,222431,0,222431,930068774,242277
58,269221,0,269221,930068774,242277
59,257801,0,257801,930068774,242277
60,244150,0,244150,930068774,242277
61,230200,0,230200,930068774,242277
62,216170,0,216170,930068774,242277
63,266740,0,266740,930068774,242277
64,254370,0,254370,930068774,242277
65,240860,0,240860,930068774,242277
66,227030,0,227030,930068774,242277
67,213060,0,213060,930068774,242277
68,199410,0,199410,930068774,242277
69,260880,0,260880,930068774,242277
70,247990,0,247990,930068774,242277
71,234050,0,234050,930068774,242277
72,220389,0,220389,930068774,242277
73,207159,0,207159,930068774,242277
74,257659,0,257659,930068774,242277
75,244459,0,244459,930068774,242277
76,230889,0,230889,930068774,242277
77,216958,0,216958,930068774,242277
78,203738,0,203738,930068774,242277
79,260928,0,260928,930068774,242277
80,248428,0,248428,930068774,242277
81,234988,0,234988,930068774,242277
82,221508,0,221508,930068774,242277
83,208828,0,208828,930068774,242277
84,196157,0,196157,930068774,242277
85,262357,0,262357,930068774,242277
86,249537,0,249537,930068774,242277
87,235917,0,235917,930068774,242277
88,223757,0,223757,930068774,242277
89,210967,0,210967,930068774,242277
90,274828,0,274828,930068774,242277
91,262088,0,262088,930068774,242277
92,249118,0,249118,930068774,242277
93,235838,0,235838,930068774,242277
94,221858,0,221858,930068774,242277
95,272958,0,272958,930068774,242277
96,261047,0,261047,930068774,242277
97,248437,0,248437,930068774,242277
98,234357,0,234357,930068774,242277
99,221347,0,221347,930068774,242277
100,207527,0,207527,930068774,242277
101,194337,0,194337,930068774,242277
102,258927,0,258927,930068774,242277
103,244167,0,244167,930068774,242277
104,230427,0,230427,930068774,242277
105,213337,0,213337,930068774,242277
106,200637,0,200637,930068774,242277
107,259237,0,259237,930068774,242277
108,246716,0,246716,930068774,242277
109,234116,0,234116,930068774,242277
110,217296,0,217296,930068774,242277
111,203286,0,203286,930068774,242277
112,264606,0,264606,930068774,242277
113,251726,0,251726,930068774,242277
114,238666,0,238666,930068774,242277
115,226466,0,226466,930068774,242277
116,213326,0,213326,930068774,242277
117,200366,0,200366,930068774,242277
118,270046,0,270046,930068774,242277
119,256455,0,256455,930068774,242277
120,242945,0,242945,930068774,242277
121,230255,0,230255,930068774,242277
122,216605,0,216605,930068774,242277
123,283965,0,283965,930068774,242277
124,270875,0,270875,930068774,242277
125,258585,0,258585,930068774,242277
126,245975,0,245975,930068774,242277
127,233405,0,233405,930068774,242277
128,221185,0,221185,930068774,242277
129,272625,0,272625,930068774,242277
130,259885,0,259885,930068774,242277
131,246034,0,246034,930068774,242277
132,232214,0,232214,930068774,242277
133,218554,0,218554,930068774,242277
134,205984,0,205984,930068774,242277
135,193374,0,193374,930068774,242277
136,260324,0,260324,930068774,242277
137,234364,0,234364,930068774,242277
138,220184,0,220184,930068774,242277
139,206244,0,206244,930068774,242277
140,276374,0,276374,930068774,242277
141,263894,0,263894,930068774,242277
142,250134,0,250134,930068774,242277
143,237643,0,237643,930068774,242277
144,224533,0,224533,930068774,242277
145,212233,0,212233,930068774,242277
146,277263,0,277263,930068774,242277
147,264033,0,264033,930068774,242277
148,249983,0,249983,930068774,242277
149,237363,0,237363,930068774,242277
150,224833,0,224833,930068774,242277
151,210673,0,210673,930068774,242277
152,196503,0,196503,930068774,242277
153,263943,0,263943,930068774,242277
154,251573,0,251573,930068774,242277
155,239432,0,239432,930068774,242277
156,226292,0,226292,930068774,242277
157,213852,0,213852,930068774,242277
158,294902,0,294902,930068774,242277
159,283272,0,283272,930068774,242277
160,271472,0,271472,930068774,242277
161,258682,0,258682,930068774,242277
162,243732,0,243732,930068774,242277
163,230762,0,230762,930068774,242277
164,218022,0,218022,930068774,242277
165,266442,0,266442,930068774,242277
166,253342,0,253342,930068774,242277
167,239471,0,239471,930068774,242277
168,225401,0,225401,930068774,242277
169,211301,0,211301,930068774,242277
170,193781,0,193781,930068774,242277
171,266621,0,266621,930068774,242277
172,254881,0,254881,930068774,242277
173,240941,0,240941,930068774,242277
174,228161,0,228161,930068774,242277
175,215561,0,215561,930068774,242277
176,202251,0,202251,930068774,242277
177,266501,0,266501,930068774,242277
178,252590,0,252590,930068774,242277
179,240260,0,240260,930068774,242277
180,227020,0,227020,930068774,242277
181,213320,0,213320,930068774,242277
182,284450,0,284450,930068774,242277
183,271450,0,271450,930068774,242277
184,257730,0,257730,930068774,242277
185,245070,0,245070,930068774,242277
186,232650,0,232650,930068774,242277
187,218470,0,218470,930068774,242277
188,205020,0,205020,930068774,242277
189,278121,0,278121,930068774,242277
190,266630,0,266630,930068774,242277
191,252990,0,252990,930068774,242277
192,239320,0,239320,930068774,242277
193,225670,0,225670,930068774,242277
194,212190,0,212190,930068774,242277
195,290860,0,290860,930068774,242277
196,279040,0,279040,930068774,242277
197,268680,0,268680,930068774,242277
198,258960,0,258960,930068774,242277
199,243700,0,243700,930068774,242277
200,229960,0,229960,930068774,242277
201,289610,0,289610,930068774,242277
202,276629,0,276629,930068774,242277
203,262939,0,262939,930068774,242277
204,250409,0,250409,930068774,242277
205,236789,0,236789,930068774,242277
206,223219,0,223219,930068774,242277
207,210549,0,210549,930068774,242277
208,197349,0,197349,930068774,242277
209,273449,0,273449,930068774,242277
210,260339,0,260339,930068774,242277
211,247129,0,247129,930068774,242277
212,234199,0,234199,930068774,242277
213,220119,0,220119,930068774,242277
214,206098,0,206098,930068774,242277
