count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,232977,0,232977,922698470,245429
52,219397,0,219397,922698470,245429
53,212237,0,212237,922698470,245429
54,259357,0,259357,922698470,245429
55,247647,0,247647,922698470,245429
56,234616,0,234616,922698470,245429
57,221156,0,221156,922698470,245429
58,207936,0,207936,922698470,245429
59,268926,0,268926,922698470,245429
60,255826,0,255826,922698470,245429
61,243566,0,243566,922698470,245429
62,229756,0,229756,922698470,245429
63,217136,0,217136,922698470,245429
64,262466,0,262466,922698470,245429
65,250056,0,250056,922698470,245429
66,236906,0,236906,922698470,245429
67,224826,0,224826,922698470,245429
68,211485,0,211485,922698470,245429
69,197925,0,197925,922698470,245429
70,253435,0,253435,922698470,245429
71,248805,0,248805,922698470,245429
72,235855,0,235855,922698470,245429
73,222805,0,222805,922698470,245429
74,208795,0,208795,922698470,245429
75,255765,0,255765,922698470,245429
76,243265,0,243265,922698470,245429
77,229755,0,229755,922698470,245429
78,217375,0,217375,922698470,245429
79,204315,0,204315,922698470,245429
80,265704,0,265704,922698470,245429
81,253804,0,253804,922698470,245429
82,240444,0,240444,922698470,245429
83,227714,0,227714,922698470,245429
84,213734,0,213734,922698470,245429
85,199674,0,199674,922698470,245429
86,257954,0,257954,922698470,245429
87,247484,0,247484,922698470,245429
88,234114,0,234114,922698470,245429
89,220394,0,220394,922698470,245429
90,206274,0,206274,922698470,245429
91,260714,0,260714,922698470,245429
92,249103,0,249103,922698470,245429
93,235773,0,235773,922698470,245429
94,222103,0,222103,922698470,245429
95,208823,0,208823,922698470,245429
96,273943,0,273943,922698470,245429
97,268263,0,268263,922698470,245429
98,255343,0,255343,922698470,245429
99,241923,0,241923,922698470,245429
100,228013,0,228013,922698470,245429
101,214213,0,214213,922698470,245429
102,200603,0,200603,922698470,245429
103,260074,0,260074,922698470,245429
104,248103,0,248103,922698470,245429
105,234493,0,234493,922698470,245429
106,220213,0,220213,922698470,245429
107,207743,0,207743,922698470,245429
108,267403,0,267403,922698470,245429
109,254393,0,254393,922698470,245429
110,242253,0,242253,922698470,245429
111,228713,0,228713,922698470,245429
112,216082,0,216082,922698470,245429
113,203552,0,203552,922698470,245429
114,262782,0,262782,922698470,245429
115,251422,0,251422,922698470,245429
116,237561,0,237561,922698470,245429
