count_idx,delay_ns
51,16370
52,19476
53,17104
54,249816
55,223168
56,215091
57,206427
58,198041
59,189319
60,185098
61,177167
62,202856
63,183468
64,137559
65,122572
66,65583
67,61072
68,33950
69,27012
70,20582
71,26793
72,190488
73,127110
74,114269
75,105267
76,99800
77,91107
78,81762
79,74025
80,151619
81,427892
82,64662
83,49129
84,50279
85,42575
86,34381
87,25487
88,39915
89,31439
90,25360
91,215080
92,187192
93,179824
94,171671
95,166163
96,156963
97,149929
98,138449
99,184893
100,470131
101,94525
102,86434
103,76863
104,70682
105,61156
106,54448
107,46644
108,121324
109,440722
110,67860
111,49565
112,39071
113,32092
114,24051
115,18152
116,25835
117,13918
118,13718
119,102690
120,74615
121,65959
122,58169
123,51078
124,42848
125,35513
126,25517
127,36925
128,239921
129,187468
130,177000
131,294311
132,297786
133,289266
134,281102
135,273733
136,284777
137,172734
138,131566
139,121220
140,113166
141,105312
142,95933
143,80350
144,69810
145,167580
146,458919
147,101011
148,82703
149,73440
150,65471
151,65015
152,56177
153,48406
154,125940
155,407379
156,61389
157,43051
158,43498
159,36810
160,29967
161,21803
162,37585
163,29403
164,24118
165,163170
166,123316
167,113196
168,104366
169,95899
170,85181
171,71072
172,57043
173,156243
174,446800
175,98545
176,80398
177,72061
178,64183
179,54770
180,49089
181,41487
182,98295
183,240627
184,26117
185,109691
186,111020
187,98688
188,86559
189,79862
190,56368
191,50897
192,65697
193,147502
194,76159
195,52247
196,33640
197,39964
198,27872
199,106547
200,47590
201,33108
202,28376
203,21882
204,40415
205,29289
206,20756
207,28142
208,37014
209,30441
210,82285
211,45266
212,32100
213,32133
214,25564
215,25981
216,20884
217,76973
218,38517
219,38556
220,29266
221,90346
222,38704
223,26965
224,27168
225,23916
226,19964
227,17001
228,22181
229,16246
230,40653
231,29789
232,21410
233,28631
234,35180
235,27214
236,24295
237,19393
238,20069
239,17041
240,27884
241,24973
242,20596
243,30259
244,25271
245,20993
246,31498
247,31038
248,24590
249,20857
250,20497
251,16104
252,21440
253,34748
254,25810
255,22657
256,17855
257,35512
258,80148
259,50921
260,45773
261,38256
262,37912
263,88387
264,30484
265,21412
266,71103
267,36574
268,34348
269,26686
270,21792
271,18044
272,77407
273,25147
274,15475
275,27080
276,24450
277,20205
278,33233
279,79874
280,26375
281,15697
282,28165
283,26244
284,25254
285,29020
286,25641
287,22280
288,19588
289,16606
290,37996
291,26082
292,21442
293,17569
294,27723
295,23867
296,19879
297,14019
298,37654
299,37004
300,27598
301,22712
302,19929
