count_idx,delay_ns
51,29983
52,24521
53,28589
54,41724
55,22383
56,27830
57,18879
58,177686
59,118429
60,72657
61,57049
62,46116
63,37712
64,50117
65,40294
66,33265
67,82912
68,46761
69,33752
70,203543
71,82605
72,54299
73,47318
74,29381
75,43766
76,36020
77,39271
78,24057
79,94727
80,60340
81,139263
82,97640
83,62889
84,44869
85,34205
86,188298
87,156646
88,42592
89,42843
90,27105
91,127275
92,75618
93,74941
94,56920
95,67353
96,58954
97,136092
98,68901
99,54329
100,52166
101,38584
102,57543
103,32584
104,104908
105,85574
106,65989
107,163042
108,116318
109,92417
110,75311
111,95642
112,169840
113,67219
114,43936
115,45446
116,154481
117,116895
118,41690
119,32592
120,26401
121,55717
122,28572
123,126405
124,34832
125,64732
126,43718
127,41773
128,35503
129,23899
130,29366
131,38904
132,323203
133,411019
134,404902
135,389404
136,370202
137,347323
138,326299
139,303303
140,399366
141,414290
142,104273
143,47027
144,32336
145,29081
146,24624
147,33914
148,29950
149,22378
150,48891
151,39808
152,30305
153,25476
154,20353
155,74531
156,77951
157,27502
158,74627
159,96275
160,53515
161,36333
162,30341
163,39489
164,85950
165,117413
166,57578
167,42996
168,55742
169,44648
170,34387
171,31982
172,54875
173,34063
174,99120
175,98594
176,63751
177,136245
178,32260
179,111786
180,52435
181,65490
182,57846
183,41270
184,30502
185,101078
186,48839
187,34841
188,33344
189,30353
190,133148
191,51572
192,31856
193,22980
194,110252
195,70970
196,56528
197,65044
198,40862
199,36530
200,39963
201,29569
202,24441
203,19194
204,44117
205,32908
206,24281
207,27782
208,18223
209,72756
210,42576
211,32753
212,29804
213,26196
214,45938
215,34670
216,30314
217,23052
218,23032
219,75131
220,83313
221,39005
222,40322
223,28032
224,37139
225,25638
226,37282
227,24749
228,52427
229,38776
230,30864
231,23361
232,31191
233,35288
234,98295
235,58390
236,45211
237,36206
238,33981
239,29984
240,18902
241,34509
242,29024
243,38008
244,37626
245,32461
246,27635
247,64178
248,58095
249,48180
250,43495
251,36746
252,30534
253,24399
254,51849
255,42003
256,34678
257,29504
258,26137
259,60763
260,50711
261,50669
262,41068
263,43782
264,36793
265,32548
266,27772
267,23437
268,47881
269,102605
270,53238
271,36320
272,32131
273,28672
274,26218
275,47244
276,34251
277,27852
278,18503
279,73727
280,114182
281,42895
282,36435
283,31916
284,29964
285,22314
286,121560
287,25938
288,83438
289,43868
290,101624
291,55652
292,38488
293,29914
294,20163
295,86212
296,37350
297,93485
298,48723
299,38285
300,29093
301,22584
302,210813
303,70619
304,41732
305,30450
306,26328
307,38244
308,71946
309,47141
310,37822
311,30097
312,39690
313,34682
314,28288
315,23915
316,44675
317,27613
318,117500
319,48330
320,36003
321,45010
322,35821
323,32137
324,34840
325,144329
326,93000
327,83886
328,130004
329,40196
330,147218
331,148301
332,77703
333,55373
334,49828
335,39767
336,61597
337,31250
338,95904
339,91629
340,34490
341,87607
342,39228
343,86366
344,164441
345,287666
346,189060
347,159118
348,136077
349,111827
350,84876
351,51988
352,53865
353,37636
354,444554
355,187468
356,46550
357,54992
358,29641
359,95543
360,39136
361,150200
362,326858
363,76887
364,44721
365,24604
366,412954
367,498525
368,403761
369,256124
370,267867
371,186125
372,93694
373,35177
374,267989
375,73119
376,33955
377,148438
378,144184
379,121427
380,97572
381,72487
382,48420
383,45709
384,22573
385,193450
386,282169
387,433952
388,412354
389,387766
390,475552
391,498309
392,491038
393,549079
394,665280
395,729266
396,142780
397,112326
398,48242
399,68980
400,42263
401,159695
402,103618
403,79652
404,50670
405,32674
406,140425
407,78276
408,62095
409,55481
410,45232
411,30195
412,106288
413,170295
414,97967
415,70984
416,50868
417,41133
418,32930
419,52900
420,30932
421,164090
422,66012
423,130762
424,112611
425,92588
426,83679
427,59241
428,31963
429,185349
430,162274
431,194065
432,94664
433,74255
434,61196
435,49597
436,36856
437,64361
438,48947
439,55768
440,29112
441,173453
442,102405
443,87163
444,77772
445,67756
446,59024
447,47405
448,34715
449,129343
450,392363
451,88234
452,35993
453,77275
454,80498
455,78795
456,81611
457,79214
458,80442
459,81272
460,27920
461,77276
462,82538
463,83082
464,144028
465,195156
466,59266
467,33526
468,42163
469,28326
470,137336
471,91690
472,69527
473,60622
474,49943
475,65107
476,45141
477,35488
478,27120
479,211440
480,192096
481,166683
482,160360
483,2892332
484,2867326
485,2857999
486,2851484
487,2843128
488,2834969
489,2828037
490,2821322
491,2955586
492,3172391
493,261576
494,83724
495,55848
496,42384
497,43201
498,45623
499,29027
500,106910
501,45328
502,114565
503,46477
504,202556
505,129501
506,99816
507,72944
508,154364
509,115098
510,95540
511,77439
512,55337
513,75533
514,56374
515,50805
516,40498
517,186581
518,104117
519,77604
520,50386
521,46567
522,32372
523,37775
524,140190
525,82484
526,53407
527,52611
528,122312
529,155237
530,102875
531,38162
532,183013
533,105158
534,36467
535,163795
536,84834
537,129552
538,35209
539,79803
540,117148
541,85244
542,181362
543,100577
544,43639
545,177283
546,83671
547,57663
548,112851
549,186752
550,117221
551,37994
552,105551
553,85185
554,82400
555,132923
556,41769
557,102619
558,79109
559,60265
560,45137
561,33499
562,295084
563,219972
564,79941
565,78927
566,55012
567,40180
568,116321
569,149398
570,104920
571,78330
572,68483
573,51510
574,65311
575,50638
576,30894
577,111633
578,150548
579,76051
580,65957
581,48854
582,155287
583,66738
584,115483
585,83007
586,147083
587,59813
588,37245
