count_idx,delay_ns,loop_gap_ns
51,62706,2757
52,61363,4164
53,57116,3427
54,89300,3665
55,268189,40910
56,54438,189478
57,46142,8340
58,42623,3843
59,39871,3609
60,23498,3218
61,16470,3333
62,49648,3114
63,53730,45452
64,63609,8752
65,140490,17407
66,97927,165773
67,92109,7548
68,90350,4213
69,87750,3234
70,83885,3094
71,78763,2755
72,62715,2749
73,90392,2850
74,100884,41595
75,47274,14368
76,35464,75877
77,30419,8963
78,28517,4762
79,25712,4776
80,33164,4850
81,18176,13310
82,14537,5443
83,12010,4243
84,11955,5090
85,10458,4691
86,13729,4219
87,12110,8806
88,15490,4520
89,24290,8918
90,77729,17593
91,12996,225753
92,9549,7452
93,6065,5719
94,13068,4931
95,9414,13756
96,7360,4932
97,12837,5001
98,14388,14585
99,13848,8591
100,141880,6216
101,103424,285251
102,93645,7608
103,87571,3728
104,81885,3216
105,75243,3136
106,70684,3950
107,64703,2832
108,117949,2865
109,253174,62088
110,31448,145249
111,14790,38067
112,10512,6807
113,15646,5026
114,16216,12303
115,15217,5436
116,13847,4538
117,12221,4723
118,14322,5079
119,55034,7996
120,35630,178967
121,28948,7890
122,24881,4665
123,18361,3321
124,22307,3143
125,16103,12934
126,17299,2946
127,12685,8061
128,60988,4615
129,37552,166726
130,15034,14506
131,13828,5978
132,28320,14854
133,27552,38998
134,27678,33068
135,44336,33669
136,22651,56220
137,18590,9397
138,43391,9615
139,17725,55481
140,18268,7873
141,15340,11757
142,11679,3673
143,31046,5061
144,38907,32668
145,20945,49493
146,16470,9149
147,12299,7222
148,35545,5335
149,34029,38822
150,21603,36984
151,18930,6891
152,17943,5055
153,17267,5094
154,17398,6452
155,16216,4895
156,15747,4985
157,15202,5397
158,33170,5266
159,77617,27587
160,30226,56503
161,11918,37895
162,15019,8094
163,37341,15036
164,39000,69599
165,44686,11064
166,17856,15018
167,44609,8013
168,18358,52034
169,13351,10488
170,9779,9051
171,35917,6939
172,13222,55862
173,10463,8600
174,10304,6171
175,10309,6930
176,9045,7340
177,10003,6922
178,12254,8466
179,10814,8091
180,13225,5072
181,12883,9331
182,12166,5900
183,11761,4959
184,52280,7893
185,25075,64277
186,18368,8612
187,16978,5204
188,40049,8095
189,17610,55273
190,15149,9463
191,14009,6351
192,13092,4998
193,15349,5129
194,29650,10555
195,33909,36203
196,48349,39284
197,27145,60258
198,19357,6997
199,16668,3434
200,19088,3055
201,16259,9192
202,15307,8145
203,37244,6991
204,15939,52375
205,11142,7799
206,12760,5123
207,12590,7965
208,28367,7882
209,40217,37198
210,16548,48296
211,11696,9920
212,9871,7683
213,16247,9029
214,12394,17231
215,8928,8117
216,39607,7055
217,29957,60290
218,18088,33518
219,15679,8007
220,14696,5306
221,14198,5515
222,12760,5039
223,12037,6909
224,10273,8229
225,38802,6117
226,14261,54638
227,9629,9345
228,11304,7829
229,8548,11746
230,33883,7615
231,37190,38627
232,24771,43368
233,61785,9357
234,40181,69512
235,35430,8866
236,33659,4577
237,29992,3828
238,27223,3264
239,23623,2888
240,21031,2899
241,41303,2918
242,166862,30323
243,38788,135907
244,22945,49201
245,18812,6108
246,15495,3558
247,13151,3338
248,10913,3109
249,9907,3698
250,6810,6741
251,43222,4780
252,14677,65481
253,9694,7115
254,34165,5342
255,19602,39003
256,12001,18894
257,10801,8224
258,11064,9663
259,11564,7522
260,9868,7980
261,10759,7840
262,10837,7827
263,10880,7904
264,10447,7388
265,10926,7219
266,11197,9076
267,13875,5843
268,13314,9287
269,12873,5727
270,12194,5628
271,11770,5803
272,10970,5676
273,10644,5486
274,11412,6374
275,11105,5797
276,38797,5457
277,173232,35244
278,31212,141667
279,14481,46959
280,10916,7135
281,6640,4917
282,11795,5852
283,6102,11847
284,29380,4813
285,47456,33934
286,17250,64394
287,13631,7422
288,12056,7768
289,14427,5059
290,44386,14909
291,19550,61477
292,15356,11279
293,14164,6798
294,13140,5997
295,12956,5753
296,12292,5533
297,12032,5677
298,12754,6714
299,12533,5597
300,15834,5627
301,57239,8883
302,42311,221058
303,18530,42251
304,12035,5187
305,30027,5390
306,39895,36366
307,17374,48749
308,12899,8320
309,11514,5047
310,10677,4661
311,17593,5069
312,17125,12642
313,15585,5432
314,14742,5834
315,13666,4525
316,16805,4919
317,14714,10257
318,60803,6849
319,37109,73227
320,29672,10389
321,26697,5125
322,25122,5752
323,35870,8273
324,39124,41319
325,38132,47454
326,23838,42687
327,19632,6099
328,14853,3737
329,18327,3012
330,28531,9693
331,39627,32801
332,20586,53006
333,15755,5286
334,33314,5542
335,16686,41979
336,11022,5680
337,9286,3856
338,8196,4183
339,38661,5411
340,18599,44854
341,15397,7785
342,13340,5640
343,12479,6937
344,12830,7846
345,10271,11904
346,10916,7922
347,10695,7194
348,11464,7109
349,11874,7901
350,11755,7141
351,13526,8327
352,28644,13566
353,14296,43425
354,10296,6341
355,8071,5091
356,32786,7606
357,12044,36080
358,10585,9403
359,11191,8053
360,14433,8004
361,12798,9748
362,12657,5742
363,12503,5693
364,13778,5681
365,12237,7199
366,44654,7053
367,18306,82468
368,12094,8997
369,7294,5003
370,36979,4647
371,18523,43515
372,33108,6221
373,17856,44514
374,14332,5033
375,27463,5060
376,29255,35168
377,31981,36349
378,34053,36213
379,35827,36392
380,15997,44569
381,9169,6341
382,37949,5054
383,30440,60369
384,57985,34710
385,22470,66117
386,40473,25336
387,18676,68665
388,25119,17901
389,25330,6345
390,24699,5969
391,25364,5699
392,24626,5703
393,24407,5667
394,23724,5505
395,47931,5499
396,86268,32252
397,119383,44813
398,96963,135664
399,89262,8263
400,86424,3530
401,84981,3092
402,81891,5181
403,79964,4724
404,64400,4570
405,98282,4508
406,87519,51229
407,41022,15850
408,24093,66566
409,17994,7968
410,15868,5638
411,38710,8321
412,31188,59646
413,29606,9684
414,28184,5470
415,26009,5537
416,23996,5229
417,19950,4803
418,17442,5159
419,25929,5342
420,11022,13895
421,9535,5382
422,8674,9115
423,9045,8354
424,9014,7213
425,38900,8087
426,18779,57385
427,9897,6863
428,42978,4987
429,14366,52806
430,39128,9763
431,20275,43309
432,13018,20845
433,10335,8664
434,11171,7763
435,29568,10800
436,17598,32868
437,13381,10108
438,9563,7861
439,14918,7793
440,40773,16006
441,16924,129346
442,13939,7359
443,13394,5652
444,12215,4618
445,11562,4864
446,10974,5131
447,10449,5354
448,10539,5291
449,15987,5824
450,46318,10456
451,50840,191718
452,25606,59937
453,31899,10230
454,18505,38212
455,11900,7321
456,10825,4024
457,8018,5792
458,31139,4842
459,17363,48000
460,16547,9551
461,17147,7836
462,13921,4668
463,11276,3314
464,9271,5635
465,5971,4569
466,25957,4511
467,47624,30789
468,51940,68820
469,51722,9812
470,49184,6986
471,46550,4834
472,32958,5150
473,25791,4823
474,20398,3432
475,42666,2983
476,157789,32226
477,87577,129374
478,83073,10366
479,81947,5335
480,81836,5162
481,81135,4774
482,79919,4474
483,77010,4197
484,109882,4184
485,95949,46335
486,50763,11912
487,36515,62175
488,31340,6390
489,27478,3394
490,22224,3112
491,18095,3143
492,12506,3094
493,15148,3257
494,53043,10489
495,23580,64252
496,16476,7411
497,37845,7298
498,26997,52199
499,22053,6493
500,18872,3468
501,17373,3423
502,14647,3938
503,13700,3056
504,13634,5680
505,38668,12344
506,28721,60935
507,25752,8759
508,24734,5219
509,23859,4979
510,22501,4881
511,20776,4504
512,19347,4822
513,44632,4630
514,162504,34046
515,35912,127272
516,14198,54555
517,7882,6300
518,25836,5128
519,48136,30724
520,40589,64384
521,36268,26097
522,52520,6686
523,55310,34521
524,58868,8614
525,48816,11907
526,154030,40702
527,126142,179446
528,118594,11030
529,120775,5639
530,116782,11584
531,112335,5134
532,108171,4733
533,106627,4969
534,147556,5221
535,165718,49445
536,47517,21974
537,35124,73032
538,38106,15764
539,35160,6208
540,32400,5608
541,27544,5547
542,22765,5477
543,18608,5435
544,16595,5454
545,14876,8032
546,78138,73643
547,86516,12939
548,66703,98454
549,72800,105881
550,79550,48648
551,71625,12990
552,67628,4363
553,61987,4389
554,58494,9495
555,50875,3207
556,69577,2920
557,132426,31445
558,36100,75625
559,42099,43211
