count_idx,delay_ns,loop_gap_ns,recv_block_ns
51,11066,3990,6768
52,9517,10062,2450
53,9516,4746,2705
54,7993,5026,2334
55,6862,3965,2499
56,6268,4301,2275
57,26545,3736,22720
58,10127,26752,3566
59,7238,5930,2699
60,8390,4634,4750
61,6232,6143,2344
62,21362,3868,17663
63,13574,22254,2325
64,10442,5439,1578
65,9100,3069,1773
66,9594,4448,2336
67,8857,3645,2503
68,6879,3835,2575
69,6129,3834,2417
70,10116,3723,6908
71,8055,9106,2465
72,6621,3776,2357
73,21889,3684,17720
74,14376,22504,3532
75,11115,6278,2207
76,8813,3649,2622
77,6150,4162,2241
78,21688,3629,18101
79,14341,22143,4025
80,12578,6003,4514
81,28065,5838,18455
82,14888,23388,3342
83,11971,6550,2774
84,9691,5183,2742
85,7578,4169,2503
86,22959,3855,18682
87,13403,22897,3336
88,10477,6063,2498
89,7842,3958,2773
90,7199,4908,2451
91,6043,3817,2410
92,23384,3737,19834
93,12482,23887,2488
94,10001,5754,1690
95,8893,3115,2071
96,8175,3421,2480
97,21414,3783,17540
98,15213,22501,3992
99,10868,6067,1560
100,8395,2887,2182
101,7523,3667,2399
102,10460,3668,6933
103,8418,9145,2596
104,6887,3894,2495
105,5945,3797,2428
106,24372,4504,20494
107,12194,24468,2658
108,12424,4594,5722
109,11805,7076,1355
110,11983,3974,2857
111,9921,4313,2728
112,8537,4074,1873
113,8001,3238,2586
114,6664,4574,2328
115,21424,3692,19297
116,14288,23486,4237
117,11309,7017,1945
118,10080,3895,1658
119,8669,3036,2059
120,7892,3378,2721
121,6278,4029,2416
122,6223,4694,2288
123,8813,3691,5867
124,9925,7226,6483
125,6737,7845,2323
126,10668,8694,2454
127,5720,3766,2259
128,20903,3564,17655
129,13063,21737,3277
130,9043,6033,2264
131,24691,3628,19215
132,13722,23424,3806
133,9086,6263,2830
134,6483,5011,2248
135,21050,3551,17611
136,13553,21793,3613
137,8981,6159,2460
138,7947,4875,2320
139,6733,3680,2359
140,21540,3640,17435
141,12703,21472,3045
142,8786,5239,2590
143,22905,3948,18801
144,13885,23043,3157
145,11734,6410,2941
146,10065,5841,2348
147,7600,3744,2534
148,6174,3849,2228
149,10558,3535,6960
150,8367,9255,2333
151,7400,3665,2444
152,6459,3803,2345
153,5834,3649,2401
154,10113,4229,6630
155,8068,8884,2428
156,6782,3727,2394
157,5892,3729,2267
158,9992,3912,6525
159,8196,8710,2535
160,6963,3869,2327
161,5839,3651,2330
162,21312,4266,17212
163,12252,21280,2920
164,8861,4784,2605
165,6985,4007,2296
166,11151,3684,7479
167,8334,9677,2428
168,6893,3856,2234
169,10250,3510,6769
170,8750,9811,2137
171,7160,3443,2371
172,23298,3672,20783
173,32109,24943,22042
174,33753,26471,23289
175,11845,27633,2134
176,8925,3857,2354
177,8306,3675,2228
178,7787,4637,2187
179,7123,3516,2605
180,5678,3929,2234
181,20804,3532,17553
182,12073,21638,2240
183,8362,4045,1970
184,8062,3334,2543
185,6134,3852,2299
186,6314,4678,2270
187,21124,3581,17341
188,13481,21405,3721
189,10630,5637,2721
190,9625,4533,1816
191,8580,3163,2548
192,6362,3965,2287
193,7562,3577,4402
194,22564,6521,17251
195,31747,21315,22006
196,12010,26214,2186
197,8821,3844,2347
198,8275,3848,2268
199,7025,3576,2293
200,20257,3585,18254
201,12336,22328,2838
202,9272,5266,2269
203,7030,3748,2373
