count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
1,79404,28757,84302
2,9507,6146,10925
3,4887,4601,5941
4,4840,5217,5757
5,5593,9413,6453
6,5548,26051,6406
7,6135,5764,7562
8,5844,5950,7181
9,20172,17862,22119
10,4124,3869,5342
11,3760,3813,4470
12,15901,2966,17728
13,2523,3219,3303
14,2051,4431,2669
15,4643,4155,5175
16,3701,5501,4229
17,3262,2541,3780
18,2354,3912,2817
19,3054,2413,3516
20,4411,2491,4934
21,3822,4767,4304
22,4925,2700,6000
23,2679,2703,3223
24,2469,2568,2945
25,2466,2613,2936
26,2649,2528,3115
27,2585,2713,3060
28,2700,2377,3177
29,2651,16107,3165
30,25013,3114,26789
31,2610,4086,3171
32,2157,3248,2612
33,2508,16019,3080
34,3537,2431,4585
35,2081,2124,2618
36,1958,1969,2425
37,2103,2584,2540
38,3711,3356,4491
39,4020,3281,4798
40,1533,3120,2263
41,1440,3887,2348
42,1062,4014,1883
43,764,916,1406
44,616,730,1051
45,690,693,1127
46,642,767,1109
47,619,673,1049
48,675,758,1106
49,625,681,1094
50,742,671,1171
51,612,746,1041
52,647,730,1077
53,679,716,1101
54,666,676,1114
55,697,12856,1135
56,2243,2193,2681
57,2129,2157,2600
58,2014,2402,2456
59,2243,2190,2715
60,2157,2144,2596
61,2001,2225,2461
62,3420,3831,4115
63,3190,3304,4036
64,3463,3780,4291
65,3810,3349,4653
66,4472,3814,5267
67,4439,2699,4919
68,3517,2807,3996
69,3530,4859,4201
70,3936,3671,4574
71,3612,4575,4263
72,5108,2765,5628
73,2693,2368,3140
74,2463,2187,2917
75,2157,2324,2604
76,2249,2418,2688
77,2000,2230,2473
78,2316,2117,2753
79,2047,2274,2532
80,2189,2154,2628
81,2816,3609,3636
82,3715,7611,4426
83,3276,3329,4040
84,3013,3343,3849
85,3153,3345,3875
86,3656,3704,4495
87,4161,3525,4813
88,3931,3722,4668
89,3645,3467,4416
90,3708,3728,4527
91,3859,8170,4709
92,4136,3566,4927
93,6186,23670,7065
94,31026,4126,33323
95,3845,3317,4673
96,3667,4608,4550
97,3561,4177,4516
98,4217,3672,5142
99,3916,6330,4825
100,3607,3219,4343
101,3198,3211,4024
102,3830,3366,4797
103,3884,4252,4846
104,4036,5253,5013
105,3936,4060,4899
106,4036,6433,4999
107,3914,3763,4856
108,4326,19949,5268
109,16159,3957,17929
110,3299,3325,4060
111,2931,3231,3594
112,3415,3709,4133
113,3290,3362,4114
114,3201,3406,4014
115,2763,3777,3406
116,3785,2859,4356
117,5332,3639,6114
118,4309,3165,5127
119,4736,6565,5622
120,4139,3577,4864
121,4055,3518,4821
122,4129,3379,4922
123,3824,21840,4813
124,20728,23002,22997
125,6922,4185,8180
126,2029,2065,2557
127,1924,2332,2428
128,2112,3238,2582
129,19786,19327,22035
130,6491,5174,8444
131,3582,3681,4793
132,3808,3339,4970
133,4177,3681,5099
134,5119,4020,6015
135,5460,5539,6329
136,3840,3364,4596
137,6191,3792,7580
138,4119,4545,5064
139,3903,4125,4943
140,22667,18074,25011
141,4304,2627,5388
142,2196,2415,2698
143,2119,1967,2719
144,2474,2237,2918
145,2293,2013,2763
146,1814,6208,2263
147,2717,3495,3651
148,3527,3998,4470
149,3452,3187,4214
150,3903,3514,4741
151,3326,3669,4203
152,3420,3383,4183
153,3813,7454,4599
154,9930,3743,10680
155,4852,6444,5829
156,18408,16629,20230
157,2968,2677,4124
158,2583,2158,3231
159,1827,2235,2304
160,2638,2522,3093
161,2046,2371,2520
162,5736,2428,6170
163,2317,2853,2760
164,4331,2845,4842
165,2563,2873,3046
166,2718,2221,3212
167,5895,4165,7228
168,3753,4118,4506
169,19024,19058,21118
170,4265,3935,5913
171,3119,3545,4021
172,4081,3427,4871
173,4271,3909,5206
174,20569,15346,23163
175,3064,2532,4474
176,2405,2210,3060
177,1922,1869,2484
178,2226,2495,2748
179,3361,3733,4268
180,3432,5816,4130
181,3617,19905,4367
182,4303,2642,5760
183,2267,2547,2964
184,2251,2000,2687
185,2295,2484,2731
186,2443,2085,3001
187,2659,2404,3153
188,2210,2197,2647
189,2560,2287,3015
190,3560,6436,3998
191,3683,15732,4164
192,11867,2401,12920
193,3409,2579,3909
194,2868,2062,3345
195,3652,2355,4227
196,3648,2329,4094
197,4584,6386,5308
198,6069,19614,7534
199,16520,4032,18554
200,4195,3456,5050
201,3535,3521,4316
202,3666,4963,4561
203,3634,16570,4530
204,2839,2232,3310
205,2228,2535,2676
206,2202,2165,2646
207,2457,2034,2913
208,2352,2424,2837
209,2774,2424,3230
210,2188,2248,2648
211,2094,2104,2572
212,2219,2291,2680
213,2602,2735,3042
214,2380,2053,2821
215,2509,2483,2950
216,2606,2285,3079
217,2760,2740,3204
218,2457,2265,2927
219,2600,2676,3067
220,2441,2535,2886
221,3330,2302,3768
222,2679,2677,3123
223,2319,3793,2809
224,2812,2795,3330
225,2570,4592,3035
226,5322,2726,5793
227,2424,16083,2868
228,3974,3632,5154
229,6964,22407,8091
230,3618,2864,4950
231,2951,2685,3804
232,3135,14883,3645
233,15026,3017,16793
234,2529,2473,3353
235,3384,3875,4287
236,3152,4687,3875
237,4000,18858,4777
238,3642,2465,5090
239,2348,2204,3215
240,1903,2184,2378
241,2246,2423,2767
242,2557,2132,3031
243,2353,2500,2829
244,2455,2140,2934
245,2378,2527,2840
246,2573,2694,3034
247,21441,15101,22542
248,15881,3030,17687
249,3662,4180,4949
250,3648,3415,4380
251,3393,3646,4133
252,3695,2716,5542
253,2286,2571,2767
254,2262,2182,2707
255,2583,3961,3075
256,2401,2524,2888
257,5312,2284,5803
258,2363,2553,2806
259,3366,2226,3858
260,5076,2778,6120
261,5090,4944,6099
262,15970,17087,17772
263,19480,4002,21516
264,4347,5893,5377
265,20728,14650,22676
266,3082,2498,4187
267,2438,2156,3119
268,2104,2100,2587
269,1852,1999,2405
270,2424,2011,2873
271,2249,2468,2713
272,2143,2547,2644
273,2174,2461,2622
274,2404,2263,2866
275,2311,2613,2841
276,2322,2451,2767
277,2617,3227,3088
278,2624,2140,3095
279,2689,3429,3171
280,2590,4376,3090
281,2555,2790,3076
282,3780,4797,4256
283,15299,19176,17162
284,4310,4449,5902
285,18015,3132,19850
286,2412,2622,3213
287,2859,2403,3574
288,2509,7572,3013
289,2399,19395,2916
290,19077,32305,21063
291,19990,4118,22067
292,4402,19532,5280
293,19736,4500,22169
294,3303,2423,4193
295,2140,2095,2690
296,2462,2401,2957
297,4235,2675,4775
298,2382,2416,2847
299,15188,17106,17004
300,18281,4077,20498
301,4257,7364,5671
302,3720,3694,4744
303,4730,17934,5658
304,20174,17564,22378
305,19076,18392,21130
306,4120,3337,5539
307,4254,3836,5207
308,20040,17608,22281
309,4497,3603,6040
310,3423,3412,4467
311,3604,3440,4506
312,3676,4911,4617
313,6983,17908,8489
314,15702,3020,17463
315,2387,2352,3227
316,2836,3250,3609
317,3152,3558,3992
318,3285,3646,4136
319,3401,3328,4220
320,5531,3868,6349
321,4822,2294,5307
322,2691,2456,3166
323,3451,2226,3928
324,3044,2729,3582
325,3769,4180,4537
326,6332,3909,7749
327,4137,4548,5055
328,5100,2321,6165
329,3027,7947,3501
330,2321,2303,2830
331,2414,2269,2988
332,3518,3258,4031
333,4176,6426,4986
334,20361,20335,22510
335,4565,6276,6392
336,3366,3512,4186
337,3296,3548,4041
338,3396,5142,4228
339,4132,3805,4997
340,10794,21577,11645
341,29115,5034,31414
342,3734,3173,4971
343,3993,3542,4802
344,3490,5978,4171
345,3857,26832,4638
346,4581,3663,6354
347,3617,3640,5023
348,3063,3238,4111
349,3561,2989,5321
350,2360,2132,2835
351,2300,2040,2733
352,2429,2289,2871
