sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780657514828885130,1780657514828895268,1780657514828927831,1780657514828935402,10138,7571,-1283,8854,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,10,108,14,10,345.256071,13,957,1133,851,998,1841,957,0,ok
2,1780657514828967006,1780657514828968286,1780657514828974800,1780657514828976448,1280,1648,184,1464,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,10,108,14,10,345.256071,13,957,1133,851,998,1841,957,0,ok
3,1780657514829000529,1780657514829001897,1780657514829006870,1780657514829008099,1368,1229,-69,1298,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,10,108,14,10,345.256071,13,957,1133,851,998,1841,957,0,ok
4,1780657514829031606,1780657514829032687,1780657514829037827,1780657514829039043,1081,1216,67,1148,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,10,108,14,10,345.256071,13,957,1133,851,998,1841,957,0,ok
5,1780657514829062236,1780657514829063290,1780657514829068694,1780657514829069843,1054,1149,47,1101,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,10,108,14,10,345.256071,13,957,1133,851,998,1841,957,0,ok
6,1780657514829093324,1780657514829094476,1780657514829099441,1780657514829100675,1152,1234,41,1193,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,10,108,14,10,345.256071,13,957,1133,851,998,1841,957,0,ok
7,1780657514829123875,1780657514829125011,1780657514829129993,1780657514829131168,1136,1175,19,1155,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,10,108,14,10,345.256071,13,957,1133,851,998,1841,957,0,ok
8,1780657514829154338,1780657514829155398,1780657514829160423,1780657514829161585,1060,1162,51,1111,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,10,108,14,10,345.256071,13,957,1133,851,998,1841,957,0,ok
9,1780657514829184975,1780657514829186119,1780657514829191072,1780657514829192135,1144,1063,-40,1103,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,10,108,14,10,345.256071,13,957,1133,851,998,1841,957,0,ok
10,1780657514829217879,1780657514829218952,1780657514829224027,1780657514829225310,1073,1283,105,1178,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,10,108,14,10,345.256071,13,957,1133,851,998,1841,957,0,ok
