sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780657635842809465,1780657635842811118,1780657635842859981,1780657635842866421,1653,6440,2393,4046,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
2,1780657635842896849,1780657635842898169,1780657635842903722,1780657635842905060,1320,1338,9,1329,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
3,1780657635842932856,1780657635842934017,1780657635842939559,1780657635842940716,1161,1157,-2,1159,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
4,1780657635842964707,1780657635842965832,1780657635842971187,1780657635842972265,1125,1078,-23,1101,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
5,1780657635842995834,1780657635842996921,1780657635843002078,1780657635843003334,1087,1256,84,1171,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
6,1780657635843026941,1780657635843027997,1780657635843033164,1780657635843034296,1056,1132,38,1094,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
7,1780657635843057611,1780657635843058642,1780657635843063734,1780657635843064831,1031,1097,33,1064,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
8,1780657635843088729,1780657635843089780,1780657635843094967,1780657635843096028,1051,1061,5,1056,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
9,1780657635843119358,1780657635843120396,1780657635843125631,1780657635843126752,1038,1121,41,1079,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
10,1780657635843150541,1780657635843151572,1780657635843156720,1780657635843157817,1031,1097,33,1064,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
11,1780657635843181249,1780657635843182311,1780657635843187471,1780657635843188622,1062,1151,44,1106,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
12,1780657635843213514,1780657635843214574,1780657635843247442,1780657635843253872,1060,6430,2685,3745,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
13,1780657635843295225,1780657635843296344,1780657635843305091,1780657635843307114,1119,2023,452,1571,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
