count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,9605,0,9605,9605,11,988
52,9666,0,9666,9666,11,988
53,9538,0,9538,9538,11,988
54,11840,0,11840,11840,11,988
55,11559,0,11559,11559,11,988
56,9772,0,9772,9772,11,988
57,9667,0,9667,9667,11,988
58,9574,0,9574,9574,11,988
59,9651,0,9651,9651,11,988
60,9732,0,9732,9732,11,988
61,9679,0,9679,9679,11,988
62,9665,0,9665,9665,11,988
63,9589,0,9589,9589,11,988
64,9560,0,9560,9560,11,988
65,9597,0,9597,9597,11,988
66,9595,0,9595,9595,11,988
67,9583,0,9583,9583,11,988
68,9600,0,9600,9600,11,988
69,9687,0,9687,9687,11,988
70,9471,0,9471,9471,11,988
71,9600,0,9600,9600,11,988
72,9552,0,9552,9552,11,988
73,9589,0,9589,9589,11,988
74,9727,0,9727,9727,11,988
75,9625,0,9625,9625,11,988
76,9643,0,9643,9643,11,988
77,9907,0,9907,9907,11,988
78,9539,0,9539,9539,11,988
79,9554,0,9554,9554,11,988
80,9626,0,9626,9626,11,988
81,9678,0,9678,9678,11,988
82,9553,0,9553,9553,11,988
83,9759,0,9759,9759,11,988
84,9643,0,9643,9643,11,988
85,9668,0,9668,9668,11,988
86,9688,0,9688,9688,11,988
87,9535,0,9535,9535,11,988
88,9539,0,9539,9539,11,988
89,17156,0,17156,17156,11,988
90,12165,0,12165,12165,11,988
91,9786,0,9786,9786,11,988
92,9588,0,9588,9588,11,988
93,9884,0,9884,9884,11,988
94,9708,0,9708,9708,11,988
95,9861,0,9861,9861,11,988
96,9698,0,9698,9698,11,988
97,10182,0,10182,10182,11,988
98,10008,0,10008,10008,11,988
99,9889,0,9889,9889,11,988
100,9715,0,9715,9715,11,988
101,12691,0,12691,12691,11,988
102,11843,0,11843,11843,11,988
103,10126,0,10126,10126,11,988
104,9790,0,9790,9790,11,988
105,9880,0,9880,9880,11,988
106,9633,0,9633,9633,11,988
107,9742,0,9742,9742,11,988
108,9973,0,9973,9973,11,988
109,9773,0,9773,9773,11,988
110,9903,0,9903,9903,11,988
111,9679,0,9679,9679,11,988
112,9978,0,9978,9978,11,988
113,9846,0,9846,9846,11,988
114,9718,0,9718,9718,11,988
115,9751,0,9751,9751,11,988
116,10017,0,10017,10017,11,988
117,9630,0,9630,9630,11,988
118,9642,0,9642,9642,11,988
119,9677,0,9677,9677,11,988
120,9536,0,9536,9536,11,988
121,9746,0,9746,9746,11,988
122,9696,0,9696,9696,11,988
123,9677,0,9677,9677,11,988
124,10055,0,10055,10055,11,988
125,9629,0,9629,9629,11,988
126,9164,0,9164,9164,11,988
127,9750,0,9750,9750,11,988
128,10091,0,10091,10091,11,988
129,9674,0,9674,9674,11,988
130,9728,0,9728,9728,11,988
131,9729,0,9729,9729,11,988
132,9618,0,9618,9618,11,988
133,9613,0,9613,9613,11,988
134,9743,0,9743,9743,11,988
135,9700,0,9700,9700,11,988
136,9645,0,9645,9645,11,988
137,9925,0,9925,9925,11,988
138,9645,0,9645,9645,11,988
139,9626,0,9626,9626,11,988
140,9670,0,9670,9670,11,988
141,9662,0,9662,9662,11,988
142,9585,0,9585,9585,11,988
143,9733,0,9733,9733,11,988
144,9672,0,9672,9672,11,988
145,9647,0,9647,9647,11,988
146,9710,0,9710,9710,11,988
147,9867,0,9867,9867,11,988
148,9678,0,9678,9678,11,988
149,9816,0,9816,9816,11,988
150,9756,0,9756,9756,11,988
151,9766,0,9766,9766,11,988
152,10003,0,10003,10003,11,988
153,10363,0,10363,10363,11,988
154,9832,0,9832,9832,11,988
155,9827,0,9827,9827,11,988
156,9610,0,9610,9610,11,988
157,9635,0,9635,9635,11,988
158,9700,0,9700,9700,11,988
159,9565,0,9565,9565,11,988
160,9605,0,9605,9605,11,988
161,9699,0,9699,9699,11,988
162,9793,0,9793,9793,11,988
163,9565,0,9565,9565,11,988
164,9732,0,9732,9732,11,988
165,9597,0,9597,9597,11,988
166,9717,0,9717,9717,11,988
167,9686,0,9686,9686,11,988
168,9642,0,9642,9642,11,988
169,9571,0,9571,9571,11,988
170,9722,0,9722,9722,11,988
171,9609,0,9609,9609,11,988
172,9741,0,9741,9741,11,988
173,9641,0,9641,9641,11,988
174,9611,0,9611,9611,11,988
175,9637,0,9637,9637,11,988
176,9599,0,9599,9599,11,988
177,9616,0,9616,9616,11,988
178,9737,0,9737,9737,11,988
179,9642,0,9642,9642,11,988
180,9755,0,9755,9755,11,988
181,9934,0,9934,9934,11,988
182,11426,0,11426,11426,11,988
183,11204,0,11204,11204,11,988
184,9774,0,9774,9774,11,988
185,11053,0,11053,11053,11,988
186,10915,0,10915,10915,11,988
187,9923,0,9923,9923,11,988
188,9773,0,9773,9773,11,988
189,9774,0,9774,9774,11,988
190,9688,0,9688,9688,11,988
191,9888,0,9888,9888,11,988
192,9835,0,9835,9835,11,988
193,9553,0,9553,9553,11,988
194,9807,0,9807,9807,11,988
195,9781,0,9781,9781,11,988
196,9639,0,9639,9639,11,988
197,9746,0,9746,9746,11,988
198,9748,0,9748,9748,11,988
199,9751,0,9751,9751,11,988
200,9784,0,9784,9784,11,988
201,9669,0,9669,9669,11,988
202,9607,0,9607,9607,11,988
203,10635,0,10635,10635,11,988
204,10153,0,10153,10153,11,988
205,9904,0,9904,9904,11,988
206,10053,0,10053,10053,11,988
207,9771,0,9771,9771,11,988
208,9788,0,9788,9788,11,988
209,9757,0,9757,9757,11,988
210,9837,0,9837,9837,11,988
211,9773,0,9773,9773,11,988
212,9860,0,9860,9860,11,988
213,9802,0,9802,9802,11,988
214,9731,0,9731,9731,11,988
215,9857,0,9857,9857,11,988
216,9895,0,9895,9895,11,988
217,9861,0,9861,9861,11,988
218,9842,0,9842,9842,11,988
219,10023,0,10023,10023,11,988
220,9813,0,9813,9813,11,988
221,9769,0,9769,9769,11,988
222,9854,0,9854,9854,11,988
223,9879,0,9879,9879,11,988
224,9782,0,9782,9782,11,988
225,9910,0,9910,9910,11,988
226,9842,0,9842,9842,11,988
227,9821,0,9821,9821,11,988
228,9850,0,9850,9850,11,988
229,9859,0,9859,9859,11,988
230,9884,0,9884,9884,11,988
231,9966,0,9966,9966,11,988
232,9860,0,9860,9860,11,988
233,9744,0,9744,9744,11,988
234,9946,0,9946,9946,11,988
235,9721,0,9721,9721,11,988
236,9784,0,9784,9784,11,988
237,9867,0,9867,9867,11,988
238,9764,0,9764,9764,11,988
239,9849,0,9849,9849,11,988
240,9871,0,9871,9871,11,988
241,10054,0,10054,10054,11,988
242,9857,0,9857,9857,11,988
243,9742,0,9742,9742,11,988
244,9774,0,9774,9774,11,988
245,9764,0,9764,9764,11,988
246,9902,0,9902,9902,11,988
247,9814,0,9814,9814,11,988
248,9854,0,9854,9854,11,988
249,9787,0,9787,9787,11,988
250,9830,0,9830,9830,11,988
251,9828,0,9828,9828,11,988
252,9857,0,9857,9857,11,988
253,9893,0,9893,9893,11,988
254,10095,0,10095,10095,11,988
255,9774,0,9774,9774,11,988
256,9946,0,9946,9946,11,988
257,9625,0,9625,9625,11,988
258,9756,0,9756,9756,11,988
259,9704,0,9704,9704,11,988
260,9738,0,9738,9738,11,988
261,9750,0,9750,9750,11,988
262,9733,0,9733,9733,11,988
263,9751,0,9751,9751,11,988
264,9799,0,9799,9799,11,988
265,9690,0,9690,9690,11,988
266,9785,0,9785,9785,11,988
267,9817,0,9817,9817,11,988
268,9711,0,9711,9711,11,988
269,9658,0,9658,9658,11,988
270,9913,0,9913,9913,11,988
271,9714,0,9714,9714,11,988
272,9601,0,9601,9601,11,988
273,9625,0,9625,9625,11,988
274,9646,0,9646,9646,11,988
275,9826,0,9826,9826,11,988
276,9645,0,9645,9645,11,988
277,9536,0,9536,9536,11,988
278,9897,0,9897,9897,11,988
279,9660,0,9660,9660,11,988
280,9733,0,9733,9733,11,988
281,9583,0,9583,9583,11,988
282,9622,0,9622,9622,11,988
283,9522,0,9522,9522,11,988
284,9630,0,9630,9630,11,988
285,9868,0,9868,9868,11,988
286,9577,0,9577,9577,11,988
287,9896,0,9896,9896,11,988
288,9937,0,9937,9937,11,988
289,37205,0,37205,37205,11,988
290,15199,0,15199,15199,11,988
291,10502,0,10502,10502,11,988
292,33215,0,33215,33215,11,988
293,12222,0,12222,12222,11,988
294,19565,0,19565,19565,11,988
295,30482,0,30482,30482,11,988
296,9729,0,9729,9729,11,988
297,9871,0,9871,9871,11,988
298,9731,0,9731,9731,11,988
299,9838,0,9838,9838,11,988
300,9720,0,9720,9720,11,988
301,9611,0,9611,9611,11,988
302,9763,0,9763,9763,11,988
303,9641,0,9641,9641,11,988
304,9844,0,9844,9844,11,988
305,9613,0,9613,9613,11,988
306,9632,0,9632,9632,11,988
307,9527,0,9527,9527,11,988
308,9608,0,9608,9608,11,988
309,9716,0,9716,9716,11,988
310,9525,0,9525,9525,11,988
311,9635,0,9635,9635,11,988
312,9878,0,9878,9878,11,988
313,9587,0,9587,9587,11,988
314,9677,0,9677,9677,11,988
315,9555,0,9555,9555,11,988
316,9509,0,9509,9509,11,988
317,9802,0,9802,9802,11,988
318,9661,0,9661,9661,11,988
319,9574,0,9574,9574,11,988
320,9653,0,9653,9653,11,988
321,9584,0,9584,9584,11,988
322,9485,0,9485,9485,11,988
323,9660,0,9660,9660,11,988
324,9635,0,9635,9635,11,988
325,9635,0,9635,9635,11,988
326,14142,0,14142,14142,11,988
327,9769,0,9769,9769,11,988
328,9707,0,9707,9707,11,988
329,9671,0,9671,9671,11,988
330,9646,0,9646,9646,11,988
331,9611,0,9611,9611,11,988
332,9604,0,9604,9604,11,988
333,9596,0,9596,9596,11,988
334,9547,0,9547,9547,11,988
335,9773,0,9773,9773,11,988
336,9616,0,9616,9616,11,988
337,9559,0,9559,9559,11,988
338,9663,0,9663,9663,11,988
339,9692,0,9692,9692,11,988
340,9546,0,9546,9546,11,988
341,9726,0,9726,9726,11,988
342,9609,0,9609,9609,11,988
343,9604,0,9604,9604,11,988
344,9612,0,9612,9612,11,988
345,9668,0,9668,9668,11,988
346,9696,0,9696,9696,11,988
347,9795,0,9795,9795,11,988
348,9581,0,9581,9581,11,988
349,9564,0,9564,9564,11,988
350,9631,0,9631,9631,11,988
351,9655,0,9655,9655,11,988
352,9614,0,9614,9614,11,988
353,9598,0,9598,9598,11,988
354,9719,0,9719,9719,11,988
355,9660,0,9660,9660,11,988
356,9531,0,9531,9531,11,988
357,9568,0,9568,9568,11,988
358,9511,0,9511,9511,11,988
359,9591,0,9591,9591,11,988
360,9500,0,9500,9500,11,988
361,9639,0,9639,9639,11,988
362,9734,0,9734,9734,11,988
363,9567,0,9567,9567,11,988
364,9640,0,9640,9640,11,988
365,9516,0,9516,9516,11,988
366,9550,0,9550,9550,11,988
367,9562,0,9562,9562,11,988
368,9628,0,9628,9628,11,988
369,9496,0,9496,9496,11,988
370,9595,0,9595,9595,11,988
371,9707,0,9707,9707,11,988
372,9561,0,9561,9561,11,988
373,9504,0,9504,9504,11,988
374,9675,0,9675,9675,11,988
375,9635,0,9635,9635,11,988
376,9705,0,9705,9705,11,988
377,9700,0,9700,9700,11,988
378,9653,0,9653,9653,11,988
379,9553,0,9553,9553,11,988
380,9618,0,9618,9618,11,988
381,9548,0,9548,9548,11,988
382,9541,0,9541,9541,11,988
383,9656,0,9656,9656,11,988
384,9677,0,9677,9677,11,988
385,9560,0,9560,9560,11,988
386,9719,0,9719,9719,11,988
387,9662,0,9662,9662,11,988
388,9636,0,9636,9636,11,988
389,9634,0,9634,9634,11,988
390,9623,0,9623,9623,11,988
391,9677,0,9677,9677,11,988
392,9699,0,9699,9699,11,988
393,9575,0,9575,9575,11,988
394,9627,0,9627,9627,11,988
395,9610,0,9610,9610,11,988
396,9606,0,9606,9606,11,988
397,9550,0,9550,9550,11,988
398,9633,0,9633,9633,11,988
399,9640,0,9640,9640,11,988
400,9545,0,9545,9545,11,988
401,9643,0,9643,9643,11,988
402,9698,0,9698,9698,11,988
403,9594,0,9594,9594,11,988
404,9649,0,9649,9649,11,988
