count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,success
51,173340,0,173340,173340,0,0,0
52,171991,0,171991,171991,0,0,1
53,1342484,0,1342484,1342484,0,0,0
54,833703,0,833703,833703,0,0,0
55,329181,0,329181,329181,0,0,1
56,1135683,0,1135683,1135683,0,0,1
57,628612,0,628612,628612,0,0,0
58,124903,0,124903,124903,0,0,1
59,127646,0,127646,127646,0,0,1
60,839864,0,839864,839864,0,0,0
61,327377,0,327377,327377,0,0,1
62,180379,0,180379,180379,0,0,0
63,115024,0,115024,115024,0,0,0
64,142068,0,142068,142068,0,0,1
65,170911,0,170911,170911,0,0,0
66,574121,0,574121,574121,0,0,0
67,66716,0,66716,66716,0,0,1
68,1921901,0,1921901,1921901,0,0,0
69,1414737,0,1414737,1414737,0,0,0
70,910111,0,910111,910111,0,0,0
71,406660,0,406660,406660,0,0,1
72,341166,0,341166,341166,0,0,0
73,464602,0,464602,464602,0,0,1
74,133844,0,133844,133844,0,0,1
75,64636,0,64636,64636,0,0,1
76,204173,0,204173,204173,0,0,1
77,849991,0,849991,849991,0,0,1
78,343066,0,343066,343066,0,0,0
79,1343610,0,1343610,1343610,0,0,0
80,836382,0,836382,836382,0,0,1
81,332239,0,332239,332239,0,0,1
82,149462,0,149462,149462,0,0,0
83,816278,0,816278,816278,0,0,1
84,307839,0,307839,307839,0,0,0
85,107120,0,107120,107120,0,0,0
86,199863,0,199863,199863,0,0,0
87,1007973,0,1007973,1007973,0,0,0
88,497530,0,497530,497530,0,0,0
89,91013,0,91013,91013,0,0,1
90,126130,0,126130,126130,0,0,0
91,173946,0,173946,173946,0,0,0
92,142301,0,142301,142301,0,0,0
93,599416,0,599416,599416,0,0,1
94,129887,0,129887,129887,0,0,0
95,588095,0,588095,588095,0,0,0
96,80893,0,80893,80893,0,0,1
97,181108,0,181108,181108,0,0,0
98,240176,0,240176,240176,0,0,1
99,130973,0,130973,130973,0,0,0
100,556206,0,556206,556206,0,0,0
101,44093,0,44093,44093,0,0,0
102,371106,0,371106,371106,0,0,0
103,156393,0,156393,156393,0,0,1
104,642861,0,642861,642861,0,0,1
105,133878,0,133878,133878,0,0,0
106,153054,0,153054,153054,0,0,0
107,456539,0,456539,456539,0,0,1
108,146944,0,146944,146944,0,0,0
109,308809,0,308809,308809,0,0,0
110,96043,0,96043,96043,0,0,1
111,1419170,0,1419170,1419170,0,0,0
112,913781,0,913781,913781,0,0,0
113,409303,0,409303,409303,0,0,1
114,54403,0,54403,54403,0,0,1
115,625096,0,625096,625096,0,0,0
116,117550,0,117550,117550,0,0,0
117,500011,0,500011,500011,0,0,0
118,86043,0,86043,86043,0,0,0
119,685883,0,685883,685883,0,0,1
120,179724,0,179724,179724,0,0,1
121,120894,0,120894,120894,0,0,1
122,228860,0,228860,228860,0,0,1
