count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,success
51,369613,0,369613,369613,0,0,1
52,1178394,0,1178394,1178394,0,0,1
53,670996,0,670996,670996,0,0,0
54,166775,0,166775,166775,0,0,1
55,119813,0,119813,119813,0,0,1
56,114979,0,114979,114979,0,0,0
57,237618,0,237618,237618,0,0,1
58,54128,0,54128,54128,0,0,0
59,1916163,0,1916163,1916163,0,0,1
60,1408633,0,1408633,1408633,0,0,0
61,904301,0,904301,904301,0,0,0
62,400673,0,400673,400673,0,0,0
63,672509,0,672509,672509,0,0,1
64,165203,0,165203,165203,0,0,1
65,1748602,0,1748602,1748602,0,0,0
66,1244132,0,1244132,1244132,0,0,1
67,740365,0,740365,740365,0,0,1
68,234427,0,234427,234427,0,0,1
69,788951,0,788951,788951,0,0,0
70,280752,0,280752,280752,0,0,0
71,86779,0,86779,86779,0,0,1
72,98879,0,98879,98879,0,0,0
73,408374,0,408374,408374,0,0,0
74,397390,0,397390,397390,0,0,1
75,403556,0,403556,403556,0,0,1
76,123337,0,123337,123337,0,0,1
77,413970,0,413970,413970,0,0,1
78,154369,0,154369,154369,0,0,1
79,57964,0,57964,57964,0,0,1
80,466479,0,466479,466479,0,0,1
81,85709,0,85709,85709,0,0,1
82,185872,0,185872,185872,0,0,0
83,171109,0,171109,171109,0,0,0
84,101272,0,101272,101272,0,0,1
85,217398,0,217398,217398,0,0,1
86,146712,0,146712,146712,0,0,1
87,238133,0,238133,238133,0,0,0
88,130071,0,130071,130071,0,0,1
89,317506,0,317506,317506,0,0,0
90,260066,0,260066,260066,0,0,0
91,147422,0,147422,147422,0,0,1
92,200719,0,200719,200719,0,0,1
93,333003,0,333003,333003,0,0,1
94,102174,0,102174,102174,0,0,0
95,80368,0,80368,80368,0,0,1
96,193589,0,193589,193589,0,0,1
97,218178,0,218178,218178,0,0,0
98,118456,0,118456,118456,0,0,0
99,111829,0,111829,111829,0,0,1
100,167113,0,167113,167113,0,0,0
101,147118,0,147118,147118,0,0,0
102,187975,0,187975,187975,0,0,0
103,172448,0,172448,172448,0,0,0
104,174998,0,174998,174998,0,0,1
105,163211,0,163211,163211,0,0,1
106,634476,0,634476,634476,0,0,1
107,114076,0,114076,114076,0,0,1
108,132039,0,132039,132039,0,0,1
109,161916,0,161916,161916,0,0,1
110,111678,0,111678,111678,0,0,0
111,1755248,0,1755248,1755248,0,0,0
112,1250685,0,1250685,1250685,0,0,1
113,746907,0,746907,746907,0,0,1
114,240782,0,240782,240782,0,0,0
115,109922,0,109922,109922,0,0,1
116,157900,0,157900,157900,0,0,1
117,97965,0,97965,97965,0,0,1
118,947837,0,947837,947837,0,0,1
119,442733,0,442733,442733,0,0,1
120,147454,0,147454,147454,0,0,0
121,423300,0,423300,423300,0,0,1
122,173849,0,173849,173849,0,0,0
123,418334,0,418334,418334,0,0,0
124,153727,0,153727,153727,0,0,0
125,70514,0,70514,70514,0,0,1
126,920842,0,920842,920842,0,0,1
127,415997,0,415997,415997,0,0,0
128,187100,0,187100,187100,0,0,0
129,635767,0,635767,635767,0,0,1
130,129365,0,129365,129365,0,0,1
131,301104,0,301104,301104,0,0,1
132,150430,0,150430,150430,0,0,0
133,85207,0,85207,85207,0,0,0
134,166915,0,166915,166915,0,0,0
135,259303,0,259303,259303,0,0,1
136,172229,0,172229,172229,0,0,1
137,304398,0,304398,304398,0,0,1
138,280607,0,280607,280607,0,0,0
139,399740,0,399740,399740,0,0,1
140,94667,0,94667,94667,0,0,0
141,326067,0,326067,326067,0,0,1
142,261144,0,261144,261144,0,0,1
143,2964322,0,2964322,2964322,0,0,0
144,2456963,0,2456963,2456963,0,0,1
145,1951790,0,1951790,1951790,0,0,1
146,1456825,0,1456825,1456825,0,0,1
147,952451,0,952451,952451,0,0,0
148,468397,0,468397,468397,0,0,0
149,1394201,0,1394201,1394201,0,0,0
150,889165,0,889165,889165,0,0,0
151,384856,0,384856,384856,0,0,0
152,919493,0,919493,919493,0,0,0
153,415085,0,415085,415085,0,0,1
154,165114,0,165114,165114,0,0,1
155,374140,0,374140,374140,0,0,1
156,164577,0,164577,164577,0,0,1
157,243823,0,243823,243823,0,0,1
158,606833,0,606833,606833,0,0,1
159,100429,0,100429,100429,0,0,1
160,515178,0,515178,515178,0,0,0
161,64853,0,64853,64853,0,0,0
162,127783,0,127783,127783,0,0,0
163,515069,0,515069,515069,0,0,1
164,153916,0,153916,153916,0,0,0
165,2323165,0,2323165,2323165,0,0,1
166,1817339,0,1817339,1817339,0,0,0
167,1310227,0,1310227,1310227,0,0,1
168,805249,0,805249,805249,0,0,1
169,313951,0,313951,313951,0,0,0
170,1252184,0,1252184,1252184,0,0,1
171,745483,0,745483,745483,0,0,1
172,240754,0,240754,240754,0,0,1
173,314774,0,314774,314774,0,0,0
174,707097,0,707097,707097,0,0,1
175,187622,0,187622,187622,0,0,1
176,833712,0,833712,833712,0,0,0
177,329892,0,329892,329892,0,0,1
178,140462,0,140462,140462,0,0,0
179,122895,0,122895,122895,0,0,0
180,184419,0,184419,184419,0,0,1
181,600421,0,600421,600421,0,0,0
182,86633,0,86633,86633,0,0,1
183,2460479,0,2460479,2460479,0,0,0
184,1956216,0,1956216,1956216,0,0,0
185,1450764,0,1450764,1450764,0,0,1
186,947144,0,947144,947144,0,0,0
187,443175,0,443175,443175,0,0,1
188,50922,0,50922,50922,0,0,1
189,301342,0,301342,301342,0,0,1
190,375730,0,375730,375730,0,0,1
191,255960,0,255960,255960,0,0,1
192,179507,0,179507,179507,0,0,0
193,94296,0,94296,94296,0,0,1
194,64598,0,64598,64598,0,0,1
195,107701,0,107701,107701,0,0,0
196,1887669,0,1887669,1887669,0,0,0
197,1382435,0,1382435,1382435,0,0,1
198,878827,0,878827,878827,0,0,0
199,374988,0,374988,374988,0,0,1
200,137632,0,137632,137632,0,0,0
201,1456514,0,1456514,1456514,0,0,0
202,951831,0,951831,951831,0,0,1
203,447797,0,447797,447797,0,0,1
204,154064,0,154064,154064,0,0,0
205,338163,0,338163,338163,0,0,1
206,2225853,0,2225853,2225853,0,0,1
207,1721623,0,1721623,1721623,0,0,0
208,1215570,0,1215570,1215570,0,0,1
209,711406,0,711406,711406,0,0,0
210,204697,0,204697,204697,0,0,0
211,136531,0,136531,136531,0,0,0
212,458850,0,458850,458850,0,0,0
213,44536,0,44536,44536,0,0,0
214,239108,0,239108,239108,0,0,1
215,70588,0,70588,70588,0,0,1
216,92612,0,92612,92612,0,0,0
217,135185,0,135185,135185,0,0,0
218,697169,0,697169,697169,0,0,0
219,190109,0,190109,190109,0,0,1
220,354145,0,354145,354145,0,0,1
221,209349,0,209349,209349,0,0,0
222,194286,0,194286,194286,0,0,0
223,126132,0,126132,126132,0,0,1
224,175796,0,175796,175796,0,0,0
225,1469725,0,1469725,1469725,0,0,1
226,963234,0,963234,963234,0,0,1
227,458740,0,458740,458740,0,0,1
228,61922,0,61922,61922,0,0,1
229,1535905,0,1535905,1535905,0,0,1
230,1029475,0,1029475,1029475,0,0,1
231,524878,0,524878,524878,0,0,0
232,182177,0,182177,182177,0,0,1
233,486761,0,486761,486761,0,0,1
234,126878,0,126878,126878,0,0,0
235,313766,0,313766,313766,0,0,1
236,86105,0,86105,86105,0,0,0
237,93954,0,93954,93954,0,0,1
238,121433,0,121433,121433,0,0,1
239,952381,0,952381,952381,0,0,1
240,444202,0,444202,444202,0,0,0
241,204234,0,204234,204234,0,0,1
242,810788,0,810788,810788,0,0,0
243,303038,0,303038,303038,0,0,1
244,1586260,0,1586260,1586260,0,0,1
245,1079792,0,1079792,1079792,0,0,0
246,575021,0,575021,575021,0,0,1
247,68031,0,68031,68031,0,0,1
248,712821,0,712821,712821,0,0,0
249,207276,0,207276,207276,0,0,1
250,237103,0,237103,237103,0,0,1
251,235343,0,235343,235343,0,0,0
252,164253,0,164253,164253,0,0,0
253,119645,0,119645,119645,0,0,0
254,75610,0,75610,75610,0,0,0
255,113757,0,113757,113757,0,0,0
256,132266,0,132266,132266,0,0,1
257,328578,0,328578,328578,0,0,0
258,617063,0,617063,617063,0,0,1
259,106365,0,106365,106365,0,0,0
260,746390,0,746390,746390,0,0,1
261,229569,0,229569,229569,0,0,0
262,886474,0,886474,886474,0,0,0
263,382256,0,382256,382256,0,0,1
264,1029269,0,1029269,1029269,0,0,0
265,512713,0,512713,512713,0,0,0
266,78999,0,78999,78999,0,0,0
267,106040,0,106040,106040,0,0,0
268,552520,0,552520,552520,0,0,0
269,47458,0,47458,47458,0,0,1
270,268028,0,268028,268028,0,0,0
271,107935,0,107935,107935,0,0,0
272,740196,0,740196,740196,0,0,0
273,235327,0,235327,235327,0,0,1
274,391528,0,391528,391528,0,0,1
275,979317,0,979317,979317,0,0,1
276,473272,0,473272,473272,0,0,0
277,60889,0,60889,60889,0,0,0
278,1466373,0,1466373,1466373,0,0,0
279,959594,0,959594,959594,0,0,0
280,455642,0,455642,455642,0,0,1
281,57328,0,57328,57328,0,0,0
282,282908,0,282908,282908,0,0,0
283,530055,0,530055,530055,0,0,1
284,24993,0,24993,24993,0,0,1
285,204439,0,204439,204439,0,0,0
286,557064,0,557064,557064,0,0,0
287,52341,0,52341,52341,0,0,0
288,391279,0,391279,391279,0,0,1
289,725175,0,725175,725175,0,0,0
290,218202,0,218202,218202,0,0,0
291,232382,0,232382,232382,0,0,0
292,425263,0,425263,425263,0,0,1
293,81680,0,81680,81680,0,0,0
294,685872,0,685872,685872,0,0,0
295,181347,0,181347,181347,0,0,1
296,710411,0,710411,710411,0,0,1
297,202931,0,202931,202931,0,0,0
298,170568,0,170568,170568,0,0,1
299,101697,0,101697,101697,0,0,1
300,195881,0,195881,195881,0,0,1
301,138816,0,138816,138816,0,0,0
302,70277,0,70277,70277,0,0,1
303,131649,0,131649,131649,0,0,0
304,126933,0,126933,126933,0,0,1
