count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,ts_emit_ns,success
51,1337023,0,1337023,1337023,0,0,1785319651387606625,0
52,327837,0,327837,327837,0,0,1785319651388615918,0
53,221454,0,221454,221454,0,0,1785319651389731735,1
54,218015,0,218015,218015,0,0,1785319651390779516,1
55,226965,0,226965,226965,0,0,1785319651391805297,0
56,172365,0,172365,172365,0,0,1785319651392815934,0
57,180691,0,180691,180691,0,0,1785319651393846633,0
58,978173,0,978173,978173,0,0,1785319651394873568,0
59,165955,0,165955,165955,0,0,1785319651395885240,0
60,157139,0,157139,157139,0,0,1785319651396896873,1
61,367392,0,367392,367392,0,0,1785319651397918599,0
62,1144531,0,1144531,1144531,0,0,1785319651398929104,0
63,131300,0,131300,131300,0,0,1785319651399942412,1
64,502345,0,502345,502345,0,0,1785319651400953439,1
65,255573,0,255573,255573,0,0,1785319651401962854,1
66,118625,0,118625,118625,0,0,1785319651402977101,1
67,141774,0,141774,141774,0,0,1785319651404002914,1
68,228116,0,228116,228116,0,0,1785319651405050118,1
69,135046,0,135046,135046,0,0,1785319651406142633,1
70,2017804,0,2017804,2017804,0,0,1785319651407167526,0
71,1007258,0,1007258,1007258,0,0,1785319651408178149,0
72,175596,0,175596,175596,0,0,1785319651409185038,1
73,227731,0,227731,227731,0,0,1785319651410197109,1
74,309896,0,309896,309896,0,0,1785319651411229196,0
75,347179,0,347179,347179,0,0,1785319651412260820,0
76,109000,0,109000,109000,0,0,1785319651413271653,1
77,810069,0,810069,810069,0,0,1785319651414282290,0
78,693822,0,693822,693822,0,0,1785319651415295677,0
79,543169,0,543169,543169,0,0,1785319651416306458,0
80,163593,0,163593,163593,0,0,1785319651417324920,1
81,161497,0,161497,161497,0,0,1785319651418352730,0
82,259458,0,259458,259458,0,0,1785319651419385358,1
83,569423,0,569423,569423,0,0,1785319651420403350,0
84,136041,0,136041,136041,0,0,1785319651421415166,0
85,414487,0,414487,414487,0,0,1785319651422432113,0
86,507494,0,507494,507494,0,0,1785319651423450807,0
87,186759,0,186759,186759,0,0,1785319651424490869,1
88,394977,0,394977,394977,0,0,1785319651425525439,1
89,1506524,0,1506524,1506524,0,0,1785319651426565811,0
90,480282,0,480282,480282,0,0,1785319651427592279,1
91,188858,0,188858,188858,0,0,1785319651428599105,1
92,174407,0,174407,174407,0,0,1785319651429610504,0
93,223028,0,223028,223028,0,0,1785319651430627858,0
94,180577,0,180577,180577,0,0,1785319651431651752,1
95,425101,0,425101,425101,0,0,1785319651432683159,1
96,475087,0,475087,475087,0,0,1785319651433695695,1
97,156352,0,156352,156352,0,0,1785319651434707013,1
98,235639,0,235639,235639,0,0,1785319651435720968,0
99,236568,0,236568,236568,0,0,1785319651436736196,0
100,135057,0,135057,135057,0,0,1785319651437749530,1
101,223445,0,223445,223445,0,0,1785319651438765460,0
102,598732,0,598732,598732,0,0,1785319651439787673,0
103,314630,0,314630,314630,0,0,1785319651440799843,1
104,355447,0,355447,355447,0,0,1785319651441811069,0
105,1264154,0,1264154,1264154,0,0,1785319651442824871,0
106,253633,0,253633,253633,0,0,1785319651443835508,0
107,210607,0,210607,210607,0,0,1785319651444962794,1
108,186791,0,186791,186791,0,0,1785319651446002600,1
109,1615076,0,1615076,1615076,0,0,1785319651447045703,1
110,586408,0,586408,586408,0,0,1785319651448074425,1
111,1253332,0,1253332,1253332,0,0,1785319651449084528,1
112,233479,0,233479,233479,0,0,1785319651450104535,0
113,475049,0,475049,475049,0,0,1785319651451114925,1
114,213046,0,213046,213046,0,0,1785319651452127947,1
115,162435,0,162435,162435,0,0,1785319651453184624,0
116,157270,0,157270,157270,0,0,1785319651454217317,1
117,544786,0,544786,544786,0,0,1785319651455235155,1
118,1627892,0,1627892,1627892,0,0,1785319651456246218,1
119,615337,0,615337,615337,0,0,1785319651457258856,0
120,282975,0,282975,282975,0,0,1785319651458267464,1
121,190518,0,190518,190518,0,0,1785319651459290168,0
122,564990,0,564990,564990,0,0,1785319651460329440,1
123,186903,0,186903,186903,0,0,1785319651461361565,1
124,147093,0,147093,147093,0,0,1785319651462393114,1
125,135333,0,135333,135333,0,0,1785319651463415953,1
126,718151,0,718151,718151,0,0,1785319651464428555,0
127,132724,0,132724,132724,0,0,1785319651465444710,0
128,354947,0,354947,354947,0,0,1785319651466462665,0
129,150725,0,150725,150725,0,0,1785319651467495871,0
130,172673,0,172673,172673,0,0,1785319651468507187,0
131,143609,0,143609,143609,0,0,1785319651469521068,1
132,142064,0,142064,142064,0,0,1785319651470561070,1
133,775802,0,775802,775802,0,0,1785319651471592216,0
134,211907,0,211907,211907,0,0,1785319651472650351,1
135,206245,0,206245,206245,0,0,1785319651473679612,1
136,160806,0,160806,160806,0,0,1785319651474717659,0
137,161573,0,161573,161573,0,0,1785319651475759849,1
138,129238,0,129238,129238,0,0,1785319651476803800,1
139,225245,0,225245,225245,0,0,1785319651477834069,1
140,173692,0,173692,173692,0,0,1785319651478866149,1
141,238083,0,238083,238083,0,0,1785319651479896560,0
142,236279,0,236279,236279,0,0,1785319651480923104,1
143,298663,0,298663,298663,0,0,1785319651481957224,0
144,130436,0,130436,130436,0,0,1785319651482966918,1
145,170177,0,170177,170177,0,0,1785319651483986288,0
146,310672,0,310672,310672,0,0,1785319651485012388,0
147,262417,0,262417,262417,0,0,1785319651486030158,1
148,226194,0,226194,226194,0,0,1785319651487059197,0
149,333977,0,333977,333977,0,0,1785319651488099101,1
150,857619,0,857619,857619,0,0,1785319651489120130,1
151,148128,0,148128,148128,0,0,1785319651490146505,1
152,1009262,0,1009262,1009262,0,0,1785319651491156942,0
153,128141,0,128141,128141,0,0,1785319651492167517,0
154,277790,0,277790,277790,0,0,1785319651493194454,1
155,209183,0,209183,209183,0,0,1785319651494231377,0
156,503027,0,503027,503027,0,0,1785319651495269954,0
157,206336,0,206336,206336,0,0,1785319651496301048,0
158,186205,0,186205,186205,0,0,1785319651497313076,1
159,175786,0,175786,175786,0,0,1785319651498329956,1
160,583502,0,583502,583502,0,0,1785319651499365264,1
161,148552,0,148552,148552,0,0,1785319651500392794,1
162,251653,0,251653,251653,0,0,1785319651501414791,1
163,491734,0,491734,491734,0,0,1785319651502467213,1
164,246399,0,246399,246399,0,0,1785319651503497641,0
165,368466,0,368466,368466,0,0,1785319651504522515,0
166,435639,0,435639,435639,0,0,1785319651505537621,0
167,222533,0,222533,222533,0,0,1785319651506548110,0
168,333637,0,333637,333637,0,0,1785319651507753498,0
169,173222,0,173222,173222,0,0,1785319651508797268,1
170,174864,0,174864,174864,0,0,1785319651509835397,1
171,1026546,0,1026546,1026546,0,0,1785319651510858165,0
172,114925,0,114925,114925,0,0,1785319651511893042,1
173,813086,0,813086,813086,0,0,1785319651512913797,1
174,128371,0,128371,128371,0,0,1785319651513931838,0
175,190212,0,190212,190212,0,0,1785319651514944742,1
176,275656,0,275656,275656,0,0,1785319651515977966,1
177,171070,0,171070,171070,0,0,1785319651517001565,1
178,204035,0,204035,204035,0,0,1785319651518012890,0
179,863924,0,863924,863924,0,0,1785319651519029427,1
180,993091,0,993091,993091,0,0,1785319651520042511,0
181,179609,0,179609,179609,0,0,1785319651521052293,1
182,163722,0,163722,163722,0,0,1785319651522112180,0
183,1156563,0,1156563,1156563,0,0,1785319651523148078,1
184,147351,0,147351,147351,0,0,1785319651524157376,1
185,129086,0,129086,129086,0,0,1785319651525169285,0
186,161696,0,161696,161696,0,0,1785319651526182515,0
