count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,ts_emit_ns,success
51,246827,0,246827,246827,0,0,1785319624647272401,0
52,193930,0,193930,193930,0,0,1785319624648301568,0
53,132246,0,132246,132246,0,0,1785319624649331988,1
54,156725,0,156725,156725,0,0,1785319624650357459,0
55,182071,0,182071,182071,0,0,1785319624651377390,1
56,186647,0,186647,186647,0,0,1785319624652397476,0
57,272172,0,272172,272172,0,0,1785319624653426617,0
58,126220,0,126220,126220,0,0,1785319624654447317,0
59,204721,0,204721,204721,0,0,1785319624655472383,1
60,304062,0,304062,304062,0,0,1785319624656499619,1
61,191074,0,191074,191074,0,0,1785319624657519995,1
62,262196,0,262196,262196,0,0,1785319624658548952,0
63,256605,0,256605,256605,0,0,1785319624659581924,1
64,122656,0,122656,122656,0,0,1785319624660651142,0
65,299630,0,299630,299630,0,0,1785319624661683205,0
66,170364,0,170364,170364,0,0,1785319624662709580,1
67,233127,0,233127,233127,0,0,1785319624663739149,0
68,164224,0,164224,164224,0,0,1785319624664756133,1
69,361853,0,361853,361853,0,0,1785319624665770913,0
70,176892,0,176892,176892,0,0,1785319624666788198,0
71,302069,0,302069,302069,0,0,1785319624667806828,0
72,1043385,0,1043385,1043385,0,0,1785319624668820599,1
73,256088,0,256088,256088,0,0,1785319624669836028,0
74,882463,0,882463,882463,0,0,1785319624670847394,1
75,191500,0,191500,191500,0,0,1785319624671862435,0
76,236013,0,236013,236013,0,0,1785319624672875257,0
77,228259,0,228259,228259,0,0,1785319624673894152,0
78,152734,0,152734,152734,0,0,1785319624674918915,1
79,166507,0,166507,166507,0,0,1785319624675993499,0
80,413167,0,413167,413167,0,0,1785319624677014022,0
81,206845,0,206845,206845,0,0,1785319624678029565,0
82,355408,0,355408,355408,0,0,1785319624679040839,1
83,601635,0,601635,601635,0,0,1785319624680082330,0
84,832642,0,832642,832642,0,0,1785319624681101534,0
85,192775,0,192775,192775,0,0,1785319624682154614,0
86,775184,0,775184,775184,0,0,1785319624683188790,0
87,802819,0,802819,802819,0,0,1785319624684215377,1
88,769600,0,769600,769600,0,0,1785319624685225078,0
89,1753696,0,1753696,1753696,0,0,1785319624686234883,1
90,743996,0,743996,743996,0,0,1785319624687244657,1
91,334006,0,334006,334006,0,0,1785319624688251587,1
92,112132,0,112132,112132,0,0,1785319624689261798,1
93,578506,0,578506,578506,0,0,1785319624690273325,0
94,614147,0,614147,614147,0,0,1785319624691283742,0
95,1398936,0,1398936,1398936,0,0,1785319624692295140,1
96,389275,0,389275,389275,0,0,1785319624693304880,0
97,1291125,0,1291125,1291125,0,0,1785319624694311831,1
98,288245,0,288245,288245,0,0,1785319624695322115,1
99,749528,0,749528,749528,0,0,1785319624696329618,0
100,291853,0,291853,291853,0,0,1785319624697341601,0
101,973157,0,973157,973157,0,0,1785319624698352066,1
102,136092,0,136092,136092,0,0,1785319624699363058,0
103,202801,0,202801,202801,0,0,1785319624700375683,0
104,554130,0,554130,554130,0,0,1785319624701388250,0
105,205085,0,205085,205085,0,0,1785319624702400955,0
106,189611,0,189611,189611,0,0,1785319624703427417,0
107,406046,0,406046,406046,0,0,1785319624704440016,0
108,781674,0,781674,781674,0,0,1785319624705452381,0
109,1280677,0,1280677,1280677,0,0,1785319624706470774,1
110,269119,0,269119,269119,0,0,1785319624707482379,1
111,223003,0,223003,223003,0,0,1785319624708491911,1
112,732016,0,732016,732016,0,0,1785319624709502046,1
113,224057,0,224057,224057,0,0,1785319624710515975,1
114,552408,0,552408,552408,0,0,1785319624711532762,1
115,1617852,0,1617852,1617852,0,0,1785319624712547100,1
116,604935,0,604935,604935,0,0,1785319624713560099,1
117,308313,0,308313,308313,0,0,1785319624714569905,0
118,1831571,0,1831571,1831571,0,0,1785319624715582765,0
119,818644,0,818644,818644,0,0,1785319624716595820,1
120,616026,0,616026,616026,0,0,1785319624717608857,0
121,2127177,0,2127177,2127177,0,0,1785319624718621639,0
122,1115179,0,1115179,1115179,0,0,1785319624719633685,1
123,101668,0,101668,101668,0,0,1785319624720647229,1
124,328916,0,328916,328916,0,0,1785319624721692263,0
125,269943,0,269943,269943,0,0,1785319624722834940,1
126,298295,0,298295,298295,0,0,1785319624723864157,0
127,373069,0,373069,373069,0,0,1785319624724897121,1
128,282644,0,282644,282644,0,0,1785319624725919663,1
129,293860,0,293860,293860,0,0,1785319624726949643,0
130,467429,0,467429,467429,0,0,1785319624727969528,1
131,313462,0,313462,313462,0,0,1785319624728984760,1
132,270499,0,270499,270499,0,0,1785319624730000131,1
133,603074,0,603074,603074,0,0,1785319624731030611,1
134,379602,0,379602,379602,0,0,1785319624732048001,0
135,1166260,0,1166260,1166260,0,0,1785319624733067006,0
136,144974,0,144974,144974,0,0,1785319624734088363,1
137,502949,0,502949,502949,0,0,1785319624735097679,0
138,433908,0,433908,433908,0,0,1785319624736106681,1
139,241351,0,241351,241351,0,0,1785319624737119811,1
140,155570,0,155570,155570,0,0,1785319624738143187,0
141,1283876,0,1283876,1283876,0,0,1785319624739153968,0
142,272561,0,272561,272561,0,0,1785319624740165392,0
143,308466,0,308466,308466,0,0,1785319624741173177,0
144,108144,0,108144,108144,0,0,1785319624742189900,0
145,523534,0,523534,523534,0,0,1785319624743216118,0
146,1266366,0,1266366,1266366,0,0,1785319624744227282,1
147,256352,0,256352,256352,0,0,1785319624745237355,1
148,2790025,0,2790025,2790025,0,0,1785319624746244599,1
149,1777223,0,1777223,1777223,0,0,1785319624747257447,1
150,769270,0,769270,769270,0,0,1785319624748265450,1
151,903807,0,903807,903807,0,0,1785319624749277744,1
152,164587,0,164587,164587,0,0,1785319624750294495,1
153,235477,0,235477,235477,0,0,1785319624751318449,1
154,263759,0,263759,263759,0,0,1785319624752343547,1
155,185104,0,185104,185104,0,0,1785319624753376028,0
156,159131,0,159131,159131,0,0,1785319624754389861,0
157,84014,0,84014,84014,0,0,1785319624755408918,1
158,468175,0,468175,468175,0,0,1785319624756429691,0
159,794406,0,794406,794406,0,0,1785319624757439697,0
160,2535566,0,2535566,2535566,0,0,1785319624758451677,0
161,1511854,0,1511854,1511854,0,0,1785319624759475486,0
162,505811,0,505811,505811,0,0,1785319624760481557,0
163,708901,0,708901,708901,0,0,1785319624761492513,1
164,257391,0,257391,257391,0,0,1785319624762512529,0
165,1522597,0,1522597,1522597,0,0,1785319624763538496,1
166,508830,0,508830,508830,0,0,1785319624764552349,1
167,710343,0,710343,710343,0,0,1785319624765564342,0
168,1365392,0,1365392,1365392,0,0,1785319624766581261,0
169,346740,0,346740,346740,0,0,1785319624767599983,1
170,1685668,0,1685668,1685668,0,0,1785319624768611599,0
171,669134,0,669134,669134,0,0,1785319624769628248,1
172,205382,0,205382,205382,0,0,1785319624770635396,1
173,187057,0,187057,187057,0,0,1785319624771650077,1
174,257254,0,257254,257254,0,0,1785319624772665014,0
175,234924,0,234924,234924,0,0,1785319624773696875,0
176,156041,0,156041,156041,0,0,1785319624774718941,1
177,2525730,0,2525730,2525730,0,0,1785319624775736829,1
178,1514981,0,1514981,1514981,0,0,1785319624776747679,0
179,532497,0,532497,532497,0,0,1785319624777753880,0
180,1027099,0,1027099,1027099,0,0,1785319624778763160,0
181,150292,0,150292,150292,0,0,1785319624779772618,1
