count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,690685,0,690685,0,0
52,691833,0,691833,0,0
53,622441,0,622441,0,0
54,622757,0,622757,0,0
55,622233,0,622233,0,0
56,621551,0,621551,0,0
57,620840,0,620840,0,0
58,620625,0,620625,0,0
59,620900,0,620900,0,0
60,621628,0,621628,0,0
61,621009,0,621009,0,0
62,620355,0,620355,0,0
63,620850,0,620850,0,0
64,620030,0,620030,0,0
65,619772,0,619772,0,0
66,619560,0,619560,0,0
67,619893,0,619893,0,0
68,619453,0,619453,0,0
69,618825,0,618825,0,0
70,619333,0,619333,0,0
71,578370,0,578370,0,0
72,573565,0,573565,0,0
73,571603,0,571603,0,0
74,571161,0,571161,0,0
75,572012,0,572012,0,0
76,572652,0,572652,0,0
77,572434,0,572434,0,0
78,572283,0,572283,0,0
79,572364,0,572364,0,0
80,571948,0,571948,0,0
81,569425,0,569425,0,0
82,569362,0,569362,0,0
83,570442,0,570442,0,0
84,570324,0,570324,0,0
85,569291,0,569291,0,0
86,568319,0,568319,0,0
87,567651,0,567651,0,0
88,567020,0,567020,0,0
89,566557,0,566557,0,0
90,566642,0,566642,0,0
91,566900,0,566900,0,0
92,566006,0,566006,0,0
93,564836,0,564836,0,0
94,566324,0,566324,0,0
95,567838,0,567838,0,0
96,568821,0,568821,0,0
97,570566,0,570566,0,0
98,570957,0,570957,0,0
99,573848,0,573848,0,0
100,575323,0,575323,0,0
101,576243,0,576243,0,0
102,577029,0,577029,0,0
103,578225,0,578225,0,0
104,579578,0,579578,0,0
105,580894,0,580894,0,0
106,582089,0,582089,0,0
107,584406,0,584406,0,0
108,587282,0,587282,0,0
109,587185,0,587185,0,0
110,587142,0,587142,0,0
111,587378,0,587378,0,0
112,587307,0,587307,0,0
113,588425,0,588425,0,0
114,595639,0,595639,0,0
115,604531,0,604531,0,0
116,605376,0,605376,0,0
117,604971,0,604971,0,0
118,604611,0,604611,0,0
119,604093,0,604093,0,0
120,603703,0,603703,0,0
121,592276,0,592276,0,0
122,580678,0,580678,0,0
123,581031,0,581031,0,0
124,581079,0,581079,0,0
125,580811,0,580811,0,0
126,580572,0,580572,0,0
127,580196,0,580196,0,0
128,579835,0,579835,0,0
129,579575,0,579575,0,0
130,579351,0,579351,0,0
131,580631,0,580631,0,0
132,590194,0,590194,0,0
133,591496,0,591496,0,0
134,592513,0,592513,0,0
135,593603,0,593603,0,0
136,594740,0,594740,0,0
137,594735,0,594735,0,0
138,594261,0,594261,0,0
139,593968,0,593968,0,0
140,593920,0,593920,0,0
141,593527,0,593527,0,0
142,592872,0,592872,0,0
143,592483,0,592483,0,0
144,591814,0,591814,0,0
145,540020,0,540020,0,0
146,535531,0,535531,0,0
147,533394,0,533394,0,0
148,532052,0,532052,0,0
149,531568,0,531568,0,0
150,530873,0,530873,0,0
151,529259,0,529259,0,0
152,529020,0,529020,0,0
153,528605,0,528605,0,0
154,526879,0,526879,0,0
155,526770,0,526770,0,0
156,471929,0,471929,0,0
157,469951,0,469951,0,0
158,457447,0,457447,0,0
159,454177,0,454177,0,0
160,457190,0,457190,0,0
161,715993,0,715993,0,0
162,722291,0,722291,0,0
163,723332,0,723332,0,0
164,714967,0,714967,0,0
165,714167,0,714167,0,0
166,713364,0,713364,0,0
167,713219,0,713219,0,0
168,713420,0,713420,0,0
169,713263,0,713263,0,0
170,713273,0,713273,0,0
171,713688,0,713688,0,0
172,713291,0,713291,0,0
173,712687,0,712687,0,0
174,711936,0,711936,0,0
175,711584,0,711584,0,0
176,711605,0,711605,0,0
177,711429,0,711429,0,0
178,711361,0,711361,0,0
179,709563,0,709563,0,0
180,709450,0,709450,0,0
181,709098,0,709098,0,0
182,708236,0,708236,0,0
183,707819,0,707819,0,0
184,707703,0,707703,0,0
185,707507,0,707507,0,0
186,707503,0,707503,0,0
187,707591,0,707591,0,0
188,705922,0,705922,0,0
189,703948,0,703948,0,0
190,701961,0,701961,0,0
191,701388,0,701388,0,0
192,702995,0,702995,0,0
193,703103,0,703103,0,0
194,702868,0,702868,0,0
195,703004,0,703004,0,0
196,701675,0,701675,0,0
197,700611,0,700611,0,0
198,671631,0,671631,0,0
199,670357,0,670357,0,0
200,669895,0,669895,0,0
201,668817,0,668817,0,0
202,668634,0,668634,0,0
203,669489,0,669489,0,0
204,669325,0,669325,0,0
205,669520,0,669520,0,0
206,669581,0,669581,0,0
207,668924,0,668924,0,0
208,667609,0,667609,0,0
209,666802,0,666802,0,0
210,665026,0,665026,0,0
211,664196,0,664196,0,0
212,662904,0,662904,0,0
213,661834,0,661834,0,0
214,660192,0,660192,0,0
215,659006,0,659006,0,0
216,656888,0,656888,0,0
217,658823,0,658823,0,0
218,664871,0,664871,0,0
219,665657,0,665657,0,0
220,664388,0,664388,0,0
221,663039,0,663039,0,0
222,662081,0,662081,0,0
223,661814,0,661814,0,0
224,660100,0,660100,0,0
225,657659,0,657659,0,0
226,654975,0,654975,0,0
227,652673,0,652673,0,0
228,641721,0,641721,0,0
229,638335,0,638335,0,0
230,635777,0,635777,0,0
231,633134,0,633134,0,0
232,631767,0,631767,0,0
233,629824,0,629824,0,0
234,627431,0,627431,0,0
235,625710,0,625710,0,0
236,623185,0,623185,0,0
237,620867,0,620867,0,0
238,618123,0,618123,0,0
239,615526,0,615526,0,0
240,613285,0,613285,0,0
241,602844,0,602844,0,0
242,600109,0,600109,0,0
243,598131,0,598131,0,0
244,595457,0,595457,0,0
245,589409,0,589409,0,0
246,575006,0,575006,0,0
247,573532,0,573532,0,0
248,566300,0,566300,0,0
249,565236,0,565236,0,0
250,564684,0,564684,0,0
251,565092,0,565092,0,0
252,563632,0,563632,0,0
253,552987,0,552987,0,0
254,551538,0,551538,0,0
255,550833,0,550833,0,0
256,550093,0,550093,0,0
257,549128,0,549128,0,0
258,548828,0,548828,0,0
259,548860,0,548860,0,0
260,548013,0,548013,0,0
261,534002,0,534002,0,0
262,531671,0,531671,0,0
263,530452,0,530452,0,0
264,529165,0,529165,0,0
265,517272,0,517272,0,0
266,513165,0,513165,0,0
267,508802,0,508802,0,0
268,508156,0,508156,0,0
269,467975,0,467975,0,0
270,444397,0,444397,0,0
271,439787,0,439787,0,0
272,427087,0,427087,0,0
273,424330,0,424330,0,0
274,423621,0,423621,0,0
275,423575,0,423575,0,0
276,422925,0,422925,0,0
277,422712,0,422712,0,0
278,422144,0,422144,0,0
279,421924,0,421924,0,0
280,416196,0,416196,0,0
281,408660,0,408660,0,0
282,407924,0,407924,0,0
283,399800,0,399800,0,0
284,399199,0,399199,0,0
285,409215,0,409215,0,0
286,409000,0,409000,0,0
287,404203,0,404203,0,0
288,405244,0,405244,0,0
289,406312,0,406312,0,0
290,407427,0,407427,0,0
291,409267,0,409267,0,0
292,410622,0,410622,0,0
293,403052,0,403052,0,0
294,403178,0,403178,0,0
295,401478,0,401478,0,0
296,399478,0,399478,0,0
297,397090,0,397090,0,0
298,394803,0,394803,0,0
299,373357,0,373357,0,0
300,369967,0,369967,0,0
301,366648,0,366648,0,0
302,369051,0,369051,0,0
303,368937,0,368937,0,0
304,368679,0,368679,0,0
305,368367,0,368367,0,0
306,368115,0,368115,0,0
307,368393,0,368393,0,0
308,368106,0,368106,0,0
309,347426,0,347426,0,0
310,337480,0,337480,0,0
311,318501,0,318501,0,0
312,315822,0,315822,0,0
313,313611,0,313611,0,0
314,311695,0,311695,0,0
315,310381,0,310381,0,0
316,308241,0,308241,0,0
317,306073,0,306073,0,0
318,303866,0,303866,0,0
319,301619,0,301619,0,0
320,299598,0,299598,0,0
321,297235,0,297235,0,0
322,294815,0,294815,0,0
323,292882,0,292882,0,0
324,290669,0,290669,0,0
325,288568,0,288568,0,0
326,286725,0,286725,0,0
327,284680,0,284680,0,0
328,282315,0,282315,0,0
329,280986,0,280986,0,0
330,280179,0,280179,0,0
331,279774,0,279774,0,0
332,269506,0,269506,0,0
333,259872,0,259872,0,0
334,259513,0,259513,0,0
335,260890,0,260890,0,0
336,260304,0,260304,0,0
337,259360,0,259360,0,0
338,260222,0,260222,0,0
339,256008,0,256008,0,0
340,247259,0,247259,0,0
341,247228,0,247228,0,0
342,242578,0,242578,0,0
343,242060,0,242060,0,0
344,241830,0,241830,0,0
345,241595,0,241595,0,0
346,241733,0,241733,0,0
347,241936,0,241936,0,0
348,241654,0,241654,0,0
349,241816,0,241816,0,0
350,240885,0,240885,0,0
351,240682,0,240682,0,0
352,221324,0,221324,0,0
353,220377,0,220377,0,0
354,219623,0,219623,0,0
355,208202,0,208202,0,0
356,208755,0,208755,0,0
357,208400,0,208400,0,0
358,208099,0,208099,0,0
359,207807,0,207807,0,0
360,207432,0,207432,0,0
361,211763,0,211763,0,0
362,346269,0,346269,0,0
363,354204,0,354204,0,0
364,351805,0,351805,0,0
365,351528,0,351528,0,0
366,351831,0,351831,0,0
367,351942,0,351942,0,0
368,351958,0,351958,0,0
369,347097,0,347097,0,0
