count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns,loop_gap_ns,recv_block_ns
51,102473,0,102473,0,0,192472,5235
52,272796,0,272796,0,0,10917,263049
53,178252,0,178252,0,0,273158,3072
54,151980,0,151980,0,0,8297,102812
55,281580,0,281580,0,0,112486,224948
56,194881,0,194881,0,0,237977,5406
57,224598,0,224598,0,0,10862,131833
58,151881,0,151881,0,0,141364,18596
59,170087,0,170087,0,0,25471,105636
60,239270,0,239270,0,0,117211,173209
61,140525,0,140525,0,0,185198,4048
62,156837,0,156837,0,0,8281,109217
63,213049,0,213049,0,0,120689,157378
64,190112,0,190112,0,0,168333,121396
65,186853,0,186853,0,0,133376,111075
66,142874,0,142874,0,0,123223,68321
67,153382,0,153382,0,0,79220,130941
68,383906,0,383906,0,0,143922,331564
69,252029,0,252029,0,0,342534,3807
70,221603,0,221603,0,0,6846,150067
71,155824,0,155824,0,0,162330,49990
72,190703,0,190703,0,0,58498,159117
73,267142,0,267142,0,0,172266,190460
74,125606,0,125606,0,0,199575,3634
75,169697,0,169697,0,0,6493,169112
76,265335,0,265335,0,0,181189,211746
77,130320,0,130320,0,0,224413,4695
78,268994,0,268994,0,0,11819,252863
79,203119,0,203119,0,0,263241,112458
80,142803,0,142803,0,0,124040,84850
81,180686,0,180686,0,0,94551,144517
82,269489,0,269489,0,0,153222,197022
83,171237,0,171237,0,0,209308,4447
84,263302,0,263302,0,0,8524,184427
85,160300,0,160300,0,0,195788,4277
86,218955,0,218955,0,0,7951,212162
87,141286,0,141286,0,0,222679,3958
88,175657,0,175657,0,0,6280,164808
89,162921,0,162921,0,0,174667,127703
90,345916,0,345916,0,0,135639,276987
91,443903,0,443903,0,0,288076,186981
92,328184,0,328184,0,0,196616,3960
93,202805,0,202805,0,0,6644,1777
94,221120,0,221120,0,0,3958,128355
95,160890,0,160890,0,0,135496,108031
96,156787,0,156787,0,0,113324,92864
97,188762,0,188762,0,0,119147,134266
98,229235,0,229235,0,0,141447,162133
99,137412,0,137412,0,0,174685,5746
100,186231,0,186231,0,0,9484,131921
101,100343,0,100343,0,0,156186,3647
102,163816,0,163816,0,0,6848,160210
103,199647,0,199647,0,0,167615,154180
104,171288,0,171288,0,0,166626,67808
105,203785,0,203785,0,0,77258,206044
106,237397,0,237397,0,0,214837,163421
107,126978,0,126978,0,0,176444,4728
108,254993,0,254993,0,0,8539,245163
109,156548,0,156548,0,0,257072,4144
110,218279,0,218279,0,0,7419,228785
111,164282,0,164282,0,0,240284,85329
112,273005,0,273005,0,0,97370,223080
113,171463,0,171463,0,0,236767,4245
114,299168,0,299168,0,0,8067,241870
115,182265,0,182265,0,0,251692,3690
116,81558,0,81558,0,0,6667,2027
117,357746,0,357746,0,0,4595,384223
118,201995,0,201995,0,0,392683,3134
119,165367,0,165367,0,0,6471,132895
120,248204,0,248204,0,0,141107,211548
121,242765,0,242765,0,0,224104,103523
122,125373,0,125373,0,0,110355,2925
123,179293,0,179293,0,0,6282,166290
124,304654,0,304654,0,0,178589,329869
125,116380,0,116380,0,0,339358,2947
126,165874,0,165874,0,0,5261,159302
127,150182,0,150182,0,0,169943,133425
128,199169,0,199169,0,0,142781,163110
129,153232,0,153232,0,0,173571,82970
130,189080,0,189080,0,0,90353,238971
131,154316,0,154316,0,0,250785,125641
132,122494,0,122494,0,0,135753,80616
133,145464,0,145464,0,0,86420,132064
134,170697,0,170697,0,0,140970,164012
135,232035,0,232035,0,0,174573,205533
136,108281,0,108281,0,0,217940,4735
137,117781,0,117781,0,0,9583,124227
138,130344,0,130344,0,0,133511,134781
139,120535,0,120535,0,0,143663,97102
140,124505,0,124505,0,0,103843,99130
141,152288,0,152288,0,0,107697,167902
142,119199,0,119199,0,0,176334,101288
143,118865,0,118865,0,0,106904,107056
144,200758,0,200758,0,0,114429,187176
145,92220,0,92220,0,0,201696,4315
146,170169,0,170169,0,0,7871,162903
147,128338,0,128338,0,0,173257,49071
148,156105,0,156105,0,0,57397,171025
149,151328,0,151328,0,0,176711,151079
150,123947,0,123947,0,0,158888,72921
151,140598,0,140598,0,0,80537,106127
152,168938,0,168938,0,0,113509,139284
153,220318,0,220318,0,0,150703,217658
154,136404,0,136404,0,0,224987,94100
155,142857,0,142857,0,0,105126,99678
156,124704,0,124704,0,0,108957,77609
157,150312,0,150312,0,0,83637,108270
158,169242,0,169242,0,0,117825,97343
159,146037,0,146037,0,0,109407,76939
160,116298,0,116298,0,0,87504,59550
161,109066,0,109066,0,0,68378,95307
162,98747,0,98747,0,0,100761,98464
163,147359,0,147359,0,0,104368,133761
164,108120,0,108120,0,0,145927,44449
165,106740,0,106740,0,0,49366,85210
166,107100,0,107100,0,0,93078,101506
167,116861,0,116861,0,0,108335,117508
168,142876,0,142876,0,0,123414,136081
169,131527,0,131527,0,0,143308,112257
170,135484,0,135484,0,0,120608,117995
171,141096,0,141096,0,0,126263,106430
172,131454,0,131454,0,0,119087,94685
173,129656,0,129656,0,0,100560,94340
174,101578,0,101578,0,0,104260,71021
175,104296,0,104296,0,0,77527,90965
176,107536,0,107536,0,0,97813,100839
177,96113,0,96113,0,0,109651,74207
178,167906,0,167906,0,0,78771,186510
179,136004,0,136004,0,0,197377,81029
180,121127,0,121127,0,0,88898,75216
181,132631,0,132631,0,0,82490,104324
182,105437,0,105437,0,0,112405,67079
183,117856,0,117856,0,0,74902,101735
184,125659,0,125659,0,0,107624,105735
185,111737,0,111737,0,0,114542,69330
186,94767,0,94767,0,0,77977,62847
187,122981,0,122981,0,0,69085,111027
188,128852,0,128852,0,0,118451,105004
189,102781,0,102781,0,0,112334,77982
190,177430,0,177430,0,0,87637,155793
191,168973,0,168973,0,0,186326,99768
192,145489,0,145489,0,0,106969,93167
193,103416,0,103416,0,0,103563,49975
194,134157,0,134157,0,0,58495,128855
195,203879,0,203879,0,0,136692,163926
196,94375,0,94375,0,0,186872,4615
197,120356,0,120356,0,0,8166,117062
198,103503,0,103503,0,0,127612,83229
199,115753,0,115753,0,0,90408,109707
200,132251,0,132251,0,0,115700,114164
201,102063,0,102063,0,0,123214,58302
202,136563,0,136563,0,0,63476,138705
203,100970,0,100970,0,0,147217,81962
204,116845,0,116845,0,0,89514,103174
205,117272,0,117272,0,0,112626,78381
206,110246,0,110246,0,0,87440,73021
207,100177,0,100177,0,0,78396,86569
208,91911,0,91911,0,0,91545,85657
209,103220,0,103220,0,0,92692,102652
210,96104,0,96104,0,0,108677,94744
211,107807,0,107807,0,0,99564,116873
212,91753,0,91753,0,0,124168,65482
213,98111,0,98111,0,0,70585,86457
214,114518,0,114518,0,0,91883,112923
215,124643,0,124643,0,0,120625,120939
216,103051,0,103051,0,0,127837,65872
217,111732,0,111732,0,0,75232,94331
218,124824,0,124824,0,0,103166,109259
219,130419,0,130419,0,0,117199,93015
220,145870,0,145870,0,0,101141,117596
221,132879,0,132879,0,0,125765,70714
222,119382,0,119382,0,0,77676,71949
223,116353,0,116353,0,0,77232,99918
224,109268,0,109268,0,0,104742,100065
225,97369,0,97369,0,0,106602,90843
226,110109,0,110109,0,0,98130,98710
227,110071,0,110071,0,0,104947,76839
228,123270,0,123270,0,0,86375,114276
229,111489,0,111489,0,0,123709,97965
230,175562,0,175562,0,0,106393,150424
231,131203,0,131203,0,0,159089,39399
232,145655,0,145655,0,0,45233,119834
