count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,5138004,0,5138004,0,0
52,5126458,0,5126458,0,0
53,5114927,0,5114927,0,0
54,5104355,0,5104355,0,0
55,5091608,0,5091608,0,0
56,5080440,0,5080440,0,0
57,6146443,0,6146443,0,0
58,6151402,0,6151402,0,0
59,6141243,0,6141243,0,0
60,6132206,0,6132206,0,0
61,6115581,0,6115581,0,0
62,6100576,0,6100576,0,0
63,6086942,0,6086942,0,0
64,6231354,0,6231354,0,0
65,6226254,0,6226254,0,0
66,6215270,0,6215270,0,0
67,6203351,0,6203351,0,0
68,6191733,0,6191733,0,0
69,6178747,0,6178747,0,0
70,6168479,0,6168479,0,0
71,6861563,0,6861563,0,0
72,6858723,0,6858723,0,0
73,6846869,0,6846869,0,0
74,6835090,0,6835090,0,0
75,6826275,0,6826275,0,0
76,6706594,0,6706594,0,0
77,6696451,0,6696451,0,0
78,7470675,0,7470675,0,0
79,7476721,0,7476721,0,0
80,7466939,0,7466939,0,0
81,7456408,0,7456408,0,0
82,7446115,0,7446115,0,0
83,7436918,0,7436918,0,0
84,7425988,0,7425988,0,0
85,7882438,0,7882438,0,0
86,7876159,0,7876159,0,0
87,7866112,0,7866112,0,0
88,7853709,0,7853709,0,0
89,7841593,0,7841593,0,0
90,7828509,0,7828509,0,0
91,7817176,0,7817176,0,0
92,8589313,0,8589313,0,0
93,8586590,0,8586590,0,0
94,8575207,0,8575207,0,0
95,8547144,0,8547144,0,0
96,8519885,0,8519885,0,0
97,8504995,0,8504995,0,0
98,8493243,0,8493243,0,0
99,9280354,0,9280354,0,0
100,9284759,0,9284759,0,0
101,9270150,0,9270150,0,0
102,9262315,0,9262315,0,0
103,9258148,0,9258148,0,0
104,9255202,0,9255202,0,0
105,9252421,0,9252421,0,0
106,9792977,0,9792977,0,0
107,9801405,0,9801405,0,0
108,9799223,0,9799223,0,0
109,9795795,0,9795795,0,0
110,9791898,0,9791898,0,0
111,9787458,0,9787458,0,0
112,9782367,0,9782367,0,0
113,10558836,0,10558836,0,0
114,10553192,0,10553192,0,0
115,10546695,0,10546695,0,0
116,10539653,0,10539653,0,0
117,10531067,0,10531067,0,0
118,10522276,0,10522276,0,0
119,10513930,0,10513930,0,0
120,11113211,0,11113211,0,0
121,11114219,0,11114219,0,0
122,11111177,0,11111177,0,0
123,11110662,0,11110662,0,0
124,11108456,0,11108456,0,0
125,11106128,0,11106128,0,0
126,11100748,0,11100748,0,0
127,11443187,0,11443187,0,0
128,11231375,0,11231375,0,0
129,11210685,0,11210685,0,0
130,11202268,0,11202268,0,0
131,11194334,0,11194334,0,0
132,11185913,0,11185913,0,0
133,11194768,0,11194768,0,0
134,12054494,0,12054494,0,0
135,11674853,0,11674853,0,0
136,11655521,0,11655521,0,0
137,11644963,0,11644963,0,0
138,11633807,0,11633807,0,0
139,11626589,0,11626589,0,0
140,11617967,0,11617967,0,0
141,12500313,0,12500313,0,0
142,12509642,0,12509642,0,0
143,12507069,0,12507069,0,0
144,12503488,0,12503488,0,0
145,12505346,0,12505346,0,0
146,12505934,0,12505934,0,0
147,12514323,0,12514323,0,0
148,14248614,0,14248614,0,0
149,14258177,0,14258177,0,0
150,13629222,0,13629222,0,0
151,13599846,0,13599846,0,0
152,13592175,0,13592175,0,0
153,13584480,0,13584480,0,0
154,13576327,0,13576327,0,0
163,14440684,0,14440684,0,0
164,14452093,0,14452093,0,0
165,14150454,0,14150454,0,0
166,14056654,0,14056654,0,0
167,14047773,0,14047773,0,0
168,14041478,0,14041478,0,0
169,14039430,0,14039430,0,0
178,14794215,0,14794215,0,0
179,14798697,0,14798697,0,0
180,14423443,0,14423443,0,0
181,14407449,0,14407449,0,0
182,14400966,0,14400966,0,0
183,14396814,0,14396814,0,0
184,14392537,0,14392537,0,0
193,14627312,0,14627312,0,0
194,14631243,0,14631243,0,0
195,13521746,0,13521746,0,0
196,13492568,0,13492568,0,0
197,13480976,0,13480976,0,0
198,13468056,0,13468056,0,0
199,13456339,0,13456339,0,0
208,14038668,0,14038668,0,0
209,14041158,0,14041158,0,0
210,14030170,0,14030170,0,0
211,14019581,0,14019581,0,0
212,14005314,0,14005314,0,0
213,13992885,0,13992885,0,0
214,13982067,0,13982067,0,0
223,14791576,0,14791576,0,0
224,14800075,0,14800075,0,0
225,14668055,0,14668055,0,0
226,14646440,0,14646440,0,0
227,14570628,0,14570628,0,0
228,14559495,0,14559495,0,0
229,14551568,0,14551568,0,0
238,15080313,0,15080313,0,0
239,15082941,0,15082941,0,0
240,14444401,0,14444401,0,0
241,14412846,0,14412846,0,0
242,14402266,0,14402266,0,0
243,14392697,0,14392697,0,0
244,14380686,0,14380686,0,0
253,15019215,0,15019215,0,0
254,15018140,0,15018140,0,0
255,14665652,0,14665652,0,0
256,14645243,0,14645243,0,0
257,14634568,0,14634568,0,0
258,14622259,0,14622259,0,0
259,14412677,0,14412677,0,0
268,14872701,0,14872701,0,0
269,14874582,0,14874582,0,0
270,13701632,0,13701632,0,0
271,13671162,0,13671162,0,0
272,13662609,0,13662609,0,0
273,13657644,0,13657644,0,0
274,13648237,0,13648237,0,0
283,14428899,0,14428899,0,0
284,14430283,0,14430283,0,0
285,14417408,0,14417408,0,0
286,14399570,0,14399570,0,0
287,14388548,0,14388548,0,0
288,14376579,0,14376579,0,0
289,14367070,0,14367070,0,0
298,14899475,0,14899475,0,0
299,14902494,0,14902494,0,0
300,14763865,0,14763865,0,0
301,14744012,0,14744012,0,0
302,14733691,0,14733691,0,0
303,14723102,0,14723102,0,0
304,14710978,0,14710978,0,0
313,15352184,0,15352184,0,0
314,15352545,0,15352545,0,0
315,13710271,0,13710271,0,0
316,13619510,0,13619510,0,0
317,13608162,0,13608162,0,0
318,13597970,0,13597970,0,0
319,13588065,0,13588065,0,0
328,14119099,0,14119099,0,0
329,14116283,0,14116283,0,0
330,14108043,0,14108043,0,0
331,14100110,0,14100110,0,0
332,14088653,0,14088653,0,0
333,14076543,0,14076543,0,0
334,14063628,0,14063628,0,0
343,14599605,0,14599605,0,0
344,14599530,0,14599530,0,0
345,14593653,0,14593653,0,0
346,14585631,0,14585631,0,0
347,14576809,0,14576809,0,0
348,14566419,0,14566419,0,0
349,14555747,0,14555747,0,0
358,15106846,0,15106846,0,0
359,15112665,0,15112665,0,0
360,14773087,0,14773087,0,0
361,14756688,0,14756688,0,0
362,14750867,0,14750867,0,0
363,14747020,0,14747020,0,0
364,14741694,0,14741694,0,0
373,15060913,0,15060913,0,0
374,15063047,0,15063047,0,0
375,14548307,0,14548307,0,0
376,14521130,0,14521130,0,0
377,14511408,0,14511408,0,0
378,14502695,0,14502695,0,0
379,14493364,0,14493364,0,0
388,15001864,0,15001864,0,0
389,15003161,0,15003161,0,0
390,13513052,0,13513052,0,0
391,13496326,0,13496326,0,0
392,13487149,0,13487149,0,0
393,13476825,0,13476825,0,0
394,13465727,0,13465727,0,0
403,14187208,0,14187208,0,0
404,14187542,0,14187542,0,0
405,14182793,0,14182793,0,0
406,14175673,0,14175673,0,0
407,14168973,0,14168973,0,0
408,14162951,0,14162951,0,0
409,14157554,0,14157554,0,0
418,14862449,0,14862449,0,0
419,14869929,0,14869929,0,0
420,14177639,0,14177639,0,0
421,14148921,0,14148921,0,0
422,14136968,0,14136968,0,0
423,14127160,0,14127160,0,0
424,14116921,0,14116921,0,0
433,14704796,0,14704796,0,0
434,14708082,0,14708082,0,0
435,13871797,0,13871797,0,0
436,13844610,0,13844610,0,0
437,13832691,0,13832691,0,0
438,13820723,0,13820723,0,0
439,13810821,0,13810821,0,0
448,14441162,0,14441162,0,0
449,14444550,0,14444550,0,0
450,13976831,0,13976831,0,0
451,13925015,0,13925015,0,0
452,13913139,0,13913139,0,0
453,13902525,0,13902525,0,0
454,13892038,0,13892038,0,0
463,14444362,0,14444362,0,0
464,14440477,0,14440477,0,0
465,13960672,0,13960672,0,0
466,13934433,0,13934433,0,0
467,13926114,0,13926114,0,0
468,13921227,0,13921227,0,0
469,13914357,0,13914357,0,0
478,14746550,0,14746550,0,0
479,14757691,0,14757691,0,0
480,13862819,0,13862819,0,0
481,13840113,0,13840113,0,0
482,13831904,0,13831904,0,0
483,13828810,0,13828810,0,0
484,13824196,0,13824196,0,0
493,14505903,0,14505903,0,0
494,14508317,0,14508317,0,0
495,14339033,0,14339033,0,0
496,14316156,0,14316156,0,0
497,14306663,0,14306663,0,0
498,14297527,0,14297527,0,0
499,14207419,0,14207419,0,0
508,14798955,0,14798955,0,0
509,14802442,0,14802442,0,0
510,13983993,0,13983993,0,0
511,13958593,0,13958593,0,0
512,13946793,0,13946793,0,0
513,13935878,0,13935878,0,0
514,13926538,0,13926538,0,0
523,14449641,0,14449641,0,0
524,14452974,0,14452974,0,0
525,14109306,0,14109306,0,0
526,14044729,0,14044729,0,0
527,14031048,0,14031048,0,0
528,14011563,0,14011563,0,0
529,14001301,0,14001301,0,0
538,14667483,0,14667483,0,0
539,14672037,0,14672037,0,0
540,13870844,0,13870844,0,0
541,13835792,0,13835792,0,0
542,13821227,0,13821227,0,0
543,13810447,0,13810447,0,0
544,13799578,0,13799578,0,0
553,14190276,0,14190276,0,0
554,14187543,0,14187543,0,0
555,13613392,0,13613392,0,0
556,13585709,0,13585709,0,0
557,13573811,0,13573811,0,0
558,13563851,0,13563851,0,0
559,13554219,0,13554219,0,0
568,14217119,0,14217119,0,0
569,14222068,0,14222068,0,0
570,13626197,0,13626197,0,0
571,13604976,0,13604976,0,0
572,13599960,0,13599960,0,0
573,13595431,0,13595431,0,0
574,13588149,0,13588149,0,0
583,14125165,0,14125165,0,0
584,14127561,0,14127561,0,0
585,13474035,0,13474035,0,0
586,13447771,0,13447771,0,0
587,13436765,0,13436765,0,0
588,13425546,0,13425546,0,0
589,13415695,0,13415695,0,0
598,14051273,0,14051273,0,0
599,14068294,0,14068294,0,0
600,13425001,0,13425001,0,0
601,13398055,0,13398055,0,0
602,13386001,0,13386001,0,0
603,13376594,0,13376594,0,0
604,13366283,0,13366283,0,0
613,14022039,0,14022039,0,0
614,14024176,0,14024176,0,0
615,12609773,0,12609773,0,0
616,12584799,0,12584799,0,0
617,12574030,0,12574030,0,0
618,12563464,0,12563464,0,0
619,12550965,0,12550965,0,0
628,13230177,0,13230177,0,0
629,13226728,0,13226728,0,0
630,13217203,0,13217203,0,0
631,13143714,0,13143714,0,0
632,13131536,0,13131536,0,0
633,13086604,0,13086604,0,0
634,13067827,0,13067827,0,0
643,13365250,0,13365250,0,0
