count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,198520,0,198520,0,0
52,175963,0,175963,0,0
53,171699,0,171699,0,0
54,143182,0,143182,0,0
55,202622,0,202622,0,0
56,128407,0,128407,0,0
57,148342,0,148342,0,0
58,136733,0,136733,0,0
59,111850,0,111850,0,0
60,200969,0,200969,0,0
61,215022,0,215022,0,0
62,201166,0,201166,0,0
63,123565,0,123565,0,0
64,181453,0,181453,0,0
65,187588,0,187588,0,0
66,176121,0,176121,0,0
67,107788,0,107788,0,0
68,187688,0,187688,0,0
69,153023,0,153023,0,0
70,218704,0,218704,0,0
71,161693,0,161693,0,0
72,152737,0,152737,0,0
73,123402,0,123402,0,0
74,242282,0,242282,0,0
75,125115,0,125115,0,0
76,157038,0,157038,0,0
77,180442,0,180442,0,0
78,134535,0,134535,0,0
79,135223,0,135223,0,0
80,128446,0,128446,0,0
81,128136,0,128136,0,0
82,189807,0,189807,0,0
83,123633,0,123633,0,0
84,184857,0,184857,0,0
85,170612,0,170612,0,0
86,140225,0,140225,0,0
87,162924,0,162924,0,0
88,309966,0,309966,0,0
89,151953,0,151953,0,0
90,131425,0,131425,0,0
91,107987,0,107987,0,0
92,172787,0,172787,0,0
93,105630,0,105630,0,0
94,169317,0,169317,0,0
95,176135,0,176135,0,0
96,213849,0,213849,0,0
97,293922,0,293922,0,0
98,126780,0,126780,0,0
99,199426,0,199426,0,0
100,159097,0,159097,0,0
101,208057,0,208057,0,0
102,161226,0,161226,0,0
103,142690,0,142690,0,0
104,153174,0,153174,0,0
105,165853,0,165853,0,0
106,141310,0,141310,0,0
107,178815,0,178815,0,0
108,117325,0,117325,0,0
109,166080,0,166080,0,0
110,166560,0,166560,0,0
111,181677,0,181677,0,0
112,143650,0,143650,0,0
113,173615,0,173615,0,0
114,193386,0,193386,0,0
115,298335,0,298335,0,0
116,137747,0,137747,0,0
117,186282,0,186282,0,0
118,135598,0,135598,0,0
119,310320,0,310320,0,0
120,131731,0,131731,0,0
121,188432,0,188432,0,0
122,156802,0,156802,0,0
123,166692,0,166692,0,0
124,138855,0,138855,0,0
125,227154,0,227154,0,0
126,150929,0,150929,0,0
127,162520,0,162520,0,0
128,194602,0,194602,0,0
129,157259,0,157259,0,0
130,135273,0,135273,0,0
131,158017,0,158017,0,0
132,156826,0,156826,0,0
133,204436,0,204436,0,0
134,137378,0,137378,0,0
135,97051,0,97051,0,0
136,207936,0,207936,0,0
137,72077,0,72077,0,0
138,162763,0,162763,0,0
139,169663,0,169663,0,0
140,199672,0,199672,0,0
141,208796,0,208796,0,0
142,215995,0,215995,0,0
143,323126,0,323126,0,0
144,133796,0,133796,0,0
145,201691,0,201691,0,0
146,156290,0,156290,0,0
147,142471,0,142471,0,0
148,174971,0,174971,0,0
149,136396,0,136396,0,0
150,147208,0,147208,0,0
151,119011,0,119011,0,0
152,138435,0,138435,0,0
153,144096,0,144096,0,0
154,159554,0,159554,0,0
155,196653,0,196653,0,0
156,156834,0,156834,0,0
157,139831,0,139831,0,0
158,172805,0,172805,0,0
159,178747,0,178747,0,0
160,220092,0,220092,0,0
161,202615,0,202615,0,0
162,176212,0,176212,0,0
163,143866,0,143866,0,0
164,210995,0,210995,0,0
165,206788,0,206788,0,0
166,111328,0,111328,0,0
167,117277,0,117277,0,0
168,190290,0,190290,0,0
169,172925,0,172925,0,0
170,185801,0,185801,0,0
171,207199,0,207199,0,0
172,126263,0,126263,0,0
173,304130,0,304130,0,0
174,140431,0,140431,0,0
175,144251,0,144251,0,0
176,115646,0,115646,0,0
177,246616,0,246616,0,0
178,111458,0,111458,0,0
179,136443,0,136443,0,0
180,159559,0,159559,0,0
181,254511,0,254511,0,0
182,181336,0,181336,0,0
183,168924,0,168924,0,0
184,288056,0,288056,0,0
185,311587,0,311587,0,0
186,131907,0,131907,0,0
187,169184,0,169184,0,0
188,225246,0,225246,0,0
189,285357,0,285357,0,0
190,213043,0,213043,0,0
191,171734,0,171734,0,0
192,137750,0,137750,0,0
193,200640,0,200640,0,0
194,187619,0,187619,0,0
195,147292,0,147292,0,0
196,114917,0,114917,0,0
197,170730,0,170730,0,0
198,127898,0,127898,0,0
199,177121,0,177121,0,0
200,222377,0,222377,0,0
201,165917,0,165917,0,0
202,117084,0,117084,0,0
203,146800,0,146800,0,0
204,156391,0,156391,0,0
205,136915,0,136915,0,0
206,125710,0,125710,0,0
207,174721,0,174721,0,0
208,207627,0,207627,0,0
209,153748,0,153748,0,0
210,207887,0,207887,0,0
211,197832,0,197832,0,0
212,133810,0,133810,0,0
213,147923,0,147923,0,0
214,115980,0,115980,0,0
215,99298,0,99298,0,0
216,156609,0,156609,0,0
217,154214,0,154214,0,0
218,117039,0,117039,0,0
219,244602,0,244602,0,0
220,202431,0,202431,0,0
221,165121,0,165121,0,0
222,149288,0,149288,0,0
223,189281,0,189281,0,0
224,153971,0,153971,0,0
225,162108,0,162108,0,0
226,246744,0,246744,0,0
227,246331,0,246331,0,0
228,190104,0,190104,0,0
229,138856,0,138856,0,0
230,165454,0,165454,0,0
231,153392,0,153392,0,0
232,155407,0,155407,0,0
233,218616,0,218616,0,0
234,106335,0,106335,0,0
235,176080,0,176080,0,0
236,147889,0,147889,0,0
237,242733,0,242733,0,0
238,119411,0,119411,0,0
239,144491,0,144491,0,0
240,190306,0,190306,0,0
241,236772,0,236772,0,0
242,220026,0,220026,0,0
243,214935,0,214935,0,0
244,143934,0,143934,0,0
245,163236,0,163236,0,0
246,122734,0,122734,0,0
247,110219,0,110219,0,0
248,111485,0,111485,0,0
249,104054,0,104054,0,0
250,156190,0,156190,0,0
251,182020,0,182020,0,0
252,125180,0,125180,0,0
253,112332,0,112332,0,0
254,111479,0,111479,0,0
255,120347,0,120347,0,0
256,145758,0,145758,0,0
257,119380,0,119380,0,0
258,121442,0,121442,0,0
259,122467,0,122467,0,0
260,120187,0,120187,0,0
261,125484,0,125484,0,0
262,138928,0,138928,0,0
263,127798,0,127798,0,0
264,105924,0,105924,0,0
265,175576,0,175576,0,0
266,165150,0,165150,0,0
267,170908,0,170908,0,0
268,196347,0,196347,0,0
269,193476,0,193476,0,0
270,147940,0,147940,0,0
271,136327,0,136327,0,0
272,123665,0,123665,0,0
273,231816,0,231816,0,0
274,260539,0,260539,0,0
275,212403,0,212403,0,0
276,165045,0,165045,0,0
277,156098,0,156098,0,0
278,146650,0,146650,0,0
279,158869,0,158869,0,0
280,124677,0,124677,0,0
281,187005,0,187005,0,0
282,156627,0,156627,0,0
283,167822,0,167822,0,0
284,167955,0,167955,0,0
285,160616,0,160616,0,0
286,144702,0,144702,0,0
287,207235,0,207235,0,0
288,175689,0,175689,0,0
289,134958,0,134958,0,0
290,110929,0,110929,0,0
291,102067,0,102067,0,0
292,151950,0,151950,0,0
293,128272,0,128272,0,0
294,145404,0,145404,0,0
295,238843,0,238843,0,0
296,141030,0,141030,0,0
297,142386,0,142386,0,0
298,137216,0,137216,0,0
299,134454,0,134454,0,0
300,128043,0,128043,0,0
301,114192,0,114192,0,0
302,110353,0,110353,0,0
303,99677,0,99677,0,0
304,128114,0,128114,0,0
305,122327,0,122327,0,0
306,143210,0,143210,0,0
307,172708,0,172708,0,0
308,219982,0,219982,0,0
309,169523,0,169523,0,0
310,183350,0,183350,0,0
311,189840,0,189840,0,0
312,194556,0,194556,0,0
313,199227,0,199227,0,0
314,276980,0,276980,0,0
315,137491,0,137491,0,0
316,199501,0,199501,0,0
317,171387,0,171387,0,0
318,139333,0,139333,0,0
319,135901,0,135901,0,0
320,173085,0,173085,0,0
321,231336,0,231336,0,0
322,109386,0,109386,0,0
323,127298,0,127298,0,0
324,213692,0,213692,0,0
325,176286,0,176286,0,0
326,154434,0,154434,0,0
327,146886,0,146886,0,0
328,117523,0,117523,0,0
329,185862,0,185862,0,0
330,151554,0,151554,0,0
331,180929,0,180929,0,0
332,177551,0,177551,0,0
333,193556,0,193556,0,0
334,131670,0,131670,0,0
335,105956,0,105956,0,0
336,106822,0,106822,0,0
337,170551,0,170551,0,0
338,138707,0,138707,0,0
339,139855,0,139855,0,0
340,152772,0,152772,0,0
341,189090,0,189090,0,0
342,181245,0,181245,0,0
343,137739,0,137739,0,0
344,125626,0,125626,0,0
345,117499,0,117499,0,0
346,156136,0,156136,0,0
347,152210,0,152210,0,0
348,125084,0,125084,0,0
349,103664,0,103664,0,0
350,145027,0,145027,0,0
351,197096,0,197096,0,0
352,152424,0,152424,0,0
353,323088,0,323088,0,0
354,270006,0,270006,0,0
355,174893,0,174893,0,0
356,156980,0,156980,0,0
357,144305,0,144305,0,0
358,192560,0,192560,0,0
