count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
1,10220,4709,12675
2,21700,7747,25686
3,15456,6708,18163
4,14875,5276,17835
5,30468,14841,39231
6,13766,6144,16576
7,13369,5040,15661
8,7217,3337,8688
9,11345,4726,13251
10,17951,7494,20666
11,15647,5581,17695
12,8182,4686,10409
13,6862,4421,9009
14,12320,4081,14028
15,15378,6256,17914
16,14645,6209,17145
17,13048,5084,15075
18,5160,3025,6541
19,5903,4104,7873
20,10366,4578,12433
21,8125,4995,10303
22,13196,6096,15699
23,15859,5574,18427
24,10813,4643,13215
25,7691,3185,9318
26,6307,4984,8566
27,13494,4352,15334
28,12716,4160,14437
29,12168,5238,14346
30,8862,5077,11401
31,13676,4580,15661
32,14188,5755,16389
33,10717,5093,13026
34,9153,4581,11466
35,12956,4887,15566
36,6320,3438,7888
37,11069,4451,12818
38,15348,5383,18658
39,9905,21469,13068
40,11690,5051,13805
41,6198,2805,7531
42,8310,4873,10754
43,9971,4215,12222
44,8701,4496,10689
45,13159,4943,15203
46,6668,4487,9032
47,14341,5130,17057
48,14227,6854,17023
49,13585,5611,16165
50,15092,5730,17600
51,22425,5785,24741
52,8844,4344,11019
53,11665,4942,13806
54,7888,10067,10022
55,14770,5499,16775
56,8852,4247,10646
57,21626,5764,24173
58,10193,3253,11683
59,11755,5329,13975
60,6279,4344,8150
61,16280,5845,18638
62,13608,5327,15929
63,9820,4893,11792
64,16310,5599,18607
65,13935,8873,34070
66,12324,5516,14768
67,13048,41368,15372
68,17558,6123,20005
69,14785,5481,17471
70,15464,5179,17398
71,15676,5859,18150
72,9178,11347,14250
73,42206,5045,44599
74,13149,5044,15600
75,16590,5487,19049
76,19070,5191,21378
77,55936,6361,59215
78,9122,5277,11053
79,11911,5610,14328
80,11067,5158,13110
81,14423,5452,16671
82,9628,4537,11609
83,8191,4851,10541
84,11179,4699,13160
85,13590,6918,16020
86,11555,5752,14097
87,13113,5424,15597
88,10063,5137,12143
89,46305,5458,48652
90,16439,4783,18623
91,16711,5994,19177
92,13701,5748,15880
93,41497,5184,43749
94,11745,5021,13862
95,8010,4671,9734
96,31933,4625,33952
97,14564,5634,16893
98,9202,8848,11378
99,10720,5000,12777
100,8257,4651,10806
101,18740,5703,21158
102,15520,4995,17799
103,8337,4837,10358
104,14809,5260,16974
105,12814,4125,15128
106,8887,5156,11025
107,17800,6310,20526
108,13441,5554,15758
109,15720,5638,17980
110,13233,5178,15830
111,13901,5313,16468
112,12904,4786,15294
113,11315,4743,13616
114,16119,5882,18769
115,16683,13011,19171
116,15483,5776,17712
117,14715,5332,17112
118,10738,4943,13087
119,7333,4540,9321
120,14410,5684,16568
121,16182,21413,18810
122,7623,4374,9524
123,18817,6146,21513
124,19665,5749,22502
125,10652,3808,12429
126,11740,4965,13829
127,10641,7070,13326
128,12467,3841,14149
129,15366,5800,17767
130,11619,5422,13998
131,15708,6058,17984
132,39558,4912,41797
133,29907,5930,33182
134,11378,6204,13238
135,15666,5641,17932
136,27384,10457,31583
137,17141,6005,19767
138,14858,4964,17208
139,14025,5464,16479
140,8889,3324,10328
141,14505,5704,16469
142,9840,3463,11345
143,13139,5459,15698
144,7919,4557,9783
145,12362,4500,14418
146,7047,5241,9346
147,15586,5630,18036
148,12001,4854,14007
149,57555,7564,61182
150,17222,6009,19695
151,15453,5513,17657
152,7482,4578,9091
153,15703,5314,18182
154,9999,4877,12461
155,15201,5351,17718
156,13863,6219,16367
157,16747,5515,19115
158,16534,7065,19260
159,14816,5344,17079
160,14340,5876,17110
161,14066,5339,16366
162,13795,5092,16151
163,8429,4591,10458
164,14025,5230,16429
165,12905,4371,14990
166,16375,5610,18878
167,15758,5356,17816
168,14697,6033,17090
169,13144,5612,16025
170,6502,4994,8832
171,15070,4294,16958
172,14118,14241,16362
173,14468,4555,16372
174,4759,3964,6380
175,15730,26481,18523
176,15961,5720,18278
177,14536,4590,16548
178,10439,5167,12566
179,9287,5505,11734
180,9147,19497,10990
181,6862,3030,8482
182,75958,16506,111802
183,14771,5636,17044
184,10844,4796,12825
185,15139,5155,17288
186,13520,5080,15988
187,43980,5710,46833
188,16264,5371,18368
189,27670,6490,31122
190,14279,3850,17389
191,66011,18416,74894
192,15093,4885,17342
193,31764,43882,38788
194,16704,5725,18824
195,60006,6691,65294
196,8089,3573,9621
197,14115,4316,16200
198,8014,3858,9613
199,12706,4951,15008
200,8709,3857,10259
201,6602,3514,8240
202,8088,4337,10301
203,15763,5972,18269
204,49952,31424,57079
205,16362,5763,18616
206,15164,5536,17511
207,29148,6044,32384
208,10087,8921,11885
209,14647,5321,16896
210,7829,4305,9824
211,16572,5845,18664
212,20859,6919,23265
213,10047,5098,12122
214,13881,4991,15889
215,17015,6101,19306
216,25910,5201,29327
217,9487,5268,11792
218,13729,5430,15976
219,16077,6184,18742
220,16912,6531,19553
221,16385,5236,18848
222,16216,21256,23966
223,15955,5372,18450
224,12553,6070,14854
225,17579,5616,19935
226,18692,6014,21740
227,14165,5453,16602
228,13595,4679,15256
229,8754,3710,10609
230,16532,5464,18782
231,15030,5643,17629
232,12675,4091,14635
233,12047,5728,14343
234,16382,6176,18848
235,14888,5888,17496
236,16952,5787,19486
237,15728,5683,18099
238,13893,5030,16239
239,35636,6658,39610
240,14170,5614,16746
241,13395,4777,15414
242,13478,5524,16116
243,5009,3068,6680
244,9065,4928,11711
245,8454,3621,9968
246,8560,8978,10630
247,6297,2852,7624
248,42433,5709,44858
249,18134,5959,20664
250,14034,5832,16501
251,15756,5289,18055
252,15526,6005,18039
253,10892,3653,12653
254,5698,3607,7470
255,15089,5426,17348
256,14586,5052,16869
257,12739,4622,15269
258,7108,4414,9499
259,17174,6577,20028
260,13756,4887,16693
261,12725,7771,15854
262,16402,5882,19539
263,38370,5571,42585
264,11182,6765,14098
265,15834,4972,18418
266,38310,6483,42358
267,8637,4436,10965
268,17320,5317,20105
269,15544,4769,18235
270,13712,5447,17196
271,7292,4748,9654
272,43393,4292,45460
273,16313,6877,19068
274,10057,5144,15952
275,15234,5133,18161
276,6902,4639,8948
277,12022,5067,14524
278,24383,4481,27299
279,9023,4275,11603
280,14440,3788,16640
281,5426,3114,7017
282,12058,3097,13953
283,7478,4008,9385
284,7974,4452,10641
285,15600,4020,17957
286,16212,4880,18918
287,9928,3287,11789
288,11257,4800,13977
289,13569,5330,16254
290,11013,4622,13822
291,11135,5389,14408
292,8839,4873,11505
293,8868,4686,11850
294,10043,4729,12869
295,6963,3216,8901
296,13356,3798,15520
297,17549,5766,20674
298,17729,5571,20756
299,11659,4560,14159
300,14301,5038,17063
301,15100,5316,18175
302,13384,5312,15920
303,8641,3520,10838
304,9887,4747,12117
305,15850,4658,18339
306,12709,4430,15564
307,10412,4404,13289
308,21958,8152,28392
309,15901,5242,18530
310,16576,4904,19413
311,17830,4286,20187
312,11840,4408,14042
313,8803,5030,11352
314,16734,5202,19658
315,9354,4644,11723
316,16114,4919,19064
317,15289,4888,18233
318,14248,5432,17418
319,7790,4272,10261
320,15244,5106,18021
321,14971,5297,17709
322,13261,4274,15618
323,11848,5056,14346
324,14026,5330,16610
325,9063,3334,10757
326,8832,3644,10925
327,10068,4619,12368
328,15410,5180,18271
329,9821,3676,12100
330,12317,3172,14435
331,11162,3723,13240
332,12276,3841,14099
333,39821,5005,42483
334,12063,4509,14204
335,13299,3884,15447
336,9896,5124,12842
337,13555,5278,16353
338,13961,3350,16044
339,11532,3686,13431
340,10085,4965,12481
341,11377,3941,13580
342,15221,5419,30410
343,8392,5451,10782
344,10485,3731,12267
345,15882,4987,18212
346,12978,4849,15187
347,6432,3652,8128
348,13725,4032,15543
349,5144,2826,7102
350,15333,5421,17995
351,15392,3552,17572
352,6544,3094,7913
353,5094,4179,7562
354,11320,3320,13379
355,10399,3777,12516
356,7549,4312,10095
357,15420,3678,17458
358,14701,3556,16816
359,39285,3582,43725
360,17191,5597,19786
361,42472,5029,45309
362,17618,5303,20324
363,7924,4548,9908
364,7237,4168,9041
365,9839,3417,12130
366,12352,3617,14330
367,17377,5034,20011
368,13716,3206,16690
369,11664,3350,13373
370,13726,7126,16319
371,10579,5050,13004
372,5714,3374,8124
373,14123,3473,16724
374,20239,4922,22733
375,14548,5102,18082
376,41386,5345,44180
377,17113,5419,19923
378,13950,3583,16135
379,14926,5010,17664
380,10159,4586,12689
381,13359,5093,16865
382,16263,5402,19171
383,17792,5143,20693
384,6660,2767,8012
385,7647,3703,9506
386,6155,3248,8265
387,5785,3297,7708
388,6566,4855,9071
389,6052,3707,7930
390,15912,4010,18169
391,5889,3963,7754
392,5860,3430,7803
393,7989,3285,9951
394,13868,3858,15862
395,5907,3532,7712
396,15904,3695,18171
397,5469,2807,6881
398,5535,3296,7255
399,5771,3526,7923
400,12137,3405,14198
401,5262,3055,6695
402,12161,4777,14488
403,15033,4052,17597
404,7171,3434,8823
405,13081,3932,14993
406,14589,3534,16779
407,11757,3370,13626
408,13566,3954,15745
409,7782,3318,9674
410,17190,8965,20242
411,6007,2572,7544
412,9092,3643,11117
413,16772,5441,19588
414,9819,3494,11854
415,8619,3360,10388
416,7010,3177,9240
417,14714,3827,16667
418,7996,3096,9904
419,13715,21090,20383
420,17228,5283,20295
421,14208,3476,16365
422,14428,3669,16639
423,11001,3649,12816
424,7167,3639,9154
425,14693,3626,16911
426,17684,5454,20601
427,12009,14656,14419
428,17754,5584,20998
429,8402,3103,10077
430,17145,5130,21259
431,11027,3776,20298
432,20395,3616,22502
433,17617,5472,20390
434,13948,3601,16174
435,10067,3041,11750
436,12545,3643,14366
437,11533,3577,13670
438,45910,5786,49858
439,9666,3674,11740
440,6675,3258,8551
441,10456,3470,12477
442,10028,3457,12133
443,15591,5755,18437
444,18745,5170,21772
445,10024,3481,11966
446,6581,3426,8548
447,6656,3416,8788
448,7269,4969,9874
449,14636,3508,16853
450,16824,4109,19207
451,38322,3221,40434
452,15690,3692,18037
453,15724,6628,18000
454,13342,4120,15168
455,14119,3492,16110
456,7805,2920,9561
457,40961,5285,43597
458,17342,5088,20506
459,15393,3567,17576
460,13331,3629,15136
461,17202,5251,20191
462,10176,3008,12080
463,10703,3436,12665
464,16859,5080,19754
465,10769,3410,12532
466,6267,3161,8028
467,44059,5714,47413
468,17288,5499,20168
469,22148,22827,25231
470,11360,3333,13283
471,17210,5187,20430
472,14158,5193,16910
473,15219,3658,17313
474,13705,3653,15679
475,6205,3131,7827
476,12543,4632,14956
477,14741,3812,17076
478,8176,3157,9923
479,15041,4847,17813
480,14986,5225,17702
481,16066,4878,18888
482,7900,4530,10429
483,14091,4822,16779
484,17804,5250,20625
485,11878,4788,14864
486,15334,5270,18189
487,16802,5806,19645
488,16615,7285,39284
489,13465,3787,15382
490,12752,3709,14854
491,7652,4661,10094
492,9158,4415,11694
493,6784,3075,8382
494,16313,16985,28754
495,17199,5014,20169
496,43176,4912,46558
497,13365,4956,16079
498,5582,3023,7107
499,9906,4847,12872
500,10113,3891,12017
501,17747,5348,20909
502,6025,2928,7491
503,9527,3488,11245
504,13693,3331,15957
505,17371,5462,20413
506,15442,3878,17540
507,6097,3340,7693
508,11911,3858,14084
509,7007,3264,9035
510,4027,2749,5889
511,17239,4020,19794
512,10364,3775,12687
513,9645,3611,11586
514,6550,3673,8485
515,4055,3230,5676
516,4283,3076,6054
517,5234,4085,7641
518,5677,3134,7481
519,3992,3044,5837
520,11957,4286,14117
521,10367,3625,12182
522,17117,5732,20203
523,8285,3386,10001
524,6814,3033,9025
525,6800,3178,8791
526,9005,3009,10938
527,14814,4029,17037
528,5969,3197,7903
529,9401,3394,10970
530,7055,4633,8993
531,6292,3147,8199
532,4295,3112,6149
533,22731,6180,25893
534,7160,4177,9291
535,14062,4669,16773
536,17617,5394,20850
537,9410,4416,11854
538,10488,4060,12239
539,14344,5194,16712
540,11899,3374,14182
541,6139,3065,8062
542,16198,5165,20872
543,15923,4047,18205
544,15357,4994,18229
545,8166,5154,18260
546,14856,4850,17756
547,16033,3908,18176
548,11067,4518,13398
549,12309,4940,14915
550,10539,4911,13369
551,7866,3994,9803
552,14161,4007,16278
553,8745,3502,10492
554,9130,3189,10940
555,14417,3476,16669
