sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780653855814101110,1780653855814112319,1780653855815250336,1780653855815260019,11209,9683,-763,10446,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-58,67,-52,-58,515.888992,27,2091,2418,2040,2307,3797,2091,0,ok
2,1780653855815331751,1780653855815334734,1780653855815369532,1780653855815381407,2983,11875,4446,7429,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-58,67,-52,-58,515.888992,27,2091,2418,2040,2307,3797,2091,0,ok
3,1780653855815476578,1780653855815480362,1780653855815500932,1780653855815504557,3784,3625,-80,3704,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-58,67,-52,-58,515.888992,27,2091,2418,2040,2307,3797,2091,0,ok
4,1780653855815549924,1780653855815552942,1780653855815564033,1780653855815566435,3018,2402,-308,2710,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-58,67,-52,-58,515.888992,27,2091,2418,2040,2307,3797,2091,0,ok
5,1780653855815596084,1780653855815598649,1780653855815609815,1780653855815612153,2565,2338,-114,2451,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-58,67,-52,-58,515.888992,27,2091,2418,2040,2307,3797,2091,0,ok
6,1780653855815641146,1780653855815643581,1780653855815657005,1780653855815659341,2435,2336,-50,2385,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-58,67,-52,-58,515.888992,27,2091,2418,2040,2307,3797,2091,0,ok
7,1780653855815688279,1780653855815690799,1780653855815702310,1780653855815704607,2520,2297,-112,2408,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-58,67,-52,-58,515.888992,27,2091,2418,2040,2307,3797,2091,0,ok
8,1780653855815732788,1780653855815735218,1780653855815746854,1780653855815749186,2430,2332,-49,2381,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-58,67,-52,-58,515.888992,27,2091,2418,2040,2307,3797,2091,0,ok
9,1780653855815777437,1780653855815779843,1780653855815791136,1780653855815793474,2406,2338,-34,2372,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-58,67,-52,-58,515.888992,27,2091,2418,2040,2307,3797,2091,0,ok
10,1780653855815821598,1780653855815823989,1780653855815835627,1780653855815838154,2391,2527,68,2459,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-58,67,-52,-58,515.888992,27,2091,2418,2040,2307,3797,2091,0,ok
