sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780654269733047546,1780654269733050391,1780654269733124488,1780654269733131708,2845,7220,2187,5032,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
2,1780654269733163921,1780654269733166274,1780654269733184726,1780654269733187554,2353,2828,237,2590,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
3,1780654269733213876,1780654269733215969,1780654269733225023,1780654269733227650,2093,2627,267,2360,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
4,1780654269733267301,1780654269733269689,1780654269733281054,1780654269733283417,2388,2363,-13,2375,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
5,1780654269733313852,1780654269733316213,1780654269733328464,1780654269733330849,2361,2385,12,2373,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
6,1780654269733361074,1780654269733363401,1780654269733375274,1780654269733377529,2327,2255,-36,2291,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
7,1780654269733432814,1780654269733435946,1780654269733445716,1780654269733448101,3132,2385,-374,2758,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
8,1780654269733480822,1780654269733483239,1780654269733493769,1780654269733496188,2417,2419,1,2418,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
9,1780654269733526365,1780654269733528719,1780654269733539241,1780654269733541501,2354,2260,-47,2307,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
10,1780654269733571611,1780654269733574128,1780654269733584951,1780654269733587330,2517,2379,-69,2448,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
11,1780654269733622070,1780654269733624490,1780654269733643051,1780654269733645541,2420,2490,35,2455,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
12,1780654269733676083,1780654269733678492,1780654269733688621,1780654269733690903,2409,2282,-64,2345,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
13,1780654269733720053,1780654269733722464,1780654269733732974,1780654269733735249,2411,2275,-68,2343,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
14,1780654269733764687,1780654269733767084,1780654269733812286,1780654269733821705,2397,9419,3511,5908,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
15,1780654269733861757,1780654269733864209,1780654269733889544,1780654269733894841,2452,5297,1422,3874,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
16,1780654269733925591,1780654269733927978,1780654269733961870,1780654269733966567,2387,4697,1155,3542,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
17,1780654269734038628,1780654269734041872,1780654269734056617,1780654269734060522,3244,3905,330,3574,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
18,1780654269734099458,1780654269734101978,1780654269734128253,1780654269734133163,2520,4910,1195,3715,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
19,1780654269734165183,1780654269734167604,1780654269734191727,1780654269734197658,2421,5931,1755,4176,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
20,1780654269734229225,1780654269734231552,1780654269734243968,1780654269734246924,2327,2956,314,2641,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
21,1780654269734276961,1780654269734279284,1780654269734290378,1780654269734292895,2323,2517,97,2420,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
22,1780654269734339907,1780654269734342753,1780654269734411696,1780654269734424801,2846,13105,5129,7975,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
23,1780654269734478966,1780654269734481628,1780654269734500206,1780654269734503750,2662,3544,441,3103,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
24,1780654269734543124,1780654269734545756,1780654269734557307,1780654269734559678,2632,2371,-131,2501,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
25,1780654269734599413,1780654269734601988,1780654269734613204,1780654269734615537,2575,2333,-121,2454,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
26,1780654269734645762,1780654269734648105,1780654269734659641,1780654269734661946,2343,2305,-19,2324,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-61,112,-48,-61,876.416794,24,2054,2434,2016,2128,3574,2054,0,ok
