count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,12301,0,12301,12301,-49,2065
52,12183,0,12183,12183,-49,2065
53,12306,0,12306,12306,-49,2065
54,12192,0,12192,12192,-49,2065
55,12260,0,12260,12260,-49,2065
56,12285,0,12285,12285,-49,2065
57,12242,0,12242,12242,-49,2065
58,12327,0,12327,12327,-49,2065
59,12296,0,12296,12296,-49,2065
60,12303,0,12303,12303,-49,2065
61,12333,0,12333,12333,-49,2065
62,12204,0,12204,12204,-49,2065
63,12298,0,12298,12298,-49,2065
64,12308,0,12308,12308,-49,2065
65,12306,0,12306,12306,-49,2065
66,12216,0,12216,12216,-49,2065
67,12303,0,12303,12303,-49,2065
68,12195,0,12195,12195,-49,2065
69,12252,0,12252,12252,-49,2065
70,12279,0,12279,12279,-49,2065
71,12360,0,12360,12360,-49,2065
72,12279,0,12279,12279,-49,2065
73,12319,0,12319,12319,-49,2065
74,12277,0,12277,12277,-49,2065
75,12201,0,12201,12201,-49,2065
76,12278,0,12278,12278,-49,2065
77,12311,0,12311,12311,-49,2065
78,12264,0,12264,12264,-49,2065
79,12399,0,12399,12399,-49,2065
80,12270,0,12270,12270,-49,2065
81,12219,0,12219,12219,-49,2065
82,12204,0,12204,12204,-49,2065
83,9801,0,9801,9801,-49,2065
84,12372,0,12372,12372,-49,2065
85,12297,0,12297,12297,-49,2065
86,12313,0,12313,12313,-49,2065
87,12389,0,12389,12389,-49,2065
88,12227,0,12227,12227,-49,2065
89,12271,0,12271,12271,-49,2065
90,12347,0,12347,12347,-49,2065
91,12413,0,12413,12413,-49,2065
92,21335,0,21335,21335,-49,2065
93,19376,0,19376,19376,-49,2065
94,12602,0,12602,12602,-49,2065
95,12581,0,12581,12581,-49,2065
96,22477,0,22477,22477,-49,2065
97,15763,0,15763,15763,-49,2065
98,12506,0,12506,12506,-49,2065
99,15504,0,15504,15504,-49,2065
100,12871,0,12871,12871,-49,2065
101,20761,0,20761,20761,-49,2065
102,12528,0,12528,12528,-49,2065
103,12392,0,12392,12392,-49,2065
104,12438,0,12438,12438,-49,2065
105,12309,0,12309,12309,-49,2065
106,12401,0,12401,12401,-49,2065
107,12460,0,12460,12460,-49,2065
108,12513,0,12513,12513,-49,2065
109,12290,0,12290,12290,-49,2065
110,12330,0,12330,12330,-49,2065
111,12390,0,12390,12390,-49,2065
112,12555,0,12555,12555,-49,2065
113,12465,0,12465,12465,-49,2065
114,12342,0,12342,12342,-49,2065
115,12451,0,12451,12451,-49,2065
116,12319,0,12319,12319,-49,2065
117,12413,0,12413,12413,-49,2065
118,12310,0,12310,12310,-49,2065
119,12510,0,12510,12510,-49,2065
120,12646,0,12646,12646,-49,2065
121,12380,0,12380,12380,-49,2065
122,12312,0,12312,12312,-49,2065
123,12436,0,12436,12436,-49,2065
124,12264,0,12264,12264,-49,2065
125,12340,0,12340,12340,-49,2065
126,12338,0,12338,12338,-49,2065
127,12216,0,12216,12216,-49,2065
128,12331,0,12331,12331,-49,2065
129,12273,0,12273,12273,-49,2065
130,12266,0,12266,12266,-49,2065
131,17056,0,17056,17056,-49,2065
132,14817,0,14817,14817,-49,2065
133,12585,0,12585,12585,-49,2065
134,12323,0,12323,12323,-49,2065
135,12417,0,12417,12417,-49,2065
136,12287,0,12287,12287,-49,2065
137,12202,0,12202,12202,-49,2065
138,12391,0,12391,12391,-49,2065
139,12350,0,12350,12350,-49,2065
140,12752,0,12752,12752,-49,2065
141,12641,0,12641,12641,-49,2065
142,12586,0,12586,12586,-49,2065
143,12822,0,12822,12822,-49,2065
144,12616,0,12616,12616,-49,2065
145,12420,0,12420,12420,-49,2065
146,22495,0,22495,22495,-49,2065
147,15559,0,15559,15559,-49,2065
148,12675,0,12675,12675,-49,2065
149,15007,0,15007,15007,-49,2065
150,17052,0,17052,17052,-49,2065
151,14526,0,14526,14526,-49,2065
152,16552,0,16552,16552,-49,2065
153,12855,0,12855,12855,-49,2065
154,17360,0,17360,17360,-49,2065
155,12640,0,12640,12640,-49,2065
156,12357,0,12357,12357,-49,2065
157,12608,0,12608,12608,-49,2065
158,12490,0,12490,12490,-49,2065
159,12378,0,12378,12378,-49,2065
160,12438,0,12438,12438,-49,2065
161,12400,0,12400,12400,-49,2065
162,12194,0,12194,12194,-49,2065
163,12286,0,12286,12286,-49,2065
164,12649,0,12649,12649,-49,2065
165,12566,0,12566,12566,-49,2065
166,12269,0,12269,12269,-49,2065
167,12448,0,12448,12448,-49,2065
168,12396,0,12396,12396,-49,2065
169,12275,0,12275,12275,-49,2065
170,12300,0,12300,12300,-49,2065
171,12500,0,12500,12500,-49,2065
172,12464,0,12464,12464,-49,2065
173,12209,0,12209,12209,-49,2065
174,12355,0,12355,12355,-49,2065
175,12306,0,12306,12306,-49,2065
176,12311,0,12311,12311,-49,2065
177,12413,0,12413,12413,-49,2065
178,10557,0,10557,10557,-49,2065
179,15404,0,15404,15404,-49,2065
180,12496,0,12496,12496,-49,2065
181,12421,0,12421,12421,-49,2065
182,12238,0,12238,12238,-49,2065
183,12751,0,12751,12751,-49,2065
184,12246,0,12246,12246,-49,2065
185,12160,0,12160,12160,-49,2065
186,12233,0,12233,12233,-49,2065
187,12525,0,12525,12525,-49,2065
188,6445,0,6445,6445,-49,2065
189,6160,0,6160,6160,-49,2065
190,6037,0,6037,6037,-49,2065
191,6269,0,6269,6269,-49,2065
192,6012,0,6012,6012,-49,2065
193,5987,0,5987,5987,-49,2065
194,20289,0,20289,20289,-49,2065
195,12745,0,12745,12745,-49,2065
196,12506,0,12506,12506,-49,2065
197,12489,0,12489,12489,-49,2065
198,12596,0,12596,12596,-49,2065
199,12429,0,12429,12429,-49,2065
200,12426,0,12426,12426,-49,2065
201,12455,0,12455,12455,-49,2065
202,12434,0,12434,12434,-49,2065
203,12435,0,12435,12435,-49,2065
204,12439,0,12439,12439,-49,2065
205,12793,0,12793,12793,-49,2065
206,12397,0,12397,12397,-49,2065
207,12459,0,12459,12459,-49,2065
208,12955,0,12955,12955,-49,2065
209,12483,0,12483,12483,-49,2065
210,12627,0,12627,12627,-49,2065
211,12300,0,12300,12300,-49,2065
212,12436,0,12436,12436,-49,2065
213,12620,0,12620,12620,-49,2065
214,12456,0,12456,12456,-49,2065
215,12632,0,12632,12632,-49,2065
216,12710,0,12710,12710,-49,2065
217,12708,0,12708,12708,-49,2065
218,12595,0,12595,12595,-49,2065
219,24095,0,24095,24095,-49,2065
220,13564,0,13564,13564,-49,2065
221,13657,0,13657,13657,-49,2065
222,13156,0,13156,13156,-49,2065
223,17685,0,17685,17685,-49,2065
224,25049,0,25049,25049,-49,2065
225,45991,0,45991,45991,-49,2065
226,12959,0,12959,12959,-49,2065
227,13365,0,13365,13365,-49,2065
228,12721,0,12721,12721,-49,2065
