count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,1295289,0,1295289,0,0
52,1289219,0,1289219,0,0
53,1284813,0,1284813,0,0
54,1280519,0,1280519,0,0
55,1290735,0,1290735,0,0
56,1286354,0,1286354,0,0
57,1282008,0,1282008,0,0
58,1277653,0,1277653,0,0
59,1273344,0,1273344,0,0
60,1269058,0,1269058,0,0
61,1961123,0,1961123,0,0
62,1956846,0,1956846,0,0
63,1952473,0,1952473,0,0
64,1946347,0,1946347,0,0
65,1940476,0,1940476,0,0
66,1936191,0,1936191,0,0
67,1931635,0,1931635,0,0
68,1927093,0,1927093,0,0
69,1914163,0,1914163,0,0
70,1906397,0,1906397,0,0
71,1900848,0,1900848,0,0
72,1896038,0,1896038,0,0
73,1891137,0,1891137,0,0
74,1886797,0,1886797,0,0
75,1882368,0,1882368,0,0
76,1878046,0,1878046,0,0
77,1881910,0,1881910,0,0
78,1877545,0,1877545,0,0
79,1873224,0,1873224,0,0
80,1868918,0,1868918,0,0
81,1864518,0,1864518,0,0
82,1860192,0,1860192,0,0
83,1855869,0,1855869,0,0
84,1851591,0,1851591,0,0
85,1860265,0,1860265,0,0
86,1855908,0,1855908,0,0
87,1851449,0,1851449,0,0
88,1847020,0,1847020,0,0
89,1438082,0,1438082,0,0
90,1427671,0,1427671,0,0
91,2115480,0,2115480,0,0
92,2110420,0,2110420,0,0
93,2105800,0,2105800,0,0
94,2101289,0,2101289,0,0
95,2096929,0,2096929,0,0
96,2092600,0,2092600,0,0
97,2088132,0,2088132,0,0
98,2083599,0,2083599,0,0
99,2110040,0,2110040,0,0
100,2105755,0,2105755,0,0
101,2101380,0,2101380,0,0
102,2096286,0,2096286,0,0
103,2091680,0,2091680,0,0
104,2087016,0,2087016,0,0
105,2082328,0,2082328,0,0
106,2076231,0,2076231,0,0
107,2080937,0,2080937,0,0
108,2076389,0,2076389,0,0
109,2071864,0,2071864,0,0
110,2066835,0,2066835,0,0
111,2062154,0,2062154,0,0
112,2057810,0,2057810,0,0
113,2053400,0,2053400,0,0
114,2048425,0,2048425,0,0
115,2055626,0,2055626,0,0
116,2051025,0,2051025,0,0
117,2046659,0,2046659,0,0
118,1438327,0,1438327,0,0
119,1427932,0,1427932,0,0
120,1422378,0,1422378,0,0
121,2135153,0,2135153,0,0
122,2129924,0,2129924,0,0
123,2122745,0,2122745,0,0
124,2118065,0,2118065,0,0
125,2113611,0,2113611,0,0
126,2109230,0,2109230,0,0
127,2104120,0,2104120,0,0
128,2099557,0,2099557,0,0
129,2125854,0,2125854,0,0
130,2121224,0,2121224,0,0
131,2116620,0,2116620,0,0
132,2112105,0,2112105,0,0
133,2107184,0,2107184,0,0
134,2102747,0,2102747,0,0
135,2098379,0,2098379,0,0
136,2093890,0,2093890,0,0
