count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,36461,0,36461,0,0
52,123152,0,123152,0,0
53,103912,0,103912,0,0
54,76070,0,76070,0,0
55,192861,0,192861,0,0
56,83398,0,83398,0,0
57,110549,0,110549,0,0
58,75957,0,75957,0,0
59,63113,0,63113,0,0
60,136734,0,136734,0,0
61,49179,0,49179,0,0
62,57904,0,57904,0,0
63,85762,0,85762,0,0
64,133467,0,133467,0,0
65,109199,0,109199,0,0
66,78948,0,78948,0,0
67,55739,0,55739,0,0
68,92875,0,92875,0,0
69,82396,0,82396,0,0
70,78576,0,78576,0,0
71,160468,0,160468,0,0
72,254362,0,254362,0,0
73,121719,0,121719,0,0
74,130776,0,130776,0,0
75,108708,0,108708,0,0
76,78476,0,78476,0,0
77,86225,0,86225,0,0
78,102428,0,102428,0,0
79,97378,0,97378,0,0
80,117240,0,117240,0,0
81,93251,0,93251,0,0
82,104493,0,104493,0,0
83,75068,0,75068,0,0
84,83424,0,83424,0,0
85,53522,0,53522,0,0
86,77340,0,77340,0,0
87,66466,0,66466,0,0
88,116563,0,116563,0,0
89,85264,0,85264,0,0
90,100034,0,100034,0,0
91,76398,0,76398,0,0
92,84096,0,84096,0,0
93,61519,0,61519,0,0
94,73240,0,73240,0,0
95,76293,0,76293,0,0
96,47763,0,47763,0,0
97,86202,0,86202,0,0
98,93352,0,93352,0,0
99,75982,0,75982,0,0
100,94685,0,94685,0,0
101,76394,0,76394,0,0
102,90480,0,90480,0,0
103,68408,0,68408,0,0
104,111638,0,111638,0,0
105,90332,0,90332,0,0
106,77327,0,77327,0,0
107,109281,0,109281,0,0
108,143174,0,143174,0,0
109,81789,0,81789,0,0
110,102720,0,102720,0,0
111,109673,0,109673,0,0
112,36348,0,36348,0,0
113,101923,0,101923,0,0
114,97402,0,97402,0,0
115,50026,0,50026,0,0
116,106228,0,106228,0,0
117,107703,0,107703,0,0
118,81180,0,81180,0,0
119,92851,0,92851,0,0
120,107784,0,107784,0,0
121,128730,0,128730,0,0
122,122062,0,122062,0,0
123,231790,0,231790,0,0
124,122216,0,122216,0,0
125,238751,0,238751,0,0
126,128951,0,128951,0,0
127,89315,0,89315,0,0
128,82179,0,82179,0,0
129,88960,0,88960,0,0
130,84206,0,84206,0,0
131,132620,0,132620,0,0
132,94097,0,94097,0,0
133,87611,0,87611,0,0
134,102010,0,102010,0,0
135,104779,0,104779,0,0
136,103915,0,103915,0,0
137,103111,0,103111,0,0
138,79119,0,79119,0,0
139,105749,0,105749,0,0
140,66821,0,66821,0,0
141,86585,0,86585,0,0
142,76296,0,76296,0,0
143,87341,0,87341,0,0
144,87250,0,87250,0,0
145,90107,0,90107,0,0
146,96523,0,96523,0,0
147,62376,0,62376,0,0
148,83886,0,83886,0,0
149,111522,0,111522,0,0
150,48731,0,48731,0,0
151,74880,0,74880,0,0
152,83869,0,83869,0,0
153,89047,0,89047,0,0
154,84997,0,84997,0,0
155,91305,0,91305,0,0
156,77033,0,77033,0,0
157,67708,0,67708,0,0
158,107477,0,107477,0,0
159,77490,0,77490,0,0
160,142623,0,142623,0,0
161,97440,0,97440,0,0
162,76899,0,76899,0,0
163,96498,0,96498,0,0
164,61819,0,61819,0,0
165,99906,0,99906,0,0
166,75000,0,75000,0,0
167,72949,0,72949,0,0
168,100338,0,100338,0,0
169,83883,0,83883,0,0
170,70682,0,70682,0,0
171,92729,0,92729,0,0
172,80899,0,80899,0,0
173,64643,0,64643,0,0
174,212448,0,212448,0,0
175,89908,0,89908,0,0
176,201630,0,201630,0,0
177,105118,0,105118,0,0
178,122410,0,122410,0,0
179,279038,0,279038,0,0
180,112041,0,112041,0,0
181,158463,0,158463,0,0
182,118072,0,118072,0,0
183,162068,0,162068,0,0
184,98319,0,98319,0,0
185,68839,0,68839,0,0
186,193023,0,193023,0,0
187,75145,0,75145,0,0
188,102416,0,102416,0,0
189,150668,0,150668,0,0
190,145271,0,145271,0,0
191,211882,0,211882,0,0
192,102219,0,102219,0,0
193,92518,0,92518,0,0
194,94186,0,94186,0,0
195,82155,0,82155,0,0
196,81546,0,81546,0,0
197,93036,0,93036,0,0
198,128132,0,128132,0,0
199,90661,0,90661,0,0
200,110442,0,110442,0,0
201,120623,0,120623,0,0
202,34501,0,34501,0,0
203,92421,0,92421,0,0
204,43531,0,43531,0,0
205,125055,0,125055,0,0
206,70281,0,70281,0,0
207,119603,0,119603,0,0
208,177208,0,177208,0,0
209,66743,0,66743,0,0
210,91981,0,91981,0,0
211,75167,0,75167,0,0
212,128978,0,128978,0,0
213,42004,0,42004,0,0
214,82875,0,82875,0,0
215,75843,0,75843,0,0
216,112351,0,112351,0,0
217,103549,0,103549,0,0
218,96612,0,96612,0,0
219,57884,0,57884,0,0
220,106848,0,106848,0,0
221,83405,0,83405,0,0
222,68710,0,68710,0,0
223,105892,0,105892,0,0
224,81370,0,81370,0,0
225,100638,0,100638,0,0
226,83969,0,83969,0,0
227,78163,0,78163,0,0
228,81621,0,81621,0,0
229,109969,0,109969,0,0
230,87474,0,87474,0,0
231,57363,0,57363,0,0
232,62319,0,62319,0,0
233,99781,0,99781,0,0
234,85418,0,85418,0,0
235,67620,0,67620,0,0
236,59982,0,59982,0,0
237,60843,0,60843,0,0
238,80019,0,80019,0,0
239,64225,0,64225,0,0
240,82282,0,82282,0,0
241,128683,0,128683,0,0
242,72890,0,72890,0,0
243,76295,0,76295,0,0
244,89257,0,89257,0,0
245,92105,0,92105,0,0
246,95351,0,95351,0,0
247,93591,0,93591,0,0
248,100960,0,100960,0,0
249,59171,0,59171,0,0
250,47715,0,47715,0,0
251,228873,0,228873,0,0
252,118102,0,118102,0,0
253,51286,0,51286,0,0
254,139542,0,139542,0,0
255,186618,0,186618,0,0
256,77420,0,77420,0,0
257,104620,0,104620,0,0
258,108772,0,108772,0,0
259,71958,0,71958,0,0
260,250972,0,250972,0,0
261,126062,0,126062,0,0
262,227914,0,227914,0,0
263,111085,0,111085,0,0
264,97773,0,97773,0,0
266,123530,0,123530,0,0
265,216219,0,216219,0,0
267,129555,0,129555,0,0
268,180909,0,180909,0,0
269,135525,0,135525,0,0
270,154704,0,154704,0,0
271,69537,0,69537,0,0
272,247099,0,247099,0,0
273,142450,0,142450,0,0
274,63189,0,63189,0,0
275,153273,0,153273,0,0
276,49892,0,49892,0,0
277,184266,0,184266,0,0
278,53986,0,53986,0,0
279,126342,0,126342,0,0
280,121594,0,121594,0,0
281,87587,0,87587,0,0
282,171278,0,171278,0,0
283,154998,0,154998,0,0
284,56134,0,56134,0,0
285,81932,0,81932,0,0
286,203629,0,203629,0,0
287,80268,0,80268,0,0
288,85695,0,85695,0,0
289,87555,0,87555,0,0
290,147618,0,147618,0,0
291,152769,0,152769,0,0
292,78157,0,78157,0,0
293,123005,0,123005,0,0
294,146954,0,146954,0,0
295,65751,0,65751,0,0
296,108773,0,108773,0,0
297,92425,0,92425,0,0
298,83173,0,83173,0,0
299,79836,0,79836,0,0
