count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,192190,0,192190,0,0
52,74159,0,74159,0,0
53,103591,0,103591,0,0
54,97706,0,97706,0,0
55,97878,0,97878,0,0
56,73948,0,73948,0,0
57,71439,0,71439,0,0
58,88423,0,88423,0,0
59,82061,0,82061,0,0
60,105321,0,105321,0,0
61,89466,0,89466,0,0
62,83174,0,83174,0,0
63,76507,0,76507,0,0
64,129709,0,129709,0,0
65,86074,0,86074,0,0
66,95898,0,95898,0,0
67,75574,0,75574,0,0
68,69401,0,69401,0,0
69,82570,0,82570,0,0
70,84295,0,84295,0,0
71,70372,0,70372,0,0
72,83887,0,83887,0,0
73,100264,0,100264,0,0
74,102461,0,102461,0,0
75,84564,0,84564,0,0
76,82672,0,82672,0,0
77,84200,0,84200,0,0
78,91737,0,91737,0,0
79,116355,0,116355,0,0
80,81326,0,81326,0,0
81,77783,0,77783,0,0
82,74018,0,74018,0,0
83,81026,0,81026,0,0
84,74928,0,74928,0,0
85,108892,0,108892,0,0
86,77247,0,77247,0,0
87,67180,0,67180,0,0
88,104612,0,104612,0,0
89,77336,0,77336,0,0
90,150443,0,150443,0,0
91,124345,0,124345,0,0
92,104052,0,104052,0,0
93,178044,0,178044,0,0
94,121343,0,121343,0,0
95,119170,0,119170,0,0
96,110668,0,110668,0,0
97,142163,0,142163,0,0
98,109044,0,109044,0,0
99,94807,0,94807,0,0
100,91446,0,91446,0,0
101,107126,0,107126,0,0
102,101308,0,101308,0,0
103,81715,0,81715,0,0
104,84806,0,84806,0,0
105,124276,0,124276,0,0
106,90314,0,90314,0,0
107,95093,0,95093,0,0
108,115197,0,115197,0,0
109,102999,0,102999,0,0
110,123623,0,123623,0,0
111,83130,0,83130,0,0
112,84125,0,84125,0,0
113,91291,0,91291,0,0
114,71225,0,71225,0,0
115,75435,0,75435,0,0
116,71722,0,71722,0,0
117,75482,0,75482,0,0
118,93289,0,93289,0,0
119,91508,0,91508,0,0
120,84035,0,84035,0,0
121,87136,0,87136,0,0
122,105193,0,105193,0,0
123,79244,0,79244,0,0
124,76752,0,76752,0,0
125,98574,0,98574,0,0
126,110466,0,110466,0,0
127,86995,0,86995,0,0
128,93987,0,93987,0,0
129,186821,0,186821,0,0
130,64972,0,64972,0,0
131,92982,0,92982,0,0
132,96116,0,96116,0,0
133,99542,0,99542,0,0
134,104109,0,104109,0,0
135,107751,0,107751,0,0
136,109021,0,109021,0,0
137,90569,0,90569,0,0
138,74851,0,74851,0,0
139,98079,0,98079,0,0
140,79929,0,79929,0,0
141,105846,0,105846,0,0
142,93326,0,93326,0,0
143,75706,0,75706,0,0
144,107709,0,107709,0,0
145,117206,0,117206,0,0
146,78454,0,78454,0,0
147,98743,0,98743,0,0
148,116736,0,116736,0,0
149,45520,0,45520,0,0
150,77536,0,77536,0,0
151,98674,0,98674,0,0
152,113535,0,113535,0,0
153,89705,0,89705,0,0
154,116235,0,116235,0,0
155,76034,0,76034,0,0
156,68011,0,68011,0,0
157,66779,0,66779,0,0
158,59113,0,59113,0,0
159,106500,0,106500,0,0
160,73094,0,73094,0,0
161,68677,0,68677,0,0
162,99377,0,99377,0,0
163,101589,0,101589,0,0
164,110962,0,110962,0,0
165,117480,0,117480,0,0
166,105900,0,105900,0,0
167,106856,0,106856,0,0
168,85938,0,85938,0,0
169,77302,0,77302,0,0
170,104129,0,104129,0,0
171,86007,0,86007,0,0
172,98134,0,98134,0,0
173,84134,0,84134,0,0
174,92315,0,92315,0,0
175,186853,0,186853,0,0
176,98675,0,98675,0,0
177,109172,0,109172,0,0
178,119899,0,119899,0,0
179,111572,0,111572,0,0
180,105860,0,105860,0,0
181,190158,0,190158,0,0
182,64152,0,64152,0,0
183,145964,0,145964,0,0
184,149625,0,149625,0,0
185,85211,0,85211,0,0
186,91069,0,91069,0,0
187,116478,0,116478,0,0
188,87612,0,87612,0,0
189,77033,0,77033,0,0
190,78107,0,78107,0,0
191,77764,0,77764,0,0
192,81806,0,81806,0,0
193,78625,0,78625,0,0
194,85025,0,85025,0,0
195,68821,0,68821,0,0
196,81642,0,81642,0,0
197,77554,0,77554,0,0
198,89397,0,89397,0,0
199,108778,0,108778,0,0
200,112914,0,112914,0,0
201,84376,0,84376,0,0
202,108084,0,108084,0,0
203,77374,0,77374,0,0
204,85797,0,85797,0,0
205,112736,0,112736,0,0
206,88165,0,88165,0,0
207,77641,0,77641,0,0
208,78859,0,78859,0,0
209,86004,0,86004,0,0
210,74779,0,74779,0,0
211,78239,0,78239,0,0
212,64403,0,64403,0,0
213,81707,0,81707,0,0
214,69588,0,69588,0,0
215,80711,0,80711,0,0
216,85401,0,85401,0,0
217,66777,0,66777,0,0
218,70107,0,70107,0,0
219,67602,0,67602,0,0
220,66739,0,66739,0,0
221,74635,0,74635,0,0
222,73539,0,73539,0,0
223,108306,0,108306,0,0
224,103639,0,103639,0,0
225,105100,0,105100,0,0
226,111001,0,111001,0,0
227,78975,0,78975,0,0
228,73629,0,73629,0,0
229,158939,0,158939,0,0
230,91840,0,91840,0,0
231,113374,0,113374,0,0
232,130658,0,130658,0,0
233,103270,0,103270,0,0
234,105487,0,105487,0,0
235,106501,0,106501,0,0
236,64229,0,64229,0,0
237,122040,0,122040,0,0
238,81391,0,81391,0,0
239,82492,0,82492,0,0
240,61561,0,61561,0,0
241,74063,0,74063,0,0
242,96971,0,96971,0,0
243,86677,0,86677,0,0
244,83034,0,83034,0,0
245,91781,0,91781,0,0
246,84831,0,84831,0,0
247,150009,0,150009,0,0
248,71132,0,71132,0,0
249,75333,0,75333,0,0
250,90634,0,90634,0,0
251,102222,0,102222,0,0
252,120362,0,120362,0,0
253,87690,0,87690,0,0
254,91125,0,91125,0,0
255,121286,0,121286,0,0
256,88044,0,88044,0,0
257,88072,0,88072,0,0
258,87834,0,87834,0,0
259,93100,0,93100,0,0
260,93447,0,93447,0,0
261,103935,0,103935,0,0
262,126634,0,126634,0,0
263,98301,0,98301,0,0
264,89028,0,89028,0,0
265,101820,0,101820,0,0
266,89948,0,89948,0,0
267,88877,0,88877,0,0
268,84182,0,84182,0,0
269,115317,0,115317,0,0
270,86975,0,86975,0,0
271,82395,0,82395,0,0
272,80164,0,80164,0,0
273,109105,0,109105,0,0
274,75424,0,75424,0,0
275,80406,0,80406,0,0
276,72506,0,72506,0,0
277,88269,0,88269,0,0
278,80340,0,80340,0,0
279,111541,0,111541,0,0
280,93292,0,93292,0,0
281,71974,0,71974,0,0
282,79107,0,79107,0,0
283,62416,0,62416,0,0
284,102602,0,102602,0,0
285,74544,0,74544,0,0
286,75900,0,75900,0,0
287,83784,0,83784,0,0
288,74591,0,74591,0,0
289,62055,0,62055,0,0
290,68985,0,68985,0,0
291,75257,0,75257,0,0
292,103893,0,103893,0,0
293,85746,0,85746,0,0
294,91934,0,91934,0,0
295,110905,0,110905,0,0
296,91522,0,91522,0,0
297,86654,0,86654,0,0
298,86117,0,86117,0,0
299,84339,0,84339,0,0
300,96578,0,96578,0,0
301,122684,0,122684,0,0
302,86380,0,86380,0,0
303,111260,0,111260,0,0
304,68914,0,68914,0,0
305,76936,0,76936,0,0
306,91583,0,91583,0,0
307,67196,0,67196,0,0
308,88269,0,88269,0,0
309,81427,0,81427,0,0
310,116796,0,116796,0,0
311,92441,0,92441,0,0
312,69228,0,69228,0,0
313,71484,0,71484,0,0
314,76357,0,76357,0,0
315,80735,0,80735,0,0
316,98533,0,98533,0,0
317,66719,0,66719,0,0
318,73847,0,73847,0,0
319,70480,0,70480,0,0
320,63797,0,63797,0,0
321,106824,0,106824,0,0
322,85026,0,85026,0,0
323,91490,0,91490,0,0
324,65083,0,65083,0,0
325,79103,0,79103,0,0
326,68116,0,68116,0,0
327,70578,0,70578,0,0
328,74424,0,74424,0,0
329,86113,0,86113,0,0
330,79761,0,79761,0,0
331,203295,0,203295,0,0
332,97817,0,97817,0,0
333,111112,0,111112,0,0
334,155466,0,155466,0,0
335,208163,0,208163,0,0
336,122743,0,122743,0,0
337,93341,0,93341,0,0
338,98017,0,98017,0,0
339,136858,0,136858,0,0
340,75947,0,75947,0,0
341,132779,0,132779,0,0
342,100740,0,100740,0,0
343,107875,0,107875,0,0
344,127316,0,127316,0,0
345,139294,0,139294,0,0
346,141232,0,141232,0,0
347,129249,0,129249,0,0
348,98162,0,98162,0,0
349,114888,0,114888,0,0
350,111096,0,111096,0,0
351,75600,0,75600,0,0
352,66628,0,66628,0,0
353,68506,0,68506,0,0
354,82790,0,82790,0,0
355,96256,0,96256,0,0
356,85546,0,85546,0,0
357,90192,0,90192,0,0
358,91555,0,91555,0,0
359,93705,0,93705,0,0
360,118643,0,118643,0,0
361,75997,0,75997,0,0
362,81704,0,81704,0,0
363,72364,0,72364,0,0
364,75902,0,75902,0,0
365,68420,0,68420,0,0
366,94049,0,94049,0,0
367,90762,0,90762,0,0
368,68684,0,68684,0,0
369,121285,0,121285,0,0
370,50309,0,50309,0,0
371,118952,0,118952,0,0
372,183399,0,183399,0,0
373,76106,0,76106,0,0
374,98820,0,98820,0,0
375,75798,0,75798,0,0
376,135059,0,135059,0,0
377,61778,0,61778,0,0
378,90180,0,90180,0,0
379,69090,0,69090,0,0
380,89164,0,89164,0,0
381,70316,0,70316,0,0
382,70807,0,70807,0,0
383,68285,0,68285,0,0
384,118902,0,118902,0,0
385,47650,0,47650,0,0
386,75174,0,75174,0,0
387,60660,0,60660,0,0
388,90131,0,90131,0,0
389,79876,0,79876,0,0
390,87139,0,87139,0,0
391,69979,0,69979,0,0
392,70896,0,70896,0,0
393,98068,0,98068,0,0
394,93377,0,93377,0,0
395,74112,0,74112,0,0
396,97554,0,97554,0,0
397,75931,0,75931,0,0
398,89333,0,89333,0,0
399,80925,0,80925,0,0
400,73889,0,73889,0,0
401,77132,0,77132,0,0
402,72265,0,72265,0,0
403,52425,0,52425,0,0
404,89611,0,89611,0,0
405,71204,0,71204,0,0
406,62104,0,62104,0,0
407,73690,0,73690,0,0
408,98468,0,98468,0,0
409,75450,0,75450,0,0
410,79586,0,79586,0,0
411,111744,0,111744,0,0
412,69764,0,69764,0,0
413,67425,0,67425,0,0
414,85519,0,85519,0,0
415,80371,0,80371,0,0
416,69689,0,69689,0,0
417,62574,0,62574,0,0
418,102437,0,102437,0,0
419,102958,0,102958,0,0
420,125703,0,125703,0,0
421,119042,0,119042,0,0
422,98588,0,98588,0,0
423,145854,0,145854,0,0
424,59539,0,59539,0,0
425,95126,0,95126,0,0
426,70516,0,70516,0,0
427,83669,0,83669,0,0
428,98204,0,98204,0,0
429,114533,0,114533,0,0
430,52150,0,52150,0,0
431,74274,0,74274,0,0
432,61189,0,61189,0,0
433,81972,0,81972,0,0
434,97609,0,97609,0,0
435,211331,0,211331,0,0
436,73849,0,73849,0,0
437,78183,0,78183,0,0
438,104473,0,104473,0,0
439,101161,0,101161,0,0
440,59996,0,59996,0,0
441,130417,0,130417,0,0
442,88775,0,88775,0,0
443,87634,0,87634,0,0
444,84069,0,84069,0,0
445,80224,0,80224,0,0
446,94864,0,94864,0,0
447,109135,0,109135,0,0
448,82759,0,82759,0,0
449,86566,0,86566,0,0
450,75325,0,75325,0,0
451,70086,0,70086,0,0
452,101861,0,101861,0,0
453,72060,0,72060,0,0
454,71165,0,71165,0,0
455,92326,0,92326,0,0
456,67206,0,67206,0,0
457,93055,0,93055,0,0
458,94685,0,94685,0,0
459,77750,0,77750,0,0
460,67930,0,67930,0,0
461,92442,0,92442,0,0
462,89476,0,89476,0,0
463,82472,0,82472,0,0
464,73176,0,73176,0,0
465,75719,0,75719,0,0
466,84136,0,84136,0,0
467,80694,0,80694,0,0
468,72944,0,72944,0,0
469,119163,0,119163,0,0
470,80573,0,80573,0,0
471,81884,0,81884,0,0
472,90757,0,90757,0,0
473,69740,0,69740,0,0
474,70394,0,70394,0,0
475,71070,0,71070,0,0
476,81268,0,81268,0,0
477,71462,0,71462,0,0
478,121063,0,121063,0,0
479,78663,0,78663,0,0
480,153896,0,153896,0,0
481,62607,0,62607,0,0
482,71638,0,71638,0,0
483,71547,0,71547,0,0
484,69602,0,69602,0,0
485,81147,0,81147,0,0
486,111697,0,111697,0,0
487,94848,0,94848,0,0
488,102461,0,102461,0,0
489,88970,0,88970,0,0
490,102871,0,102871,0,0
491,96419,0,96419,0,0
492,79253,0,79253,0,0
493,77325,0,77325,0,0
494,81968,0,81968,0,0
495,84209,0,84209,0,0
496,73671,0,73671,0,0
497,81134,0,81134,0,0
498,67014,0,67014,0,0
499,74461,0,74461,0,0
500,96876,0,96876,0,0
501,99050,0,99050,0,0
502,110075,0,110075,0,0
503,86511,0,86511,0,0
504,101679,0,101679,0,0
505,110766,0,110766,0,0
506,82706,0,82706,0,0
507,78555,0,78555,0,0
508,113110,0,113110,0,0
509,86294,0,86294,0,0
510,94119,0,94119,0,0
511,154341,0,154341,0,0
512,105095,0,105095,0,0
513,120964,0,120964,0,0
514,115011,0,115011,0,0
515,115641,0,115641,0,0
516,78673,0,78673,0,0
517,89938,0,89938,0,0
518,119062,0,119062,0,0
519,88709,0,88709,0,0
520,127502,0,127502,0,0
521,43863,0,43863,0,0
522,93815,0,93815,0,0
523,73471,0,73471,0,0
524,88656,0,88656,0,0
525,101668,0,101668,0,0
526,94977,0,94977,0,0
527,72231,0,72231,0,0
528,69227,0,69227,0,0
529,66226,0,66226,0,0
530,100501,0,100501,0,0
531,49382,0,49382,0,0
532,82718,0,82718,0,0
533,77651,0,77651,0,0
534,90357,0,90357,0,0
535,82812,0,82812,0,0
536,69995,0,69995,0,0
537,67879,0,67879,0,0
538,86309,0,86309,0,0
539,161584,0,161584,0,0
540,89418,0,89418,0,0
541,88703,0,88703,0,0
542,107023,0,107023,0,0
543,117468,0,117468,0,0
544,103831,0,103831,0,0
545,153957,0,153957,0,0
546,65663,0,65663,0,0
547,76120,0,76120,0,0
548,106473,0,106473,0,0
549,107471,0,107471,0,0
550,77016,0,77016,0,0
551,79870,0,79870,0,0
552,68933,0,68933,0,0
553,66312,0,66312,0,0
554,94286,0,94286,0,0
555,79246,0,79246,0,0
556,75082,0,75082,0,0
557,72245,0,72245,0,0
558,67516,0,67516,0,0
559,74623,0,74623,0,0
560,160442,0,160442,0,0
