count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,259047,0,259047,0,0
52,200596,0,200596,0,0
53,162654,0,162654,0,0
54,375581,0,375581,0,0
55,317127,0,317127,0,0
56,253053,0,253053,0,0
57,214310,0,214310,0,0
58,155978,0,155978,0,0
59,101390,0,101390,0,0
60,238208,0,238208,0,0
61,179922,0,179922,0,0
62,122238,0,122238,0,0
63,390233,0,390233,0,0
64,332570,0,332570,0,0
65,274521,0,274521,0,0
66,237518,0,237518,0,0
67,258829,0,258829,0,0
68,205525,0,205525,0,0
69,321990,0,321990,0,0
70,263346,0,263346,0,0
71,373157,0,373157,0,0
72,313872,0,313872,0,0
73,501756,0,501756,0,0
74,443578,0,443578,0,0
75,385485,0,385485,0,0
76,327652,0,327652,0,0
77,458207,0,458207,0,0
78,400285,0,400285,0,0
79,364114,0,364114,0,0
80,400437,0,400437,0,0
81,340351,0,340351,0,0
82,687447,0,687447,0,0
83,629151,0,629151,0,0
84,571243,0,571243,0,0
85,512639,0,512639,0,0
86,453983,0,453983,0,0
87,395802,0,395802,0,0
88,728766,0,728766,0,0
89,665015,0,665015,0,0
90,604166,0,604166,0,0
91,543674,0,543674,0,0
92,485499,0,485499,0,0
93,552425,0,552425,0,0
94,492889,0,492889,0,0
95,434820,0,434820,0,0
96,990279,0,990279,0,0
97,931190,0,931190,0,0
98,872124,0,872124,0,0
99,813204,0,813204,0,0
100,754929,0,754929,0,0
101,695568,0,695568,0,0
102,637291,0,637291,0,0
103,578635,0,578635,0,0
104,554843,0,554843,0,0
105,659641,0,659641,0,0
106,1237297,0,1237297,0,0
107,1178654,0,1178654,0,0
108,1119578,0,1119578,0,0
109,1054262,0,1054262,0,0
110,990459,0,990459,0,0
111,932199,0,932199,0,0
112,874053,0,874053,0,0
113,841300,0,841300,0,0
114,978651,0,978651,0,0
115,920005,0,920005,0,0
116,855163,0,855163,0,0
117,794708,0,794708,0,0
118,736309,0,736309,0,0
138,460941,0,460941,0,0
119,1601401,0,1601401,0,0
139,397959,0,397959,0,0
