count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,78123,0,78123,0,0
52,113009,0,113009,0,0
53,54477,0,54477,0,0
54,111128,0,111128,0,0
55,52160,0,52160,0,0
56,105673,0,105673,0,0
59,116880,0,116880,0,0
57,259146,0,259146,0,0
58,175049,0,175049,0,0
60,75356,0,75356,0,0
61,70338,0,70338,0,0
62,109795,0,109795,0,0
63,54327,0,54327,0,0
64,78712,0,78712,0,0
65,149861,0,149861,0,0
66,92209,0,92209,0,0
67,88923,0,88923,0,0
68,62825,0,62825,0,0
69,149893,0,149893,0,0
70,86994,0,86994,0,0
71,41928,0,41928,0,0
72,61621,0,61621,0,0
73,69839,0,69839,0,0
74,81309,0,81309,0,0
75,98691,0,98691,0,0
76,105687,0,105687,0,0
77,47412,0,47412,0,0
78,70071,0,70071,0,0
79,62127,0,62127,0,0
80,40511,0,40511,0,0
81,139092,0,139092,0,0
82,80256,0,80256,0,0
83,120135,0,120135,0,0
84,63417,0,63417,0,0
85,58216,0,58216,0,0
86,52248,0,52248,0,0
87,69327,0,69327,0,0
88,171377,0,171377,0,0
89,191600,0,191600,0,0
90,150075,0,150075,0,0
91,142853,0,142853,0,0
92,78095,0,78095,0,0
93,135022,0,135022,0,0
94,79344,0,79344,0,0
95,134388,0,134388,0,0
96,78395,0,78395,0,0
97,78218,0,78218,0,0
98,42760,0,42760,0,0
99,65113,0,65113,0,0
100,80415,0,80415,0,0
101,106942,0,106942,0,0
102,69128,0,69128,0,0
103,112672,0,112672,0,0
104,57204,0,57204,0,0
105,111606,0,111606,0,0
106,75771,0,75771,0,0
107,100540,0,100540,0,0
108,71283,0,71283,0,0
109,80421,0,80421,0,0
110,81598,0,81598,0,0
111,110217,0,110217,0,0
112,76679,0,76679,0,0
113,245042,0,245042,0,0
114,189339,0,189339,0,0
115,163012,0,163012,0,0
116,178891,0,178891,0,0
117,166838,0,166838,0,0
118,109846,0,109846,0,0
119,75182,0,75182,0,0
120,45729,0,45729,0,0
121,124700,0,124700,0,0
122,65546,0,65546,0,0
123,103455,0,103455,0,0
