count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns,loop_gap_ns,recv_block_ns
51,969198,0,969198,0,0,3805,1326
52,968636,0,968636,0,0,4070,1318
53,967117,0,967117,0,0,3517,1234
54,965552,0,965552,0,0,3879,1072
55,963805,0,963805,0,0,2683,1495
56,1029630,0,1029630,0,0,2937,68092
57,1020398,0,1020398,0,0,72645,2140
58,1016372,0,1016372,0,0,4298,1514
59,1014231,0,1014231,0,0,2982,1672
60,1322231,0,1322231,0,0,3354,307887
61,1325429,0,1325429,0,0,316220,2770
62,1324727,0,1324727,0,0,5687,1607
63,1323261,0,1323261,0,0,5305,1921
64,1341331,0,1341331,0,0,20849,3293
65,1340971,0,1340971,0,0,8076,1984
66,1339904,0,1339904,0,0,4358,1869
67,1486754,0,1486754,0,0,3709,144424
68,1492216,0,1492216,0,0,155349,4457
69,1491994,0,1491994,0,0,7639,2153
70,1491010,0,1491010,0,0,4374,1824
71,1490246,0,1490246,0,0,3872,2217
72,1488189,0,1488189,0,0,4179,1782
73,1486579,0,1486579,0,0,3735,1638
74,1483695,0,1483695,0,0,3783,1698
75,1483143,0,1483143,0,0,3653,1569
76,1359665,0,1359665,0,0,4403,1822
77,1345239,0,1345239,0,0,3924,1671
78,1339940,0,1339940,0,0,3758,1614
79,1335384,0,1335384,0,0,3606,1850
80,1331279,0,1331279,0,0,4023,1947
81,1326658,0,1326658,0,0,3729,1602
82,1321857,0,1321857,0,0,3523,1644
83,1318613,0,1318613,0,0,3686,1858
84,1314640,0,1314640,0,0,4232,2095
85,1310789,0,1310789,0,0,4086,2282
86,1298130,0,1298130,0,0,4551,1726
87,1292208,0,1292208,0,0,3490,1809
88,1286400,0,1286400,0,0,3846,1920
89,1516144,0,1516144,0,0,4016,233052
90,1513014,0,1513014,0,0,240646,3633
91,1492295,0,1492295,0,0,6977,2677
92,1488658,0,1488658,0,0,6701,2101
93,1484176,0,1484176,0,0,4284,1758
94,1479715,0,1479715,0,0,3925,1620
95,1475186,0,1475186,0,0,3521,1878
96,1471156,0,1471156,0,0,3819,1878
97,1466542,0,1466542,0,0,3683,1587
98,1462521,0,1462521,0,0,3190,2145
99,1459504,0,1459504,0,0,3890,1686
100,1453982,0,1453982,0,0,4916,1645
101,1446900,0,1446900,0,0,3354,1630
102,1441165,0,1441165,0,0,3461,1491
103,1437399,0,1437399,0,0,3525,2550
104,1504014,0,1504014,0,0,4265,68904
105,1435914,0,1435914,0,0,78097,3119
106,1230180,0,1230180,0,0,6032,1722
107,1225346,0,1225346,0,0,4000,2332
108,1221007,0,1221007,0,0,5687,1959
109,1216396,0,1216396,0,0,4048,2156
110,1261076,0,1261076,0,0,3999,48235
111,1259716,0,1259716,0,0,55128,2860
112,1254023,0,1254023,0,0,4622,1363
113,1247372,0,1247372,0,0,2547,1093
114,1232985,0,1232985,0,0,2133,1127
115,1228008,0,1228008,0,0,2227,1157
116,1221847,0,1221847,0,0,3593,1071
117,1278088,0,1278088,0,0,12883,31687
118,1468726,0,1468726,0,0,76943,170437
119,1470100,0,1470100,0,0,179241,3664
120,1466743,0,1466743,0,0,6972,2072
121,1462473,0,1462473,0,0,4560,1579
122,1457099,0,1457099,0,0,3501,1643
123,1453212,0,1453212,0,0,3680,1749
124,1448721,0,1448721,0,0,5102,1575
125,1444445,0,1444445,0,0,3382,1587
126,1439333,0,1439333,0,0,3509,2125
127,1434752,0,1434752,0,0,3981,2385
128,1428388,0,1428388,0,0,4186,1954
129,1423436,0,1423436,0,0,3686,1985
130,1418696,0,1418696,0,0,3645,1634
131,1415218,0,1415218,0,0,3606,1791
132,1409957,0,1409957,0,0,4933,1684
133,1405269,0,1405269,0,0,3332,1758
134,1463501,0,1463501,0,0,3794,61657
135,1401808,0,1401808,0,0,68120,2473
136,951408,0,951408,0,0,4063,1369
137,901804,0,901804,0,0,2537,1044
138,894277,0,894277,0,0,2095,1470
139,960439,0,960439,0,0,2555,70223
140,957093,0,957093,0,0,75097,1610
141,951281,0,951281,0,0,3145,1103
142,945100,0,945100,0,0,2269,1063
143,928951,0,928951,0,0,2076,1130
144,922768,0,922768,0,0,2102,1318
145,916922,0,916922,0,0,2285,1058
146,911007,0,911007,0,0,2049,1001
147,905953,0,905953,0,0,1991,1375
148,1170638,0,1170638,0,0,3285,267427
149,1171777,0,1171777,0,0,276645,3483
150,1167482,0,1167482,0,0,6264,1595
151,1161554,0,1161554,0,0,3427,2086
152,1156278,0,1156278,0,0,4072,1642
153,1151218,0,1151218,0,0,3453,1582
154,1147244,0,1147244,0,0,3661,1999
155,1291142,0,1291142,0,0,3766,145083
156,1291581,0,1291581,0,0,154979,2954
157,1287733,0,1287733,0,0,5646,1872
158,1283357,0,1283357,0,0,3895,1650
159,1278852,0,1278852,0,0,3278,1501
160,1274281,0,1274281,0,0,3196,1471
161,1269655,0,1269655,0,0,3122,1620
162,1265064,0,1265064,0,0,3569,2436
163,1259482,0,1259482,0,0,4138,1568
164,1253265,0,1253265,0,0,4595,1663
165,1248837,0,1248837,0,0,3480,1551
166,949702,0,949702,0,0,3627,1296
167,942676,0,942676,0,0,2423,1063
168,936635,0,936635,0,0,2061,1277
169,931316,0,931316,0,0,2963,1373
170,926030,0,926030,0,0,3076,1337
171,913647,0,913647,0,0,3182,1619
172,908214,0,908214,0,0,4161,1577
173,903093,0,903093,0,0,3126,1389
174,898651,0,898651,0,0,3427,1405
175,893674,0,893674,0,0,3312,1553
176,887822,0,887822,0,0,3186,1935
177,882845,0,882845,0,0,3615,1691
178,1192651,0,1192651,0,0,3425,312824
179,1324131,0,1324131,0,0,345451,62836
180,1508517,0,1508517,0,0,137883,51015
181,1510512,0,1510512,0,0,169980,4360
182,1506573,0,1506573,0,0,7522,1697
183,1502552,0,1502552,0,0,3454,1846
184,1498284,0,1498284,0,0,3819,1760
185,1493243,0,1493243,0,0,3668,1444
186,1488625,0,1488625,0,0,3181,1435
187,1484597,0,1484597,0,0,3236,1789
188,1478508,0,1478508,0,0,4679,1607
189,1474428,0,1474428,0,0,3463,2243
190,1469576,0,1469576,0,0,4167,1552
191,1465278,0,1465278,0,0,3562,1806
192,1460845,0,1460845,0,0,3863,1691
193,1455939,0,1455939,0,0,3562,1701
194,1450725,0,1450725,0,0,3414,1761
195,1447439,0,1447439,0,0,3494,1756
196,1179117,0,1179117,0,0,4980,1627
197,1176292,0,1176292,0,0,3326,1591
198,1173365,0,1173365,0,0,3798,1614
199,1171716,0,1171716,0,0,3251,2386
200,1163058,0,1163058,0,0,4174,1617
201,1160730,0,1160730,0,0,3418,1509
202,1163308,0,1163308,0,0,3014,4868
203,1163285,0,1163285,0,0,7841,2896
204,1161156,0,1161156,0,0,5595,1460
205,1159259,0,1159259,0,0,3316,1525
206,1157490,0,1157490,0,0,3500,1542
207,1155467,0,1155467,0,0,3109,2391
208,1309161,0,1309161,0,0,3871,138258
209,1313913,0,1313913,0,0,162614,4468
210,1312715,0,1312715,0,0,7105,1754
211,1312844,0,1312844,0,0,4041,2182
212,1328018,0,1328018,0,0,5155,3527
213,1329278,0,1329278,0,0,22165,2305
214,1329077,0,1329077,0,0,5730,2051
215,1328284,0,1328284,0,0,4618,2150
216,1327334,0,1327334,0,0,4566,2161
217,1325670,0,1325670,0,0,3948,1571
218,1323855,0,1323855,0,0,3262,1813
219,1323830,0,1323830,0,0,3493,2009
220,1322512,0,1322512,0,0,5842,1961
221,1320876,0,1320876,0,0,3683,1846
222,1319246,0,1319246,0,0,3584,1802
223,1318642,0,1318642,0,0,3729,2676
224,1316797,0,1316797,0,0,4502,1723
225,1315051,0,1315051,0,0,3380,1591
226,852389,0,852389,0,0,3685,1502
227,843478,0,843478,0,0,3321,1691
228,837417,0,837417,0,0,4516,1650
229,835873,0,835873,0,0,3618,1639
230,834668,0,834668,0,0,3936,1544
231,832571,0,832571,0,0,3351,1540
232,829833,0,829833,0,0,3488,1681
233,828078,0,828078,0,0,3405,1603
234,826759,0,826759,0,0,3369,1938
235,909035,0,909035,0,0,3941,80186
236,912288,0,912288,0,0,90325,3161
237,911029,0,911029,0,0,5609,1762
238,1278057,0,1278057,0,0,3594,366542
239,1279849,0,1279849,0,0,374473,2443
240,1277774,0,1277774,0,0,4458,1280
241,1258841,0,1258841,0,0,2463,989
242,1252879,0,1252879,0,0,2138,993
243,1249170,0,1249170,0,0,2096,1094
244,1244928,0,1244928,0,0,3427,1081
245,1241251,0,1241251,0,0,2070,977
246,1237834,0,1237834,0,0,1942,973
247,1233707,0,1233707,0,0,1953,1041
248,1230569,0,1230569,0,0,2035,1033
249,1227012,0,1227012,0,0,1996,973
250,1223469,0,1223469,0,0,1962,973
251,1221482,0,1221482,0,0,1939,1086
252,1218257,0,1218257,0,0,3534,1009
253,1215209,0,1215209,0,0,1976,1053
254,1212038,0,1212038,0,0,2003,973
255,1208986,0,1208986,0,0,1925,1039
256,651000,0,651000,0,0,2011,1179
257,644930,0,644930,0,0,2156,2006
258,640825,0,640825,0,0,3554,1144
259,638357,0,638357,0,0,2331,1485
260,635082,0,635082,0,0,3707,1095
261,632066,0,632066,0,0,2138,1059
262,628621,0,628621,0,0,2172,1113
263,625764,0,625764,0,0,2119,1167
264,622810,0,622810,0,0,2228,1205
265,619859,0,619859,0,0,2244,1089
266,616914,0,616914,0,0,2119,1171
267,669375,0,669375,0,0,2298,53706
268,1033100,0,1033100,0,0,58809,361082
269,1036622,0,1036622,0,0,370834,3818
270,1035251,0,1035251,0,0,6256,1684
271,982336,0,982336,0,0,3629,2239
272,978219,0,978219,0,0,4137,1735
273,976192,0,976192,0,0,3668,1651
274,887732,0,887732,0,0,3562,1573
275,884905,0,884905,0,0,3523,1833
276,879935,0,879935,0,0,6443,1651
277,874434,0,874434,0,0,3543,1464
278,869162,0,869162,0,0,3318,1704
279,863934,0,863934,0,0,3628,1662
280,858474,0,858474,0,0,2983,1414
281,853324,0,853324,0,0,2905,1393
282,847586,0,847586,0,0,3118,1424
283,844327,0,844327,0,0,3320,1836
284,811331,0,811331,0,0,4880,2308
285,3104626,0,3104626,0,0,3709,2301092
286,2310381,0,2310381,0,0,2309283,2748
287,2303486,0,2303486,0,0,4602,1473
288,2296485,0,2296485,0,0,2719,1392
289,2291267,0,2291267,0,0,2537,1249
290,2285480,0,2285480,0,0,2383,1127
291,2281026,0,2281026,0,0,2297,1147
292,2275694,0,2275694,0,0,3618,1187
293,2269759,0,2269759,0,0,2217,1129
294,2263581,0,2263581,0,0,2213,1082
295,2257682,0,2257682,0,0,2119,1136
296,2250779,0,2250779,0,0,2129,1447
297,2244954,0,2244954,0,0,2503,1159
298,2238837,0,2238837,0,0,2195,1085
299,2233372,0,2233372,0,0,2125,1107
300,2227956,0,2227956,0,0,3033,1560
301,2222315,0,2222315,0,0,2584,1187
302,2216441,0,2216441,0,0,2264,1070
303,2210825,0,2210825,0,0,2148,1126
304,2204695,0,2204695,0,0,2196,1229
305,2198869,0,2198869,0,0,2262,1010
306,2192854,0,2192854,0,0,2075,1001
307,2188324,0,2188324,0,0,2016,1048
308,2182407,0,2182407,0,0,3513,1063
309,2176250,0,2176250,0,0,2275,1080
310,2170494,0,2170494,0,0,2472,999
311,2164617,0,2164617,0,0,2070,1146
312,2158358,0,2158358,0,0,2205,1270
313,2136398,0,2136398,0,0,2284,1042
314,2130053,0,2130053,0,0,2083,1141
315,2125627,0,2125627,0,0,2215,1959
316,2120277,0,2120277,0,0,4273,1550
317,2114275,0,2114275,0,0,2612,1161
318,2108267,0,2108267,0,0,2215,1094
319,2102700,0,2102700,0,0,2159,1106
320,2097829,0,2097829,0,0,2193,1942
321,2091974,0,2091974,0,0,3021,1210
322,2083242,0,2083242,0,0,2252,1059
323,2078609,0,2078609,0,0,2128,1098
324,2072152,0,2072152,0,0,3424,1095
325,2066221,0,2066221,0,0,2133,1105
326,2060371,0,2060371,0,0,2135,1447
327,2054115,0,2054115,0,0,2500,1149
328,2048373,0,2048373,0,0,2263,1173
329,2042318,0,2042318,0,0,2252,1264
330,2036128,0,2036128,0,0,2315,1110
331,2031174,0,2031174,0,0,2147,1141
332,2025542,0,2025542,0,0,3191,1054
333,2019302,0,2019302,0,0,2108,1021
334,2012697,0,2012697,0,0,2047,1228
335,2005694,0,2005694,0,0,2250,1179
336,1999183,0,1999183,0,0,2236,1189
337,1992430,0,1992430,0,0,2227,1038
338,1985251,0,1985251,0,0,2140,1027
339,1979877,0,1979877,0,0,2110,1086
340,1973642,0,1973642,0,0,2955,1217
341,1960452,0,1960452,0,0,2314,1025
342,1954418,0,1954418,0,0,2192,1029
343,1948404,0,1948404,0,0,2075,1040
344,1942478,0,1942478,0,0,2102,1367
345,1937246,0,1937246,0,0,2405,1106
346,1926495,0,1926495,0,0,2154,1053
347,1921021,0,1921021,0,0,2103,1552
348,1914841,0,1914841,0,0,3511,1220
349,1908929,0,1908929,0,0,2283,1063
350,1903035,0,1903035,0,0,2102,1037
351,1896799,0,1896799,0,0,2109,1138
352,1889754,0,1889754,0,0,2201,1370
353,1883792,0,1883792,0,0,2468,1070
354,1877203,0,1877203,0,0,2121,1019
355,1872065,0,1872065,0,0,2062,1111
356,1866054,0,1866054,0,0,2953,1161
357,1859795,0,1859795,0,0,2197,1011
358,1853437,0,1853437,0,0,2059,1003
359,1842610,0,1842610,0,0,2047,1131
360,1118520,0,1118520,0,0,2165,1144
361,1083266,0,1083266,0,0,2224,1000
362,1076167,0,1076167,0,0,2060,1062
363,1070333,0,1070333,0,0,2187,1345
364,1064195,0,1064195,0,0,2440,1126
365,1058500,0,1058500,0,0,2194,1103
366,1052594,0,1052594,0,0,2528,1049
367,1046488,0,1046488,0,0,2112,1083
368,1040257,0,1040257,0,0,2133,1227
369,1034004,0,1034004,0,0,2276,1045
370,1027968,0,1027968,0,0,2107,1090
371,1021766,0,1021766,0,0,2175,1093
372,1015624,0,1015624,0,0,2146,1047
373,1009372,0,1009372,0,0,2099,1039
374,1003457,0,1003457,0,0,2247,966
375,997162,0,997162,0,0,2037,1206
376,991519,0,991519,0,0,2287,1261
377,985073,0,985073,0,0,2344,1009
378,978962,0,978962,0,0,2066,1255
379,972571,0,972571,0,0,2349,1191
380,966565,0,966565,0,0,2283,1112
381,987546,0,987546,0,0,26415,2617
382,985771,0,985771,0,0,5620,4033
383,980559,0,980559,0,0,5415,1279
384,974990,0,974990,0,0,2574,1269
385,968515,0,968515,0,0,2453,1110
386,961743,0,961743,0,0,2165,1019
387,955468,0,955468,0,0,2073,1169
388,949398,0,949398,0,0,2231,1061
389,940606,0,940606,0,0,2113,1056
390,935293,0,935293,0,0,2188,1004
391,929152,0,929152,0,0,2082,1053
392,923926,0,923926,0,0,2120,1349
393,918109,0,918109,0,0,2458,1050
394,913169,0,913169,0,0,2161,1402
395,910371,0,910371,0,0,2499,1221
396,905057,0,905057,0,0,2300,1080
397,898987,0,898987,0,0,2172,1129
398,892210,0,892210,0,0,2276,1062
399,885665,0,885665,0,0,2125,1110
400,863938,0,863938,0,0,2191,1311
401,856206,0,856206,0,0,2359,1037
402,849939,0,849939,0,0,2095,1129
403,843710,0,843710,0,0,2180,1275
404,838376,0,838376,0,0,2335,1659
405,832496,0,832496,0,0,2756,1053
406,494685,0,494685,0,0,2455,1040
407,490498,0,490498,0,0,2076,1156
408,487486,0,487486,0,0,2243,1226
409,484610,0,484610,0,0,2248,1241
410,481357,0,481357,0,0,2296,1154
411,477938,0,477938,0,0,2218,1597
412,474447,0,474447,0,0,2752,1096
413,471306,0,471306,0,0,2170,1115
414,546539,0,546539,0,0,2217,75019
415,550630,0,550630,0,0,83695,4028
416,552968,0,552968,0,0,9725,1974
417,927360,0,927360,0,0,4508,381923
418,927798,0,927798,0,0,388122,2089
419,1021577,0,1021577,0,0,24146,75755
420,1023379,0,1023379,0,0,81041,2532
421,1022421,0,1022421,0,0,5306,1769
422,949865,0,949865,0,0,3740,1552
423,944383,0,944383,0,0,3229,1693
424,1004449,0,1004449,0,0,3520,58709
425,1014721,0,1014721,0,0,76603,7682
426,1012214,0,1012214,0,0,11401,2577
427,1011853,0,1011853,0,0,4993,2661
428,1347512,0,1347512,0,0,11972,327699
429,1350808,0,1350808,0,0,336446,3794
430,1347028,0,1347028,0,0,6910,1985
431,1342764,0,1342764,0,0,4324,1922
435,1315662,0,1315662,0,0,3981,1717
436,391054,0,391054,0,0,3296,1367
432,1344885,0,1344885,0,0,3520,1405
437,380292,0,380292,0,0,3275,1569
433,1343768,0,1343768,0,0,3524,1506
434,1345360,0,1345360,0,0,4003,1168
438,387351,0,387351,0,0,8323,1472
439,382735,0,382735,0,0,3067,1695
440,483624,0,483624,0,0,3887,106196
441,480431,0,480431,0,0,109350,2519
442,476188,0,476188,0,0,4540,1714
443,471545,0,471545,0,0,3348,2212
444,466615,0,466615,0,0,3961,1725
445,456213,0,456213,0,0,3691,1426
446,451620,0,451620,0,0,3739,1482
447,454090,0,454090,0,0,10377,1665
448,450455,0,450455,0,0,3622,1639
449,448769,0,448769,0,0,3438,1679
450,431356,0,431356,0,0,3502,1583
451,426726,0,426726,0,0,3583,1769
452,411328,0,411328,0,0,3636,1777
453,397559,0,397559,0,0,3622,2271
454,375156,0,375156,0,0,4451,1830
455,356282,0,356282,0,0,3742,1614
456,338038,0,338038,0,0,3496,1581
457,333777,0,333777,0,0,6283,1787
458,317732,0,317732,0,0,3671,1530
459,302954,0,302954,0,0,3397,2009
460,475891,0,475891,0,0,3832,172086
461,269609,0,269609,0,0,187692,5293
462,288623,0,288623,0,0,9164,46630
