count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,132982,0,132982,0,0
52,138351,0,138351,0,0
53,129855,0,129855,0,0
54,164976,0,164976,0,0
55,131512,0,131512,0,0
56,139138,0,139138,0,0
57,127054,0,127054,0,0
58,150166,0,150166,0,0
59,139158,0,139158,0,0
60,143638,0,143638,0,0
61,150728,0,150728,0,0
62,123573,0,123573,0,0
63,132981,0,132981,0,0
64,123681,0,123681,0,0
65,138461,0,138461,0,0
66,137162,0,137162,0,0
67,137848,0,137848,0,0
68,133515,0,133515,0,0
69,132228,0,132228,0,0
70,124113,0,124113,0,0
71,125166,0,125166,0,0
72,140673,0,140673,0,0
73,134038,0,134038,0,0
74,116721,0,116721,0,0
75,142803,0,142803,0,0
76,128721,0,128721,0,0
77,117948,0,117948,0,0
78,140909,0,140909,0,0
79,149115,0,149115,0,0
80,161266,0,161266,0,0
81,128501,0,128501,0,0
82,131379,0,131379,0,0
83,134209,0,134209,0,0
84,125631,0,125631,0,0
85,154837,0,154837,0,0
86,126425,0,126425,0,0
87,107488,0,107488,0,0
88,155137,0,155137,0,0
89,155732,0,155732,0,0
90,205407,0,205407,0,0
91,158981,0,158981,0,0
92,168879,0,168879,0,0
93,211079,0,211079,0,0
94,154990,0,154990,0,0
95,173381,0,173381,0,0
96,141503,0,141503,0,0
97,154824,0,154824,0,0
98,132967,0,132967,0,0
99,181849,0,181849,0,0
100,144019,0,144019,0,0
101,151208,0,151208,0,0
102,151859,0,151859,0,0
103,142325,0,142325,0,0
104,118064,0,118064,0,0
105,162805,0,162805,0,0
106,146912,0,146912,0,0
107,170678,0,170678,0,0
108,163865,0,163865,0,0
109,168293,0,168293,0,0
110,117851,0,117851,0,0
111,135126,0,135126,0,0
112,133459,0,133459,0,0
113,167396,0,167396,0,0
114,146095,0,146095,0,0
115,143654,0,143654,0,0
116,131133,0,131133,0,0
117,154879,0,154879,0,0
118,126273,0,126273,0,0
119,145111,0,145111,0,0
120,132173,0,132173,0,0
121,142725,0,142725,0,0
122,132556,0,132556,0,0
123,169453,0,169453,0,0
124,164738,0,164738,0,0
125,148622,0,148622,0,0
126,102601,0,102601,0,0
127,131600,0,131600,0,0
128,113388,0,113388,0,0
129,121565,0,121565,0,0
130,120460,0,120460,0,0
131,100732,0,100732,0,0
132,130316,0,130316,0,0
133,132459,0,132459,0,0
134,213757,0,213757,0,0
135,222063,0,222063,0,0
136,383656,0,383656,0,0
137,216993,0,216993,0,0
138,310874,0,310874,0,0
139,210281,0,210281,0,0
140,194628,0,194628,0,0
141,149740,0,149740,0,0
142,129608,0,129608,0,0
143,161952,0,161952,0,0
144,185379,0,185379,0,0
145,185093,0,185093,0,0
146,153186,0,153186,0,0
147,161171,0,161171,0,0
148,134273,0,134273,0,0
149,193457,0,193457,0,0
150,153533,0,153533,0,0
151,145193,0,145193,0,0
152,209407,0,209407,0,0
153,163524,0,163524,0,0
154,132956,0,132956,0,0
155,113291,0,113291,0,0
156,147322,0,147322,0,0
157,149713,0,149713,0,0
158,207264,0,207264,0,0
159,149688,0,149688,0,0
160,151973,0,151973,0,0
161,195275,0,195275,0,0
162,146827,0,146827,0,0
163,153171,0,153171,0,0
164,129327,0,129327,0,0
165,175461,0,175461,0,0
166,164877,0,164877,0,0
167,161623,0,161623,0,0
168,144407,0,144407,0,0
169,174745,0,174745,0,0
170,177987,0,177987,0,0
171,108692,0,108692,0,0
172,126641,0,126641,0,0
173,163022,0,163022,0,0
174,190234,0,190234,0,0
175,119651,0,119651,0,0
176,154662,0,154662,0,0
177,172513,0,172513,0,0
178,155686,0,155686,0,0
179,167671,0,167671,0,0
180,176236,0,176236,0,0
181,277991,0,277991,0,0
182,223327,0,223327,0,0
183,176107,0,176107,0,0
184,155205,0,155205,0,0
185,136323,0,136323,0,0
186,133304,0,133304,0,0
187,155993,0,155993,0,0
188,133235,0,133235,0,0
189,124685,0,124685,0,0
190,143313,0,143313,0,0
191,162407,0,162407,0,0
192,161621,0,161621,0,0
193,175644,0,175644,0,0
194,165150,0,165150,0,0
195,179282,0,179282,0,0
196,218585,0,218585,0,0
197,168751,0,168751,0,0
198,172692,0,172692,0,0
199,210090,0,210090,0,0
200,204110,0,204110,0,0
201,223439,0,223439,0,0
202,276890,0,276890,0,0
203,236395,0,236395,0,0
204,164155,0,164155,0,0
205,183445,0,183445,0,0
206,259109,0,259109,0,0
207,244642,0,244642,0,0
208,228789,0,228789,0,0
209,158106,0,158106,0,0
210,221561,0,221561,0,0
211,216708,0,216708,0,0
212,244225,0,244225,0,0
213,289608,0,289608,0,0
214,215179,0,215179,0,0
215,189966,0,189966,0,0
216,161253,0,161253,0,0
217,143201,0,143201,0,0
218,159991,0,159991,0,0
219,132112,0,132112,0,0
220,151836,0,151836,0,0
221,161242,0,161242,0,0
222,164024,0,164024,0,0
223,121178,0,121178,0,0
224,150448,0,150448,0,0
225,142970,0,142970,0,0
226,169042,0,169042,0,0
227,216721,0,216721,0,0
228,213356,0,213356,0,0
229,172877,0,172877,0,0
230,213118,0,213118,0,0
231,195385,0,195385,0,0
232,165928,0,165928,0,0
233,155514,0,155514,0,0
234,176731,0,176731,0,0
235,152154,0,152154,0,0
236,145092,0,145092,0,0
237,129913,0,129913,0,0
238,127664,0,127664,0,0
239,151499,0,151499,0,0
240,116569,0,116569,0,0
241,137868,0,137868,0,0
242,138005,0,138005,0,0
243,186107,0,186107,0,0
244,122619,0,122619,0,0
245,125520,0,125520,0,0
246,172964,0,172964,0,0
247,126505,0,126505,0,0
248,141915,0,141915,0,0
249,126292,0,126292,0,0
250,136616,0,136616,0,0
251,137250,0,137250,0,0
252,131363,0,131363,0,0
253,147591,0,147591,0,0
254,139435,0,139435,0,0
255,140341,0,140341,0,0
256,118843,0,118843,0,0
257,121193,0,121193,0,0
258,140249,0,140249,0,0
259,116700,0,116700,0,0
260,128450,0,128450,0,0
261,132216,0,132216,0,0
262,144420,0,144420,0,0
263,141134,0,141134,0,0
264,153352,0,153352,0,0
265,154638,0,154638,0,0
266,116527,0,116527,0,0
267,155357,0,155357,0,0
268,127980,0,127980,0,0
269,130395,0,130395,0,0
270,151671,0,151671,0,0
271,134885,0,134885,0,0
272,147377,0,147377,0,0
273,196165,0,196165,0,0
274,153117,0,153117,0,0
275,215414,0,215414,0,0
276,195730,0,195730,0,0
277,208920,0,208920,0,0
278,254716,0,254716,0,0
279,190480,0,190480,0,0
280,158462,0,158462,0,0
281,149334,0,149334,0,0
282,118759,0,118759,0,0
283,131072,0,131072,0,0
284,186145,0,186145,0,0
285,173261,0,173261,0,0
286,145686,0,145686,0,0
287,179648,0,179648,0,0
288,148979,0,148979,0,0
289,115628,0,115628,0,0
290,122137,0,122137,0,0
291,143776,0,143776,0,0
292,147514,0,147514,0,0
293,131484,0,131484,0,0
294,140277,0,140277,0,0
295,134240,0,134240,0,0
296,145594,0,145594,0,0
297,133607,0,133607,0,0
298,137102,0,137102,0,0
299,147221,0,147221,0,0
300,129789,0,129789,0,0
301,140305,0,140305,0,0
302,125798,0,125798,0,0
303,125260,0,125260,0,0
304,137427,0,137427,0,0
305,164787,0,164787,0,0
306,170706,0,170706,0,0
307,136568,0,136568,0,0
308,138944,0,138944,0,0
309,119914,0,119914,0,0
310,133391,0,133391,0,0
311,165790,0,165790,0,0
312,119138,0,119138,0,0
313,159208,0,159208,0,0
314,122352,0,122352,0,0
315,125715,0,125715,0,0
316,123076,0,123076,0,0
317,158697,0,158697,0,0
318,148169,0,148169,0,0
319,145780,0,145780,0,0
320,191250,0,191250,0,0
321,207837,0,207837,0,0
322,291241,0,291241,0,0
323,154437,0,154437,0,0
324,168733,0,168733,0,0
325,187568,0,187568,0,0
326,145503,0,145503,0,0
327,153862,0,153862,0,0
328,141942,0,141942,0,0
329,178554,0,178554,0,0
330,135440,0,135440,0,0
331,152601,0,152601,0,0
332,165826,0,165826,0,0
333,153112,0,153112,0,0
334,181800,0,181800,0,0
335,193010,0,193010,0,0
336,166361,0,166361,0,0
337,132347,0,132347,0,0
338,129684,0,129684,0,0
339,153207,0,153207,0,0
340,135447,0,135447,0,0
341,119592,0,119592,0,0
342,145675,0,145675,0,0
343,144404,0,144404,0,0
344,138510,0,138510,0,0
345,163807,0,163807,0,0
346,117762,0,117762,0,0
347,142110,0,142110,0,0
348,156698,0,156698,0,0
349,167048,0,167048,0,0
350,129936,0,129936,0,0
351,149981,0,149981,0,0
352,150052,0,150052,0,0
353,141810,0,141810,0,0
354,139354,0,139354,0,0
355,130251,0,130251,0,0
356,123268,0,123268,0,0
357,119990,0,119990,0,0
358,154375,0,154375,0,0
359,125549,0,125549,0,0
360,128888,0,128888,0,0
361,114679,0,114679,0,0
362,135355,0,135355,0,0
363,132061,0,132061,0,0
364,129266,0,129266,0,0
365,122288,0,122288,0,0
366,157338,0,157338,0,0
367,175352,0,175352,0,0
368,275012,0,275012,0,0
369,202993,0,202993,0,0
370,201591,0,201591,0,0
371,236828,0,236828,0,0
372,186788,0,186788,0,0
373,134053,0,134053,0,0
374,160691,0,160691,0,0
375,158179,0,158179,0,0
376,163713,0,163713,0,0
377,139889,0,139889,0,0
378,139546,0,139546,0,0
379,138013,0,138013,0,0
380,119167,0,119167,0,0
381,135703,0,135703,0,0
382,140146,0,140146,0,0
383,120625,0,120625,0,0
384,129612,0,129612,0,0
385,143676,0,143676,0,0
386,152293,0,152293,0,0
387,145843,0,145843,0,0
388,152703,0,152703,0,0
389,148430,0,148430,0,0
390,141849,0,141849,0,0
391,129050,0,129050,0,0
392,137665,0,137665,0,0
393,129445,0,129445,0,0
394,156678,0,156678,0,0
395,121159,0,121159,0,0
396,122888,0,122888,0,0
397,123282,0,123282,0,0
398,129002,0,129002,0,0
399,134824,0,134824,0,0
400,143660,0,143660,0,0
401,141862,0,141862,0,0
402,125706,0,125706,0,0
403,144243,0,144243,0,0
404,149532,0,149532,0,0
405,137442,0,137442,0,0
406,145674,0,145674,0,0
407,136113,0,136113,0,0
408,151919,0,151919,0,0
409,116116,0,116116,0,0
410,162001,0,162001,0,0
411,118198,0,118198,0,0
412,142233,0,142233,0,0
413,155728,0,155728,0,0
414,143262,0,143262,0,0
415,190883,0,190883,0,0
416,198772,0,198772,0,0
417,168073,0,168073,0,0
418,182549,0,182549,0,0
419,145062,0,145062,0,0
420,123845,0,123845,0,0
421,137973,0,137973,0,0
422,136130,0,136130,0,0
423,128357,0,128357,0,0
424,126935,0,126935,0,0
425,115806,0,115806,0,0
426,148301,0,148301,0,0
427,116273,0,116273,0,0
428,130101,0,130101,0,0
429,140516,0,140516,0,0
430,148868,0,148868,0,0
431,147685,0,147685,0,0
432,160836,0,160836,0,0
433,133806,0,133806,0,0
434,127130,0,127130,0,0
435,135942,0,135942,0,0
436,148562,0,148562,0,0
437,202223,0,202223,0,0
438,136380,0,136380,0,0
439,165602,0,165602,0,0
440,172824,0,172824,0,0
441,154639,0,154639,0,0
442,121636,0,121636,0,0
443,181660,0,181660,0,0
444,159849,0,159849,0,0
445,162104,0,162104,0,0
446,131999,0,131999,0,0
447,156840,0,156840,0,0
448,114487,0,114487,0,0
449,140556,0,140556,0,0
450,138746,0,138746,0,0
451,153031,0,153031,0,0
452,111670,0,111670,0,0
453,120437,0,120437,0,0
454,118339,0,118339,0,0
455,143538,0,143538,0,0
456,124203,0,124203,0,0
457,117840,0,117840,0,0
