count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
1,6161,4828,7777
2,3606,2825,4253
3,2462,2508,2968
4,2364,2406,2765
5,2198,2159,2607
6,2207,2147,2580
7,1993,2270,2348
8,2062,2650,2548
9,2149,2069,2475
10,2147,2103,2491
11,2036,2066,2382
12,2079,3847,2404
13,3201,2285,3578
14,3094,2280,3438
15,2208,2120,2575
16,2068,2173,2457
17,2038,2136,2411
18,2081,2192,2491
19,2106,2282,2476
20,16143,2475,17104
21,2123,2179,2500
22,2002,2095,2377
23,2400,2220,2800
24,3904,2271,4276
25,5801,2323,6169
26,2138,2659,2522
27,2396,2378,2769
28,2323,2754,2745
29,2215,2191,2994
30,2285,2340,2898
31,2271,2422,2971
32,2118,2535,2837
33,2082,2201,2557
34,2151,2208,2974
35,2068,2207,2575
36,2164,2470,2548
37,2012,8819,2400
38,1998,2408,2388
39,2037,2062,2404
40,1991,2106,2376
41,2092,2644,2479
42,2162,2122,2531
43,2035,2265,2401
44,1995,2104,2365
45,2019,2894,2379
46,2175,2109,2541
47,2015,2106,2378
48,2035,2036,2400
49,1981,2037,2373
50,4163,2108,4539
51,2015,2071,2381
52,2017,2060,2386
53,2013,2065,2386
54,2013,2058,2405
55,2000,2048,2363
56,2022,2041,2386
57,4072,2278,4465
58,2078,2291,2440
59,2001,2514,2368
60,2021,2037,2406
61,1971,2050,2356
62,1973,4272,2336
63,2297,2263,2667
64,2670,2062,3041
65,2125,2088,2510
66,1993,2181,2361
67,2008,2079,2373
68,1987,2041,2377
69,1981,2073,2352
70,2126,2129,2495
71,2537,2165,2903
72,2302,2096,2707
73,3635,2073,4001
74,2029,2066,2403
75,2874,116793,3248
76,7902,4010,9395
77,3779,3228,4558
78,3585,3314,4246
79,3091,3448,3717
80,3147,3104,3864
81,3610,3302,4264
82,3132,3219,3648
83,3250,3021,3813
84,3016,3345,3693
85,3332,11830,3898
86,3370,4565,4011
87,4188,4216,4743
88,3292,3463,3981
89,6482,4196,7147
90,22237,3391,23199
91,3092,3409,3725
92,3270,3366,3912
93,3274,3182,3973
94,3021,3553,3618
95,2927,3257,3569
96,2903,3579,3591
97,3028,3293,3602
98,3027,3188,3639
99,3688,3536,4515
100,4700,4226,5320
101,4302,3448,5077
102,3384,3221,3940
103,3243,3062,3876
104,3054,70674,3678
105,192192,6970,198987
106,3804,4409,4532
107,3425,3338,4030
108,3414,3541,4121
109,3252,3446,3933
110,3225,3426,3879
111,3322,3324,3985
112,3028,4096,3744
113,3460,3429,4004
114,3831,3153,4475
115,3289,3357,3845
116,3183,3229,3799
117,3343,3329,3993
118,3137,3218,3791
119,3371,3257,3984
120,3198,3350,3833
121,3732,3765,4363
122,3319,3901,4064
123,3073,3356,3720
124,3017,3183,3574
125,4393,3251,5038
126,3904,3285,4564
127,4178,4315,4860
128,3325,3443,4006
129,3286,3355,3954
130,3211,3696,3808
131,3390,3641,4062
132,3380,3279,4045
133,3299,3194,3876
134,3017,60073,3642
135,437006,6550,441891
136,34220,8536,39742
137,3508,4621,4165
138,3112,3020,3609
139,3114,3178,3658
140,3109,3355,3783
141,3515,3487,4076
142,3586,12984,4263
143,3185,3501,3869
144,3150,3211,3739
145,2978,3347,3521
146,3103,3667,3772
147,3192,3431,3730
148,3173,3265,3775
149,3335,3256,3991
150,4210,4023,4815
151,3179,4215,3691
152,3173,3847,3724
153,3163,3277,3793
154,2991,3228,3567
155,3478,3255,4068
156,3279,3243,3891
157,3131,3266,3749
158,2979,3064,3628
159,3101,3038,3783
160,3038,3266,3696
161,3242,4089,3939
162,3427,5007,4036
163,3972,4198,4530
164,3017,3496,3556
165,286306,7581,291807
166,3467,3428,4279
167,3370,3478,4028
168,3307,3372,3998
169,3173,3478,3876
170,3341,3708,3926
171,3744,3363,4370
172,3016,3379,3645
173,3214,3126,3796
174,3231,3439,3907
175,3519,4260,4201
176,3334,3461,3927
177,3417,3703,4119
178,3273,3413,3940
179,3215,3136,3819
180,3012,3189,3613
181,3233,3001,3915
182,3071,3130,3773
183,3178,3307,3878
184,3239,3373,3857
185,3004,3317,3631
186,3307,3825,3983
187,3018,4752,3788
188,3130,3176,3692
189,3530,3318,4198
190,3136,3339,3826
191,3162,3169,3881
192,3336,3537,4000
193,3437,3640,3945
194,3314,3319,3996
195,261133,4603,265149
196,2393,2307,2809
197,2286,3598,2646
198,2474,2490,2828
199,2165,8672,2573
200,2400,2274,2787
201,2180,2292,2544
202,2085,2098,2442
203,2252,2163,2648
204,2169,2103,2546
205,2285,2073,2645
206,2760,2253,3144
207,2184,2414,2545
208,2196,2272,2550
209,2146,2259,2508
210,2126,2155,2497
211,2137,2136,2512
212,2126,2247,2493
213,2180,2175,2544
214,2378,2212,2740
215,2020,2256,2381
216,2014,2090,2383
217,2025,2115,2424
218,2067,2610,2427
219,2138,2221,2587
220,2088,2242,2450
221,2011,2259,2373
222,2134,2217,2491
223,2127,2279,2480
224,2082,2168,2444
225,450156,7016,456194
226,5021,5396,6189
227,2061,2284,2427
228,2122,2172,2494
229,1998,2108,2366
230,2376,2168,2742
231,2951,2318,3318
232,2152,2112,2515
233,2143,2176,2499
234,1970,2091,2328
235,2111,2126,2471
236,2064,2117,2436
237,2056,2040,2445
238,2114,2081,2488
239,2013,2062,2388
240,2010,4079,15687
241,2894,2589,4019
242,2639,2353,3477
243,2228,2538,2920
244,2136,2133,2718
245,2218,2120,2676
246,2812,2301,3239
247,2095,2142,2492
248,2275,2220,2711
249,2088,2301,2511
250,1984,2569,2396
251,2036,2089,2577
252,2023,2086,2435
253,2011,2115,2435
254,2014,2124,2409
255,541651,5321,546348
256,3559,2709,4633
257,2444,2166,3124
258,2266,2322,2861
259,2155,2144,2613
260,2036,2062,2465
261,2224,2516,2584
262,2078,2053,2440
263,2087,2183,2448
264,2038,2095,2417
265,2070,2069,2448
266,1996,2049,2356
267,2014,2039,2376
268,2089,2489,2447
269,2320,2080,2685
270,50513,3279,52297
271,2640,2498,3764
272,2198,2144,2782
273,77706,6655,82633
274,3487,3474,4296
275,3453,3312,4167
276,3528,3396,4238
277,3175,3948,3837
278,3339,3421,4022
279,3346,3293,3940
280,3062,3534,3656
281,3841,3573,4474
282,3134,3622,3737
283,2951,3227,3438
284,5447,3757,6689
285,786267,7270,791647
286,3822,3725,4643
287,4374,3481,5068
288,3027,3221,3545
289,3038,3558,3614
290,3157,3327,3770
291,2943,3200,3441
292,3252,3258,3809
293,3158,3474,3822
294,3285,3175,3843
295,3267,4448,3893
296,3058,3332,3630
297,3425,3193,4079
298,3133,3793,3754
299,3058,3336,3665
300,3138,3176,3789
301,3227,3135,3843
302,2808,3361,3429
303,3163,3572,3773
304,3155,3213,3759
305,3055,3228,3710
306,3093,3086,3755
307,3122,3243,3928
308,3407,3144,3969
309,3403,3083,3983
310,3033,3456,3599
311,3362,3572,4016
312,3353,18775,4009
313,3433,3461,4106
314,3202,3794,3837
315,3194,3010,3903
316,3102,3440,3760
317,3253,3285,3790
318,3060,3112,3659
319,3014,3207,3677
320,3000,3566,3555
321,4106,4521,5087
322,3182,3322,3737
323,3463,3293,4277
324,3169,3208,3823
325,3195,3392,3875
326,3269,3400,3943
327,3048,3238,3726
328,3166,3460,3851
329,3280,3475,3894
330,3129,3265,3772
331,3024,3191,3627
332,3010,3762,3590
333,3956,3262,4552
334,3967,3511,4673
335,3458,3543,4142
336,3777,3319,4471
337,3987,3522,4638
338,3182,3361,3841
339,3380,3312,4116
340,3350,2987,3977
341,3177,3156,3899
342,3142,3253,3873
343,3110,3347,4050
344,2965,2953,3544
345,3226,7789,3871
346,3460,3397,4462
347,3073,3607,3830
348,3093,3197,3764
349,3203,2965,3978
350,3095,3443,3792
351,3231,3750,3802
352,3375,3102,4008
353,3032,3222,3737
354,3148,3205,3922
355,3221,3264,3932
356,3037,3191,3667
357,3156,3553,3843
358,5997,5296,6684
359,4232,714023,4900
360,7245,4225,8951
361,3942,3335,4680
362,3304,3269,3941
363,3138,3260,3834
364,3196,2992,3873
365,3317,3442,3915
366,3151,3459,3692
367,3569,3285,4240
368,3177,3433,3890
369,3300,3215,4002
370,3050,3672,3678
371,3291,3202,3999
372,3823,3090,4398
373,3252,3155,3916
374,3136,3877,3751
375,3156,3155,3807
376,3444,3439,4107
377,3204,3379,3880
378,3209,3699,3847
379,3017,3394,3682
380,3060,3213,3647
381,3214,3037,3845
382,2994,3222,3546
383,3076,3355,3721
384,3136,3953,3834
385,3757,3457,4360
386,3607,3353,4243
387,3007,3444,3583
388,3135,5924,4092
389,2940,3126,3568
390,3280,3415,3896
391,3186,3126,3641
392,3155,3220,3748
393,3404,2597,4157
394,2035,2091,2429
395,2763,3303,3392
396,3335,3120,4035
397,3918,3492,4613
398,3726,3310,4399
399,14741,5297,17125
400,3537,3659,4446
401,3204,3168,4020
402,3140,3692,3812
403,3435,3010,4124
404,2919,3513,3534
405,327921,4884,332443
406,2471,2428,3001
407,2240,2195,2573
408,2089,2125,2437
409,2165,2394,2517
410,2167,3041,2516
411,2362,2485,2691
412,2156,2274,2488
413,2101,2098,2453
414,2085,2212,2423
415,2165,2168,2498
416,2166,2132,2510
417,2407,2502,2754
418,2147,2096,2475
419,2037,2087,2369
420,2009,2086,2345
421,63985,5804,67725
422,3483,3418,4193
423,3717,3423,4338
424,3201,3229,3946
425,3183,3245,3838
426,2299,2134,2701
427,2029,2115,2423
428,2032,2569,2431
429,3435,3448,4165
430,3249,3658,3839
431,3108,3257,3800
432,3061,3238,3736
433,2893,2828,3407
434,3019,2932,3598
435,903650,13203,909323
436,7783,5297,9597
437,3281,3339,4082
438,3054,3411,3614
439,3267,3357,3865
440,3221,3289,3783
441,2960,3539,3506
442,3063,3812,3665
443,3308,3405,3933
444,3619,3725,4243
445,3733,3067,4425
446,3266,3328,3929
447,3430,2329,3828
448,2107,2207,2435
449,2164,16728,2499
450,3361,2540,4393
451,12623,2991,14320
452,2412,12496,3154
453,18563,3944,20354
454,3181,15607,4351
455,4110,15950,5973
456,2976,2521,4238
457,12986,3021,14605
458,2616,12944,3476
459,2831,2933,4116
460,62380,67308,85952
461,20688,5187,22816
462,17057,3823,19006
463,3417,3083,4086
464,3180,3276,3773
465,245118,5574,249718
466,2817,2033,3332
467,3498,2234,3848
468,2012,2057,2329
469,2027,2227,2355
470,2011,2061,2367
471,1994,1995,2452
472,2082,1991,2423
473,2010,2032,2434
474,2198,2087,2543
475,3566,3306,4324
476,3266,3478,3774
477,2814,2906,3407
478,2856,2890,3448
479,3420,3476,4027
480,3059,2657,3606
481,2961,2966,3552
482,3128,3422,3743
483,2864,2957,3465
484,2915,3293,3404
485,3172,3061,3646
486,3025,2715,3610
487,2803,2759,3263
488,2675,2865,3173
489,2908,2886,3419
490,3251,2933,3905
491,2910,3318,3511
492,2808,2983,3330
493,2920,2941,3453
494,3444,3278,4089
495,321409,4332,325265
496,2277,2228,2667
497,42328,106608,62048
498,7101,16501,8895
499,4307,16045,5790
500,4009,16486,5508
501,3523,5394,16650
502,5245,17707,6632
503,4009,6244,40644
504,3918,3492,5007
505,4129,3768,5028
506,3593,4087,4284
507,3302,3507,3993
508,3263,3351,3877
509,3291,3430,3945
510,3151,3317,3783
511,3881,3537,4544
512,3316,3831,3965
513,3291,3412,3930
514,3496,3425,4153
515,4331,3542,4982
516,4507,3486,5200
517,3655,3563,4276
518,3624,3542,4288
519,3220,3452,3819
520,3252,3419,3903
521,3252,3617,3962
522,3350,3283,4064
523,3356,3662,4004
524,3464,3590,4161
525,3636,3517,4333
526,8155,3493,8993
527,3239,3517,3944
528,3509,3470,4187
529,3797,3435,4322
530,3597,113522,4212
531,94914,96991,109529
532,6680,4615,8566
533,3483,3475,4424
534,3541,3571,4594
535,3208,3604,3887
536,3249,3703,3937
537,3253,3509,3978
538,3250,3528,3945
539,3653,3593,4464
540,3601,3129,4288
541,3662,3603,4294
542,4425,3714,5141
543,3217,3477,3843
544,2932,3572,3627
545,3755,3468,4513
546,3633,3639,4318
547,3368,3709,4107
548,3295,3388,4039
549,3426,3415,4117
550,3067,3204,3744
551,2908,3403,3622
552,3109,3900,3819
553,3267,3368,3974
554,3102,3434,3848
555,3450,3623,4248
556,3709,3539,4464
557,3542,3546,4246
558,3657,3563,4331
559,27454,6224,42325
560,17534,17722,19779
561,4156,5813,17302
562,16528,73206,51930
563,153421,5495,156282
564,3446,3156,4302
565,3119,3005,3684
566,2756,2823,3426
567,3079,2767,3506
568,2570,2844,3099
569,2796,3197,3277
570,2991,3518,3541
571,2836,2944,3419
572,2690,3160,3192
573,2733,2964,3304
574,3367,3224,4031
575,2865,3179,3394
576,3065,2969,3634
577,3155,3120,3718
578,2972,3160,3548
579,3165,3238,3700
580,2918,3140,3528
581,3086,2912,3632
582,2856,2989,3388
583,2905,2954,3440
584,2855,2924,3377
585,3033,4147,3762
586,92463,19417,187155
587,47305,13010,49393
588,3597,3193,4177
589,3061,2957,3681
590,3225,2778,3682
591,2828,3270,3440
592,3073,3007,3546
593,3496,3312,3988
594,2810,2918,3400
595,3040,3089,3689
596,2912,2993,3405
597,2904,3004,3371
598,2668,2867,3154
599,3757,3011,4388
600,3123,2800,3642
601,3063,3266,3694
602,3128,3204,3777
603,3086,3178,3845
604,3044,3298,3648
605,2963,7271,3711
606,2991,2916,3444
607,2609,2794,3062
608,3490,3214,4013
609,135258,53079,168928
610,5649,4268,7066
611,3077,3598,3951
612,2944,15174,3484
613,3982,4242,5400
614,3590,5665,27764
615,16195,3917,17967
616,3514,15828,4264
617,4200,3525,5726
618,3161,3171,4179
619,4981,3765,6791
620,4111,3170,5463
621,5665,14982,7204
622,4995,4211,6264
623,4669,4213,6151
624,15493,3846,17190
