count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,1036665,0,1036665,0,0
52,1034816,0,1034816,0,0
53,1023698,0,1023698,0,0
54,996033,0,996033,0,0
55,955843,0,955843,0,0
56,945439,0,945439,0,0
57,939885,0,939885,0,0
58,932204,0,932204,0,0
59,925858,0,925858,0,0
60,919627,0,919627,0,0
61,913535,0,913535,0,0
62,909749,0,909749,0,0
63,973554,0,973554,0,0
64,976127,0,976127,0,0
65,971305,0,971305,0,0
66,965523,0,965523,0,0
67,959402,0,959402,0,0
68,954431,0,954431,0,0
69,949015,0,949015,0,0
70,943466,0,943466,0,0
71,936576,0,936576,0,0
72,931957,0,931957,0,0
73,926845,0,926845,0,0
74,963053,0,963053,0,0
75,960743,0,960743,0,0
76,956316,0,956316,0,0
77,1504945,0,1504945,0,0
78,1508350,0,1508350,0,0
79,1504547,0,1504547,0,0
80,1494373,0,1494373,0,0
81,1495937,0,1495937,0,0
82,1491533,0,1491533,0,0
83,1485155,0,1485155,0,0
84,1481076,0,1481076,0,0
85,1477137,0,1477137,0,0
86,1472561,0,1472561,0,0
87,1437945,0,1437945,0,0
88,1429020,0,1429020,0,0
89,1422697,0,1422697,0,0
90,1416853,0,1416853,0,0
91,1411528,0,1411528,0,0
92,1407331,0,1407331,0,0
93,1402296,0,1402296,0,0
94,1396583,0,1396583,0,0
95,1390628,0,1390628,0,0
96,1385724,0,1385724,0,0
97,1381121,0,1381121,0,0
98,1375220,0,1375220,0,0
99,1369399,0,1369399,0,0
100,1315205,0,1315205,0,0
101,1306130,0,1306130,0,0
102,1299509,0,1299509,0,0
103,1287034,0,1287034,0,0
104,1282226,0,1282226,0,0
105,1277104,0,1277104,0,0
106,1275304,0,1275304,0,0
107,1332517,0,1332517,0,0
108,1326528,0,1326528,0,0
109,1320468,0,1320468,0,0
110,1316321,0,1316321,0,0
111,1312023,0,1312023,0,0
112,1308256,0,1308256,0,0
113,1303898,0,1303898,0,0
114,1299942,0,1299942,0,0
115,1295790,0,1295790,0,0
116,1291794,0,1291794,0,0
117,1287494,0,1287494,0,0
118,1527246,0,1527246,0,0
119,1526994,0,1526994,0,0
120,1523397,0,1523397,0,0
121,1518782,0,1518782,0,0
122,1514689,0,1514689,0,0
123,1509316,0,1509316,0,0
124,1503975,0,1503975,0,0
125,1504418,0,1504418,0,0
126,1499897,0,1499897,0,0
127,1494837,0,1494837,0,0
128,1489999,0,1489999,0,0
129,1484823,0,1484823,0,0
130,1479981,0,1479981,0,0
131,1475112,0,1475112,0,0
132,932400,0,932400,0,0
133,926097,0,926097,0,0
134,921906,0,921906,0,0
135,866789,0,866789,0,0
136,859767,0,859767,0,0
137,1372160,0,1372160,0,0
138,1372160,0,1372160,0,0
139,1367421,0,1367421,0,0
140,1357895,0,1357895,0,0
141,1353214,0,1353214,0,0
142,1322706,0,1322706,0,0
143,1314642,0,1314642,0,0
144,1302642,0,1302642,0,0
145,1289384,0,1289384,0,0
146,1272041,0,1272041,0,0
147,1266929,0,1266929,0,0
148,1262766,0,1262766,0,0
149,1258431,0,1258431,0,0
150,1254800,0,1254800,0,0
151,1250413,0,1250413,0,0
152,1213218,0,1213218,0,0
153,1205473,0,1205473,0,0
154,1199209,0,1199209,0,0
155,1193791,0,1193791,0,0
156,1190885,0,1190885,0,0
157,1191402,0,1191402,0,0
158,1182067,0,1182067,0,0
159,1176851,0,1176851,0,0
160,1171372,0,1171372,0,0
161,1166561,0,1166561,0,0
162,1161395,0,1161395,0,0
163,1155540,0,1155540,0,0
