count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,1741851,0,1741851,0,0
52,1817895,0,1817895,0,0
53,1819547,0,1819547,0,0
54,1817137,0,1817137,0,0
55,1813056,0,1813056,0,0
56,1807992,0,1807992,0,0
57,1803103,0,1803103,0,0
58,1798319,0,1798319,0,0
59,1793603,0,1793603,0,0
60,1789352,0,1789352,0,0
61,1854007,0,1854007,0,0
62,1849350,0,1849350,0,0
63,1845343,0,1845343,0,0
64,1840030,0,1840030,0,0
65,1835856,0,1835856,0,0
66,1828518,0,1828518,0,0
67,1822084,0,1822084,0,0
68,1816139,0,1816139,0,0
69,1810529,0,1810529,0,0
70,2569388,0,2569388,0,0
71,2570017,0,2570017,0,0
72,2565827,0,2565827,0,0
73,2561720,0,2561720,0,0
74,2557397,0,2557397,0,0
75,2552929,0,2552929,0,0
76,2541888,0,2541888,0,0
77,2609778,0,2609778,0,0
78,2618075,0,2618075,0,0
79,2436277,0,2436277,0,0
80,2430773,0,2430773,0,0
81,2426734,0,2426734,0,0
82,2423134,0,2423134,0,0
83,2419078,0,2419078,0,0
84,2480591,0,2480591,0,0
85,2483141,0,2483141,0,0
86,2479968,0,2479968,0,0
87,2476116,0,2476116,0,0
88,2472476,0,2472476,0,0
89,2516706,0,2516706,0,0
90,2516675,0,2516675,0,0
91,2514081,0,2514081,0,0
92,2509866,0,2509866,0,0
93,2504993,0,2504993,0,0
94,2496898,0,2496898,0,0
95,2492612,0,2492612,0,0
96,2488794,0,2488794,0,0
97,2485122,0,2485122,0,0
98,2531256,0,2531256,0,0
99,2533456,0,2533456,0,0
100,3354277,0,3354277,0,0
101,3355583,0,3355583,0,0
102,3351563,0,3351563,0,0
103,3347527,0,3347527,0,0
104,3352258,0,3352258,0,0
105,3348605,0,3348605,0,0
106,3363216,0,3363216,0,0
107,3361768,0,3361768,0,0
108,3359190,0,3359190,0,0
109,2723598,0,2723598,0,0
110,2718620,0,2718620,0,0
111,2715160,0,2715160,0,0
112,2709525,0,2709525,0,0
113,2704294,0,2704294,0,0
114,2700254,0,2700254,0,0
115,2642172,0,2642172,0,0
116,2642718,0,2642718,0,0
117,2646639,0,2646639,0,0
118,2647054,0,2647054,0,0
119,2643606,0,2643606,0,0
120,2637985,0,2637985,0,0
121,2634432,0,2634432,0,0
122,2632000,0,2632000,0,0
123,2628691,0,2628691,0,0
124,2702319,0,2702319,0,0
125,2710597,0,2710597,0,0
126,2707196,0,2707196,0,0
127,2703222,0,2703222,0,0
128,2698866,0,2698866,0,0
129,2695406,0,2695406,0,0
130,3343430,0,3343430,0,0
131,3345075,0,3345075,0,0
132,3342228,0,3342228,0,0
133,3338746,0,3338746,0,0
134,3335278,0,3335278,0,0
135,3331570,0,3331570,0,0
136,3327926,0,3327926,0,0
137,3317926,0,3317926,0,0
138,3313621,0,3313621,0,0
139,2784361,0,2784361,0,0
140,2781885,0,2781885,0,0
141,2779905,0,2779905,0,0
142,2777753,0,2777753,0,0
143,2776506,0,2776506,0,0
144,2850736,0,2850736,0,0
145,2864342,0,2864342,0,0
146,2864337,0,2864337,0,0
147,2863774,0,2863774,0,0
148,2862575,0,2862575,0,0
149,2857476,0,2857476,0,0
150,2855856,0,2855856,0,0
151,2854007,0,2854007,0,0
152,2852158,0,2852158,0,0
153,2868646,0,2868646,0,0
154,2870722,0,2870722,0,0
155,2877266,0,2877266,0,0
156,2876236,0,2876236,0,0
157,2875022,0,2875022,0,0
158,2874222,0,2874222,0,0
159,2872995,0,2872995,0,0
160,3531268,0,3531268,0,0
161,3462030,0,3462030,0,0
162,3453333,0,3453333,0,0
163,3451194,0,3451194,0,0
164,3449077,0,3449077,0,0
165,3447080,0,3447080,0,0
166,3436644,0,3436644,0,0
167,3433732,0,3433732,0,0
168,3442278,0,3442278,0,0
169,2485120,0,2485120,0,0
170,2477765,0,2477765,0,0
171,2472198,0,2472198,0,0
172,2466454,0,2466454,0,0
173,2461680,0,2461680,0,0
174,2558876,0,2558876,0,0
175,2409154,0,2409154,0,0
176,2394158,0,2394158,0,0
177,2389301,0,2389301,0,0
178,2383835,0,2383835,0,0
179,2379128,0,2379128,0,0
180,2380978,0,2380978,0,0
181,2376677,0,2376677,0,0
182,2372220,0,2372220,0,0
183,2368784,0,2368784,0,0
184,2370871,0,2370871,0,0
185,2366690,0,2366690,0,0
186,2342978,0,2342978,0,0
