count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns,loop_gap_ns,recv_block_ns
51,1167966,0,1167966,0,0,2988,1131
52,1167503,0,1167503,0,0,4456,1230
53,1165639,0,1165639,0,0,3221,1234
54,1164945,0,1164945,0,0,3295,1665
55,1204602,0,1204602,0,0,4256,41513
56,1206471,0,1206471,0,0,46541,2055
57,1207011,0,1207011,0,0,5530,1764
58,1206374,0,1206374,0,0,5000,1687
59,1205444,0,1205444,0,0,4113,1444
60,1203401,0,1203401,0,0,3766,1135
61,1201849,0,1201849,0,0,2841,1581
62,1692469,0,1692469,0,0,3778,500646
63,1691664,0,1691664,0,0,507107,2424
64,1691980,0,1691980,0,0,5444,1479
65,1689955,0,1689955,0,0,4727,1579
66,1688220,0,1688220,0,0,3275,1505
67,1686302,0,1686302,0,0,3306,1367
68,1684043,0,1684043,0,0,3008,1154
69,1682307,0,1682307,0,0,2551,1659
70,1680342,0,1680342,0,0,3038,1402
71,1678015,0,1678015,0,0,2820,1097
72,1676304,0,1676304,0,0,2465,1090
73,1673915,0,1673915,0,0,3151,1194
74,1671963,0,1671963,0,0,2557,1499
75,1675143,0,1675143,0,0,2858,8427
76,1673384,0,1673384,0,0,10687,1303
77,1671305,0,1671305,0,0,2688,1273
78,1707263,0,1707263,0,0,5413,35561
79,1708516,0,1708516,0,0,40162,2221
80,1707246,0,1707246,0,0,4818,1465
81,1706083,0,1706083,0,0,5230,1414
82,1704218,0,1704218,0,0,3419,1433
83,1609463,0,1609463,0,0,2852,1162
84,1605998,0,1605998,0,0,3202,1997
85,1602862,0,1602862,0,0,4113,1347
86,1599961,0,1599961,0,0,2948,1448
87,1597337,0,1597337,0,0,2834,1091
88,1593543,0,1593543,0,0,2458,1254
89,1625746,0,1625746,0,0,4164,34610
90,1627298,0,1627298,0,0,39075,2386
91,1624027,0,1624027,0,0,5741,1907
92,2043770,0,2043770,0,0,4294,418644
93,2049586,0,2049586,0,0,428591,3584
94,2049538,0,2049538,0,0,6945,2154
95,2049224,0,2049224,0,0,4921,1890
96,2048245,0,2048245,0,0,4443,1645
97,2047481,0,2047481,0,0,5222,1980
98,2046961,0,2046961,0,0,4328,1998
99,2046414,0,2046414,0,0,4367,1980
100,2043756,0,2043756,0,0,4383,1555
101,2043272,0,2043272,0,0,4104,1908
102,2042643,0,2042643,0,0,4321,1925
103,2042348,0,2042348,0,0,4547,1780
104,2042982,0,2042982,0,0,4140,1716
105,2042517,0,2042517,0,0,5648,1796
106,2042305,0,2042305,0,0,4148,2230
107,1395622,0,1395622,0,0,4626,59683
108,1394361,0,1394361,0,0,65784,2505
109,1392418,0,1392418,0,0,6024,2341
110,1389846,0,1389846,0,0,5364,2124
111,1387026,0,1387026,0,0,5043,1693
112,1383839,0,1383839,0,0,4334,1590
113,1379394,0,1379394,0,0,5435,1801
114,1376466,0,1376466,0,0,4926,1836
115,1372417,0,1372417,0,0,4135,1506
116,1368933,0,1368933,0,0,3623,1571
117,1365250,0,1365250,0,0,3886,2158
118,1364841,0,1364841,0,0,4621,2464
119,1353947,0,1353947,0,0,5080,1658
120,1353084,0,1353084,0,0,3826,1884
121,1352638,0,1352638,0,0,5516,1914
122,1677561,0,1677561,0,0,4408,323706
123,1680803,0,1680803,0,0,332656,2581
124,1679103,0,1679103,0,0,4808,1217
125,1676409,0,1676409,0,0,2777,1342
126,1672296,0,1672296,0,0,2835,1345
127,1667103,0,1667103,0,0,2869,1112
128,1663105,0,1663105,0,0,2566,1463
129,1661183,0,1661183,0,0,3845,4967
130,1655500,0,1655500,0,0,6322,1450
131,1650152,0,1650152,0,0,2814,1247
132,1644974,0,1644974,0,0,2636,1113
133,1705214,0,1705214,0,0,2489,64167
134,1706723,0,1706723,0,0,70314,2834
135,1702825,0,1702825,0,0,6250,1422
136,1269574,0,1269574,0,0,3296,1089
137,1263472,0,1263472,0,0,3889,1197
138,1255962,0,1255962,0,0,2668,1171
139,1249753,0,1249753,0,0,2570,1025
140,1243516,0,1243516,0,0,2382,1269
141,1269138,0,1269138,0,0,2612,30936
142,1267487,0,1267487,0,0,35216,2263
143,1264458,0,1264458,0,0,5598,1682
144,1262135,0,1262135,0,0,4410,1551
145,1257429,0,1257429,0,0,4677,1391
146,1252745,0,1252745,0,0,2929,1602
147,1247989,0,1247989,0,0,3024,1494
148,1235413,0,1235413,0,0,2846,1181
149,1230342,0,1230342,0,0,2545,1255
150,1223439,0,1223439,0,0,2613,1299
151,1216402,0,1216402,0,0,2633,1274
152,1559971,0,1559971,0,0,2681,346331
153,1559850,0,1559850,0,0,355361,2730
154,1554674,0,1554674,0,0,4579,1417
155,1549682,0,1549682,0,0,2851,1184
156,1545319,0,1545319,0,0,2601,1211
157,1540592,0,1540592,0,0,2602,1363
158,1535643,0,1535643,0,0,2686,1337
159,1530960,0,1530960,0,0,2680,1583
160,1591667,0,1591667,0,0,2935,61025
161,1596177,0,1596177,0,0,73395,4504
162,1588617,0,1588617,0,0,7627,1982
163,1585791,0,1585791,0,0,5119,1766
164,1582305,0,1582305,0,0,3909,1572
165,1579980,0,1579980,0,0,3848,2215
166,1082012,0,1082012,0,0,4272,1975
167,1075072,0,1075072,0,0,4369,1484
168,1070591,0,1070591,0,0,3669,1501
169,1066475,0,1066475,0,0,4443,1688
170,1062737,0,1062737,0,0,4258,1871
171,1127175,0,1127175,0,0,4143,67747
172,1127405,0,1127405,0,0,75854,2631
173,1122569,0,1122569,0,0,4577,1534
174,1116467,0,1116467,0,0,2935,1389
175,1111262,0,1111262,0,0,2774,1150
176,1100746,0,1100746,0,0,2505,1086
177,1096238,0,1096238,0,0,3908,1197
178,1090932,0,1090932,0,0,2570,1298
179,1086086,0,1086086,0,0,2698,1528
180,1107690,0,1107690,0,0,2887,26737
181,839872,0,839872,0,0,31038,2146
182,1217477,0,1217477,0,0,5491,376685
183,1221999,0,1221999,0,0,386384,3076
184,1222374,0,1222374,0,0,6167,1458
185,1219831,0,1219831,0,0,4677,1751
186,1217461,0,1217461,0,0,3163,1359
187,1214550,0,1214550,0,0,2743,1136
188,1212591,0,1212591,0,0,2543,1741
189,1303812,0,1303812,0,0,3108,89715
190,1311242,0,1311242,0,0,101680,4535
191,1311551,0,1311551,0,0,8245,1988
192,1312612,0,1312612,0,0,4911,1774
193,1311966,0,1311966,0,0,6183,1952
194,1311825,0,1311825,0,0,4811,2006
195,1311169,0,1311169,0,0,4569,1765
