count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
1,9188,7768,10596
2,5701,2573,6294
3,2130,2304,2560
4,2159,2298,2528
5,1996,2367,2589
6,2037,2298,2391
7,1953,2168,2327
8,2107,2183,2461
9,1945,2046,2315
10,2039,2049,2395
11,2108,2082,2460
12,2340,2037,2709
13,2962,2232,3338
14,2118,2168,2495
15,5303,2086,5664
16,2032,2054,2368
17,1982,2187,2339
18,2009,2158,2393
19,2116,2173,2468
20,2031,2055,2373
21,2016,2256,2428
22,1947,2076,2304
23,1994,2377,2337
24,1961,2045,2317
25,2095,4281,2473
26,2340,2342,2687
27,2211,2235,2678
28,2702,2233,3211
29,2097,2185,2789
30,2054,2215,2536
31,3379,2131,3848
32,2122,2250,2681
33,2154,2291,2524
34,2076,2474,2570
35,2003,2059,2347
36,2018,2121,2383
37,2005,2085,2374
38,4060,2277,4402
39,2051,2165,2394
40,1959,2209,2339
41,1989,2218,2361
42,1999,2412,2373
43,2043,2040,2406
44,2009,2053,2354
45,1984,2385,2445
46,1971,2189,2311
47,3178,2461,3520
48,2020,2055,2366
49,1992,2155,2338
50,2139,4620,2498
51,2416,2115,2782
52,2220,2067,2566
53,2034,2038,2383
54,2041,2025,2380
55,2719,3312,3379
56,2889,3012,3397
57,2929,3023,3555
58,2897,2923,3454
59,2915,3019,3570
60,2707,3042,3199
61,2824,3072,3337
62,3163,3257,3813
63,8445,3460,9104
64,3037,3005,3713
65,2912,3123,3501
66,2977,3124,3572
67,2805,2977,3426
68,2911,3009,3530
69,2885,2953,3468
70,2939,2971,3560
71,2760,2979,3360
72,2864,12053,3424
73,2103,2199,2478
74,1986,2131,2333
75,1980,4138,2328
76,2095,2086,2438
77,1986,2111,2343
78,1989,2047,2357
79,3252,2047,3616
80,2007,2150,2368
81,2043,4299,2589
82,2797,3303,3377
83,3366,2663,3931
84,2874,2884,3454
85,2755,2701,3234
86,38868,4270,41060
87,3106,3136,3873
88,5304,3111,6058
89,3049,3058,3711
90,2875,3031,3556
91,3504,3126,4177
92,2790,2716,3330
93,2568,2760,3373
94,2988,3461,3553
95,5171,3030,5818
96,2815,3454,3341
97,2779,3312,3288
98,2995,3257,3665
99,3077,3371,3774
100,3269,7033,3943
101,3069,3185,3784
102,3291,3380,4000
103,3267,3316,4017
104,3863,3738,4477
105,149342,203466,153681
106,6827,3558,7991
107,3164,3090,3839
108,2992,3043,3565
109,2950,2998,3447
110,3005,3280,3554
111,4649,3822,5318
112,3116,3267,3703
113,3688,3210,4339
114,2846,3163,3372
115,3222,3245,3827
116,2835,3102,3410
117,3353,3006,4028
118,3011,2921,3572
119,3331,3657,4027
120,3332,3369,4043
121,3221,3193,3903
122,3178,3276,3691
123,3143,2947,3771
124,2871,3114,3553
125,3094,3347,3718
126,3140,2961,3679
127,2895,2989,3471
128,3122,3056,3618
129,3139,10878,3725
130,3534,3375,4255
131,3244,3457,3902
132,3229,3431,3910
133,136995,7709,142959
134,3634,3636,4523
135,3156,112139,3869
136,6058,4045,7612
137,3263,3333,4013
138,3763,3561,4379
139,3229,3148,3764
140,3224,3357,3909
141,3226,3234,3966
142,3233,2945,3743
143,2803,2995,3414
144,3227,2991,3753
145,3117,3205,3748
146,3147,3227,3677
147,3385,3050,3945
148,2832,3036,3473
149,3172,3224,3827
150,2713,3570,3220
151,2999,3245,3507
152,3061,2929,3659
153,2987,3591,3775
154,3101,2966,3739
155,2957,3196,3609
156,3038,2890,3610
157,2717,2795,3337
158,3591,3812,4085
159,2047,2077,2421
160,2007,2120,2360
161,1942,2079,2305
162,1974,2513,2317
163,192342,5199,196054
164,3517,3069,4179
165,2985,96207,3653
166,6859,5392,8109
167,3592,3478,4329
168,3774,3612,4520
169,3363,3329,4039
170,3122,3561,3819
171,3497,3455,4243
172,3282,3361,4002
173,3161,3397,3894
174,2958,3467,3623
175,3021,4124,3680
176,3024,3166,3646
177,3246,3258,3708
178,2965,3124,3645
179,125259,5778,130041
180,3155,2965,3802
181,2975,3368,3609
182,2998,3837,3620
183,3131,3244,3654
184,2714,3383,3273
185,3362,2978,4012
186,3428,3056,3987
187,2932,2960,3458
188,3322,3166,3831
189,3164,3030,3835
190,3081,2813,3729
191,3000,3492,3624
192,2996,3192,3625
193,3586,3379,4196
194,38359,4348,40642
195,3621,79308,4538
196,4339,3383,5215
197,3377,3100,4065
198,2974,3056,3567
199,3006,3263,3666
200,3139,3403,3748
201,3013,3213,3689
202,3227,3552,3936
203,3049,2927,3602
204,163342,5169,167240
205,3188,3021,3861
206,2891,3247,3470
207,3237,3578,3845
208,2915,3116,3554
209,2889,3055,3436
210,2956,3089,3731
211,3135,2880,3681
212,2801,2932,3363
213,3810,3395,4458
214,262322,6736,267611
215,5938,4086,7288
216,3243,3548,3931
217,4084,3647,4791
218,3519,4681,4199
219,3335,3453,4017
220,3217,3633,3886
221,3171,3263,3726
222,3246,3272,3928
223,3187,3275,3846
224,3279,3359,3912
225,3235,4053,3851
226,3442,3297,4133
227,3316,3280,3984
228,3162,3314,3832
229,3178,3175,3796
230,3155,3241,3780
231,162622,83590,176552
232,5621,4388,7370
233,3872,3689,4865
234,3303,3799,4171
235,3231,3397,4026
236,3266,3475,3928
237,3226,3483,3913
238,3493,3346,4083
239,69347,64089,82996
240,4907,4403,6641
241,3590,3772,4985
242,3302,3394,4158
243,3436,3246,4111
244,3075,3265,3867
245,3193,3070,3846
246,3228,3264,3896
247,3290,3349,4045
248,143511,5363,145889
249,3730,3552,5124
250,3290,3804,3921
251,3344,3404,3980
252,3455,3683,4085
253,3311,3531,4019
254,3286,3406,3961
255,3543,3536,4299
256,3051,3338,3739
257,49621,60700,73978
258,5088,4706,7037
259,4554,4413,5854
260,3379,3395,4415
261,3488,3454,4215
262,3169,3320,3845
263,3666,3686,4226
264,71637,5467,84955
265,4329,3458,5838
266,3503,3355,4522
267,3486,3369,4156
268,3666,3546,4627
