count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,4356,0,4356,0,0
52,3927,0,3927,0,0
53,2502,0,2502,0,0
54,23197,0,23197,0,0
55,20721,0,20721,0,0
56,19101,0,19101,0,0
57,17898,0,17898,0,0
58,16731,0,16731,0,0
59,14842,0,14842,0,0
60,12862,0,12862,0,0
61,11032,0,11032,0,0
62,10687,0,10687,0,0
63,8735,0,8735,0,0
64,7026,0,7026,0,0
65,6745,0,6745,0,0
66,5968,0,5968,0,0
67,4226,0,4226,0,0
68,2457,0,2457,0,0
69,43011,0,43011,0,0
70,41286,0,41286,0,0
71,39804,0,39804,0,0
72,37974,0,37974,0,0
73,37243,0,37243,0,0
74,36410,0,36410,0,0
75,34518,0,34518,0,0
76,32597,0,32597,0,0
77,30693,0,30693,0,0
78,28993,0,28993,0,0
82,16411,0,16411,0,0
83,14841,0,14841,0,0
84,14143,0,14143,0,0
85,12610,0,12610,0,0
86,11060,0,11060,0,0
87,9307,0,9307,0,0
88,7910,0,7910,0,0
89,6204,0,6204,0,0
90,4801,0,4801,0,0
91,3229,0,3229,0,0
92,37792,0,37792,0,0
93,35499,0,35499,0,0
94,33993,0,33993,0,0
95,32111,0,32111,0,0
96,29138,0,29138,0,0
97,25035,0,25035,0,0
98,22205,0,22205,0,0
99,20488,0,20488,0,0
100,19232,0,19232,0,0
101,16940,0,16940,0,0
102,14966,0,14966,0,0
103,13446,0,13446,0,0
104,12187,0,12187,0,0
105,10606,0,10606,0,0
106,9065,0,9065,0,0
107,7047,0,7047,0,0
108,5588,0,5588,0,0
109,3655,0,3655,0,0
110,35549,0,35549,0,0
111,32630,0,32630,0,0
112,30823,0,30823,0,0
113,28874,0,28874,0,0
114,26998,0,26998,0,0
115,25028,0,25028,0,0
116,23980,0,23980,0,0
117,22086,0,22086,0,0
118,20166,0,20166,0,0
119,18038,0,18038,0,0
121,12273,0,12273,0,0
122,10558,0,10558,0,0
123,8637,0,8637,0,0
124,6569,0,6569,0,0
125,5237,0,5237,0,0
126,3509,0,3509,0,0
127,29760,0,29760,0,0
128,27165,0,27165,0,0
129,25264,0,25264,0,0
130,23425,0,23425,0,0
131,21553,0,21553,0,0
132,19763,0,19763,0,0
133,18383,0,18383,0,0
134,16586,0,16586,0,0
135,14093,0,14093,0,0
136,12248,0,12248,0,0
137,10416,0,10416,0,0
138,8439,0,8439,0,0
139,6408,0,6408,0,0
140,4400,0,4400,0,0
141,3906,0,3906,0,0
142,2221,0,2221,0,0
143,35580,0,35580,0,0
144,33544,0,33544,0,0
145,32219,0,32219,0,0
146,30525,0,30525,0,0
147,28786,0,28786,0,0
148,27063,0,27063,0,0
149,26128,0,26128,0,0
150,24536,0,24536,0,0
151,23019,0,23019,0,0
152,21148,0,21148,0,0
154,15647,0,15647,0,0
155,14139,0,14139,0,0
156,12386,0,12386,0,0
157,10633,0,10633,0,0
158,9361,0,9361,0,0
159,7721,0,7721,0,0
160,5949,0,5949,0,0
161,4049,0,4049,0,0
162,2298,0,2298,0,0
163,34999,0,34999,0,0
164,32640,0,32640,0,0
165,31028,0,31028,0,0
166,29706,0,29706,0,0
167,27910,0,27910,0,0
168,25775,0,25775,0,0
169,23815,0,23815,0,0
170,21887,0,21887,0,0
171,20112,0,20112,0,0
172,18166,0,18166,0,0
174,12243,0,12243,0,0
175,11095,0,11095,0,0
176,9099,0,9099,0,0
177,7134,0,7134,0,0
178,5253,0,5253,0,0
179,3455,0,3455,0,0
180,29743,0,29743,0,0
181,27297,0,27297,0,0
182,25179,0,25179,0,0
183,23851,0,23851,0,0
184,21922,0,21922,0,0
185,20192,0,20192,0,0
186,18245,0,18245,0,0
187,16286,0,16286,0,0
188,13772,0,13772,0,0
189,11878,0,11878,0,0
190,10029,0,10029,0,0
191,8745,0,8745,0,0
192,6805,0,6805,0,0
193,4901,0,4901,0,0
194,2985,0,2985,0,0
195,27942,0,27942,0,0
196,25557,0,25557,0,0
197,23772,0,23772,0,0
198,21764,0,21764,0,0
199,20561,0,20561,0,0
200,18685,0,18685,0,0
201,16731,0,16731,0,0
202,14656,0,14656,0,0
203,12275,0,12275,0,0
204,10293,0,10293,0,0
205,7528,0,7528,0,0
206,3481,0,3481,0,0
207,16939,0,16939,0,0
208,14510,0,14510,0,0
209,12565,0,12565,0,0
210,10638,0,10638,0,0
211,7365,0,7365,0,0
212,5495,0,5495,0,0
213,3643,0,3643,0,0
214,18689,0,18689,0,0
215,16170,0,16170,0,0
216,14629,0,14629,0,0
217,13260,0,13260,0,0
218,11400,0,11400,0,0
219,9039,0,9039,0,0
220,7169,0,7169,0,0
221,4984,0,4984,0,0
222,2861,0,2861,0,0
223,5830,0,5830,0,0
224,7777,0,7777,0,0
225,4900,0,4900,0,0
226,2404,0,2404,0,0
227,8894,0,8894,0,0
228,6700,0,6700,0,0
229,3613,0,3613,0,0
230,11074,0,11074,0,0
231,9232,0,9232,0,0
232,7576,0,7576,0,0
233,5148,0,5148,0,0
234,3384,0,3384,0,0
235,14695,0,14695,0,0
236,12340,0,12340,0,0
237,10619,0,10619,0,0
238,8764,0,8764,0,0
239,7200,0,7200,0,0
240,5382,0,5382,0,0
241,3555,0,3555,0,0
242,17773,0,17773,0,0
243,14991,0,14991,0,0
244,13245,0,13245,0,0
245,11342,0,11342,0,0
246,9888,0,9888,0,0
247,8159,0,8159,0,0
248,6356,0,6356,0,0
249,4197,0,4197,0,0
250,2345,0,2345,0,0
251,17789,0,17789,0,0
252,15502,0,15502,0,0
253,13690,0,13690,0,0
254,11746,0,11746,0,0
255,10617,0,10617,0,0
256,8154,0,8154,0,0
257,6512,0,6512,0,0
258,4283,0,4283,0,0
259,2468,0,2468,0,0
260,18157,0,18157,0,0
261,15840,0,15840,0,0
262,13972,0,13972,0,0
263,12455,0,12455,0,0
264,10709,0,10709,0,0
265,8264,0,8264,0,0
266,6422,0,6422,0,0
267,4422,0,4422,0,0
268,2677,0,2677,0,0
269,18574,0,18574,0,0
270,16189,0,16189,0,0
271,16072,0,16072,0,0
272,14186,0,14186,0,0
273,12153,0,12153,0,0
274,9866,0,9866,0,0
275,8017,0,8017,0,0
276,6026,0,6026,0,0
277,3807,0,3807,0,0
278,23054,0,23054,0,0
279,21011,0,21011,0,0
280,19142,0,19142,0,0
281,17136,0,17136,0,0
282,15278,0,15278,0,0
283,13614,0,13614,0,0
284,10938,0,10938,0,0
285,8937,0,8937,0,0
286,7048,0,7048,0,0
287,5896,0,5896,0,0
288,4015,0,4015,0,0
289,23463,0,23463,0,0
290,20506,0,20506,0,0
