count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,5282,0,5282,0,0
52,5206,0,5206,0,0
53,3900,0,3900,0,0
54,3494,0,3494,0,0
55,5797,0,5797,0,0
56,4021,0,4021,0,0
57,2691,0,2691,0,0
58,5871,0,5871,0,0
59,4272,0,4272,0,0
60,3656,0,3656,0,0
61,5734,0,5734,0,0
62,4086,0,4086,0,0
63,6624,0,6624,0,0
64,4622,0,4622,0,0
65,2722,0,2722,0,0
66,17129,0,17129,0,0
67,7093,0,7093,0,0
68,5499,0,5499,0,0
69,4142,0,4142,0,0
70,2469,0,2469,0,0
71,16636,0,16636,0,0
72,4453,0,4453,0,0
73,4058,0,4058,0,0
74,6498,0,6498,0,0
75,5383,0,5383,0,0
76,3396,0,3396,0,0
77,8462,0,8462,0,0
78,5125,0,5125,0,0
79,3161,0,3161,0,0
80,5352,0,5352,0,0
81,3508,0,3508,0,0
82,5747,0,5747,0,0
83,4938,0,4938,0,0
84,3136,0,3136,0,0
85,5516,0,5516,0,0
86,3888,0,3888,0,0
87,2184,0,2184,0,0
88,16581,0,16581,0,0
89,5649,0,5649,0,0
90,3706,0,3706,0,0
91,3254,0,3254,0,0
92,6130,0,6130,0,0
93,4265,0,4265,0,0
94,2309,0,2309,0,0
95,16680,0,16680,0,0
96,17592,0,17592,0,0
97,5604,0,5604,0,0
98,3475,0,3475,0,0
99,6756,0,6756,0,0
100,5111,0,5111,0,0
101,25209,0,25209,0,0
102,7414,0,7414,0,0
103,2902,0,2902,0,0
104,6271,0,6271,0,0
105,4734,0,4734,0,0
106,3094,0,3094,0,0
107,6378,0,6378,0,0
108,5292,0,5292,0,0
109,21928,0,21928,0,0
110,11056,0,11056,0,0
111,9584,0,9584,0,0
112,9149,0,9149,0,0
113,7421,0,7421,0,0
114,6349,0,6349,0,0
115,5555,0,5555,0,0
116,3971,0,3971,0,0
117,2493,0,2493,0,0
118,5611,0,5611,0,0
119,4651,0,4651,0,0
120,3187,0,3187,0,0
121,5521,0,5521,0,0
122,3784,0,3784,0,0
123,2896,0,2896,0,0
124,5674,0,5674,0,0
125,4133,0,4133,0,0
126,2393,0,2393,0,0
127,17158,0,17158,0,0
128,6994,0,6994,0,0
129,5858,0,5858,0,0
130,5258,0,5258,0,0
131,5584,0,5584,0,0
132,4401,0,4401,0,0
133,3137,0,3137,0,0
134,5737,0,5737,0,0
135,4164,0,4164,0,0
136,3203,0,3203,0,0
137,5467,0,5467,0,0
138,3986,0,3986,0,0
139,3727,0,3727,0,0
140,7805,0,7805,0,0
141,4707,0,4707,0,0
142,3359,0,3359,0,0
143,3505,0,3505,0,0
144,5454,0,5454,0,0
145,3949,0,3949,0,0
146,2520,0,2520,0,0
147,17454,0,17454,0,0
148,6872,0,6872,0,0
149,5305,0,5305,0,0
150,4343,0,4343,0,0
151,2696,0,2696,0,0
152,5194,0,5194,0,0
153,3390,0,3390,0,0
154,5511,0,5511,0,0
155,5397,0,5397,0,0
156,3890,0,3890,0,0
157,7495,0,7495,0,0
158,3705,0,3705,0,0
159,7463,0,7463,0,0
160,3827,0,3827,0,0
161,3488,0,3488,0,0
162,5156,0,5156,0,0
163,4362,0,4362,0,0
164,2355,0,2355,0,0
165,16819,0,16819,0,0
166,5932,0,5932,0,0
167,4020,0,4020,0,0
168,6713,0,6713,0,0
169,4324,0,4324,0,0
170,2512,0,2512,0,0
171,17363,0,17363,0,0
172,17813,0,17813,0,0
173,5419,0,5419,0,0
174,2909,0,2909,0,0
