count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,1142258,0,1142258,0,0
52,1142746,0,1142746,0,0
53,1144301,0,1144301,0,0
54,1145234,0,1145234,0,0
55,1147603,0,1147603,0,0
56,1147217,0,1147217,0,0
57,1152201,0,1152201,0,0
58,1183236,0,1183236,0,0
59,1183524,0,1183524,0,0
60,1183282,0,1183282,0,0
61,1303761,0,1303761,0,0
62,1308665,0,1308665,0,0
63,1299620,0,1299620,0,0
64,1302762,0,1302762,0,0
65,1301730,0,1301730,0,0
66,1300887,0,1300887,0,0
67,1303481,0,1303481,0,0
68,1333312,0,1333312,0,0
69,1334097,0,1334097,0,0
70,1334259,0,1334259,0,0
71,1336240,0,1336240,0,0
72,1369805,0,1369805,0,0
73,1371427,0,1371427,0,0
74,1371052,0,1371052,0,0
75,1072010,0,1072010,0,0
76,1193160,0,1193160,0,0
77,1196696,0,1196696,0,0
78,1197586,0,1197586,0,0
79,1196938,0,1196938,0,0
80,1198946,0,1198946,0,0
81,1198438,0,1198438,0,0
82,1200060,0,1200060,0,0
83,1200163,0,1200163,0,0
84,1198855,0,1198855,0,0
85,1196098,0,1196098,0,0
86,1200180,0,1200180,0,0
87,1199518,0,1199518,0,0
88,1226036,0,1226036,0,0
89,1226665,0,1226665,0,0
90,1131370,0,1131370,0,0
91,1255676,0,1255676,0,0
92,1260331,0,1260331,0,0
93,1259348,0,1259348,0,0
94,1260030,0,1260030,0,0
95,1259325,0,1259325,0,0
96,1258265,0,1258265,0,0
97,1257344,0,1257344,0,0
98,1258989,0,1258989,0,0
99,1259082,0,1259082,0,0
100,1261112,0,1261112,0,0
101,1255482,0,1255482,0,0
102,1256630,0,1256630,0,0
103,1291251,0,1291251,0,0
104,1290889,0,1290889,0,0
105,1020604,0,1020604,0,0
106,1159426,0,1159426,0,0
107,1162131,0,1162131,0,0
108,1164997,0,1164997,0,0
109,1164895,0,1164895,0,0
110,1163771,0,1163771,0,0
111,1165125,0,1165125,0,0
112,1163953,0,1163953,0,0
114,1159731,0,1159731,0,0
115,1159209,0,1159209,0,0
116,1161428,0,1161428,0,0
117,1159533,0,1159533,0,0
118,1177197,0,1177197,0,0
119,1181576,0,1181576,0,0
120,1111978,0,1111978,0,0
121,1250849,0,1250849,0,0
122,1253631,0,1253631,0,0
123,1251768,0,1251768,0,0
124,1252817,0,1252817,0,0
125,1250311,0,1250311,0,0
126,1244573,0,1244573,0,0
127,1242069,0,1242069,0,0
128,1248304,0,1248304,0,0
129,1276613,0,1276613,0,0
130,1280315,0,1280315,0,0
131,1280523,0,1280523,0,0
132,1283583,0,1283583,0,0
133,1284142,0,1284142,0,0
134,1282975,0,1282975,0,0
135,1073471,0,1073471,0,0
136,1125664,0,1125664,0,0
137,1129445,0,1129445,0,0
138,1128248,0,1128248,0,0
139,1125670,0,1125670,0,0
140,1124387,0,1124387,0,0
141,1152057,0,1152057,0,0
142,1151510,0,1151510,0,0
143,1151512,0,1151512,0,0
144,1147045,0,1147045,0,0
145,1183743,0,1183743,0,0
146,1184292,0,1184292,0,0
147,1182084,0,1182084,0,0
148,1183152,0,1183152,0,0
149,1180438,0,1180438,0,0
150,1120392,0,1120392,0,0
151,1271223,0,1271223,0,0
152,1272381,0,1272381,0,0
153,1270209,0,1270209,0,0
154,1271211,0,1271211,0,0
155,1269841,0,1269841,0,0
156,1269237,0,1269237,0,0
157,1270468,0,1270468,0,0
159,1265489,0,1265489,0,0
160,1264062,0,1264062,0,0
161,1267183,0,1267183,0,0
162,1275003,0,1275003,0,0
163,1284107,0,1284107,0,0
164,1285920,0,1285920,0,0
165,1060953,0,1060953,0,0
166,1113614,0,1113614,0,0
167,1107903,0,1107903,0,0
168,1103628,0,1103628,0,0
169,1097108,0,1097108,0,0
170,1088912,0,1088912,0,0
171,1099592,0,1099592,0,0
172,1097415,0,1097415,0,0
173,1093288,0,1093288,0,0
174,1115099,0,1115099,0,0
175,1110168,0,1110168,0,0
176,1103855,0,1103855,0,0
177,1095284,0,1095284,0,0
178,1117711,0,1117711,0,0
179,1113234,0,1113234,0,0
180,1105768,0,1105768,0,0
181,1204043,0,1204043,0,0
182,1203014,0,1203014,0,0
183,1197312,0,1197312,0,0
184,1193060,0,1193060,0,0
185,1186145,0,1186145,0,0
186,1179170,0,1179170,0,0
187,1146094,0,1146094,0,0
188,1174725,0,1174725,0,0
189,1170991,0,1170991,0,0
190,1167061,0,1167061,0,0
191,1158920,0,1158920,0,0
192,1150618,0,1150618,0,0
193,1168248,0,1168248,0,0
194,1162359,0,1162359,0,0
195,1103110,0,1103110,0,0
196,1259561,0,1259561,0,0
197,1266268,0,1266268,0,0
198,1269736,0,1269736,0,0
199,1269570,0,1269570,0,0
200,1271173,0,1271173,0,0
201,1285219,0,1285219,0,0
202,1288632,0,1288632,0,0
204,1232261,0,1232261,0,0
205,1230687,0,1230687,0,0
206,1232864,0,1232864,0,0
207,1231425,0,1231425,0,0
208,1229986,0,1229986,0,0
209,1230582,0,1230582,0,0
210,1074023,0,1074023,0,0
211,1199990,0,1199990,0,0
212,1200915,0,1200915,0,0
213,1200328,0,1200328,0,0
214,1198105,0,1198105,0,0
215,1193764,0,1193764,0,0
216,1190135,0,1190135,0,0
217,1188900,0,1188900,0,0
218,1186771,0,1186771,0,0
219,1182995,0,1182995,0,0
220,1180009,0,1180009,0,0
221,1178109,0,1178109,0,0
222,1207688,0,1207688,0,0
223,1206691,0,1206691,0,0
224,1208003,0,1208003,0,0
225,1074786,0,1074786,0,0
226,1132355,0,1132355,0,0
227,1134280,0,1134280,0,0
228,1138330,0,1138330,0,0
229,1153927,0,1153927,0,0
230,1155161,0,1155161,0,0
231,1154174,0,1154174,0,0
232,1151644,0,1151644,0,0
233,1154186,0,1154186,0,0
234,1181812,0,1181812,0,0
235,1182109,0,1182109,0,0
