count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,-2242242448,0,-2242242448,0,0
52,-2242256385,0,-2242256385,0,0
53,-2242272679,0,-2242272679,0,0
54,-2242284391,0,-2242284391,0,0
55,-2242299330,0,-2242299330,0,0
56,-2242313152,0,-2242313152,0,0
57,-2242326988,0,-2242326988,0,0
58,-2242325912,0,-2242325912,0,0
59,-2242340771,0,-2242340771,0,0
60,-2242358361,0,-2242358361,0,0
61,-2242372592,0,-2242372592,0,0
62,-2242385428,0,-2242385428,0,0
63,-2242401624,0,-2242401624,0,0
64,-2242454219,0,-2242454219,0,0
65,-2242543780,0,-2242543780,0,0
66,-2242606643,0,-2242606643,0,0
67,-2242627534,0,-2242627534,0,0
68,-2242642322,0,-2242642322,0,0
69,-2242661916,0,-2242661916,0,0
70,-2242674896,0,-2242674896,0,0
71,-2242692021,0,-2242692021,0,0
72,-2242709121,0,-2242709121,0,0
73,-2242727875,0,-2242727875,0,0
74,-2242492443,0,-2242492443,0,0
75,-2242503721,0,-2242503721,0,0
76,-2242521169,0,-2242521169,0,0
77,-2242534362,0,-2242534362,0,0
78,-2242557445,0,-2242557445,0,0
79,-2242570212,0,-2242570212,0,0
80,-2242583933,0,-2242583933,0,0
81,-2242598777,0,-2242598777,0,0
82,-2242612767,0,-2242612767,0,0
83,-2242622916,0,-2242622916,0,0
84,-2242633936,0,-2242633936,0,0
85,-2242653166,0,-2242653166,0,0
86,-2242669982,0,-2242669982,0,0
87,-2242684403,0,-2242684403,0,0
88,-2242697928,0,-2242697928,0,0
89,-2242712947,0,-2242712947,0,0
90,-2242728196,0,-2242728196,0,0
91,-2242740460,0,-2242740460,0,0
92,-2234519052,0,-2234519052,0,0
93,-2234527619,0,-2234527619,0,0
94,-2234540125,0,-2234540125,0,0
95,-2234552978,0,-2234552978,0,0
96,-2234567253,0,-2234567253,0,0
97,-2234581069,0,-2234581069,0,0
98,-2234599287,0,-2234599287,0,0
99,-2234615257,0,-2234615257,0,0
100,-2234632628,0,-2234632628,0,0
101,-2234654376,0,-2234654376,0,0
102,-2234617008,0,-2234617008,0,0
103,-2234631593,0,-2234631593,0,0
104,-2234647712,0,-2234647712,0,0
105,-2234670587,0,-2234670587,0,0
106,-2234684115,0,-2234684115,0,0
107,-2234698595,0,-2234698595,0,0
108,-2234713015,0,-2234713015,0,0
109,-2234726825,0,-2234726825,0,0
110,-2234743196,0,-2234743196,0,0
111,-2234760560,0,-2234760560,0,0
112,-2234776106,0,-2234776106,0,0
113,-2234792628,0,-2234792628,0,0
114,-2234806209,0,-2234806209,0,0
115,-2234818819,0,-2234818819,0,0
116,-2234832140,0,-2234832140,0,0
117,-2234846817,0,-2234846817,0,0
118,-2234860022,0,-2234860022,0,0
119,-2234982862,0,-2234982862,0,0
120,-2234998580,0,-2234998580,0,0
121,-2235006300,0,-2235006300,0,0
122,-2235024037,0,-2235024037,0,0
123,-2235036273,0,-2235036273,0,0
124,-2235049408,0,-2235049408,0,0
125,-2235059619,0,-2235059619,0,0
126,-2235070790,0,-2235070790,0,0
127,-2235087550,0,-2235087550,0,0
128,-2235100872,0,-2235100872,0,0
129,-2235113554,0,-2235113554,0,0
130,-2235131528,0,-2235131528,0,0
131,-2235156154,0,-2235156154,0,0
132,-2235167455,0,-2235167455,0,0
133,-2235183156,0,-2235183156,0,0
134,-2235197665,0,-2235197665,0,0
135,-2235210559,0,-2235210559,0,0
136,-2235222115,0,-2235222115,0,0
137,-2235234410,0,-2235234410,0,0
