count_idx,delay_ns
51,-2405932395
52,-2405932268
53,-2405932063
54,-2405932190
55,-2405932617
56,-2405939043
57,-2405940987
58,-2405942489
59,-2405944413
60,-2405945956
61,-2405947086
62,-2405948627
63,-2405941069
64,-2405942243
65,-2405942959
66,-2405946693
67,-2405948189
68,-2405949669
69,-2405950621
70,-2405951355
71,-2405951919
72,-2405952683
73,-2405953308
74,-2405955004
75,-2405956178
76,-2405957869
77,-2405958670
78,-2405959135
79,-2405960193
80,-2405962826
81,-2405963683
82,-2405965965
83,-2405968104
84,-2405984215
85,-2406006285
86,-2406008645
87,-2406010032
88,-2406011085
89,-2406011661
90,-2406011999
91,-2406011979
92,-2406013647
93,-2406015115
94,-2406016334
95,-2406017266
96,-2406017511
97,-2406017777
98,-2406019676
99,-2406020665
100,-2406022138
101,-2406023244
102,-2406024590
103,-2406025463
104,-2406025909
105,-2406026362
106,-2406029320
107,-2406030825
108,-2406032256
109,-2406033278
110,-2406035320
111,-2406036617
112,-2406037871
113,-2406038741
114,-2406035664
115,-2399758078
116,-2399758148
117,-2399759392
118,-2399782476
119,-2399795193
120,-2399799658
121,-2399801091
122,-2399801919
123,-2399804143
124,-2399808839
125,-2399813003
126,-2399813935
127,-2399814380
128,-2399816878
129,-2399818413
130,-2399819065
131,-2399819274
132,-2399821029
133,-2399821874
134,-2399822925
135,-2399825291
136,-2399846537
137,-2399848963
138,-2399849954
139,-2399850023
140,-2399850414
141,-2399852050
142,-2399852874
143,-2399853801
144,-2399855400
145,-2399857549
146,-2399856020
147,-2399461587
148,-2399462296
149,-2399463853
150,-2399465528
151,-2399478750
152,-2399491068
153,-2399492521
154,-2399493935
155,-2399495564
156,-2399482072
157,-2399482611
158,-2399482959
159,-2399484472
160,-2399487786
161,-2399490003
162,-2399492253
163,-2399503971
164,-2399507129
165,-2399508401
166,-2399509501
167,-2399509837
168,-2399512224
169,-2399512882
170,-2399513306
171,-2399514546
172,-2399516625
173,-2399518358
174,-2399520079
175,-2399522975
176,-2399523750
177,-2399525178
178,-2399526435
179,-2399528890
180,-2399530383
181,-2399531926
182,-2399532938
183,-2399545735
184,-2399559535
185,-2399562271
186,-2399563567
187,-2399564104
188,-2399565531
189,-2399566336
190,-2399570004
191,-2399571245
192,-2399572738
193,-2399573909
194,-2399574978
195,-2399575215
196,-2399576144
197,-2399577462
198,-2399578922
199,-2399556701
200,-2399507174
201,-2399510206
202,-2399510714
203,-2399511104
204,-2399513771
205,-2399515588
206,-2399517678
207,-2399519259
208,-2399520218
209,-2399521565
210,-2399522850
