count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,1302742,0,1302742,-66316975,11772589
52,1299068,0,1299068,-66316975,11772589
53,1287307,0,1287307,-66316975,11772589
54,1283370,0,1283370,-66316975,11772589
55,1278211,0,1278211,-66316975,11772589
56,1273029,0,1273029,-66316975,11772589
57,1268480,0,1268480,-66316975,11772589
58,1266856,0,1266856,-66316975,11772589
59,1267919,0,1267919,-66316975,11772589
60,1273749,0,1273749,-66316975,11772589
61,1274338,0,1274338,-66316975,11772589
62,1275283,0,1275283,-66316975,11772589
63,1284266,0,1284266,-66316975,11772589
64,1284719,0,1284719,-66316975,11772589
65,1285079,0,1285079,-66316975,11772589
66,1285594,0,1285594,-66316975,11772589
67,1287080,0,1287080,-66316975,11772589
68,1287407,0,1287407,-66316975,11772589
69,1299934,0,1299934,-66316975,11772589
70,1300384,0,1300384,-66316975,11772589
71,1300425,0,1300425,-66316975,11772589
72,1300835,0,1300835,-66316975,11772589
73,1301511,0,1301511,-66316975,11772589
74,1301826,0,1301826,-66316975,11772589
75,1313355,0,1313355,-66316975,11772589
76,1314321,0,1314321,-66316975,11772589
77,1315074,0,1315074,-66316975,11772589
78,1315478,0,1315478,-66316975,11772589
79,1315908,0,1315908,-66316975,11772589
80,1316509,0,1316509,-66316975,11772589
81,1331348,0,1331348,-66316975,11772589
82,1331790,0,1331790,-66316975,11772589
83,1333390,0,1333390,-66316975,11772589
84,1333963,0,1333963,-66316975,11772589
85,1334148,0,1334148,-66316975,11772589
86,1334531,0,1334531,-66316975,11772589
87,1335188,0,1335188,-66316975,11772589
88,1349929,0,1349929,-66316975,11772589
89,1350025,0,1350025,-66316975,11772589
90,1349947,0,1349947,-66316975,11772589
91,1351451,0,1351451,-66316975,11772589
92,1352337,0,1352337,-66316975,11772589
93,1352837,0,1352837,-66316975,11772589
94,1352902,0,1352902,-66316975,11772589
95,1369070,0,1369070,-66316975,11772589
96,1369284,0,1369284,-66316975,11772589
97,1369501,0,1369501,-66316975,11772589
98,1369925,0,1369925,-66316975,11772589
99,1371824,0,1371824,-66316975,11772589
100,1372337,0,1372337,-66316975,11772589
101,1635458,0,1635458,-66316975,11772589
102,1636430,0,1636430,-66316975,11772589
103,1636993,0,1636993,-66316975,11772589
104,1644476,0,1644476,-66316975,11772589
105,1645056,0,1645056,-66316975,11772589
106,1645416,0,1645416,-66316975,11772589
107,1646860,0,1646860,-66316975,11772589
108,1647620,0,1647620,-66316975,11772589
109,1647731,0,1647731,-66316975,11772589
110,1658425,0,1658425,-66316975,11772589
111,1658800,0,1658800,-66316975,11772589
112,1659097,0,1659097,-66316975,11772589
113,1659501,0,1659501,-66316975,11772589
114,1659381,0,1659381,-66316975,11772589
115,1676414,0,1676414,-66316975,11772589
116,1676976,0,1676976,-66316975,11772589
117,1677371,0,1677371,-66316975,11772589
118,1677641,0,1677641,-66316975,11772589
119,1678227,0,1678227,-66316975,11772589
120,1678777,0,1678777,-66316975,11772589
121,1678844,0,1678844,-66316975,11772589
122,1679222,0,1679222,-66316975,11772589
123,1695232,0,1695232,-66316975,11772589
124,1695406,0,1695406,-66316975,11772589
125,1695519,0,1695519,-66316975,11772589
126,1696009,0,1696009,-66316975,11772589
127,1696165,0,1696165,-66316975,11772589
128,1694361,0,1694361,-66316975,11772589
129,1694516,0,1694516,-66316975,11772589
130,1695063,0,1695063,-66316975,11772589
131,1706940,0,1706940,-66316975,11772589
132,1705973,0,1705973,-66316975,11772589
133,1706203,0,1706203,-66316975,11772589
134,1706415,0,1706415,-66316975,11772589
135,1706729,0,1706729,-66316975,11772589
136,1722784,0,1722784,-66316975,11772589
137,1723098,0,1723098,-66316975,11772589
138,1723246,0,1723246,-66316975,11772589
139,1724773,0,1724773,-66316975,11772589
140,1725298,0,1725298,-66316975,11772589
141,1725902,0,1725902,-66316975,11772589
142,1726262,0,1726262,-66316975,11772589
143,1726759,0,1726759,-66316975,11772589
144,1741541,0,1741541,-66316975,11772589
145,1741699,0,1741699,-66316975,11772589
146,1742131,0,1742131,-66316975,11772589
147,1743550,0,1743550,-66316975,11772589
148,1744056,0,1744056,-66316975,11772589
149,1744399,0,1744399,-66316975,11772589
150,1745037,0,1745037,-66316975,11772589
151,1755714,0,1755714,-66316975,11772589
152,1756032,0,1756032,-66316975,11772589
153,1756723,0,1756723,-66316975,11772589
154,1756946,0,1756946,-66316975,11772589
155,1757479,0,1757479,-66316975,11772589
156,1758114,0,1758114,-66316975,11772589
157,1768428,0,1768428,-66316975,11772589
158,1768910,0,1768910,-66316975,11772589
