count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,-273027510,0,-273027510,0,0
52,-273039653,0,-273039653,0,0
53,-273171230,0,-273171230,0,0
54,-273316649,0,-273316649,0,0
55,-273465533,0,-273465533,0,0
56,-273068802,0,-273068802,0,0
57,-273200076,0,-273200076,0,0
58,-273331664,0,-273331664,0,0
59,-273347265,0,-273347265,0,0
60,-273350420,0,-273350420,0,0
61,-273482141,0,-273482141,0,0
62,-273614634,0,-273614634,0,0
63,-272726219,0,-272726219,0,0
64,-272726525,0,-272726525,0,0
65,-272860500,0,-272860500,0,0
66,-272993750,0,-272993750,0,0
67,-273142466,0,-273142466,0,0
68,-272959893,0,-272959893,0,0
69,-273105873,0,-273105873,0,0
70,-273296332,0,-273296332,0,0
71,-273353592,0,-273353592,0,0
72,-272792908,0,-272792908,0,0
73,-272988433,0,-272988433,0,0
74,-273149189,0,-273149189,0,0
75,-273177394,0,-273177394,0,0
76,-273330876,0,-273330876,0,0
77,-273468866,0,-273468866,0,0
78,-273603330,0,-273603330,0,0
79,-272887927,0,-272887927,0,0
80,-272874677,0,-272874677,0,0
81,-273021399,0,-273021399,0,0
82,-273156030,0,-273156030,0,0
83,-273289040,0,-273289040,0,0
84,-272518914,0,-272518914,0,0
85,-272650602,0,-272650602,0,0
86,-272782063,0,-272782063,0,0
87,-272940730,0,-272940730,0,0
88,-273087096,0,-273087096,0,0
89,-273219849,0,-273219849,0,0
90,-273368715,0,-273368715,0,0
91,-273409595,0,-273409595,0,0
92,-272947013,0,-272947013,0,0
93,-273090437,0,-273090437,0,0
94,-273234619,0,-273234619,0,0
95,-273385215,0,-273385215,0,0
96,-272679281,0,-272679281,0,0
97,-272827408,0,-272827408,0,0
98,-272975451,0,-272975451,0,0
99,-273111676,0,-273111676,0,0
100,-273003938,0,-273003938,0,0
101,-273151835,0,-273151835,0,0
102,-273287268,0,-273287268,0,0
103,-273421466,0,-273421466,0,0
104,-273394386,0,-273394386,0,0
105,-273527184,0,-273527184,0,0
106,-273660643,0,-273660643,0,0
107,-273278182,0,-273278182,0,0
108,-272629160,0,-272629160,0,0
109,-272762235,0,-272762235,0,0
110,-272895725,0,-272895725,0,0
111,-273035128,0,-273035128,0,0
112,-273062304,0,-273062304,0,0
113,-273198650,0,-273198650,0,0
114,-273327279,0,-273327279,0,0
115,-273481422,0,-273481422,0,0
116,-273124423,0,-273124423,0,0
117,-273340817,0,-273340817,0,0
118,-273478568,0,-273478568,0,0
119,-273513573,0,-273513573,0,0
120,-272756245,0,-272756245,0,0
121,-272983941,0,-272983941,0,0
122,-273139641,0,-273139641,0,0
123,-273286515,0,-273286515,0,0
124,-273192915,0,-273192915,0,0
125,-273355147,0,-273355147,0,0
126,-273510154,0,-273510154,0,0
127,-273645947,0,-273645947,0,0
128,-273075713,0,-273075713,0,0
129,-273207699,0,-273207699,0,0
130,-273341186,0,-273341186,0,0
131,-273474671,0,-273474671,0,0
132,-272195595,0,-272195595,0,0
133,-272344173,0,-272344173,0,0
134,-272479074,0,-272479074,0,0
135,-272617591,0,-272617591,0,0
136,-272815411,0,-272815411,0,0
137,-272968066,0,-272968066,0,0
138,-273135858,0,-273135858,0,0
139,-273292615,0,-273292615,0,0
140,-272291721,0,-272291721,0,0
141,-272426421,0,-272426421,0,0
142,-272580477,0,-272580477,0,0
143,-272727647,0,-272727647,0,0
144,-272716250,0,-272716250,0,0
145,-272868950,0,-272868950,0,0
146,-273019519,0,-273019519,0,0
147,-273178296,0,-273178296,0,0
148,-273334640,0,-273334640,0,0
149,-273470566,0,-273470566,0,0
150,-273604304,0,-273604304,0,0
151,-272994581,0,-272994581,0,0
152,-273152812,0,-273152812,0,0
153,-273288094,0,-273288094,0,0
154,-273422456,0,-273422456,0,0
155,-273555856,0,-273555856,0,0
156,-272970990,0,-272970990,0,0
157,-273104070,0,-273104070,0,0
158,-273257435,0,-273257435,0,0
159,-273415665,0,-273415665,0,0
160,-272728934,0,-272728934,0,0
161,-272886442,0,-272886442,0,0
162,-273038965,0,-273038965,0,0
163,-273212179,0,-273212179,0,0
164,-273242123,0,-273242123,0,0
165,-273389996,0,-273389996,0,0
166,-273539310,0,-273539310,0,0
167,-273436456,0,-273436456,0,0
168,-272585240,0,-272585240,0,0
169,-272725542,0,-272725542,0,0
170,-272879812,0,-272879812,0,0
171,-273036340,0,-273036340,0,0
172,-272862939,0,-272862939,0,0
173,-273032299,0,-273032299,0,0
174,-273166638,0,-273166638,0,0
175,-273176664,0,-273176664,0,0
176,-272754672,0,-272754672,0,0
177,-272888153,0,-272888153,0,0
178,-273019354,0,-273019354,0,0
179,-273157313,0,-273157313,0,0
180,-273179915,0,-273179915,0,0
181,-273309212,0,-273309212,0,0
182,-273440849,0,-273440849,0,0
183,-273573066,0,-273573066,0,0
184,-273075893,0,-273075893,0,0
185,-273207872,0,-273207872,0,0
186,-273340054,0,-273340054,0,0
187,-273488262,0,-273488262,0,0
188,-273511071,0,-273511071,0,0
189,-273643369,0,-273643369,0,0
190,-273775531,0,-273775531,0,0
191,-272460615,0,-272460615,0,0
192,-272600335,0,-272600335,0,0
193,-272733223,0,-272733223,0,0
194,-272866148,0,-272866148,0,0
195,-273012016,0,-273012016,0,0
