round,gen_attempts,t_gen_total_ns,gen_rtt_ns,ts_gen_success_ns,ts_swap_ns,swap_to_recv_ns,t_exp_ns,werner,pgen_success_bit,pswap_success_bit
0,1,348157,381932,1789997611411416698,1789997611411313188,103556,0,0.000000,1,0
1,1,235620,264112,1789997611411704728,1789997611411795536,110591,90808,0.847819,1,1
2,1,455050,485749,1789997611412453685,1789997611412338350,115368,0,0.000000,1,0
3,1,382915,434350,1789997611412881087,1789997611412977548,151436,96461,0.790361,1,1
4,1,319298,352109,1789997611413485239,1789997611413373103,112154,0,0.000000,1,0
5,1,311054,338225,1789997611413842418,1789997611413724264,118194,0,0.000000,1,0
6,1,294154,322492,1789997611414177611,1789997611414145016,43185,0,0.912309,1,1
7,1,353246,394953,1789997611414572226,1789997611414536628,35653,0,0.903394,1,1
8,1,186030,258868,1789997611414813200,1789997611414861732,73599,48532,0.000000,1,0
9,1,147286,169663,1789997611415127920,1789997611415115766,148987,0,0.951027,1,1
10,1,146180,172638,1789997611415446292,1789997611415402985,43327,0,0.986365,1,1
11,1,124686,149948,1789997611415610056,1789997611415632622,97391,22566,0.000000,1,0
12,1,351458,381252,1789997611416136958,1789997611416015258,121733,0,0.000000,1,0
13,1,308607,345830,1789997611416488326,1789997611416320952,167415,0,0.955467,1,1
14,1,165104,189197,1789997611416707180,1789997611416778554,151820,71374,0.000000,1,0
15,1,217851,244063,1789997611417185374,1789997611417240392,287833,55018,0.000000,1,0
16,1,285784,317020,1789997611417855075,1789997611418071245,129512,216170,0.665033,1,1
17,1,268851,299749,1789997611418509384,1789997611418576847,154379,67463,0.767062,1,1
18,1,774317,810240,1789997611419546895,1789997611418972632,574304,0,0.984991,1,1
19,1,221195,252208,1789997611419818591,1789997611419870352,127893,51761,0.000000,1,0
20,1,228286,280426,1789997611420261577,1789997611420321855,287224,60278,0.000000,1,0
21,1,173618,202835,1789997611420860154,1789997611420869809,67148,9655,0.000000,1,0
22,1,243476,275594,1789997611421215027,1789997611421271842,121178,56815,0.000000,1,0
23,1,218155,244123,1789997611421652396,1789997611421557235,95192,0,0.000000,1,0
24,1,196175,247517,1789997611421885984,1789997611421782294,103727,0,0.000000,1,0
25,1,560883,592373,1789997611422510427,1789997611422153801,356655,0,0.000000,1,0
26,1,251832,288287,1789997611422806796,1789997611422850566,164499,43770,0.848696,1,1
27,1,244164,275804,1789997611423294664,1789997611423338242,101482,43578,0.852139,1,1
28,1,227199,258699,1789997611423694217,1789997611423605969,88283,0,0.000000,1,0
29,1,252216,282739,1789997611423991054,1789997611423897793,93293,0,0.000000,1,0
30,1,137925,162639,1789997611424172509,1789997611424171255,161944,0,0.000000,1,0
31,1,685583,718250,1789997611425054987,1789997611424907465,147548,0,0.940787,1,1
32,1,159590,182206,1789997611425261164,1789997611425310816,180679,49652,0.000000,1,0
33,1,327368,358814,1789997611425856278,1789997611425927323,275333,71045,0.735660,1,1
34,1,266351,304126,1789997611426515024,1789997611426402091,112965,0,0.000000,1,0
35,1,334466,390347,1789997611426901884,1789997611426760620,141309,0,0.984924,1,1
36,1,195965,227379,1789997611427166912,1789997611427130262,36681,0,0.980064,1,1
37,1,141952,165395,1789997611427353587,1789997611427313430,40194,0,0.000000,1,0
38,1,243761,273430,1789997611427632407,1789997611427534302,98160,0,0.952045,1,1
39,1,153743,177872,1789997611427829083,1789997611427798169,30934,0,0.000000,1,0
40,1,148904,175971,1789997611428015033,1789997611427971000,44073,0,0.000000,1,0
41,1,250984,350715,1789997611428311281,1789997611428363641,134818,52360,0.807139,1,1
42,1,239111,295891,1789997611428774005,1789997611428656205,117854,0,0.000000,1,0
43,1,428546,454478,1789997611429277161,1789997611429079050,198144,0,0.000000,1,0
44,1,239261,276330,1789997611429554940,1789997611429475250,79724,0,0.000000,1,0
45,1,273701,306316,1789997611429879260,1789997611429763966,115327,0,0.000000,1,0
46,1,386825,427891,1789997611430311262,1789997611430100281,211030,0,0.000000,1,0
47,1,394308,426819,1789997611430759847,1789997611430646021,113854,0,0.000000,1,0
48,1,266411,295621,1789997611431073904,1789997611430953785,120153,0,0.000000,1,0
49,1,279442,314875,1789997611431395180,1789997611431297267,97949,0,0.000000,1,0
50,1,213355,240944,1789997611431657692,1789997611431566903,90810,0,0.000000,1,0
51,1,211191,241058,1789997611431907864,1789997611431838225,69660,0,0.978333,1,1
52,1,183706,210754,1789997611432141740,1789997611432065263,76503,0,0.988033,1,1
53,1,235130,260230,1789997611432416447,1789997611432288515,127974,0,0.000000,1,0
54,1,188498,213067,1789997611432641093,1789997611432557834,83277,0,0.987957,1,1
55,1,183388,203410,1789997611432859222,1789997611432779311,79930,0,0.986905,1,1
56,1,182817,200996,1789997611433072835,1789997611432993237,79619,0,0.000000,1,0
57,1,175812,195982,1789997611433276849,1789997611433200571,76297,0,0.988188,1,1
58,1,175537,201927,1789997611433482875,1789997611433404016,78878,0,0.987951,1,1
