round,gen_attempts,t_gen_total_ns,gen_rtt_ns,ts_gen_success_ns,ts_swap_ns,swap_to_recv_ns,t_exp_ns,werner,pgen_success_bit,pswap_success_bit
0,1,274540,316995,1789997582015376977,1789997582015268279,108737,0,0.880699,1,1
1,1,166410,193511,1789997582015608073,1789997582015519522,88584,0,0.000000,1,0
2,1,183903,213221,1789997582015833504,1789997582015750622,82902,0,0.987720,1,1
3,1,179891,203373,1789997582016056835,1789997582016006087,50804,0,0.985716,1,1
4,1,131851,160553,1789997582016224277,1789997582016254407,77029,30130,0.000000,1,0
5,1,199256,227098,1789997582016566952,1789997582016486061,80913,0,0.000000,1,0
6,1,205884,272431,1789997582016814251,1789997582016738115,102148,0,0.986039,1,1
7,1,229223,268525,1789997582017132043,1789997582017037573,94523,0,0.885432,1,1
8,1,276903,329124,1789997582017466054,1789997582017381991,84094,0,0.000000,1,0
9,1,229287,265637,1789997582017773217,1789997582017719007,54229,0,0.974927,1,1
10,1,216420,245094,1789997582018042160,1789997582017946428,95754,0,0.985969,1,1
11,1,197162,220209,1789997582018281843,1789997582018196875,84996,0,0.988281,1,1
12,1,185340,211894,1789997582018501690,1789997582018418058,83650,0,0.988013,1,1
13,1,228707,255859,1789997582018768895,1789997582018680058,88857,0,0.000000,1,0
14,1,183626,206243,1789997582018993075,1789997582019060099,459217,67024,0.846415,1,1
15,1,181678,213604,1789997582019755043,1789997582019678146,76924,0,0.980976,1,1
16,1,180165,204469,1789997582019982226,1789997582019910899,71347,0,0.988439,1,1
17,1,219766,300173,1789997582020238840,1789997582020149861,89033,0,0.986366,1,1
18,1,328469,353208,1789997582020668116,1789997582020472506,195632,0,0.000000,1,0
19,1,176150,197524,1789997582020882635,1789997582020802442,80213,0,0.987040,1,1
20,1,197245,220504,1789997582021113680,1789997582021036697,77002,0,0.000000,1,0
21,1,172006,194594,1789997582021323690,1789997582021250525,73184,0,0.987021,1,1
22,1,172381,239965,1789997582021529450,1789997582021442592,86876,0,0.985803,1,1
23,1,212744,241350,1789997582021830433,1789997582021743789,86702,0,0.887971,1,1
24,1,138657,165039,1789997582022011460,1789997582021948823,62685,0,0.978808,1,1
25,1,151804,180581,1789997582022203074,1789997582022132457,70676,0,0.980609,1,1
26,1,194712,221228,1789997582022439251,1789997582022380920,58350,0,0.968435,1,1
27,1,206283,233284,1789997582022684648,1789997582022602313,82361,0,0.983483,1,1
28,1,237401,266804,1789997582022963084,1789997582022875221,87899,0,0.983175,1,1
29,1,239852,261882,1789997582023245886,1789997582023126262,156606,0,0.000000,1,0
30,1,154234,183422,1789997582023490785,1789997582023425322,65484,0,0.984716,1,1
31,1,214372,260493,1789997582023747673,1789997582023642284,138747,0,0.984794,1,1
32,1,248828,275186,1789997582024062140,1789997582023988271,122745,0,0.984700,1,1
33,1,197505,222911,1789997582024333926,1789997582024286860,128490,0,0.968022,1,1
34,1,283445,317015,1789997582024754038,1789997582024637529,116542,0,0.893092,1,1
35,1,197265,230024,1789997582025000203,1789997582024912015,88220,0,0.986489,1,1
36,1,242611,277884,1789997582025289468,1789997582025193119,145173,0,0.975866,1,1
37,1,265652,302887,1789997582025664329,1789997582025540666,123714,0,0.986115,1,1
38,1,274581,312226,1789997582025994676,1789997582025899999,94707,0,0.983950,1,1
39,1,271795,292210,1789997582026319249,1789997582026229896,89379,0,0.000000,1,0
40,1,220099,245498,1789997582026571359,1789997582026504570,66808,0,0.000000,1,0
41,1,205819,227699,1789997582026824789,1789997582026734712,133172,0,0.000000,1,0
42,1,175494,204490,1789997582027065049,1789997582026976587,88480,0,0.978531,1,1
43,1,175290,193064,1789997582027283456,1789997582027201139,82336,0,0.986934,1,1
44,1,186627,210066,1789997582027495890,1789997582027413403,82505,0,0.988069,1,1
45,1,122075,147391,1789997582027652565,1789997582027621465,65117,0,0.984021,1,1
46,1,109323,131830,1789997582027817898,1789997582027835200,85868,17302,0.000000,1,0
47,1,168822,226293,1789997582028110472,1789997582028037409,114566,0,0.983612,1,1
48,1,162457,194777,1789997582028349393,1789997582028264392,85054,0,0.987370,1,1
49,1,251404,285459,1789997582028647774,1789997582028520012,127793,0,0.982378,1,1
50,1,474115,524320,1789997582029169837,1789997582028952934,216938,0,0.968684,1,1
51,1,295854,329156,1789997582029537262,1789997582029430503,106796,0,0.000000,1,0
52,1,208846,248656,1789997582029799372,1789997582029714186,85213,0,0.985297,1,1
53,1,202510,233351,1789997582030061425,1789997582029958315,103169,0,0.982079,1,1
54,1,170707,197663,1789997582030276704,1789997582030187935,88823,0,0.985635,1,1
55,1,180036,207478,1789997582030496501,1789997582030425565,70994,0,0.987644,1,1
56,1,181364,225882,1789997582030718220,1789997582030656075,62232,0,0.987233,1,1
57,1,222433,257771,1789997582030999111,1789997582030902224,96916,0,0.980733,1,1
58,1,212087,241435,1789997582031260932,1789997582031198360,133697,0,0.974818,1,1
59,1,300500,337978,1789997582031685738,1789997582031540301,145466,0,0.000000,1,0
60,1,329583,367907,1789997582032069020,1789997582031920523,148551,0,0.000000,1,0
61,1,224654,260768,1789997582032347981,1789997582032258497,89512,0,0.983760,1,1
62,1,245361,274393,1789997582032644253,1789997582032531584,112689,0,0.000000,1,0
63,1,216833,243213,1789997582032903103,1789997582032800847,102275,0,0.985814,1,1
64,1,194267,219898,1789997582033137966,1789997582033043329,94657,0,0.000000,1,0
65,1,206067,229901,1789997582033381133,1789997582033284456,96698,0,0.986809,1,1
66,1,184563,208486,1789997582033601975,1789997582033513880,88113,0,0.986776,1,1
67,1,197532,224107,1789997582033836464,1789997582033748658,87824,0,0.000000,1,0
68,1,191731,216209,1789997582034066859,1789997582033978466,88411,0,0.986411,1,1
69,1,187970,211875,1789997582034289866,1789997582034201691,88194,0,0.000000,1,0
70,1,184539,209798,1789997582034509269,1789997582034422630,86656,0,0.987829,1,1
71,1,191987,218061,1789997582034737689,1789997582034651214,86593,0,0.987954,1,1
72,1,240277,274129,1789997582035014545,1789997582034874774,139790,0,0.000000,1,0
73,1,227953,252856,1789997582035288570,1789997582035196095,92502,0,0.000000,1,0
74,1,179935,222001,1789997582035505976,1789997582035430265,75730,0,0.986903,1,1
75,1,140549,172414,1789997582035708389,1789997582035647783,60680,0,0.980410,1,1
76,1,133167,168190,1789997582035887298,1789997582035838520,61455,0,0.000000,1,0
77,1,244491,277090,1789997582036189499,1789997582036074600,114943,0,0.980625,1,1
78,1,167131,200144,1789997582036401761,1789997582036343866,57953,0,0.985289,1,1
79,1,161958,188837,1789997582036610919,1789997582036534239,76700,0,0.000000,1,0
80,1,165142,187480,1789997582036815501,1789997582036730908,84626,0,0.000000,1,0
81,1,178083,199107,1789997582037024525,1789997582036941461,83083,0,0.988357,1,1
82,1,165745,189855,1789997582037222091,1789997582037143804,78306,0,0.988630,1,1
83,1,164336,190017,1789997582037421287,1789997582037343376,77955,0,0.000000,1,0
84,1,184110,222627,1789997582037646612,1789997582037569790,76843,0,0.948426,1,1
85,1,249174,283560,1789997582037951162,1789997582037830609,120598,0,0.000000,1,0
86,1,357196,391489,1789997582038356303,1789997582038213711,142636,0,0.000000,1,0
87,1,249587,274740,1789997582038652893,1789997582038541673,111269,0,0.973794,1,1
88,1,194158,234531,1789997582038881216,1789997582038809959,81087,0,0.985197,1,1
89,1,191191,217153,1789997582039131325,1789997582039050895,80489,0,0.985951,1,1
90,1,174138,197853,1789997582039342173,1789997582039282651,59581,0,0.986923,1,1
91,1,195943,229562,1789997582039572006,1789997582039499076,72953,0,0.984564,1,1
92,1,164747,192085,1789997582039784356,1789997582039701802,82583,0,0.000000,1,0
93,1,199622,231812,1789997582040024333,1789997582039911638,112739,0,0.000000,1,0
94,1,239633,263799,1789997582040310216,1789997582040189536,120701,0,0.937631,1,1
95,1,210827,236711,1789997582040556810,1789997582040460652,96177,0,0.000000,1,0
96,1,195775,233850,1789997582040789867,1789997582040696567,93396,0,0.987457,1,1
97,1,178117,200407,1789997582041018788,1789997582040940078,78728,0,0.000000,1,0
98,1,186502,214166,1789997582041239384,1789997582041151158,88269,0,0.988240,1,1
99,1,153954,175044,1789997582041433693,1789997582041362222,71513,0,0.987479,1,1
100,1,182245,205895,1789997582041646270,1789997582041564742,81547,0,0.987084,1,1
101,1,169960,191729,1789997582041851186,1789997582041770608,80598,0,0.000000,1,0
102,1,168330,189141,1789997582042052401,1789997582041972524,79896,0,0.987850,1,1
103,1,168927,191764,1789997582042253060,1789997582042172715,80363,0,0.987875,1,1
104,1,165012,187110,1789997582042451532,1789997582042370075,81485,0,0.987204,1,1
105,1,172876,194342,1789997582042656007,1789997582042572152,83875,0,0.988443,1,1
106,1,161811,183668,1789997582042850087,1789997582042769339,80775,0,0.000000,1,0
107,1,171478,192161,1789997582043052899,1789997582042969980,82938,0,0.988232,1,1
108,1,161009,182398,1789997582043245357,1789997582043165711,79667,0,0.986986,1,1
109,1,173807,194998,1789997582043450303,1789997582043367516,82807,0,0.988071,1,1
110,1,172194,198853,1789997582043654581,1789997582043576501,78098,0,0.988421,1,1
111,1,144894,166739,1789997582043837186,1789997582043765040,72174,0,0.000000,1,0
112,1,169738,191879,1789997582044038666,1789997582043958072,80613,0,0.987708,1,1
113,1,165876,186003,1789997582044238013,1789997582044159833,78198,0,0.988141,1,1
114,1,149241,178511,1789997582044418006,1789997582044366769,51279,0,0.000000,1,0
115,1,162197,194485,1789997582044622321,1789997582044557054,65319,0,0.973743,1,1
116,1,270430,312831,1789997582044941359,1789997582044824261,117176,0,0.985643,1,1
117,1,294826,328893,1789997582045292964,1789997582045137171,155827,0,0.963139,1,1
118,1,239158,273017,1789997582045580518,1789997582045487753,92836,0,0.984070,1,1
119,1,202951,227269,1789997582045831036,1789997582045752233,78822,0,0.986477,1,1
120,1,181504,204558,1789997582046051481,1789997582045972754,78745,0,0.000000,1,0
121,1,203236,226379,1789997582046289307,1789997582046196649,92676,0,0.988339,1,1
122,1,177445,216807,1789997582046501673,1789997582046422047,79644,0,0.987820,1,1
123,1,176009,205145,1789997582046736743,1789997582046627564,123869,0,0.979345,1,1
124,1,221110,243044,1789997582047000268,1789997582046887921,112400,0,0.000000,1,0
125,1,194121,222871,1789997582047224844,1789997582047140172,84694,0,0.985470,1,1
126,1,166039,189521,1789997582047432176,1789997582047356486,75709,0,0.987481,1,1
127,1,187552,212179,1789997582047656284,1789997582047558894,97436,0,0.986567,1,1
128,1,141071,162332,1789997582047831760,1789997582047757931,73848,0,0.987256,1,1
129,1,183631,205275,1789997582048047609,1789997582047966546,81082,0,0.988409,1,1
130,1,175998,199389,1789997582048257070,1789997582048178081,79009,0,0.988089,1,1
131,1,209796,223532,1789997582048500638,1789997582048412802,87855,0,0.986557,1,1
132,1,169921,194968,1789997582048703927,1789997582048622435,81521,0,0.985711,1,1
133,1,171316,192986,1789997582048910905,1789997582048828881,82043,0,0.987401,1,1
134,1,166135,188563,1789997582049110109,1789997582049031261,78866,0,0.988210,1,1
135,1,165549,187361,1789997582049308848,1789997582049228849,80038,0,0.986823,1,1
136,1,167516,190626,1789997582049507944,1789997582049427615,80349,0,0.987585,1,1
137,1,164789,186770,1789997582049707354,1789997582049625967,81423,0,0.987000,1,1
138,1,168601,191208,1789997582049907344,1789997582049825884,81480,0,0.988073,1,1
139,1,155923,177598,1789997582050096511,1789997582050022947,73598,0,0.986994,1,1
140,1,169860,192244,1789997582050297911,1789997582050217423,80507,0,0.987723,1,1
141,1,163140,184858,1789997582050494464,1789997582050414064,80425,0,0.987407,1,1
142,1,175672,202797,1789997582050701126,1789997582050619964,81185,0,0.000000,1,0
143,1,142373,162809,1789997582050881772,1789997582050811543,70267,0,0.000000,1,0
144,1,173303,195630,1789997582051085363,1789997582051004243,81139,0,0.987369,1,1
145,1,160074,181312,1789997582051279022,1789997582051199470,79590,0,0.987146,1,1
146,1,189195,224479,1789997582051498958,1789997582051404121,94863,0,0.987638,1,1
147,1,426595,494137,1789997582051973132,1789997582051844555,128666,0,0.963808,1,1
148,1,290534,331090,1789997582052367034,1789997582052312667,67594,0,0.939483,1,1
149,1,259662,287755,1789997582052684406,1789997582052570402,114025,0,0.983871,1,1
150,1,199526,223477,1789997582052925166,1789997582052821469,103734,0,0.000000,1,0
151,1,186738,213502,1789997582053145791,1789997582053052050,93762,0,0.000000,1,0
152,1,150366,180790,1789997582053334336,1789997582053256183,78189,0,0.986733,1,1
153,1,193628,216693,1789997582053571520,1789997582053466316,105229,0,0.974958,1,1
154,1,189384,219809,1789997582053793170,1789997582053717218,75989,0,0.985685,1,1
155,1,212612,237563,1789997582054049648,1789997582053958651,91023,0,0.984174,1,1
156,1,157987,185873,1789997582054244986,1789997582054162307,82733,0,0.986173,1,1
157,1,160430,182946,1789997582054445623,1789997582054365374,80302,0,0.000000,1,0
158,1,171520,196054,1789997582054649202,1789997582054565698,83524,0,0.000000,1,0
159,1,165205,185292,1789997582054850514,1789997582054774030,76535,0,0.986779,1,1
160,1,176562,202634,1789997582055056999,1789997582054975883,81140,0,0.000000,1,0
161,1,196212,218747,1789997582055291699,1789997582055217692,74028,0,0.986659,1,1
162,1,181511,205363,1789997582055511519,1789997582055433992,77545,0,0.000000,1,0
163,1,153127,175762,1789997582055700209,1789997582055630284,69945,0,0.000000,1,0
164,1,171947,195065,1789997582055906231,1789997582055827498,78752,0,0.000000,1,0
165,1,166012,186605,1789997582056105904,1789997582056027923,77999,0,0.000000,1,0
166,1,163604,190440,1789997582056301064,1789997582056237555,63576,0,0.000000,1,0
167,1,191104,217569,1789997582056528797,1789997582056445015,83805,0,0.985900,1,1
168,1,170634,196775,1789997582056738623,1789997582056664591,74067,0,0.985846,1,1
169,1,184290,207785,1789997582056961895,1789997582056880103,81815,0,0.988569,1,1
170,1,172899,195675,1789997582057169640,1789997582057093989,75670,0,0.986905,1,1
171,1,140985,178535,1789997582057345202,1789997582057287915,57308,0,0.000000,1,0
172,1,138265,162850,1789997582057539547,1789997582057469567,70001,0,0.980109,1,1
173,1,182413,205520,1789997582057758061,1789997582057672754,85325,0,0.988435,1,1
174,1,177708,200748,1789997582057973390,1789997582057894549,78859,0,0.000000,1,0
175,1,164243,184889,1789997582058171274,1789997582058093286,78006,0,0.000000,1,0
176,1,176637,226823,1789997582058379809,1789997582058287997,91890,0,0.000000,1,0
177,1,230815,270998,1789997582058673002,1789997582058575377,97684,0,0.985034,1,1
178,1,325245,359643,1789997582059055962,1789997582058933507,122493,0,0.000000,1,0
179,1,226548,266920,1789997582059335371,1789997582059245220,90169,0,0.000000,1,0
180,1,223896,256199,1789997582059617652,1789997582059515353,102349,0,0.981530,1,1
181,1,179320,203090,1789997582059842944,1789997582059780615,62355,0,0.980787,1,1
182,1,166911,195336,1789997582060044523,1789997582059966175,78374,0,0.975652,1,1
183,1,145407,172309,1789997582060230259,1789997582060161053,69227,0,0.981609,1,1
184,1,151789,181485,1789997582060422901,1789997582060353486,69454,0,0.000000,1,0
185,1,163944,191635,1789997582060630249,1789997582060557839,72439,0,0.939251,1,1
186,1,113731,139972,1789997582060784078,1789997582060737875,55467,0,0.000000,1,0
187,1,132870,159092,1789997582060955360,1789997582060891755,63641,0,0.984774,1,1
188,1,170241,197269,1789997582061164138,1789997582061080276,83900,0,0.940249,1,1
189,1,103587,137691,1789997582061306865,1789997582061271837,45189,0,0.983619,1,1
190,1,149581,174513,1789997582061507798,1789997582061439783,68035,0,0.000000,1,0
191,1,163700,189439,1789997582061708471,1789997582061620300,88199,0,0.989096,1,1
192,1,138776,160940,1789997582061884887,1789997582061814364,70545,0,0.982877,1,1
193,1,180353,202647,1789997582062098581,1789997582062018287,80315,0,0.988852,1,1
194,1,175578,199687,1789997582062307865,1789997582062228904,78982,0,0.987740,1,1
195,1,162676,185102,1789997582062505734,1789997582062430573,75200,0,0.986646,1,1
196,1,167703,189794,1789997582062705866,1789997582062625260,80625,0,0.987890,1,1
197,1,160485,182003,1789997582062899644,1789997582062820191,79492,0,0.000000,1,0
198,1,179819,202368,1789997582063110568,1789997582063017164,93427,0,0.987746,1,1
199,1,158090,178939,1789997582063302310,1789997582063229906,72436,0,0.986764,1,1
200,1,168076,189967,1789997582063500879,1789997582063421036,79862,0,0.988008,1,1
201,1,160246,181002,1789997582063694343,1789997582063613550,80822,0,0.000000,1,0
202,1,169038,191211,1789997582063893608,1789997582063812920,80710,0,0.987365,1,1
203,1,153189,173409,1789997582064080037,1789997582064008227,71855,0,0.000000,1,0
204,1,168632,200435,1789997582064278319,1789997582064198334,80009,0,0.987757,1,1
205,1,209442,233820,1789997582064539297,1789997582064460108,79235,0,0.000000,1,0
206,1,181966,205109,1789997582064760216,1789997582064679823,80416,0,0.986334,1,1
207,1,153764,174744,1789997582064949228,1789997582064879176,70091,0,0.986023,1,1
208,1,183084,220259,1789997582065162930,1789997582065068675,94274,0,0.987401,1,1
209,1,352665,394394,1789997582065569190,1789997582065382313,186904,0,0.984846,1,1
210,1,376334,420917,1789997582066006069,1789997582065918761,87342,0,0.969639,1,1
211,1,411589,451548,1789997582066485030,1789997582066264839,220281,0,0.974451,1,1
212,1,225971,261113,1789997582066763603,1789997582066661750,101881,0,0.986207,1,1
213,1,179828,219382,1789997582066993137,1789997582066914883,78274,0,0.986394,1,1
214,1,160776,189185,1789997582067213924,1789997582067134282,79661,0,0.980103,1,1
215,1,199577,230797,1789997582067457380,1789997582067354525,102891,0,0.986893,1,1
216,1,184592,208198,1789997582067684220,1789997582067590033,94206,0,0.000000,1,0
217,1,195774,231510,1789997582067915445,1789997582067828031,87490,0,0.000000,1,0
218,1,177864,218522,1789997582068140617,1789997582068067973,72671,0,0.986303,1,1
219,1,196388,235386,1789997582068394091,1789997582068337598,56542,0,0.000000,1,0
220,1,182665,207321,1789997582068629061,1789997582068543994,85086,0,0.000000,1,0
221,1,187734,209789,1789997582068852744,1789997582068767280,85482,0,0.000000,1,0
222,1,179397,200370,1789997582069066431,1789997582068985216,81233,0,0.987454,1,1
223,1,169801,191060,1789997582069268238,1789997582069186686,81570,0,0.000000,1,0
224,1,192475,223326,1789997582069493264,1789997582069392200,101103,0,0.985423,1,1
225,1,143610,167101,1789997582069681926,1789997582069609619,72331,0,0.987335,1,1
226,1,178024,199165,1789997582069893480,1789997582069809519,83985,0,0.988356,1,1
227,1,165560,185563,1789997582070090455,1789997582070010135,80341,0,0.988773,1,1
228,1,174493,195626,1789997582070296122,1789997582070209003,87139,0,0.988037,1,1
229,1,181108,203519,1789997582070509183,1789997582070428287,80919,0,0.000000,1,0
230,1,168877,194164,1789997582070710136,1789997582070635449,74711,0,0.988228,1,1
231,1,161948,184035,1789997582070908920,1789997582070833280,75673,0,0.000000,1,0
