round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
0,1789997582015268279,0.892094,0.987227,0.880699,1
1,1789997582015519522,0.989335,0.997438,0.000000,0
2,1789997582015750622,0.997425,0.990270,0.987720,1
3,1789997582016006087,0.997626,0.988062,0.985716,1
4,1789997582016254407,0.992797,0.926708,0.000000,0
5,1789997582016486061,0.997352,0.988559,0.000000,0
6,1789997582016738115,0.997395,0.988614,0.986039,1
7,1789997582017037573,0.890392,0.994430,0.885432,1
8,1789997582017381991,0.965379,0.992889,0.000000,0
9,1789997582017719007,0.977988,0.996870,0.974927,1
10,1789997582017946428,0.997554,0.988387,0.985969,1
11,1789997582018196875,0.997581,0.990678,0.988281,1
12,1789997582018418058,0.997422,0.990567,0.988013,1
13,1789997582018680058,0.997570,0.988263,0.000000,0
14,1789997582019060099,0.986360,0.858120,0.846415,1
15,1789997582019678146,0.997350,0.983583,0.980976,1
16,1789997582019910899,0.997471,0.990945,0.988439,1
17,1789997582020149861,0.997651,0.988688,0.986366,1
18,1789997582020472506,0.902296,0.987075,0.000000,0
19,1789997582020802442,0.997584,0.989430,0.987040,1
20,1789997582021036697,0.997520,0.990074,0.000000,0
21,1789997582021250525,0.997620,0.989376,0.987021,1
22,1789997582021442592,0.988224,0.997550,0.985803,1
23,1789997582021743789,0.896519,0.990466,0.887971,1
24,1789997582021948823,0.981580,0.997176,0.978808,1
25,1789997582022132457,0.983389,0.997174,0.980609,1
26,1789997582022380920,0.974689,0.993584,0.968435,1
27,1789997582022602313,0.986133,0.997313,0.983483,1
28,1789997582022875221,0.997198,0.985938,0.983175,1
29,1789997582023126262,0.997640,0.990264,0.000000,0
30,1789997582023425322,0.987452,0.997229,0.984716,1
31,1789997582023642284,0.997437,0.987324,0.984794,1
32,1789997582023988271,0.987022,0.997648,0.984700,1
33,1789997582024286860,0.996237,0.971679,0.968022,1
34,1789997582024637529,0.902564,0.989505,0.893092,1
35,1789997582024912015,0.988912,0.997550,0.986489,1
36,1789997582025193119,0.996859,0.978941,0.975866,1
37,1789997582025540666,0.988503,0.997585,0.986115,1
38,1789997582025899999,0.986519,0.997396,0.983950,1
39,1789997582026229896,0.997493,0.986400,0.000000,0
40,1789997582026504570,0.994285,0.978852,0.000000,0
41,1789997582026734712,0.997091,0.980928,0.000000,0
42,1789997582026976587,0.981365,0.997112,0.978531,1
43,1789997582027201139,0.989266,0.997643,0.986934,1
44,1789997582027413403,0.990531,0.997514,0.988069,1
45,1789997582027621465,0.997626,0.986363,0.984021,1
46,1789997582027835200,0.991110,0.945578,0.000000,0
47,1789997582028037409,0.997532,0.986045,0.983612,1
48,1789997582028264392,0.989965,0.997379,0.987370,1
49,1789997582028520012,0.997243,0.985094,0.982378,1
50,1789997582028952934,0.993685,0.974840,0.968684,1
51,1789997582029430503,0.984524,0.997197,0.000000,0
52,1789997582029714186,0.997394,0.987871,0.985297,1
53,1789997582029958315,0.984813,0.997223,0.982079,1
54,1789997582030187935,0.997240,0.988363,0.985635,1
55,1789997582030425565,0.990072,0.997548,0.987644,1
56,1789997582030656075,0.997591,0.989617,0.987233,1
57,1789997582030902224,0.983313,0.997376,0.980733,1
58,1789997582031198360,0.996607,0.978138,0.974818,1
59,1789997582031540301,0.977147,0.993849,0.000000,0
60,1789997582031920523,0.993936,0.976725,0.000000,0
61,1789997582032258497,0.997454,0.986271,0.983760,1
62,1789997582032531584,0.997326,0.986511,0.000000,0
63,1789997582032800847,0.997480,0.988304,0.985814,1
64,1789997582033043329,0.986099,0.997225,0.000000,0
65,1789997582033284456,0.997487,0.989295,0.986809,1
66,1789997582033513880,0.997199,0.989548,0.986776,1
67,1789997582033748658,0.997413,0.989669,0.000000,0
68,1789997582033978466,0.997179,0.989202,0.986411,1
69,1789997582034201691,0.997634,0.990311,0.000000,0
70,1789997582034422630,0.997476,0.990328,0.987829,1
71,1789997582034651214,0.997663,0.990269,0.987954,1
72,1789997582034874774,0.997414,0.990150,0.000000,0
73,1789997582035196095,0.997685,0.989608,0.000000,0
74,1789997582035430265,0.997470,0.989406,0.986903,1
75,1789997582035647783,0.983122,0.997242,0.980410,1
76,1789997582035838520,0.980283,0.996890,0.000000,0
77,1789997582036074600,0.996966,0.983610,0.980625,1
78,1789997582036343866,0.987853,0.997404,0.985289,1
79,1789997582036534239,0.983448,0.997376,0.000000,0
80,1789997582036730908,0.989406,0.997506,0.000000,0
81,1789997582036941461,0.997468,0.990866,0.988357,1
82,1789997582037143804,0.997668,0.990941,0.988630,1
83,1789997582037343376,0.988791,0.997420,0.000000,0
84,1789997582037569790,0.951409,0.996864,0.948426,1
85,1789997582037830609,0.988436,0.997626,0.000000,0
86,1789997582038213711,0.978087,0.994463,0.000000,0
