round,gen_attempts,t_gen_total_ns,gen_rtt_ns,ts_gen_success_ns,ts_swap_ns,swap_to_recv_ns,t_exp_ns,werner,pgen_success_bit,pswap_success_bit
0,1,642086,762637,1789997653067124162,1789997653066824384,299938,0,0.000000,1,0
1,1,1336293,1472756,1789997653068629978,1789997653068020595,609694,0,0.000000,1,0
2,1,888263,989815,1789997653069709902,1789997653069382386,327668,0,0.948753,1,1
3,1,887647,996087,1789997653070746142,1789997653070521742,224472,0,0.730523,1,1
4,1,1135939,1159880,1789997653072029527,1789997653071524397,505173,0,0.000000,1,0
5,1,469786,513270,1789997653072536153,1789997653072305827,230355,0,0.000000,1,0
6,1,271910,336455,1789997653072865989,1789997653072767194,98851,0,0.000000,1,0
7,1,293361,318626,1789997653073245321,1789997653073143785,101563,0,0.000000,1,0
8,1,381324,434154,1789997653073674767,1789997653073513765,161028,0,0.000000,1,0
9,1,-50654,10625,1789997656108767036,1789997656108746292,170726,0,0.000000,1,0
10,1,267024,320153,1789997656109383947,1789997656109127476,256491,0,0.000000,1,0
11,2,215879,234392,1789997656109970035,1789997656109910294,59792,0,0.000000,1,0
12,2,262519,276021,1789997656110502933,1789997656110380611,122359,0,0.000000,1,0
13,2,171765,180579,1789997656110928647,1789997656110846383,82285,0,0.000000,1,0
14,2,164185,175413,1789997656111307205,1789997656111236370,70864,0,0.000000,1,0
15,2,172388,184826,1789997656111684900,1789997656111611345,73595,0,0.986020,1,1
16,2,183150,197047,1789997656112096585,1789997656112023269,73340,0,0.000000,1,0
17,2,296782,308245,1789997656112602492,1789997656112509130,93409,0,0.000000,1,0
18,1,-42801,9102,1789997656112602567,1789997656112718046,68661,115479,0.000000,1,0
19,2,189445,207646,1789997656113208060,1789997656113131056,77025,0,0.000000,1,0
20,2,159569,178671,1789997656113576696,1789997656113506555,70161,0,0.000000,1,0
21,1,-42150,8109,1789997656113576745,1789997656113686980,80387,110235,0.000000,1,0
22,2,212580,234420,1789997656114237690,1789997656114163147,84590,0,0.000000,1,0
23,2,197910,215159,1789997656114670438,1789997656114574344,154025,0,0.000000,1,0
24,1,-29211,8790,1789997656114742670,1789997656114768219,111179,25549,0.000000,1,0
25,1,102334,132421,1789997656115034880,1789997656115040255,130300,5375,0.000000,1,0
26,1,-29862,10364,1789997656115184662,1789997656115295461,102253,110799,0.780675,1,1
27,1,-22046,8617,1789997656115408594,1789997656115513731,74631,105137,0.000000,1,0
28,2,164906,178441,1789997656115983356,1789997656115909741,73638,0,0.000000,1,0
29,2,205626,226405,1789997656117379635,1789997656117292274,87380,0,0.000000,1,0
30,1,-42072,9275,1789997656117379680,1789997656117494246,76020,114566,0.000000,1,0
31,2,176692,196732,1789997656117974166,1789997656117896478,138614,0,0.000000,1,0
32,1,-2486,7430,1789997656118064043,1789997656118098266,79839,34223,0.000000,1,0
33,1,165926,192310,1789997656118381843,1789997656118294949,179370,0,0.000000,1,0
34,1,-21662,9181,1789997656118505180,1789997656118463780,67575,0,0.000000,1,0
35,1,185210,212486,1789997656118727732,1789997656118629930,97832,0,0.000000,1,0
36,1,39257,64299,1789997656118806070,1789997656118811305,40499,5235,0.000000,1,0
37,2,189102,206440,1789997656119490324,1789997656119403027,87318,0,0.000000,1,0
38,2,169959,182563,1789997656119881501,1789997656119797221,84300,0,0.000000,1,0
39,1,-34774,7336,1789997656119881550,1789997656120000307,78972,118757,0.000000,1,0
40,1,-31202,8476,1789997656120079317,1789997656120191177,69289,111860,0.000000,1,0
41,2,204242,182465,1789997656120752822,1789997656120669658,97552,0,0.000000,1,0
42,1,61894,88736,1789997656120852625,1789997656120872181,117169,19556,0.000000,1,0
43,1,-4685,8811,1789997656121018347,1789997656121029296,100968,10949,0.000000,1,0
44,2,233996,260108,1789997656121635419,1789997656121514285,121169,0,0.000000,1,0
45,1,-34026,9086,1789997656121649015,1789997656121803865,142773,154850,0.000000,1,0
46,1,260234,315858,1789997656122268702,1789997656122296129,230343,27427,0.000000,1,0
47,1,-54228,17601,1789997656122526492,1789997656122764949,174791,238457,0.000000,1,0
48,2,219450,255856,1789997656124155275,1789997656124042728,112593,0,0.000000,1,0
49,2,605979,648233,1789997656125620668,1789997656125332929,287823,0,0.000000,1,0
50,1,-76119,12804,1789997656125620791,1789997656125713529,222911,92738,0.000000,1,0
51,2,304924,341337,1789997656126665211,1789997656126529108,136180,0,0.000000,1,0
52,1,-77292,11702,1789997656126665327,1789997656126829612,127041,164285,0.000000,1,0
53,1,-44983,10120,1789997656126956699,1789997656127025270,50499,68571,0.000000,1,0
54,2,217888,234754,1789997656127520155,1789997656127430176,90013,0,0.000000,1,0
55,2,202018,218509,1789997656127942680,1789997656127853353,89367,0,0.000000,1,0
56,2,175302,193855,1789997656128341114,1789997656128258082,83052,0,0.000000,1,0
57,2,180965,197534,1789997656128775492,1789997656128703595,71952,0,0.000000,1,0
58,2,166730,181503,1789997656129166631,1789997656129094765,71905,0,0.000000,1,0
59,2,177917,192646,1789997656129772095,1789997656129699020,73105,0,0.000000,1,0
60,1,-30901,6193,1789997656129772144,1789997656129889907,82351,117763,0.000000,1,0
61,1,-17375,9272,1789997656129997236,1789997656130106562,59416,109326,0.815298,1,1
62,2,342685,365195,1789997656130726707,1789997656130532662,194096,0,0.000000,1,0
63,1,-42773,7971,1789997656130726785,1789997656130788513,46855,61728,0.000000,1,0
64,1,73111,98457,1789997656130951058,1789997656130960902,46196,9844,0.000000,1,0
65,2,228016,249155,1789997656131564374,1789997656131457822,106655,0,0.000000,1,0
66,1,-40939,5524,1789997656131564521,1789997656131666127,105626,101606,0.000000,1,0
67,1,-33565,9802,1789997656131771773,1789997656131877444,97722,105671,0.000000,1,0
68,1,-42541,9665,1789997656131975187,1789997656132037825,73141,62638,0.000000,1,0
69,1,57184,84716,1789997656132216707,1789997656132207251,67558,0,0.000000,1,0
70,1,-20494,9154,1789997656132307031,1789997656132387656,84345,80625,0.000000,1,0
71,2,165656,178837,1789997656132852907,1789997656132781549,71378,0,0.000000,1,0
72,2,259844,280726,1789997656133364471,1789997656133202764,161750,0,0.000000,1,0
73,1,-41743,8115,1789997656133364541,1789997656133477361,66941,112820,0.000000,1,0
74,2,165344,178275,1789997656133903421,1789997656133832300,71163,0,0.000000,1,0
75,2,166997,183563,1789997656134289594,1789997656134219327,70306,0,0.000000,1,0
76,2,167167,187877,1789997656134683669,1789997656134603272,80444,0,0.000000,1,0
77,2,165367,176899,1789997656135072258,1789997656135002498,69804,0,0.000000,1,0
78,2,194609,212844,1789997656135479646,1789997656135388724,90955,0,0.000000,1,0
79,2,206102,226722,1789997656136101979,1789997656136022987,79024,0,0.000000,1,0
80,2,347344,364151,1789997656136668849,1789997656136454336,214557,0,0.971642,1,1
81,2,198819,229689,1789997656137113642,1789997656137037946,75721,0,0.000000,1,0
82,2,167591,182127,1789997656137627321,1789997656137577794,63650,0,0.972771,1,1
83,2,281375,304747,1789997656138208168,1789997656138106366,101863,0,0.000000,1,0
84,2,231294,266007,1789997656138841634,1789997656138736354,105496,0,0.000000,1,0
85,2,309569,333630,1789997656139599995,1789997656139430104,169933,0,0.000000,1,0
86,1,-47300,11981,1789997656139600056,1789997656139677227,36556,77171,0.000000,1,0
87,2,241670,260010,1789997656140166126,1789997656140048240,117919,0,0.000000,1,0
88,2,263174,271117,1789997656140962182,1789997656140837799,124430,0,0.000000,1,0
89,2,251364,268863,1789997656141427189,1789997656141321781,105428,0,0.000000,1,0
90,1,-41372,11050,1789997656141427236,1789997656141532925,90909,105689,0.000000,1,0
91,1,-30231,9840,1789997656141623853,1789997656141749212,81294,125359,0.000000,1,0
92,1,-38566,11572,1789997656141830566,1789997656141955041,69740,124475,0.000000,1,0
93,1,-37799,10297,1789997656142024808,1789997656142158791,72477,133983,0.000000,1,0
94,2,198704,213835,1789997656142656014,1789997656142578355,77686,0,0.000000,1,0
95,2,159320,174874,1789997656143027517,1789997656142956427,71119,0,0.000000,1,0
96,2,174731,185428,1789997656143414436,1789997656143329291,85166,0,0.000000,1,0
97,2,159033,169887,1789997656143779763,1789997656143706470,73315,0,0.000000,1,0
98,2,279624,304489,1789997656144259702,1789997656144118198,141526,0,0.000000,1,0
99,1,-36374,45726,1789997656144272006,1789997656144366061,91815,94055,0.000000,1,0
100,2,193860,209208,1789997656145016426,1789997656144923005,93458,0,0.000000,1,0
101,2,213050,230096,1789997656145483581,1789997656145389888,93713,0,0.000000,1,0
102,2,164904,178172,1789997656145883766,1789997656145813145,70651,0,0.000000,1,0
103,2,176394,187367,1789997656146301030,1789997656146219541,81532,0,0.987008,1,1
104,2,176470,189927,1789997656146687607,1789997656146614193,73449,0,0.000000,1,0
105,2,153381,163992,1789997656147075323,1789997656147006515,68828,0,0.000000,1,0
106,2,173086,186515,1789997656147643494,1789997656147571386,72142,0,0.000000,1,0
107,2,152290,164159,1789997656148033852,1789997656147965538,68336,0,0.000000,1,0
108,2,286560,297069,1789997656148541145,1789997656148403936,137231,0,0.000000,1,0
109,1,-20556,6519,1789997656148551914,1789997656148652344,76444,100430,0.000000,1,0
110,2,159763,172422,1789997656149112741,1789997656149041031,71751,0,0.000000,1,0
111,2,152805,163635,1789997656149479609,1789997656149411192,68454,0,0.000000,1,0
112,2,187597,198794,1789997656150222435,1789997656150144800,77654,0,0.000000,1,0
113,2,169709,174140,1789997656150603353,1789997656150529061,74335,0,0.000000,1,0
114,2,236939,254299,1789997656151052220,1789997656150961507,90775,0,0.000000,1,0
115,2,284647,141694,1789997656151629066,1789997656151606417,108175,0,0.967067,1,1
116,1,-241624,20322,1789997656151729533,1789997656151904323,80640,174790,0.000000,1,0
117,1,160395,185210,1789997656152167731,1789997656152082304,85453,0,0.000000,1,0
118,2,228925,260769,1789997656152653833,1789997656152536887,116967,0,0.000000,1,0
119,2,236141,248078,1789997656153304609,1789997656153237738,66891,0,0.931142,1,1
120,2,210263,217512,1789997656153765094,1789997656153681551,83563,0,0.000000,1,0
121,1,-41303,9886,1789997656153765142,1789997656153908473,94808,143331,0.000000,1,0
122,2,182687,219274,1789997656154534348,1789997656154444823,89558,0,0.000000,1,0
123,1,-85741,20981,1789997656154534409,1789997656154658407,104377,123998,0.809148,1,1
124,1,50458,106894,1789997656154845382,1789997656154816383,61443,0,0.000000,1,0
125,1,15754,24946,1789997656154960052,1789997656154992734,29933,32682,0.000000,1,0
126,2,199008,211841,1789997656155526425,1789997656155443679,82765,0,0.000000,1,0
127,2,200316,210263,1789997656155976213,1789997656155893877,82383,0,0.000000,1,0
128,2,242746,260189,1789997656156424452,1789997656156286916,137586,0,0.000000,1,0
129,2,191684,224452,1789997656157092808,1789997656157009602,83228,0,0.000000,1,0
130,1,-62359,17281,1789997656157092849,1789997656157270205,65162,177356,0.000000,1,0
