round,gen_attempts,t_gen_total_ns,gen_rtt_ns,ts_gen_success_ns,ts_swap_ns,swap_to_recv_ns,t_exp_ns,werner,pgen_success_bit,pswap_success_bit
0,1,356205,392795,1789997656108909764,1789997656108746292,163504,0,0.000000,1,0
1,1,379646,460825,1789997656109347165,1789997656109127476,219890,0,0.000000,1,0
2,1,243799,269960,1789997656109689620,1789997656109648594,41046,0,0.000000,1,0
3,1,239135,271942,1789997656109970204,1789997656109910294,59955,0,0.000000,1,0
4,1,193969,220531,1789997656110212082,1789997656110154018,58117,0,0.000000,1,0
5,1,255522,289905,1789997656110508536,1789997656110380611,127979,0,0.000000,1,0
6,1,154072,180686,1789997656110712286,1789997656110644474,67854,0,0.000000,1,0
7,1,176865,197169,1789997656110928517,1789997656110846383,82162,0,0.000000,1,0
8,1,155018,181334,1789997656111114368,1789997656111049432,64972,0,0.000000,1,0
9,1,159403,181226,1789997656111311942,1789997656111236370,75609,0,0.000000,1,0
10,1,148041,170899,1789997656111491523,1789997656111427767,63783,0,0.000000,1,0
11,1,162872,194103,1789997656111688707,1789997656111611345,77411,0,0.986020,1,1
12,1,161295,182479,1789997656111895408,1789997656111822584,72846,0,0.000000,1,0
13,1,172669,199198,1789997656112099844,1789997656112023269,76616,0,0.000000,1,0
14,1,137758,158484,1789997656112276949,1789997656112209946,67025,0,0.000000,1,0
15,1,147691,173436,1789997656112457046,1789997656112509130,59921,52084,0.000000,1,0
16,1,185479,210712,1789997656112788536,1789997656112718046,70521,0,0.000000,1,0
17,1,160543,186354,1789997656112986272,1789997656112926409,59886,0,0.000000,1,0
18,1,187322,209957,1789997656113212135,1789997656113131056,81103,0,0.000000,1,0
19,1,150018,172182,1789997656113397699,1789997656113337052,60674,0,0.987496,1,1
20,1,142520,164281,1789997656113575539,1789997656113506555,69007,0,0.000000,1,0
21,1,157090,181604,1789997656113769481,1789997656113686980,82556,0,0.000000,1,0
22,1,192148,217277,1789997656113998955,1789997656113914331,84648,0,0.000000,1,0
23,1,216206,239127,1789997656114252762,1789997656114163147,89643,0,0.000000,1,0
24,1,150036,173549,1789997656114435741,1789997656114372811,62953,0,0.000000,1,0
25,1,173221,200797,1789997656114645143,1789997656114574344,70831,0,0.000000,1,0
26,1,194770,216767,1789997656114881182,1789997656114768219,112992,0,0.000000,1,0
