sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780311982162880807,1780311982163300934,1780311982163302475,1780311982163804347,420127,501872,40872,460999,-17421,312409
2,1780311982163828229,1780311982164038242,1780311982164038888,1780311982164568410,210013,529522,159754,369767,-17421,312409
3,1780311982164589081,1780311982164907803,1780311982164908135,1780311982165494114,318722,585979,133628,452350,-17421,312409
4,1780311982165530204,1780311982165902861,1780311982165903242,1780311982166449877,372657,546635,86989,459646,-17421,312409
5,1780311982166470808,1780311982167250423,1780311982167250995,1780311982167635116,779615,384121,-197747,581868,-17421,312409
6,1780311982167656167,1780311982167986833,1780311982167987084,1780311982168330862,330666,343778,6556,337222,-17421,312409
7,1780311982168356439,1780311982168981199,1780311982168981821,1780311982169511031,624760,529210,-47775,576985,-17421,312409
8,1780311982169531718,1780311982169879727,1780311982169880082,1780311982170491068,348009,610986,131488,479497,-17421,312409
9,1780311982170511603,1780311982170896742,1780311982170897046,1780311982171507593,385139,610547,112704,497843,-17421,312409
10,1780311982171528097,1780311982171899705,1780311982171904665,1780311982172516796,371608,612131,120261,491869,-17421,312409
11,1780311982172538251,1780311982172953362,1780311982172953805,1780311982173463021,415111,509216,47052,462163,-17421,312409
12,1780311982173512308,1780311982173991376,1780311982173991985,1780311982174413857,479068,421872,-28598,450470,-17421,312409
13,1780311982174437037,1780311982174811066,1780311982174811510,1780311982175374823,374029,563313,94642,468671,-17421,312409
14,1780311982175410742,1780311982175798940,1780311982175799432,1780311982176380821,388198,581389,96595,484793,-17421,312409
15,1780311982176401961,1780311982176794163,1780311982176794738,1780311982177334036,392202,539298,73548,465750,-17421,312409
16,1780311982177355790,1780311982177743472,1780311982177743984,1780311982178260763,387682,516779,64548,452230,-17421,312409
17,1780311982178282308,1780311982178714289,1780311982178714668,1780311982179291606,431981,576938,72478,504459,-17421,312409
18,1780311982179313104,1780311982179691372,1780311982179691989,1780311982180151302,378268,459313,40522,418790,-17421,312409
19,1780311982180191321,1780311982180535011,1780311982180535444,1780311982180950581,343690,415137,35723,379413,-17421,312409
20,1780311982180973395,1780311982181274335,1780311982181274759,1780311982181815905,300940,541146,120103,421043,-17421,312409
21,1780311982181837136,1780311982182231087,1780311982182231575,1780311982182751797,393951,520222,63135,457086,-17421,312409
22,1780311982182772374,1780311982183180022,1780311982183180487,1780311982183667942,407648,487455,39903,447551,-17421,312409
23,1780311982183689423,1780311982184300817,1780311982184301483,1780311982184684561,611394,383078,-114158,497236,-17421,312409
24,1780311982184705958,1780311982185104993,1780311982185105561,1780311982185588942,399035,483381,42173,441208,-17421,312409
25,1780311982185631179,1780311982186019850,1780311982186020280,1780311982186571672,388671,551392,81360,470031,-17421,312409
26,1780311982186593027,1780311982186981835,1780311982186982259,1780311982187524074,388808,541815,76503,465311,-17421,312409
27,1780311982187543794,1780311982187898649,1780311982187898957,1780311982188323094,354855,424137,34641,389496,-17421,312409
28,1780311982188344451,1780311982188882386,1780311982188882990,1780311982189421802,537935,538812,438,538373,-17421,312409
29,1780311982189444343,1780311982190124426,1780311982190125095,1780311982190676612,680083,551517,-64283,615800,-17421,312409
30,1780311982190697856,1780311982191093800,1780311982191094237,1780311982191714241,395944,620004,112030,507974,-17421,312409
31,1780311982191734536,1780311982192129294,1780311982192129692,1780311982192837579,394758,707887,156564,551322,-17421,312409
32,1780311982192858621,1780311982193250214,1780311982193250996,1780311982193690825,391593,439829,24118,415711,-17421,312409
33,1780311982193711290,1780311982194303987,1780311982194304624,1780311982194707906,592697,403282,-94708,497989,-17421,312409
34,1780311982194728468,1780311982195227049,1780311982195228078,1780311982195706254,498581,478176,-10203,488378,-17421,312409
35,1780311982195729350,1780311982196453747,1780311982196454281,1780311982196879111,724397,424830,-149784,574613,-17421,312409
36,1780311982196899712,1780311982197373352,1780311982197373794,1780311982197610212,473640,236418,-118611,355029,-17421,312409
37,1780311982197626043,1780311982198038201,1780311982198038840,1780311982198273055,412158,234215,-88972,323186,-17421,312409
38,1780311982198285729,1780311982198922447,1780311982198922933,1780311982199270044,636718,347111,-144804,491914,-17421,312409
39,1780311982199288544,1780311982199707954,1780311982199708681,1780311982199927733,419410,219052,-100179,319231,-17421,312409
40,1780311982199940024,1780311982200380360,1780311982200380887,1780311982200705293,440336,324406,-57965,382371,-17421,312409
41,1780311982200723170,1780311982201081385,1780311982201081907,1780311982201322959,358215,241052,-58582,299633,-17421,312409
42,1780311982201342061,1780311982201593435,1780311982201593716,1780311982201896120,251374,302404,25515,276889,-17421,312409
43,1780311982201913509,1780311982202176743,1780311982202177286,1780311982202475082,263234,297796,17281,280515,-17421,312409
44,1780311982202495538,1780311982202709423,1780311982202709686,1780311982202956961,213885,247275,16695,230580,-17421,312409
45,1780311982202973923,1780311982203189153,1780311982203189434,1780311982203352704,215230,163270,-25980,189250,-17421,312409
46,1780311982203362983,1780311982203615239,1780311982203615530,1780311982203938795,252256,323265,35504,287760,-17421,312409
47,1780311982203959480,1780311982204215892,1780311982204216139,1780311982204484903,256412,268764,6176,262588,-17421,312409
48,1780311982204502025,1780311982204821109,1780311982204821596,1780311982205107769,319084,286173,-16456,302628,-17421,312409
49,1780311982205124417,1780311982205418733,1780311982205418957,1780311982205670347,294316,251390,-21463,272853,-17421,312409
50,1780311982205687238,1780311982205985877,1780311982205986107,1780311982206229084,298639,242977,-27831,270808,-17421,312409
51,1780311982206253920,1780311982206552139,1780311982206552587,1780311982206884728,298219,332141,16961,315180,-17421,312409
52,1780311982206901243,1780311982207201323,1780311982207201564,1780311982207449973,300080,248409,-25836,274244,-17421,312409
53,1780311982207466713,1780311982207781513,1780311982207781757,1780311982208059263,314800,277506,-18647,296153,-17421,312409
54,1780311982208078152,1780311982208388938,1780311982208389185,1780311982208545560,310786,156375,-77206,233580,-17421,312409
55,1780311982208562750,1780311982208978901,1780311982208979522,1780311982209156298,416151,176776,-119688,296463,-17421,312409
56,1780311982209172729,1780311982209468279,1780311982209468966,1780311982209796830,295550,327864,16157,311707,-17421,312409
57,1780311982209813170,1780311982210116495,1780311982210117045,1780311982210379200,303325,262155,-20585,282740,-17421,312409
58,1780311982210396062,1780311982210721585,1780311982210721859,1780311982211007269,325523,285410,-20057,305466,-17421,312409
59,1780311982211023821,1780311982211232299,1780311982211232563,1780311982211341805,208478,109242,-49618,158860,-17421,312409
60,1780311982211353788,1780311982211549633,1780311982211549876,1780311982211786317,195845,236441,20298,216143,-17421,312409
61,1780311982211802901,1780311982212075547,1780311982212075778,1780311982212329435,272646,253657,-9495,263151,-17421,312409
62,1780311982212346189,1780311982212552836,1780311982212553134,1780311982212795847,206647,242713,18033,224680,-17421,312409
63,1780311982212812685,1780311982213019388,1780311982213019675,1780311982213104981,206703,85306,-60699,146004,-17421,312409
64,1780311982213117515,1780311982213652958,1780311982213653440,1780311982214112207,535443,458767,-38338,497105,-17421,312409
65,1780311982214128279,1780311982214483815,1780311982214484306,1780311982214953782,355536,469476,56970,412506,-17421,312409
66,1780311982214974499,1780311982215224664,1780311982215224925,1780311982215482970,250165,258045,3940,254105,-17421,312409
67,1780311982215499271,1780311982215959665,1780311982215960202,1780311982216185326,460394,225124,-117635,342759,-17421,312409
68,1780311982216200847,1780311982216480584,1780311982216483927,1780311982216893995,279737,410068,65165,344902,-17421,312409
69,1780311982216912322,1780311982217356386,1780311982217356832,1780311982217499606,444064,142774,-150645,293419,-17421,312409
70,1780311982217516171,1780311982217850744,1780311982217851154,1780311982218114655,334573,263501,-35536,299037,-17421,312409
71,1780311982218131278,1780311982218420909,1780311982218421153,1780311982218665983,289631,244830,-22401,267230,-17421,312409
72,1780311982218687472,1780311982218981391,1780311982218981841,1780311982219147763,293919,165922,-63999,229920,-17421,312409
73,1780311982219159556,1780311982219510838,1780311982219511346,1780311982219734291,351282,222945,-64169,287113,-17421,312409
74,1780311982219750539,1780311982220058838,1780311982220059099,1780311982220352205,308299,293106,-7597,300702,-17421,312409
75,1780311982220368928,1780311982220686460,1780311982220686724,1780311982220972562,317532,285838,-15847,301685,-17421,312409
76,1780311982220994991,1780311982221200929,1780311982221201184,1780311982221417737,205938,216553,5307,211245,-17421,312409
77,1780311982221434031,1780311982221681059,1780311982221681328,1780311982221953586,247028,272258,12615,259643,-17421,312409
78,1780311982221996130,1780311982222354606,1780311982222355153,1780311982222648561,358476,293408,-32534,325942,-17421,312409
79,1780311982222665273,1780311982222920448,1780311982222920956,1780311982223310805,255175,389849,67337,322512,-17421,312409
80,1780311982223327402,1780311982223580477,1780311982223580717,1780311982223894215,253075,313498,30211,283286,-17421,312409
81,1780311982223910655,1780311982224190042,1780311982224190337,1780311982224419551,279387,229214,-25087,254300,-17421,312409
82,1780311982224436236,1780311982224733788,1780311982224734068,1780311982224978940,297552,244872,-26340,271212,-17421,312409
83,1780311982224998621,1780311982225295473,1780311982225295916,1780311982225557266,296852,261350,-17751,279101,-17421,312409
84,1780311982225573890,1780311982225877701,1780311982225877938,1780311982226122011,303811,244073,-29869,273942,-17421,312409
85,1780311982226138945,1780311982226438129,1780311982226438362,1780311982226689856,299184,251494,-23845,275339,-17421,312409
86,1780311982226706638,1780311982227000227,1780311982227000476,1780311982227245468,293589,244992,-24299,269290,-17421,312409
87,1780311982227262174,1780311982227555964,1780311982227556190,1780311982227803774,293790,247584,-23103,270687,-17421,312409
88,1780311982227820209,1780311982228122552,1780311982228122783,1780311982228368678,302343,245895,-28224,274119,-17421,312409
89,1780311982228385171,1780311982228675826,1780311982228676042,1780311982228867217,290655,191175,-49740,240915,-17421,312409
90,1780311982228902425,1780311982229150252,1780311982229150659,1780311982229507560,247827,356901,54537,302364,-17421,312409
91,1780311982229527829,1780311982229881498,1780311982229882021,1780311982230096230,353669,214209,-69730,283939,-17421,312409
92,1780311982230115127,1780311982230415119,1780311982230415817,1780311982230705696,299992,289879,-5057,294935,-17421,312409
93,1780311982230722951,1780311982231016589,1780311982231016835,1780311982231253450,293638,236615,-28512,265126,-17421,312409
94,1780311982231270561,1780311982231518614,1780311982231519300,1780311982231813416,248053,294116,23031,271084,-17421,312409
95,1780311982231830414,1780311982232119073,1780311982232119321,1780311982232358248,288659,238927,-24866,263793,-17421,312409
96,1780311982232375298,1780311982232663936,1780311982232664163,1780311982232900712,288638,236549,-26045,262593,-17421,312409
97,1780311982232917529,1780311982233122966,1780311982233123271,1780311982233675223,205437,551952,173257,378694,-17421,312409
98,1780311982233692970,1780311982234199455,1780311982234200002,1780311982234529855,506485,329853,-88316,418169,-17421,312409
99,1780311982234546941,1780311982234830979,1780311982234831242,1780311982235103475,284038,272233,-5903,278135,-17421,312409
100,1780311982235120055,1780311982235397159,1780311982235397525,1780311982235717393,277104,319868,21382,298486,-17421,312409
101,1780311982235737932,1780311982236219289,1780311982236219831,1780311982236523755,481357,303924,-88717,392640,-17421,312409
102,1780311982236540319,1780311982236957516,1780311982236957996,1780311982237266708,417197,308712,-54243,362954,-17421,312409
103,1780311982237283021,1780311982237585627,1780311982237585873,1780311982237906050,302606,320177,8785,311391,-17421,312409
104,1780311982237922762,1780311982238238082,1780311982238238359,1780311982238529662,315320,291303,-12009,303311,-17421,312409
105,1780311982238550420,1780311982238842999,1780311982238843401,1780311982239128931,292579,285530,-3525,289054,-17421,312409
106,1780311982239147172,1780311982239455946,1780311982239456192,1780311982239701887,308774,245695,-31540,277234,-17421,312409
107,1780311982239718653,1780311982240011191,1780311982240011435,1780311982240259269,292538,247834,-22352,270186,-17421,312409
108,1780311982240275731,1780311982240578589,1780311982240578817,1780311982240822975,302858,244158,-29350,273508,-17421,312409
109,1780311982240839477,1780311982241122985,1780311982241123247,1780311982241367461,283508,244214,-19647,263861,-17421,312409
110,1780311982241384042,1780311982241682831,1780311982241683196,1780311982241921344,298789,238148,-30321,268468,-17421,312409
111,1780311982241938254,1780311982242223664,1780311982242223980,1780311982242461223,285410,237243,-24084,261326,-17421,312409
112,1780311982242478182,1780311982242781807,1780311982242782373,1780311982243095158,303625,312785,4580,308205,-17421,312409
113,1780311982243112343,1780311982243398369,1780311982243398701,1780311982243764932,286026,366231,40102,326128,-17421,312409
114,1780311982243782088,1780311982244209147,1780311982244209754,1780311982244572036,427059,362282,-32389,394670,-17421,312409
115,1780311982244588545,1780311982244987862,1780311982244988383,1780311982245238231,399317,249848,-74735,324582,-17421,312409
116,1780311982245255535,1780311982245553845,1780311982245554436,1780311982245830703,298310,276267,-11022,287288,-17421,312409
117,1780311982245847247,1780311982246154524,1780311982246154925,1780311982246505113,307277,350188,21455,328732,-17421,312409
118,1780311982246521627,1780311982246925628,1780311982246926113,1780311982247211427,404001,285314,-59344,344657,-17421,312409
119,1780311982247228321,1780311982247628035,1780311982247628526,1780311982247932730,399714,304204,-47755,351959,-17421,312409
120,1780311982247949360,1780311982248448870,1780311982248449375,1780311982248809159,499510,359784,-69863,429647,-17421,312409
121,1780311982248825556,1780311982249315793,1780311982249316288,1780311982249612877,490237,296589,-96824,393413,-17421,312409
122,1780311982249632940,1780311982250014328,1780311982250014562,1780311982250348063,381388,333501,-23944,357444,-17421,312409
123,1780311982250364588,1780311982250670245,1780311982250670479,1780311982250929066,305657,258587,-23535,282122,-17421,312409
124,1780311982250947778,1780311982251323175,1780311982251323477,1780311982251513564,375397,190087,-92655,282742,-17421,312409
125,1780311982251527159,1780311982251922504,1780311982251923159,1780311982252169020,395345,245861,-74742,320603,-17421,312409
126,1780311982252185528,1780311982252554855,1780311982252555370,1780311982252792729,369327,237359,-65984,303343,-17421,312409
127,1780311982252809405,1780311982253374599,1780311982253375475,1780311982253645767,565194,270292,-147451,417743,-17421,312409
128,1780311982253662411,1780311982253944337,1780311982253944833,1780311982254267341,281926,322508,20291,302217,-17421,312409
129,1780311982254283687,1780311982254616756,1780311982254617214,1780311982254861613,333069,244399,-44335,288734,-17421,312409
130,1780311982254878292,1780311982255168646,1780311982255169221,1780311982255370044,290354,200823,-44766,245588,-17421,312409
131,1780311982255386353,1780311982255671633,1780311982255672161,1780311982255817222,285280,145061,-70110,215170,-17421,312409
132,1780311982255828239,1780311982256147556,1780311982256148021,1780311982256427807,319317,279786,-19766,299551,-17421,312409
133,1780311982256444538,1780311982256843807,1780311982256844421,1780311982257196571,399269,352150,-23560,375709,-17421,312409
134,1780311982257228825,1780311982257403836,1780311982257404135,1780311982257700843,175011,296708,60848,235859,-17421,312409
135,1780311982257717275,1780311982258002857,1780311982258003373,1780311982258255077,285582,251704,-16939,268643,-17421,312409
136,1780311982258271717,1780311982258562075,1780311982258562563,1780311982258835097,290358,272534,-8912,281446,-17421,312409
137,1780311982258855098,1780311982259111711,1780311982259112073,1780311982259384064,256613,271991,7689,264302,-17421,312409
138,1780311982259400568,1780311982259686421,1780311982259686899,1780311982259944281,285853,257382,-14236,271617,-17421,312409
139,1780311982259960828,1780311982260343425,1780311982260343953,1780311982260626883,382597,282930,-49834,332763,-17421,312409
140,1780311982260643470,1780311982260930826,1780311982260931339,1780311982261186166,287356,254827,-16265,271091,-17421,312409
141,1780311982261202840,1780311982261589779,1780311982261590278,1780311982261820253,386939,229975,-78482,308457,-17421,312409
142,1780311982261836837,1780311982262124257,1780311982262124756,1780311982262400906,287420,276150,-5635,281785,-17421,312409
143,1780311982262417555,1780311982262726151,1780311982262726561,1780311982263031338,308596,304777,-1910,306686,-17421,312409
144,1780311982263048122,1780311982263456522,1780311982263457239,1780311982263645702,408400,188463,-109969,298431,-17421,312409
145,1780311982263662867,1780311982264270829,1780311982264271319,1780311982264480006,607962,208687,-199638,408324,-17421,312409
146,1780311982264496390,1780311982264787817,1780311982264788045,1780311982265062598,291427,274553,-8437,282990,-17421,312409
147,1780311982265082598,1780311982265363395,1780311982265363847,1780311982265512124,280797,148277,-66260,214537,-17421,312409
148,1780311982265524100,1780311982265841471,1780311982265841964,1780311982266127764,317371,285800,-15786,301585,-17421,312409
149,1780311982266144575,1780311982266415377,1780311982266415622,1780311982266653003,270802,237381,-16711,254091,-17421,312409
150,1780311982266669499,1780311982266953887,1780311982266954327,1780311982267191861,284388,237534,-23427,260961,-17421,312409
151,1780311982267213117,1780311982267487418,1780311982267487746,1780311982267718742,274301,230996,-21653,252648,-17421,312409
152,1780311982267735309,1780311982268016161,1780311982268016388,1780311982268249793,280852,233405,-23724,257128,-17421,312409
153,1780311982268266409,1780311982268543994,1780311982268544295,1780311982268779219,277585,234924,-21331,256254,-17421,312409
154,1780311982268796395,1780311982269064754,1780311982269065002,1780311982269303900,268359,238898,-14731,253628,-17421,312409
155,1780311982269320676,1780311982269608274,1780311982269608681,1780311982269874364,287598,265683,-10958,276640,-17421,312409
