count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,2613028,0,2613028,-17421,312409
52,2617299,0,2617299,-17421,312409
53,2620079,0,2620079,-17421,312409
54,2628674,0,2628674,-17421,312409
55,2952970,0,2952970,-17421,312409
56,2973496,0,2973496,-17421,312409
57,3009425,0,3009425,-17421,312409
58,3014847,0,3014847,-17421,312409
59,3015989,0,3015989,-17421,312409
60,3017242,0,3017242,-17421,312409
61,3018428,0,3018428,-17421,312409
62,3019050,0,3019050,-17421,312409
63,3019516,0,3019516,-17421,312409
64,3026529,0,3026529,-17421,312409
65,3027877,0,3027877,-17421,312409
66,3027095,0,3027095,-17421,312409
67,3026926,0,3026926,-17421,312409
68,3027358,0,3027358,-17421,312409
69,3027583,0,3027583,-17421,312409
70,3027914,0,3027914,-17421,312409
71,3220950,0,3220950,-17421,312409
72,3256077,0,3256077,-17421,312409
73,3258669,0,3258669,-17421,312409
74,3258302,0,3258302,-17421,312409
75,3257304,0,3257304,-17421,312409
76,3257804,0,3257804,-17421,312409
77,3258977,0,3258977,-17421,312409
78,3260405,0,3260405,-17421,312409
79,3261962,0,3261962,-17421,312409
80,3269916,0,3269916,-17421,312409
81,3272097,0,3272097,-17421,312409
82,3274780,0,3274780,-17421,312409
83,3276811,0,3276811,-17421,312409
84,3278415,0,3278415,-17421,312409
85,3279518,0,3279518,-17421,312409
86,3280281,0,3280281,-17421,312409
87,3281885,0,3281885,-17421,312409
88,3284823,0,3284823,-17421,312409
89,3284991,0,3284991,-17421,312409
90,3283918,0,3283918,-17421,312409
91,3284481,0,3284481,-17421,312409
92,3284930,0,3284930,-17421,312409
93,3285899,0,3285899,-17421,312409
94,3288265,0,3288265,-17421,312409
95,3576446,0,3576446,-17421,312409
96,3590276,0,3590276,-17421,312409
97,3598001,0,3598001,-17421,312409
98,3602517,0,3602517,-17421,312409
99,3602921,0,3602921,-17421,312409
100,3603936,0,3603936,-17421,312409
101,3605145,0,3605145,-17421,312409
102,3606666,0,3606666,-17421,312409
103,3608478,0,3608478,-17421,312409
104,3610864,0,3610864,-17421,312409
105,3611362,0,3611362,-17421,312409
106,3611296,0,3611296,-17421,312409
107,3610788,0,3610788,-17421,312409
108,3610218,0,3610218,-17421,312409
109,3610073,0,3610073,-17421,312409
110,3610519,0,3610519,-17421,312409
111,3610649,0,3610649,-17421,312409
112,3613799,0,3613799,-17421,312409
113,3615744,0,3615744,-17421,312409
114,3616971,0,3616971,-17421,312409
115,3618052,0,3618052,-17421,312409
116,3560372,0,3560372,-17421,312409
117,3560379,0,3560379,-17421,312409
118,3560981,0,3560981,-17421,312409
119,3561487,0,3561487,-17421,312409
120,3564687,0,3564687,-17421,312409
121,3564549,0,3564549,-17421,312409
122,3565047,0,3565047,-17421,312409
123,3570363,0,3570363,-17421,312409
124,1034461,0,1034461,-17421,312409
125,1046416,0,1046416,-17421,312409
126,1033788,0,1033788,-17421,312409
127,1027042,0,1027042,-17421,312409
128,951621,0,951621,-17421,312409
129,940643,0,940643,-17421,312409
130,502307,0,502307,-17421,312409
131,484474,0,484474,-17421,312409
132,436850,0,436850,-17421,312409
133,406131,0,406131,-17421,312409
134,396513,0,396513,-17421,312409
135,391688,0,391688,-17421,312409
136,403308,0,403308,-17421,312409
137,397714,0,397714,-17421,312409
138,392854,0,392854,-17421,312409
139,386898,0,386898,-17421,312409
140,382555,0,382555,-17421,312409
141,390114,0,390114,-17421,312409
142,1370630,0,1370630,-17421,312409
143,1381384,0,1381384,-17421,312409
144,1401890,0,1401890,-17421,312409
145,1401128,0,1401128,-17421,312409
146,1406343,0,1406343,-17421,312409
147,1404740,0,1404740,-17421,312409
148,1407529,0,1407529,-17421,312409
149,1405772,0,1405772,-17421,312409
150,1405571,0,1405571,-17421,312409
151,1403595,0,1403595,-17421,312409
152,745958,0,745958,-17421,312409
153,701007,0,701007,-17421,312409
154,699212,0,699212,-17421,312409
155,692005,0,692005,-17421,312409
156,693146,0,693146,-17421,312409
157,695286,0,695286,-17421,312409
158,697810,0,697810,-17421,312409
159,700652,0,700652,-17421,312409
160,705294,0,705294,-17421,312409
161,708233,0,708233,-17421,312409
162,722279,0,722279,-17421,312409
163,1373845,0,1373845,-17421,312409
164,1296376,0,1296376,-17421,312409
165,1293481,0,1293481,-17421,312409
166,1290785,0,1290785,-17421,312409
167,1287670,0,1287670,-17421,312409
168,1287263,0,1287263,-17421,312409
169,1161092,0,1161092,-17421,312409
170,1154140,0,1154140,-17421,312409
171,1148766,0,1148766,-17421,312409
172,1144324,0,1144324,-17421,312409
173,1140864,0,1140864,-17421,312409
174,1137434,0,1137434,-17421,312409
175,1134467,0,1134467,-17421,312409
176,1133042,0,1133042,-17421,312409
177,1128930,0,1128930,-17421,312409
178,1007977,0,1007977,-17421,312409
179,991885,0,991885,-17421,312409
180,983337,0,983337,-17421,312409
181,1002161,0,1002161,-17421,312409
182,1000921,0,1000921,-17421,312409
183,995664,0,995664,-17421,312409
184,992643,0,992643,-17421,312409
185,988472,0,988472,-17421,312409
186,983709,0,983709,-17421,312409
187,979221,0,979221,-17421,312409
188,974702,0,974702,-17421,312409
189,961017,0,961017,-17421,312409
190,956669,0,956669,-17421,312409
191,953287,0,953287,-17421,312409
192,951657,0,951657,-17421,312409
193,948371,0,948371,-17421,312409
194,945061,0,945061,-17421,312409
195,941899,0,941899,-17421,312409
196,939470,0,939470,-17421,312409
197,936314,0,936314,-17421,312409
198,933548,0,933548,-17421,312409
199,930474,0,930474,-17421,312409
200,943185,0,943185,-17421,312409
201,940034,0,940034,-17421,312409
202,829269,0,829269,-17421,312409
203,821255,0,821255,-17421,312409
204,817530,0,817530,-17421,312409
205,816978,0,816978,-17421,312409
206,814618,0,814618,-17421,312409
207,810362,0,810362,-17421,312409
208,808932,0,808932,-17421,312409
209,805873,0,805873,-17421,312409
210,802178,0,802178,-17421,312409
211,798844,0,798844,-17421,312409
212,795471,0,795471,-17421,312409
213,791981,0,791981,-17421,312409
214,788964,0,788964,-17421,312409
215,784857,0,784857,-17421,312409
216,789549,0,789549,-17421,312409
217,964032,0,964032,-17421,312409
218,966316,0,966316,-17421,312409
219,966133,0,966133,-17421,312409
220,965332,0,965332,-17421,312409
221,964673,0,964673,-17421,312409
222,964086,0,964086,-17421,312409
223,972850,0,972850,-17421,312409
224,1018134,0,1018134,-17421,312409
225,1023844,0,1023844,-17421,312409
226,1027390,0,1027390,-17421,312409
227,1029956,0,1029956,-17421,312409
228,1030665,0,1030665,-17421,312409
229,1030311,0,1030311,-17421,312409
230,1029623,0,1029623,-17421,312409
231,1029226,0,1029226,-17421,312409
232,1032938,0,1032938,-17421,312409
233,1034139,0,1034139,-17421,312409
234,1034817,0,1034817,-17421,312409
235,1035588,0,1035588,-17421,312409
236,1037270,0,1037270,-17421,312409
237,1039232,0,1039232,-17421,312409
238,1040804,0,1040804,-17421,312409
239,1043872,0,1043872,-17421,312409
240,1108759,0,1108759,-17421,312409
241,1120876,0,1120876,-17421,312409
242,1129690,0,1129690,-17421,312409
243,1133811,0,1133811,-17421,312409
244,1134459,0,1134459,-17421,312409
245,1140584,0,1140584,-17421,312409
246,1166572,0,1166572,-17421,312409
247,1167973,0,1167973,-17421,312409
248,1186786,0,1186786,-17421,312409
249,1188292,0,1188292,-17421,312409
250,1192599,0,1192599,-17421,312409
251,1811091,0,1811091,-17421,312409
252,1768370,0,1768370,-17421,312409
253,1758041,0,1758041,-17421,312409
254,1756436,0,1756436,-17421,312409
255,1755196,0,1755196,-17421,312409
256,1757733,0,1757733,-17421,312409
257,1755885,0,1755885,-17421,312409
258,1755499,0,1755499,-17421,312409
259,1755010,0,1755010,-17421,312409
260,1754053,0,1754053,-17421,312409
261,1498633,0,1498633,-17421,312409
262,1469848,0,1469848,-17421,312409
263,1466698,0,1466698,-17421,312409
264,1469035,0,1469035,-17421,312409
265,1467252,0,1467252,-17421,312409
266,1465202,0,1465202,-17421,312409
267,1462769,0,1462769,-17421,312409
268,1460122,0,1460122,-17421,312409
269,1458269,0,1458269,-17421,312409
270,1455726,0,1455726,-17421,312409
271,1453601,0,1453601,-17421,312409
272,1456529,0,1456529,-17421,312409
273,1454495,0,1454495,-17421,312409
274,1453317,0,1453317,-17421,312409
275,1451554,0,1451554,-17421,312409
276,1450179,0,1450179,-17421,312409
277,1447944,0,1447944,-17421,312409
278,1446190,0,1446190,-17421,312409
279,1445762,0,1445762,-17421,312409
280,1658485,0,1658485,-17421,312409
281,1662230,0,1662230,-17421,312409
282,1653931,0,1653931,-17421,312409
283,1656484,0,1656484,-17421,312409
284,1658815,0,1658815,-17421,312409
285,1390097,0,1390097,-17421,312409
286,1377958,0,1377958,-17421,312409
287,1377331,0,1377331,-17421,312409
288,1111838,0,1111838,-17421,312409
289,1109017,0,1109017,-17421,312409
290,1106537,0,1106537,-17421,312409
291,933755,0,933755,-17421,312409
292,907389,0,907389,-17421,312409
293,907515,0,907515,-17421,312409
294,909209,0,909209,-17421,312409
295,962363,0,962363,-17421,312409
296,976951,0,976951,-17421,312409
297,1045921,0,1045921,-17421,312409
298,1050939,0,1050939,-17421,312409
299,1053115,0,1053115,-17421,312409
300,1055775,0,1055775,-17421,312409
301,1059108,0,1059108,-17421,312409
302,1062030,0,1062030,-17421,312409
303,1061950,0,1061950,-17421,312409
304,1013818,0,1013818,-17421,312409
305,1009655,0,1009655,-17421,312409
306,1009508,0,1009508,-17421,312409
307,1011571,0,1011571,-17421,312409
308,1014648,0,1014648,-17421,312409
309,1016897,0,1016897,-17421,312409
310,1019579,0,1019579,-17421,312409
311,1022215,0,1022215,-17421,312409
312,1027011,0,1027011,-17421,312409
313,1065481,0,1065481,-17421,312409
314,1076263,0,1076263,-17421,312409
315,1079856,0,1079856,-17421,312409
316,1082064,0,1082064,-17421,312409
317,1084776,0,1084776,-17421,312409
318,1172775,0,1172775,-17421,312409
319,1180413,0,1180413,-17421,312409
320,1185436,0,1185436,-17421,312409
321,1158229,0,1158229,-17421,312409
322,1144929,0,1144929,-17421,312409
323,1137776,0,1137776,-17421,312409
324,1135084,0,1135084,-17421,312409
325,1137695,0,1137695,-17421,312409
326,1139805,0,1139805,-17421,312409
327,1143122,0,1143122,-17421,312409
328,1147502,0,1147502,-17421,312409
329,1103700,0,1103700,-17421,312409
330,1098042,0,1098042,-17421,312409
331,1097429,0,1097429,-17421,312409
332,1176367,0,1176367,-17421,312409
333,1185918,0,1185918,-17421,312409
334,1192115,0,1192115,-17421,312409
335,1195635,0,1195635,-17421,312409
