count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,176355,0,176355,-937601142,231944
52,176097,0,176097,-937601142,231944
53,176938,0,176938,-937601142,231944
54,176380,0,176380,-937601142,231944
55,177122,0,177122,-937601142,231944
56,177063,0,177063,-937601142,231944
57,175465,0,175465,-937601142,231944
58,177176,0,177176,-937601142,231944
59,190129,0,190129,-937601142,231944
60,187550,0,187550,-937601142,231944
61,190591,0,190591,-937601142,231944
62,188484,0,188484,-937601142,231944
63,189075,0,189075,-937601142,231944
64,184456,0,184456,-937601142,231944
65,193598,0,193598,-937601142,231944
66,189390,0,189390,-937601142,231944
67,187461,0,187461,-937601142,231944
68,196824,0,196824,-937601142,231944
69,194755,0,194755,-937601142,231944
70,192417,0,192417,-937601142,231944
71,190089,0,190089,-937601142,231944
72,199990,0,199990,-937601142,231944
73,198483,0,198483,-937601142,231944
74,196594,0,196594,-937601142,231944
75,194185,0,194185,-937601142,231944
76,191457,0,191457,-937601142,231944
77,201669,0,201669,-937601142,231944
78,199530,0,199530,-937601142,231944
79,200742,0,200742,-937601142,231944
80,196413,0,196413,-937601142,231944
81,204445,0,204445,-937601142,231944
82,202947,0,202947,-937601142,231944
83,201338,0,201338,-937601142,231944
84,200780,0,200780,-937601142,231944
85,213042,0,213042,-937601142,231944
86,206463,0,206463,-937601142,231944
87,204135,0,204135,-937601142,231944
88,201707,0,201707,-937601142,231944
89,212188,0,212188,-937601142,231944
90,209090,0,209090,-937601142,231944
91,206461,0,206461,-937601142,231944
92,204623,0,204623,-937601142,231944
93,215125,0,215125,-937601142,231944
94,193676,0,193676,-937601142,231944
95,179147,0,179147,-937601142,231944
96,175759,0,175759,-937601142,231944
97,176520,0,176520,-937601142,231944
98,175781,0,175781,-937601142,231944
99,177014,0,177014,-937601142,231944
100,176005,0,176005,-937601142,231944
101,177156,0,177156,-937601142,231944
102,175869,0,175869,-937601142,231944
103,178420,0,178420,-937601142,231944
104,175791,0,175791,-937601142,231944
105,177744,0,177744,-937601142,231944
106,176135,0,176135,-937601142,231944
107,176717,0,176717,-937601142,231944
