count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,111294,0,111294,-4836736964,120272
52,123276,0,123276,-4836736964,120272
53,59197,0,59197,-4836736964,120272
54,57278,0,57278,-4836736964,120272
55,56340,0,56340,-4836736964,120272
56,59791,0,59791,-4836736964,120272
57,65262,0,65262,-4836736964,120272
58,67365,0,67365,-4836736964,120272
59,63916,0,63916,-4836736964,120272
60,64097,0,64097,-4836736964,120272
61,65049,0,65049,-4836736964,120272
62,70730,0,70730,-4836736964,120272
63,77731,0,77731,-4836736964,120272
64,83423,0,83423,-4836736964,120272
65,89074,0,89074,-4836736964,120272
66,92695,0,92695,-4836736964,120272
67,98516,0,98516,-4836736964,120272
68,109968,0,109968,-4836736964,120272
69,113009,0,113009,-4836736964,120272
70,121170,0,121170,-4836736964,120272
71,57101,0,57101,-4836736964,120272
72,65533,0,65533,-4836736964,120272
73,63504,0,63504,-4836736964,120272
74,71145,0,71145,-4836736964,120272
75,76457,0,76457,-4836736964,120272
76,81678,0,81678,-4836736964,120272
77,87159,0,87159,-4836736964,120272
78,86190,0,86190,-4836736964,120272
79,98822,0,98822,-4836736964,120272
80,104994,0,104994,-4836736964,120272
81,108815,0,108815,-4836736964,120272
82,116007,0,116007,-4836736964,120272
83,51718,0,51718,-4836736964,120272
84,55489,0,55489,-4836736964,120272
85,59250,0,59250,-4836736964,120272
86,64982,0,64982,-4836736964,120272
87,70083,0,70083,-4836736964,120272
88,75584,0,75584,-4836736964,120272
89,80946,0,80946,-4836736964,120272
90,86647,0,86647,-4836736964,120272
91,97168,0,97168,-4836736964,120272
92,101359,0,101359,-4836736964,120272
93,100541,0,100541,-4836736964,120272
94,95602,0,95602,-4836736964,120272
95,97353,0,97353,-4836736964,120272
96,98294,0,98294,-4836736964,120272
97,98105,0,98105,-4836736964,120272
98,102357,0,102357,-4836736964,120272
99,108018,0,108018,-4836736964,120272
100,119789,0,119789,-4836736964,120272
101,55640,0,55640,-4836736964,120272
102,58192,0,58192,-4836736964,120272
103,62143,0,62143,-4836736964,120272
104,67085,0,67085,-4836736964,120272
105,72347,0,72347,-4836736964,120272
106,78448,0,78448,-4836736964,120272
107,86369,0,86369,-4836736964,120272
108,90560,0,90560,-4836736964,120272
109,96622,0,96622,-4836736964,120272
110,102253,0,102253,-4836736964,120272
111,107754,0,107754,-4836736964,120272
112,118165,0,118165,-4836736964,120272
113,53667,0,53667,-4836736964,120272
114,55668,0,55668,-4836736964,120272
115,61419,0,61419,-4836736964,120272
116,68481,0,68481,-4836736964,120272
117,72382,0,72382,-4836736964,120272
118,81173,0,81173,-4836736964,120272
119,83704,0,83704,-4836736964,120272
120,89696,0,89696,-4836736964,120272
121,99397,0,99397,-4836736964,120272
122,100108,0,100108,-4836736964,120272
123,107700,0,107700,-4836736964,120272
124,115201,0,115201,-4836736964,120272
125,51142,0,51142,-4836736964,120272
126,54623,0,54623,-4836736964,120272
127,60256,0,60256,-4836736964,120272
128,65877,0,65877,-4836736964,120272
129,73358,0,73358,-4836736964,120272
130,78929,0,78929,-4836736964,120272
131,88151,0,88151,-4836736964,120272
132,93822,0,93822,-4836736964,120272
133,96183,0,96183,-4836736964,120272
134,103695,0,103695,-4836736964,120272
135,107656,0,107656,-4836736964,120272
136,115877,0,115877,-4836736964,120272
137,51648,0,51648,-4836736964,120272
138,56620,0,56620,-4836736964,120272
139,60211,0,60211,-4836736964,120272
140,65252,0,65252,-4836736964,120272
141,72292,0,72292,-4836736964,120272
142,77644,0,77644,-4836736964,120272
143,83045,0,83045,-4836736964,120272
144,88556,0,88556,-4836736964,120272
145,93788,0,93788,-4836736964,120272
146,94839,0,94839,-4836736964,120272
