sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780486107244709450,1780486108097293881,1780486108097294531,1780486107245496565,852584431,-851797966,-852191199,393232,-852087959,235347
2,1780486107245509275,1780486108097829964,1780486108097830234,1780486107245993295,852320689,-851836939,-852078814,241875,-852087959,235347
3,1780486107246008105,1780486108098339717,1780486108098339967,1780486107246516755,852331612,-851823212,-852077412,254200,-852087959,235347
4,1780486107246531395,1780486108098851870,1780486108098852110,1780486107247030745,852320475,-851821365,-852070920,249555,-852087959,235347
5,1780486107247053364,1780486108099371943,1780486108099372213,1780486107247465356,852318579,-851906857,-852112718,205861,-852087959,235347
6,1780486107247475036,1780486108099794805,1780486108099795105,1780486107247945428,852319769,-851849677,-852084723,235046,-852087959,235347
7,1780486107247954118,1780486108100273728,1780486108100274258,1780486107248440258,852319610,-851834000,-852076805,242805,-852087959,235347
8,1780486107248448538,1780486108100770271,1780486108100770511,1780486107248939728,852321733,-851830783,-852076258,245475,-852087959,235347
9,1780486107248947508,1780486108101270684,1780486108101270794,1780486107249358880,852323176,-851911914,-852117545,205631,-852087959,235347
10,1780486107249367110,1780486108101687196,1780486108101687316,1780486107249838080,852320086,-851849236,-852084661,235425,-852087959,235347
11,1780486107249845790,1780486108102168939,1780486108102169149,1780486107250335031,852323149,-851834118,-852078634,244515,-852087959,235347
12,1780486107250342800,1780486108102666712,1780486108102666802,1780486107250836761,852323912,-851830041,-852076977,246935,-852087959,235347
13,1780486107250845930,1780486108103163765,1780486108103163845,1780486107251251933,852317835,-851911912,-852114874,202961,-852087959,235347
14,1780486107251260693,1780486108103578167,1780486108103578267,1780486107251728644,852317474,-851849623,-852083549,233925,-852087959,235347
15,1780486107251736654,1780486108104058179,1780486108104058239,1780486107252223044,852321525,-851835195,-852078360,243165,-852087959,235347
16,1780486107252231254,1780486108104551753,1780486108104551993,1780486107252719164,852320499,-851832829,-852076664,243835,-852087959,235347
17,1780486107252726664,1780486108105043146,1780486108105043326,1780486107253128796,852316482,-851914530,-852115506,200976,-852087959,235347
18,1780486107253136606,1780486108105457228,1780486108105457398,1780486107253602497,852320622,-851854901,-852087762,232860,-852087959,235347
19,1780486107253610027,1780486108105936251,1780486108105936361,1780486107254099968,852326224,-851836393,-852081309,244915,-852087959,235347
20,1780486107254108018,1780486108106426933,1780486108106427013,1780486107254595778,852318915,-851831235,-852075075,243840,-852087959,235347
21,1780486107254604918,1780486108106926636,1780486108106926736,1780486107255013450,852321718,-851913286,-852117502,204216,-852087959,235347
22,1780486107255021070,1780486108107351578,1780486108107351778,1780486107255506810,852330508,-851844968,-852087738,242770,-852087959,235347
23,1780486107255515680,1780486108107843232,1780486108107843342,1780486107256008970,852327552,-851834372,-852080962,246590,-852087959,235347
24,1780486107256016620,1780486108108350355,1780486108108350455,1780486107256516830,852333735,-851833625,-852083680,250055,-852087959,235347
25,1780486107256524940,1780486108108844338,1780486108108844428,1780486107256933403,852319398,-851911025,-852115212,204186,-852087959,235347
26,1780486107256941043,1780486108109258810,1780486108109258890,1780486107257407834,852317767,-851851056,-852084412,233355,-852087959,235347
27,1780486107257415813,1780486108109738683,1780486108109738763,1780486107257901374,852322870,-851837389,-852080130,242740,-852087959,235347
28,1780486107257909134,1780486108110229925,1780486108110229995,1780486107258398444,852320791,-851831551,-852076171,244620,-852087959,235347
29,1780486107258406184,1780486108110725268,1780486108110725378,1780486107258828515,852319084,-851896863,-852107974,211110,-852087959,235347
30,1780486107258837425,1780486108111157260,1780486108111157330,1780486107259311766,852319835,-851845564,-852082700,237135,-852087959,235347
31,1780486107259319706,1780486108111637214,1780486108111637274,1780486107259806206,852317508,-851831068,-852074288,243220,-852087959,235347
32,1780486107259813886,1780486108112131367,1780486108112131467,1780486107260302077,852317481,-851829390,-852073436,244045,-852087959,235347
33,1780486107260309847,1780486108112626909,1780486108112626979,1780486107260719029,852317062,-851907950,-852112506,204556,-852087959,235347
34,1780486107260726969,1780486108113043332,1780486108113043902,1780486107261196780,852316363,-851847122,-852081743,234620,-852087959,235347
35,1780486107261204709,1780486108113529654,1780486108113529744,1780486107261700590,852324945,-851829154,-852077050,247895,-852087959,235347
36,1780486107261708609,1780486108114031597,1780486108114031667,1780486107262201230,852322988,-851830437,-852076713,246275,-852087959,235347
37,1780486107262208930,1780486108114538400,1780486108114538470,1780486107262629731,852329470,-851908739,-852119105,210365,-852087959,235347
38,1780486107262637361,1780486108114959582,1780486108114959652,1780486107263116693,852322221,-851842959,-852082590,239631,-852087959,235347
39,1780486107263125192,1780486108115449026,1780486108115449136,1780486107263618483,852323834,-851830653,-852077244,246590,-852087959,235347
40,1780486107263626533,1780486108115945919,1780486108115945999,1780486107264120413,852319386,-851825586,-852072486,246900,-852087959,235347
41,1780486107264128293,1780486108116450261,1780486108116450371,1780486107264541994,852321968,-851908377,-852115173,206795,-852087959,235347
42,1780486107264549474,1780486108116870844,1780486108116870914,1780486107265024785,852321370,-851846129,-852083750,237620,-852087959,235347
43,1780486107265032225,1780486108117355086,1780486108117355176,1780486107265523515,852322861,-851831661,-852077261,245600,-852087959,235347
44,1780486107265531295,1780486108117852919,1780486108117852999,1780486107266027706,852321624,-851825293,-852073459,248165,-852087959,235347
45,1780486107266036056,1780486108118358392,1780486108118358482,1780486107266452798,852322336,-851905684,-852114010,208326,-852087959,235347
46,1780486107266460167,1780486108118786545,1780486108118786635,1780486107266937628,852326378,-851849007,-852087693,238685,-852087959,235347
47,1780486107266945268,1780486108119264178,1780486108119264258,1780486107267433738,852318910,-851830520,-852074715,244195,-852087959,235347
48,1780486107267442158,1780486108119766891,1780486108119766971,1780486107267939518,852324733,-851827453,-852076093,248640,-852087959,235347
49,1780486107267947278,1780486108120271443,1780486108120271533,1780486107268362830,852324165,-851908703,-852116434,207731,-852087959,235347
50,1780486107268370310,1780486108120693846,1780486108120693936,1780486107268848570,852323536,-851845366,-852084451,239085,-852087959,235347
51,1780486107268856190,1780486108121177258,1780486108121177348,1780486107269349541,852321068,-851827807,-852074438,246630,-852087959,235347
52,1780486107269357121,1780486108121679951,1780486108121680031,1780486107269853131,852322830,-851826900,-852074865,247965,-852087959,235347
53,1780486107269860821,1780486108122180264,1780486108122180364,1780486107270274763,852319443,-851905601,-852112522,206921,-852087959,235347
54,1780486107270282013,1780486108122606617,1780486108122606727,1780486107270759753,852324604,-851846974,-852085789,238815,-852087959,235347
55,1780486107270767523,1780486108123091510,1780486108123091590,1780486107271269893,852323987,-851821697,-852072842,251145,-852087959,235347
56,1780486107271277993,1780486108123596083,1780486108123596163,1780486107271766693,852318090,-851829470,-852073780,244310,-852087959,235347
57,1780486107271774333,1780486108124097725,1780486108124097815,1780486107272199606,852323392,-851898209,-852110801,212591,-852087959,235347
58,1780486107272207146,1780486108124527948,1780486108124528018,1780486107272680356,852320802,-851847662,-852084232,236570,-852087959,235347
59,1780486107272687856,1780486108125004510,1780486108125004620,1780486107273172837,852316654,-851831783,-852074219,242435,-852087959,235347
60,1780486107273180296,1780486108125504153,1780486108125504223,1780486107273674407,852323857,-851829816,-852076837,247020,-852087959,235347
61,1780486107273682337,1780486108126009707,1780486108126009777,1780486107274100878,852327370,-851908899,-852118135,209235,-852087959,235347
62,1780486107274108508,1780486108126439439,1780486108126439509,1780486107274592708,852330931,-851846801,-852088866,242065,-852087959,235347
63,1780486107274600288,1780486108126934642,1780486108126934742,1780486107275106439,852334354,-851828303,-852081329,253025,-852087959,235347
64,1780486107275114789,1780486108127451905,1780486108127451965,1780486107275624009,852337116,-851827956,-852082536,254580,-852087959,235347
65,1780486107275631569,1780486108127971888,1780486108127971978,1780486107276067160,852340319,-851904818,-852122569,217750,-852087959,235347
66,1780486107276074850,1780486108128391610,1780486108128391680,1780486107276545311,852316760,-851846369,-852081565,235195,-852087959,235347
67,1780486107276552901,1780486108128870622,1780486108128870692,1780486107277039581,852317721,-851831111,-852074416,243305,-852087959,235347
68,1780486107277051491,1780486108129371305,1780486108129371385,1780486107277543421,852319814,-851827964,-852073889,245925,-852087959,235347
69,1780486107277551461,1780486108129875019,1780486108129875099,1780486107277965584,852323558,-851909515,-852116537,207021,-852087959,235347
70,1780486107277973034,1780486108130297821,1780486108130297881,1780486107278455434,852324787,-851842447,-852083617,241170,-852087959,235347
71,1780486107278463434,1780486108130785454,1780486108130785644,1780486107278955264,852322020,-851830380,-852076200,245820,-852087959,235347
72,1780486107278962754,1780486108131283287,1780486108131283367,1780486107279454454,852320533,-851828913,-852074723,245810,-852087959,235347
73,1780486107279462324,1780486108131784099,1780486108131784179,1780486107279876206,852321775,-851907973,-852114874,206901,-852087959,235347
74,1780486107279883666,1780486108132213112,1780486108132213192,1780486107280367186,852329446,-851846006,-852087726,241720,-852087959,235347
75,1780486107280374706,1780486108132694404,1780486108132694584,1780486107280865456,852319698,-851829128,-852074413,245285,-852087959,235347
76,1780486107280872847,1780486108133192338,1780486108133192518,1780486107281365187,852319491,-851827331,-852073411,246080,-852087959,235347
77,1780486107281373467,1780486108133691441,1780486108133691511,1780486107281782409,852317974,-851909102,-852113538,204436,-852087959,235347
78,1780486107281789999,1780486108134111213,1780486108134111293,1780486107282270760,852321214,-851840533,-852080874,240340,-852087959,235347
79,1780486107282278349,1780486108134601366,1780486108134601456,1780486107282776270,852323017,-851825186,-852074102,248915,-852087959,235347
80,1780486107282784109,1780486108135109489,1780486108135109559,1780486107283285199,852325380,-851824360,-852074870,250510,-852087959,235347
81,1780486107283292709,1780486108135618571,1780486108135618661,1780486107283710661,852325862,-851908000,-852116931,208931,-852087959,235347
82,1780486107283717881,1780486108136036324,1780486108136036404,1780486107284188463,852318443,-851847941,-852083192,235251,-852087959,235347
83,1780486107284196652,1780486108136514806,1780486108136514886,1780486107284683153,852318154,-851831733,-852074944,243210,-852087959,235347
84,1780486107284690693,1780486108137008300,1780486108137008380,1780486107285176123,852317607,-851832257,-852074932,242675,-852087959,235347
85,1780486107285184123,1780486108137504013,1780486108137504093,1780486107285606215,852319890,-851897878,-852108884,211006,-852087959,235347
86,1780486107285613674,1780486108137936795,1780486108137936875,1780486107286089485,852323121,-851847390,-852085256,237865,-852087959,235347
87,1780486107286096775,1780486108138419788,1780486108138419858,1780486107286588195,852323013,-851831663,-852077338,245675,-852087959,235347
88,1780486107286595975,1780486108138916871,1780486108138916951,1780486107287093846,852320896,-851823105,-852072001,248895,-852087959,235347
89,1780486107287102206,1780486108139420653,1780486108139420723,1780486107287514468,852318447,-851906255,-852112351,206096,-852087959,235347
90,1780486107287521758,1780486108139845066,1780486108139845166,1780486107287997938,852323308,-851847228,-852085268,238040,-852087959,235347
91,1780486107288005718,1780486108140333309,1780486108140333409,1780486107288503948,852327591,-851829461,-852078526,249065,-852087959,235347
92,1780486107288511648,1780486108140832482,1780486108140832552,1780486107289002588,852320834,-851829964,-852075399,245435,-852087959,235347
93,1780486107289010318,1780486108141329605,1780486108141329685,1780486107289422620,852319287,-851907065,-852113176,206111,-852087959,235347
94,1780486107289430690,1780486108141753327,1780486108141753687,1780486107289906561,852322637,-851847126,-852084882,237755,-852087959,235347
