count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,226361,0,226361,-852156915,239743
52,196853,0,196853,-852156915,239743
53,195156,0,195156,-852156915,239743
54,209107,0,209107,-852156915,239743
55,228070,0,228070,-852156915,239743
56,201171,0,201171,-852156915,239743
57,218803,0,218803,-852156915,239743
58,200275,0,200275,-852156915,239743
59,222616,0,222616,-852156915,239743
60,201698,0,201698,-852156915,239743
61,223510,0,223510,-852156915,239743
62,198532,0,198532,-852156915,239743
63,196945,0,196945,-852156915,239743
64,233456,0,233456,-852156915,239743
65,214549,0,214549,-852156915,239743
66,222091,0,222091,-852156915,239743
67,204643,0,204643,-852156915,239743
68,212425,0,212425,-852156915,239743
69,234787,0,234787,-852156915,239743
70,204699,0,204699,-852156915,239743
71,219411,0,219411,-852156915,239743
72,205694,0,205694,-852156915,239743
73,226405,0,226405,-852156915,239743
74,200418,0,200418,-852156915,239743
75,214449,0,214449,-852156915,239743
76,193301,0,193301,-852156915,239743
77,319452,0,319452,-852156915,239743
78,254794,0,254794,-852156915,239743
79,211706,0,211706,-852156915,239743
80,226678,0,226678,-852156915,239743
81,223671,0,223671,-852156915,239743
82,197282,0,197282,-852156915,239743
83,213964,0,213964,-852156915,239743
84,233366,0,233366,-852156915,239743
85,200578,0,200578,-852156915,239743
86,231581,0,231581,-852156915,239743
87,201832,0,201832,-852156915,239743
88,223905,0,223905,-852156915,239743
89,196886,0,196886,-852156915,239743
90,214148,0,214148,-852156915,239743
91,234810,0,234810,-852156915,239743
92,203692,0,203692,-852156915,239743
93,232265,0,232265,-852156915,239743
94,202896,0,202896,-852156915,239743
95,220169,0,220169,-852156915,239743
96,231880,0,231880,-852156915,239743
97,199472,0,199472,-852156915,239743
98,215674,0,215674,-852156915,239743
99,226767,0,226767,-852156915,239743
100,194629,0,194629,-852156915,239743
101,211990,0,211990,-852156915,239743
102,233323,0,233323,-852156915,239743
103,201474,0,201474,-852156915,239743
104,219897,0,219897,-852156915,239743
105,197118,0,197118,-852156915,239743
106,216500,0,216500,-852156915,239743
107,193272,0,193272,-852156915,239743
108,197034,0,197034,-852156915,239743
109,216147,0,216147,-852156915,239743
110,193488,0,193488,-852156915,239743
111,204730,0,204730,-852156915,239743
112,223583,0,223583,-852156915,239743
113,192805,0,192805,-852156915,239743
114,205037,0,205037,-852156915,239743
115,221098,0,221098,-852156915,239743
116,195460,0,195460,-852156915,239743
117,212222,0,212222,-852156915,239743
118,232364,0,232364,-852156915,239743
119,199976,0,199976,-852156915,239743
120,200337,0,200337,-852156915,239743
121,220550,0,220550,-852156915,239743
122,195882,0,195882,-852156915,239743
123,212514,0,212514,-852156915,239743
124,229856,0,229856,-852156915,239743
125,201377,0,201377,-852156915,239743
126,214999,0,214999,-852156915,239743
127,215481,0,215481,-852156915,239743
128,237904,0,237904,-852156915,239743
129,209385,0,209385,-852156915,239743
130,228688,0,228688,-852156915,239743
131,256459,0,256459,-852156915,239743
132,207561,0,207561,-852156915,239743
133,227243,0,227243,-852156915,239743
134,205095,0,205095,-852156915,239743
135,223237,0,223237,-852156915,239743
136,243959,0,243959,-852156915,239743
137,217760,0,217760,-852156915,239743
138,236513,0,236513,-852156915,239743
139,256115,0,256115,-852156915,239743
140,224817,0,224817,-852156915,239743
141,227538,0,227538,-852156915,239743
142,240771,0,240771,-852156915,239743
143,211852,0,211852,-852156915,239743
144,228744,0,228744,-852156915,239743
145,246166,0,246166,-852156915,239743
146,221098,0,221098,-852156915,239743
147,232970,0,232970,-852156915,239743
148,251662,0,251662,-852156915,239743
149,217694,0,217694,-852156915,239743
150,223006,0,223006,-852156915,239743
151,246809,0,246809,-852156915,239743
152,224150,0,224150,-852156915,239743
153,235452,0,235452,-852156915,239743
154,255483,0,255483,-852156915,239743
155,231324,0,231324,-852156915,239743
156,247937,0,247937,-852156915,239743
157,223198,0,223198,-852156915,239743
158,233950,0,233950,-852156915,239743
159,202053,0,202053,-852156915,239743
160,218245,0,218245,-852156915,239743
161,191406,0,191406,-852156915,239743
162,195829,0,195829,-852156915,239743
163,214961,0,214961,-852156915,239743
164,196993,0,196993,-852156915,239743
165,204555,0,204555,-852156915,239743
166,222747,0,222747,-852156915,239743
167,196519,0,196519,-852156915,239743
168,217620,0,217620,-852156915,239743
169,194122,0,194122,-852156915,239743
170,218334,0,218334,-852156915,239743
171,190946,0,190946,-852156915,239743
172,228748,0,228748,-852156915,239743
173,195740,0,195740,-852156915,239743
174,209742,0,209742,-852156915,239743
175,226455,0,226455,-852156915,239743
176,197116,0,197116,-852156915,239743
177,211478,0,211478,-852156915,239743
178,224251,0,224251,-852156915,239743
179,196482,0,196482,-852156915,239743
180,214115,0,214115,-852156915,239743
181,233596,0,233596,-852156915,239743
182,202778,0,202778,-852156915,239743
183,218640,0,218640,-852156915,239743
184,197401,0,197401,-852156915,239743
185,206244,0,206244,-852156915,239743
186,204886,0,204886,-852156915,239743
187,227628,0,227628,-852156915,239743
188,195320,0,195320,-852156915,239743
189,215871,0,215871,-852156915,239743
190,231354,0,231354,-852156915,239743
191,200355,0,200355,-852156915,239743
192,219858,0,219858,-852156915,239743
193,192838,0,192838,-852156915,239743
194,211129,0,211129,-852156915,239743
195,230852,0,230852,-852156915,239743
196,199793,0,199793,-852156915,239743
197,223316,0,223316,-852156915,239743
198,214018,0,214018,-852156915,239743
199,232910,0,232910,-852156915,239743
200,203802,0,203802,-852156915,239743
201,216283,0,216283,-852156915,239743
202,191136,0,191136,-852156915,239743
203,204737,0,204737,-852156915,239743
204,211550,0,211550,-852156915,239743
205,219293,0,219293,-852156915,239743
206,191194,0,191194,-852156915,239743
207,207827,0,207827,-852156915,239743
208,228008,0,228008,-852156915,239743
209,200721,0,200721,-852156915,239743
210,210372,0,210372,-852156915,239743
211,226945,0,226945,-852156915,239743
212,198036,0,198036,-852156915,239743
213,210847,0,210847,-852156915,239743
214,215290,0,215290,-852156915,239743
215,228242,0,228242,-852156915,239743
216,198614,0,198614,-852156915,239743
217,216036,0,216036,-852156915,239743
218,190227,0,190227,-852156915,239743
219,204150,0,204150,-852156915,239743
220,223301,0,223301,-852156915,239743
221,197984,0,197984,-852156915,239743
222,218975,0,218975,-852156915,239743
223,222788,0,222788,-852156915,239743
224,198029,0,198029,-852156915,239743
225,210671,0,210671,-852156915,239743
226,228003,0,228003,-852156915,239743
227,197575,0,197575,-852156915,239743
228,211697,0,211697,-852156915,239743
229,216129,0,216129,-852156915,239743
230,224772,0,224772,-852156915,239743
231,196483,0,196483,-852156915,239743
232,214925,0,214925,-852156915,239743
233,196476,0,196476,-852156915,239743
234,214668,0,214668,-852156915,239743
235,194820,0,194820,-852156915,239743
236,204842,0,204842,-852156915,239743
237,222394,0,222394,-852156915,239743
238,199366,0,199366,-852156915,239743
239,202987,0,202987,-852156915,239743
240,216010,0,216010,-852156915,239743
241,190661,0,190661,-852156915,239743
242,204184,0,204184,-852156915,239743
243,223275,0,223275,-852156915,239743
244,197907,0,197907,-852156915,239743
245,214759,0,214759,-852156915,239743
246,234041,0,234041,-852156915,239743
247,201913,0,201913,-852156915,239743
248,203135,0,203135,-852156915,239743
249,210528,0,210528,-852156915,239743
250,227989,0,227989,-852156915,239743
251,197591,0,197591,-852156915,239743
252,210214,0,210214,-852156915,239743
253,227476,0,227476,-852156915,239743
254,198678,0,198678,-852156915,239743
255,212260,0,212260,-852156915,239743
256,230712,0,230712,-852156915,239743
257,198994,0,198994,-852156915,239743
258,195856,0,195856,-852156915,239743
259,212278,0,212278,-852156915,239743
260,231310,0,231310,-852156915,239743
261,202972,0,202972,-852156915,239743
262,213204,0,213204,-852156915,239743
263,236976,0,236976,-852156915,239743
264,200928,0,200928,-852156915,239743
265,217009,0,217009,-852156915,239743
266,192912,0,192912,-852156915,239743
267,196553,0,196553,-852156915,239743
268,214666,0,214666,-852156915,239743
269,216548,0,216548,-852156915,239743
270,191560,0,191560,-852156915,239743
271,204691,0,204691,-852156915,239743
272,227083,0,227083,-852156915,239743
273,196425,0,196425,-852156915,239743
274,211226,0,211226,-852156915,239743
275,232419,0,232419,-852156915,239743
276,200190,0,200190,-852156915,239743
277,197412,0,197412,-852156915,239743
278,212945,0,212945,-852156915,239743
279,232457,0,232457,-852156915,239743
280,201639,0,201639,-852156915,239743
281,216530,0,216530,-852156915,239743
282,190312,0,190312,-852156915,239743
283,202654,0,202654,-852156915,239743
284,219386,0,219386,-852156915,239743
285,193678,0,193678,-852156915,239743
286,206959,0,206959,-852156915,239743
287,198303,0,198303,-852156915,239743
288,218764,0,218764,-852156915,239743
289,196266,0,196266,-852156915,239743
290,213478,0,213478,-852156915,239743
291,231010,0,231010,-852156915,239743
292,200552,0,200552,-852156915,239743
293,213823,0,213823,-852156915,239743
294,232476,0,232476,-852156915,239743
295,200937,0,200937,-852156915,239743
296,212150,0,212150,-852156915,239743
297,212542,0,212542,-852156915,239743
298,223406,0,223406,-852156915,239743
299,196707,0,196707,-852156915,239743
300,214538,0,214538,-852156915,239743
301,192041,0,192041,-852156915,239743
302,205292,0,205292,-852156915,239743
303,224855,0,224855,-852156915,239743
304,197326,0,197326,-852156915,239743
