sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780486124735376819,1780486125588017444,1780486125588018004,1780486124736200993,852640625,-851817011,-852228818,411807,-852109793,234515
2,1780486124736214383,1780486125588572147,1780486125588572597,1780486124736733424,852357764,-851839173,-852098469,259295,-852109793,234515
3,1780486124736748533,1780486125589098490,1780486125589098630,1780486124737269893,852349957,-851828737,-852089347,260610,-852109793,234515
4,1780486124737286163,1780486125589644493,1780486125589644713,1780486124737738864,852358330,-851905849,-852132090,226240,-852109793,234515
5,1780486124737754833,1780486125590095775,1780486125590095936,1780486124738233954,852340942,-851861982,-852101462,239480,-852109793,234515
6,1780486124738249364,1780486125590592019,1780486125590592109,1780486124738740304,852342655,-851851805,-852097230,245425,-852109793,234515
7,1780486124738751024,1780486125591093602,1780486125591093852,1780486124739241124,852342578,-851852728,-852097653,244925,-852109793,234515
8,1780486124739250214,1780486125591597545,1780486125591597765,1780486124739666346,852347331,-851931419,-852139375,207956,-852109793,234515
9,1780486124739674596,1780486125592018557,1780486125592018677,1780486124740149497,852343961,-851869180,-852106571,237390,-852109793,234515
10,1780486124740157827,1780486125592516990,1780486125592517110,1780486124740674347,852359163,-851842763,-852100963,258200,-852109793,234515
11,1780486124740682876,1780486125593033373,1780486125593033463,1780486124741187636,852350497,-851845827,-852098162,252335,-852109793,234515
12,1780486124741196476,1780486125593642896,1780486125593643026,1780486124741712846,852446420,-851930180,-852188300,258120,-852109793,234515
13,1780486124741721056,1780486125594065219,1780486125594065499,1780486124742193526,852344163,-851871973,-852108068,236095,-852109793,234515
14,1780486124742202446,1780486125594543352,1780486125594543492,1780486124742670708,852340906,-851872784,-852106845,234061,-852109793,234515
15,1780486124742679658,1780486125595022785,1780486125595022905,1780486124743166228,852343127,-851856677,-852099902,243225,-852109793,234515
16,1780486124743175258,1780486125595513307,1780486125595513527,1780486124743585530,852338049,-851927997,-852133023,205026,-852109793,234515
17,1780486124743595330,1780486125595932840,1780486125595933010,1780486124744075190,852337510,-851857820,-852097665,239845,-852109793,234515
18,1780486124744084590,1780486125596425002,1780486125596425202,1780486124744567300,852340412,-851857902,-852099157,241255,-852109793,234515
19,1780486124744576370,1780486125596914095,1780486125596914295,1780486124744978402,852337725,-851935893,-852136809,200916,-852109793,234515
20,1780486124744987492,1780486125597333197,1780486125597333277,1780486124745458014,852345705,-851875263,-852110484,235221,-852109793,234515
21,1780486124745467374,1780486125597806201,1780486125597806311,1780486124745949334,852338827,-851856977,-852097902,240925,-852109793,234515
22,1780486124745958414,1780486125598297713,1780486125598297813,1780486124746454164,852339299,-851843649,-852091474,247825,-852109793,234515
23,1780486124746463664,1780486125598805176,1780486125598805266,1780486124746872316,852341512,-851932950,-852137231,204281,-852109793,234515
24,1780486124746881316,1780486125599218759,1780486125599218859,1780486124747343577,852337443,-851875282,-852106363,231080,-852109793,234515
25,1780486124747352646,1780486125599689981,1780486125599690071,1780486124747831597,852337335,-851858474,-852097905,239430,-852109793,234515
26,1780486124747841157,1780486125600182374,1780486125600182464,1780486124748326607,852341217,-851855857,-852098537,242680,-852109793,234515
27,1780486124748335927,1780486125600671226,1780486125600671346,1780486124748735880,852335299,-851935466,-852135383,199916,-852109793,234515
28,1780486124748744930,1780486125601079200,1780486125601079280,1780486124749207461,852334270,-851871819,-852103045,231225,-852109793,234515
29,1780486124749216580,1780486125601555522,1780486125601555592,1780486124749695841,852338942,-851859751,-852099347,239595,-852109793,234515
30,1780486124749704771,1780486125602041865,1780486125602041945,1780486124750185181,852337094,-851856764,-852096929,240165,-852109793,234515
31,1780486124750194661,1780486125602534328,1780486125602534438,1780486124750603773,852339667,-851930665,-852135166,204501,-852109793,234515
32,1780486124750613293,1780486125602949510,1780486125602949610,1780486124751081354,852336217,-851868256,-852102237,233980,-852109793,234515
33,1780486124751090743,1780486125603431263,1780486125603431343,1780486124751578145,852340520,-851853198,-852096859,243661,-852109793,234515
34,1780486124751586835,1780486125603926965,1780486125603927235,1780486124752075495,852340130,-851851740,-852095935,244195,-852109793,234515
35,1780486124752084725,1780486125604421728,1780486125604421828,1780486124752492377,852337003,-851929451,-852133227,203776,-852109793,234515
36,1780486124752501256,1780486125604837321,1780486125604837511,1780486124752966047,852336065,-851871464,-852103765,232300,-852109793,234515
37,1780486124752974937,1780486125605319004,1780486125605319084,1780486124753465557,852344067,-851853527,-852098797,245270,-852109793,234515
38,1780486124753474497,1780486125605809577,1780486125605809667,1780486124753958888,852335080,-851850779,-852092930,242150,-852109793,234515
39,1780486124753967777,1780486125606317529,1780486125606317609,1780486124754393179,852349752,-851924430,-852137091,212661,-852109793,234515
40,1780486124754401989,1780486125606745832,1780486125606745932,1780486124754877130,852343843,-851868802,-852106323,237520,-852109793,234515
