sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780486165848245903,1780486169092166244,1780486169092167104,1780486165848571667,3243920341,-3243595437,-3243757889,162452,-3243721354,119779
2,1780486165848577787,1780486169092495054,1780486169092495324,1780486165848937290,3243917267,-3243558034,-3243737651,179616,-3243721354,119779
3,1780486165848945879,1780486169092786144,1780486169092786374,1780486165849216635,3243840265,-3243569739,-3243705002,135263,-3243721354,119779
4,1780486165849225495,1780486169093104765,1780486169093105075,1780486165849458790,3243879270,-3243646285,-3243762778,116492,-3243721354,119779
5,1780486165849466870,1780486169093311585,1780486169093311785,1780486165849721795,3243844715,-3243589990,-3243717353,127362,-3243721354,119779
6,1780486165849729585,1780486169093521955,1780486169093522125,1780486165849940491,3243792370,-3243581634,-3243687002,105368,-3243721354,119779
7,1780486165849948461,1780486169093840295,1780486169093840545,1780486165850188986,3243891834,-3243651559,-3243771697,120137,-3243721354,119779
8,1780486165850197066,1780486169094057605,1780486169094057745,1780486165850468430,3243860539,-3243589315,-3243724927,135612,-3243721354,119779
9,1780486165850477940,1780486169094267915,1780486169094268055,1780486165850685906,3243789975,-3243582149,-3243686062,103913,-3243721354,119779
10,1780486165850693956,1780486169094587376,1780486169094587586,1780486165850934371,3243893420,-3243653215,-3243773318,120102,-3243721354,119779
11,1780486165850942181,1780486169094801596,1780486169094801706,1780486165851214155,3243859415,-3243587551,-3243723483,135932,-3243721354,119779
12,1780486165851222135,1780486169095013296,1780486169095013456,1780486165851432551,3243791161,-3243580905,-3243686033,105128,-3243721354,119779
13,1780486165851440411,1780486169095329996,1780486169095330346,1780486165851677016,3243889585,-3243653330,-3243771458,118127,-3243721354,119779
14,1780486165851684946,1780486169095541456,1780486169095541586,1780486165851953191,3243856510,-3243588395,-3243722453,134057,-3243721354,119779
15,1780486165851960801,1780486169095761176,1780486169095761276,1780486165852171137,3243800375,-3243590139,-3243695257,105118,-3243721354,119779
16,1780486165852179097,1780486169095992467,1780486169095992707,1780486165852387463,3243813370,-3243605244,-3243709307,104063,-3243721354,119779
17,1780486165852395633,1780486169096265997,1780486169096266287,1780486165852683997,3243870364,-3243582290,-3243726327,144037,-3243721354,119779
18,1780486165852691837,1780486169096491337,1780486169096491487,1780486165852910143,3243799500,-3243581344,-3243690422,109078,-3243721354,119779
19,1780486165852918133,1780486169096797327,1780486169096797557,1780486165853142458,3243879194,-3243655099,-3243767147,112047,-3243721354,119779
20,1780486165853150638,1780486169097003927,1780486169097004067,1780486165853414023,3243853289,-3243590044,-3243721667,131622,-3243721354,119779
21,1780486165853421832,1780486169097221717,1780486169097221837,1780486165853631968,3243799885,-3243589869,-3243694877,105008,-3243721354,119779
22,1780486165853639858,1780486169097526938,1780486169097527138,1780486165853875363,3243887080,-3243651775,-3243769428,117652,-3243721354,119779
23,1780486165853883253,1780486169097736948,1780486169097737038,1780486165854145088,3243853695,-3243591950,-3243722823,130872,-3243721354,119779
24,1780486165854153048,1780486169097944038,1780486169097944148,1780486165854362984,3243790990,-3243581164,-3243686077,104913,-3243721354,119779
25,1780486165854370434,1780486169098255748,1780486169098255888,1780486165854612559,3243885314,-3243643329,-3243764322,120992,-3243721354,119779
26,1780486165854620599,1780486169098468238,1780486169098468328,1780486165854880713,3243847639,-3243587615,-3243717627,130012,-3243721354,119779
27,1780486165854888423,1780486169098679758,1780486169098679888,1780486165855098659,3243791335,-3243581229,-3243686282,105053,-3243721354,119779
28,1780486165855106250,1780486169098989799,1780486169098989989,1780486165855348485,3243883549,-3243641504,-3243762527,121022,-3243721354,119779
