count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,3239490311,0,3239490311,0,0
52,3239490792,0,3239490792,0,0
53,3239491824,0,3239491824,0,0
54,3239492975,0,3239492975,0,0
55,3239490636,0,3239490636,0,0
56,3239491408,0,3239491408,0,0
57,3239493879,0,3239493879,0,0
58,3239491441,0,3239491441,0,0
59,3239491442,0,3239491442,0,0
60,3239491684,0,3239491684,0,0
61,3239493096,0,3239493096,0,0
62,3239500696,0,3239500696,0,0
63,3239494368,0,3239494368,0,0
64,3239494109,0,3239494109,0,0
65,3239491631,0,3239491631,0,0
66,3239491122,0,3239491122,0,0
67,3239490704,0,3239490704,0,0
68,3239491185,0,3239491185,0,0
69,3239491006,0,3239491006,0,0
70,3239492388,0,3239492388,0,0
71,3239491239,0,3239491239,0,0
72,3239491981,0,3239491981,0,0
73,3239490772,0,3239490772,0,0
74,3239491024,0,3239491024,0,0
75,3239490365,0,3239490365,0,0
76,3239491526,0,3239491526,0,0
77,3239491578,0,3239491578,0,0
78,3239494109,0,3239494109,0,0
79,3239491391,0,3239491391,0,0
80,3239493812,0,3239493812,0,0
81,3239491683,0,3239491683,0,0
82,3239491076,0,3239491076,0,0
83,3239491257,0,3239491257,0,0
84,3239491409,0,3239491409,0,0
85,3239497240,0,3239497240,0,0
86,3239492902,0,3239492902,0,0
87,3239490633,0,3239490633,0,0
88,3239492484,0,3239492484,0,0
89,3239491086,0,3239491086,0,0
90,3239499897,0,3239499897,0,0
91,3239494209,0,3239494209,0,0
92,3239491460,0,3239491460,0,0
93,3239493271,0,3239493271,0,0
94,3239496523,0,3239496523,0,0
95,3239492284,0,3239492284,0,0
96,3239493726,0,3239493726,0,0
97,3239491417,0,3239491417,0,0
98,3239491579,0,3239491579,0,0
99,3239494730,0,3239494730,0,0
100,3239494131,0,3239494131,0,0
101,3239492193,0,3239492193,0,0
102,3239490794,0,3239490794,0,0
103,3239490727,0,3239490727,0,0
104,3239491817,0,3239491817,0,0
105,3239490918,0,3239490918,0,0
106,3239491670,0,3239491670,0,0
107,3239491151,0,3239491151,0,0
108,3239490943,0,3239490943,0,0
109,3239491104,0,3239491104,0,0
110,3239493276,0,3239493276,0,0
111,3239490647,0,3239490647,0,0
112,3239493848,0,3239493848,0,0
113,3239495510,0,3239495510,0,0
114,3239492141,0,3239492141,0,0
115,3239491083,0,3239491083,0,0
116,3239491624,0,3239491624,0,0
117,3239490646,0,3239490646,0,0
118,3239495587,0,3239495587,0,0
119,3239493609,0,3239493609,0,0
120,3239491860,0,3239491860,0,0
121,3239491551,0,3239491551,0,0
122,3239491303,0,3239491303,0,0
123,3239494835,0,3239494835,0,0
124,3239492027,0,3239492027,0,0
125,3239492058,0,3239492058,0,0
126,3239498440,0,3239498440,0,0
127,3239495371,0,3239495371,0,0
128,3239494502,0,3239494502,0,0
129,3239492074,0,3239492074,0,0
130,3239492175,0,3239492175,0,0
131,3239492207,0,3239492207,0,0
132,3239492148,0,3239492148,0,0
133,3239490490,0,3239490490,0,0
134,3239491301,0,3239491301,0,0
135,3239491272,0,3239491272,0,0
136,3239491114,0,3239491114,0,0
137,3239492525,0,3239492525,0,0
138,3239493177,0,3239493177,0,0
139,3239491478,0,3239491478,0,0
140,3239500060,0,3239500060,0,0
141,3239493691,0,3239493691,0,0
142,3239496013,0,3239496013,0,0
143,3239492954,0,3239492954,0,0
144,3239494427,0,3239494427,0,0
145,3239490918,0,3239490918,0,0
146,3239495798,0,3239495798,0,0
147,3239493060,0,3239493060,0,0
148,3239492631,0,3239492631,0,0
149,3239491473,0,3239491473,0,0
150,3239491484,0,3239491484,0,0
151,3239491636,0,3239491636,0,0
152,3239492477,0,3239492477,0,0
153,3239490868,0,3239490868,0,0
154,3239493530,0,3239493530,0,0
155,3239492431,0,3239492431,0,0
156,3239496093,0,3239496093,0,0
157,3239491714,0,3239491714,0,0
158,3239494566,0,3239494566,0,0
159,3239492007,0,3239492007,0,0
160,3239493499,0,3239493499,0,0
161,3239490290,0,3239490290,0,0
162,3239491391,0,3239491391,0,0
163,3239491613,0,3239491613,0,0
164,3239493064,0,3239493064,0,0
165,3239491347,0,3239491347,0,0
166,3239491128,0,3239491128,0,0
167,3239490850,0,3239490850,0,0
168,3239492371,0,3239492371,0,0
169,3239491602,0,3239491602,0,0
170,3239491034,0,3239491034,0,0
171,3239491815,0,3239491815,0,0
172,3239491597,0,3239491597,0,0
173,3239491568,0,3239491568,0,0
174,3239496740,0,3239496740,0,0
175,3239492721,0,3239492721,0,0
176,3239493352,0,3239493352,0,0
177,3239492484,0,3239492484,0,0
178,3239491075,0,3239491075,0,0
179,3239491847,0,3239491847,0,0
180,3239490768,0,3239490768,0,0
181,3239491489,0,3239491489,0,0
182,3239491651,0,3239491651,0,0
183,3239492492,0,3239492492,0,0
184,3239492344,0,3239492344,0,0
185,3239491155,0,3239491155,0,0
186,3239491138,0,3239491138,0,0
187,3239491358,0,3239491358,0,0
188,3239491869,0,3239491869,0,0
189,3239493621,0,3239493621,0,0
190,3239494662,0,3239494662,0,0
191,3239491344,0,3239491344,0,0
192,3239494695,0,3239494695,0,0
193,3239492117,0,3239492117,0,0
194,3239490668,0,3239490668,0,0
195,3239490859,0,3239490859,0,0
196,3239491461,0,3239491461,0,0
197,3239491392,0,3239491392,0,0
198,3239490624,0,3239490624,0,0
199,3239491515,0,3239491515,0,0
200,3239492717,0,3239492717,0,0
201,3239491488,0,3239491488,0,0
202,3239495409,0,3239495409,0,0
203,3239494021,0,3239494021,0,0
204,3239495402,0,3239495402,0,0
205,3239493284,0,3239493284,0,0
206,3239494315,0,3239494315,0,0
207,3239492177,0,3239492177,0,0
208,3239493949,0,3239493949,0,0
209,3239492780,0,3239492780,0,0
210,3239494582,0,3239494582,0,0
211,3239492263,0,3239492263,0,0
212,3239492075,0,3239492075,0,0
213,3239490896,0,3239490896,0,0
214,3239491507,0,3239491507,0,0
215,3239492599,0,3239492599,0,0
216,3239491460,0,3239491460,0,0
217,3239491452,0,3239491452,0,0
218,3239492773,0,3239492773,0,0
219,3239491314,0,3239491314,0,0
220,3239491456,0,3239491456,0,0
221,3239492557,0,3239492557,0,0
222,3239498719,0,3239498719,0,0
223,3239492300,0,3239492300,0,0
224,3239498852,0,3239498852,0,0
225,3239496283,0,3239496283,0,0
226,3239493864,0,3239493864,0,0
227,3239494356,0,3239494356,0,0
228,3239491608,0,3239491608,0,0
229,3239490899,0,3239490899,0,0
230,3239501760,0,3239501760,0,0
