sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780486089806783640,1780486093049325633,1780486093049326333,1780486089807319840,3242541993,-3242006493,-3242274243,267750,-3242155604,130378
2,1780486089807328020,1780486093049759293,1780486093049759833,1780486089807799191,3242431273,-3241960642,-3242195958,235315,-3242155604,130378
3,1780486089807807441,1780486093050157144,1780486093050157324,1780486089808158004,3242349703,-3241999320,-3242174512,175191,-3242155604,130378
4,1780486089808166704,1780486093050445034,1780486093050445204,1780486089808375700,3242278330,-3242069504,-3242173917,104413,-3242155604,130378
5,1780486089808383769,1780486093050647284,1780486093050647394,1780486089808578535,3242263515,-3242068859,-3242166187,97328,-3242155604,130378
6,1780486089808586425,1780486093050858074,1780486093050858174,1780486089808782291,3242271649,-3242075883,-3242173766,97883,-3242155604,130378
7,1780486089808790261,1780486093051110004,1780486093051110114,1780486089809098515,3242319743,-3242011599,-3242165671,154072,-3242155604,130378
8,1780486089809106775,1780486093051348375,1780486093051348485,1780486089809311401,3242241600,-3242037084,-3242139342,102258,-3242155604,130378
9,1780486089809319251,1780486093051585785,1780486093051585885,1780486089809512677,3242266534,-3242073208,-3242169871,96663,-3242155604,130378
10,1780486089809520617,1780486093051824275,1780486093051824445,1780486089809739403,3242303658,-3242085042,-3242194350,109308,-3242155604,130378
11,1780486089809747272,1780486093052044265,1780486093052044395,1780486089810024567,3242296993,-3242019828,-3242158411,138582,-3242155604,130378
12,1780486089810032487,1780486093052335445,1780486093052335625,1780486089810329652,3242302958,-3242005973,-3242154466,148492,-3242155604,130378
13,1780486089810338152,1780486093052632875,1780486093052633015,1780486089810632426,3242294723,-3242000589,-3242147656,147067,-3242155604,130378
14,1780486089810642306,1780486093052875296,1780486093052875476,1780486089810869371,3242232990,-3242006105,-3242119548,113442,-3242155604,130378
15,1780486089810882001,1780486093053179926,1780486093053180036,1780486089811175365,3242297925,-3242004671,-3242151298,146627,-3242155604,130378
16,1780486089811186905,1780486093053473646,1780486093053473826,1780486089811460489,3242286741,-3242013337,-3242150039,136702,-3242155604,130378
17,1780486089811468659,1780486093053755306,1780486093053755426,1780486089811673325,3242286647,-3242082101,-3242184374,102273,-3242155604,130378
18,1780486089811680925,1780486093053967466,1780486093053967646,1780486089811944500,3242286541,-3242023146,-3242154844,131697,-3242155604,130378
19,1780486089811952400,1780486093054247626,1780486093054247736,1780486089812238904,3242295226,-3242008832,-3242152029,143197,-3242155604,130378
20,1780486089812246844,1780486093054542007,1780486093054542187,1780486089812536728,3242295163,-3242005459,-3242150311,144852,-3242155604,130378
21,1780486089812544658,1780486093054775427,1780486093054775557,1780486089812756954,3242230769,-3242018603,-3242124686,106083,-3242155604,130378
22,1780486089812764454,1780486093055081207,1780486093055081357,1780486089813072558,3242316753,-3242008799,-3242162776,153977,-3242155604,130378
23,1780486089813080817,1780486093055372307,1780486093055372467,1780486089813358883,3242291490,-3242013584,-3242152537,138953,-3242155604,130378
24,1780486089813366713,1780486093055655587,1780486093055655717,1780486089813567509,3242288874,-3242088208,-3242188541,100333,-3242155604,130378
25,1780486089813574999,1780486093055865888,1780486093055866028,1780486089813844273,3242290889,-3242021755,-3242156322,134567,-3242155604,130378
26,1780486089813851973,1780486093056149378,1780486093056149528,1780486089814143357,3242297405,-3242006171,-3242151788,145617,-3242155604,130378
27,1780486089814151657,1780486093056445418,1780486093056445548,1780486089814441781,3242293761,-3242003767,-3242148764,144997,-3242155604,130378
28,1780486089814449901,1780486093056681818,1780486093056681948,1780486089814663237,3242231917,-3242018711,-3242125314,106603,-3242155604,130378
29,1780486089814670937,1780486093056982558,1780486093056982718,1780486089814971541,3242311621,-3242011177,-3242161399,150222,-3242155604,130378
30,1780486089814979581,1780486093057261768,1780486093057261938,1780486089815247715,3242282187,-3242014223,-3242148205,133982,-3242155604,130378
31,1780486089815255555,1780486093057542799,1780486093057542959,1780486089815465551,3242287244,-3242077408,-3242182326,104918,-3242155604,130378
32,1780486089815473741,1780486093057753479,1780486093057753599,1780486089815730586,3242279738,-3242023013,-3242151376,128362,-3242155604,130378
33,1780486089815738716,1780486093058034779,1780486093058034899,1780486089816033530,3242296063,-3242001369,-3242148716,147347,-3242155604,130378
34,1780486089816043970,1780486093058337629,1780486093058337959,1780486089816332895,3242293659,-3242005064,-3242149362,144297,-3242155604,130378
