count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,47092,0,47092,-3242878939,129631
52,50253,0,50253,-3242878939,129631
53,46895,0,46895,-3242878939,129631
54,47616,0,47616,-3242878939,129631
55,47728,0,47728,-3242878939,129631
56,50369,0,50369,-3242878939,129631
57,50931,0,50931,-3242878939,129631
58,49262,0,49262,-3242878939,129631
59,46174,0,46174,-3242878939,129631
60,47355,0,47355,-3242878939,129631
61,46446,0,46446,-3242878939,129631
62,48607,0,48607,-3242878939,129631
63,47888,0,47888,-3242878939,129631
64,46850,0,46850,-3242878939,129631
65,50521,0,50521,-3242878939,129631
66,48353,0,48353,-3242878939,129631
67,46804,0,46804,-3242878939,129631
68,46777,0,46777,-3242878939,129631
69,46478,0,46478,-3242878939,129631
70,48290,0,48290,-3242878939,129631
71,48811,0,48811,-3242878939,129631
72,47073,0,47073,-3242878939,129631
73,52224,0,52224,-3242878939,129631
74,47036,0,47036,-3242878939,129631
75,47157,0,47157,-3242878939,129631
76,49498,0,49498,-3242878939,129631
77,47550,0,47550,-3242878939,129631
78,48501,0,48501,-3242878939,129631
79,50463,0,50463,-3242878939,129631
80,46904,0,46904,-3242878939,129631
81,47686,0,47686,-3242878939,129631
82,47127,0,47127,-3242878939,129631
83,49199,0,49199,-3242878939,129631
84,48900,0,48900,-3242878939,129631
85,46552,0,46552,-3242878939,129631
86,46823,0,46823,-3242878939,129631
87,46835,0,46835,-3242878939,129631
88,47337,0,47337,-3242878939,129631
89,46839,0,46839,-3242878939,129631
90,44990,0,44990,-3242878939,129631
91,47381,0,47381,-3242878939,129631
92,46903,0,46903,-3242878939,129631
93,48884,0,48884,-3242878939,129631
94,52796,0,52796,-3242878939,129631
95,48187,0,48187,-3242878939,129631
96,47239,0,47239,-3242878939,129631
97,46060,0,46060,-3242878939,129631
98,48782,0,48782,-3242878939,129631
99,47733,0,47733,-3242878939,129631
100,47155,0,47155,-3242878939,129631
101,48606,0,48606,-3242878939,129631
102,48568,0,48568,-3242878939,129631
103,47508,0,47508,-3242878939,129631
104,46179,0,46179,-3242878939,129631
105,47031,0,47031,-3242878939,129631
106,55402,0,55402,-3242878939,129631
107,46434,0,46434,-3242878939,129631
108,47765,0,47765,-3242878939,129631
109,47458,0,47458,-3242878939,129631
110,49609,0,49609,-3242878939,129631
111,60761,0,60761,-3242878939,129631
112,46442,0,46442,-3242878939,129631
113,46974,0,46974,-3242878939,129631
114,46965,0,46965,-3242878939,129631
115,48067,0,48067,-3242878939,129631
116,47488,0,47488,-3242878939,129631
117,46570,0,46570,-3242878939,129631
118,46901,0,46901,-3242878939,129631
119,45833,0,45833,-3242878939,129631
120,49034,0,49034,-3242878939,129631
121,52716,0,52716,-3242878939,129631
122,47807,0,47807,-3242878939,129631
123,47289,0,47289,-3242878939,129631
124,49250,0,49250,-3242878939,129631
125,47312,0,47312,-3242878939,129631
126,68783,0,68783,-3242878939,129631
127,48805,0,48805,-3242878939,129631
128,47068,0,47068,-3242878939,129631
129,49209,0,49209,-3242878939,129631
130,49241,0,49241,-3242878939,129631
131,47302,0,47302,-3242878939,129631
132,48914,0,48914,-3242878939,129631
133,46585,0,46585,-3242878939,129631
134,50497,0,50497,-3242878939,129631
135,46828,0,46828,-3242878939,129631
136,47520,0,47520,-3242878939,129631
137,50531,0,50531,-3242878939,129631
138,47573,0,47573,-3242878939,129631
139,52724,0,52724,-3242878939,129631
140,54496,0,54496,-3242878939,129631
141,48407,0,48407,-3242878939,129631
142,48788,0,48788,-3242878939,129631
143,52129,0,52129,-3242878939,129631
144,50651,0,50651,-3242878939,129631
145,46343,0,46343,-3242878939,129631
146,48804,0,48804,-3242878939,129631
147,48505,0,48505,-3242878939,129631
148,47538,0,47538,-3242878939,129631
149,48110,0,48110,-3242878939,129631
150,48731,0,48731,-3242878939,129631
151,47073,0,47073,-3242878939,129631
152,47704,0,47704,-3242878939,129631
153,47156,0,47156,-3242878939,129631
154,47727,0,47727,-3242878939,129631
155,47929,0,47929,-3242878939,129631
156,48340,0,48340,-3242878939,129631
157,48202,0,48202,-3242878939,129631
158,48613,0,48613,-3242878939,129631
159,48435,0,48435,-3242878939,129631
160,48686,0,48686,-3242878939,129631
161,46998,0,46998,-3242878939,129631
162,47469,0,47469,-3242878939,129631
163,47991,0,47991,-3242878939,129631
164,49352,0,49352,-3242878939,129631
165,48064,0,48064,-3242878939,129631
166,49405,0,49405,-3242878939,129631
167,49258,0,49258,-3242878939,129631
168,47379,0,47379,-3242878939,129631
169,47781,0,47781,-3242878939,129631
170,47512,0,47512,-3242878939,129631
171,47244,0,47244,-3242878939,129631
172,50695,0,50695,-3242878939,129631
173,47747,0,47747,-3242878939,129631
174,47898,0,47898,-3242878939,129631
175,51130,0,51130,-3242878939,129631
176,49801,0,49801,-3242878939,129631
177,50183,0,50183,-3242878939,129631
178,50264,0,50264,-3242878939,129631
179,50226,0,50226,-3242878939,129631
180,46967,0,46967,-3242878939,129631
181,47749,0,47749,-3242878939,129631
