count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,179245,0,179245,-940336423,245140
52,179676,0,179676,-940336423,245140
53,180198,0,180198,-940336423,245140
54,179279,0,179279,-940336423,245140
55,180220,0,180220,-940336423,245140
56,179921,0,179921,-940336423,245140
57,179544,0,179544,-940336423,245140
58,184175,0,184175,-940336423,245140
59,180606,0,180606,-940336423,245140
60,179318,0,179318,-940336423,245140
61,179709,0,179709,-940336423,245140
62,180200,0,180200,-940336423,245140
63,182212,0,182212,-940336423,245140
64,180254,0,180254,-940336423,245140
65,178955,0,178955,-940336423,245140
66,180766,0,180766,-940336423,245140
67,179508,0,179508,-940336423,245140
68,180139,0,180139,-940336423,245140
69,179960,0,179960,-940336423,245140
70,179442,0,179442,-940336423,245140
71,180183,0,180183,-940336423,245140
72,179914,0,179914,-940336423,245140
73,183406,0,183406,-940336423,245140
74,184267,0,184267,-940336423,245140
75,180488,0,180488,-940336423,245140
76,179550,0,179550,-940336423,245140
77,179752,0,179752,-940336423,245140
78,180273,0,180273,-940336423,245140
79,182654,0,182654,-940336423,245140
80,181046,0,181046,-940336423,245140
81,180187,0,180187,-940336423,245140
82,179108,0,179108,-940336423,245140
83,178729,0,178729,-940336423,245140
84,179411,0,179411,-940336423,245140
85,181362,0,181362,-940336423,245140
86,179753,0,179753,-940336423,245140
87,179875,0,179875,-940336423,245140
88,180085,0,180085,-940336423,245140
89,179977,0,179977,-940336423,245140
90,183819,0,183819,-940336423,245140
91,185070,0,185070,-940336423,245140
92,180891,0,180891,-940336423,245140
93,180062,0,180062,-940336423,245140
94,179654,0,179654,-940336423,245140
95,179435,0,179435,-940336423,245140
96,179506,0,179506,-940336423,245140
97,180468,0,180468,-940336423,245140
98,179289,0,179289,-940336423,245140
99,178970,0,178970,-940336423,245140
100,180042,0,180042,-940336423,245140
101,179213,0,179213,-940336423,245140
102,179974,0,179974,-940336423,245140
103,292097,0,292097,-940336423,245140
104,249858,0,249858,-940336423,245140
105,195789,0,195789,-940336423,245140
106,189380,0,189380,-940336423,245140
107,178242,0,178242,-940336423,245140
108,178873,0,178873,-940336423,245140
109,177164,0,177164,-940336423,245140
110,178055,0,178055,-940336423,245140
111,178427,0,178427,-940336423,245140
112,178968,0,178968,-940336423,245140
113,178559,0,178559,-940336423,245140
114,177521,0,177521,-940336423,245140
115,177892,0,177892,-940336423,245140
116,181003,0,181003,-940336423,245140
117,178096,0,178096,-940336423,245140
118,178917,0,178917,-940336423,245140
119,183518,0,183518,-940336423,245140
120,178959,0,178959,-940336423,245140
121,177731,0,177731,-940336423,245140
122,181642,0,181642,-940336423,245140
123,179013,0,179013,-940336423,245140
124,178706,0,178706,-940336423,245140
125,178187,0,178187,-940336423,245140
126,177378,0,177378,-940336423,245140
127,180070,0,180070,-940336423,245140
128,178001,0,178001,-940336423,245140
129,178842,0,178842,-940336423,245140
130,178913,0,178913,-940336423,245140
131,177825,0,177825,-940336423,245140
132,178507,0,178507,-940336423,245140
133,178718,0,178718,-940336423,245140
134,177970,0,177970,-940336423,245140
135,179221,0,179221,-940336423,245140
136,178952,0,178952,-940336423,245140
137,178023,0,178023,-940336423,245140
138,181155,0,181155,-940336423,245140
139,178956,0,178956,-940336423,245140
140,177397,0,177397,-940336423,245140
141,178609,0,178609,-940336423,245140
142,178650,0,178650,-940336423,245140
143,178370,0,178370,-940336423,245140
144,177832,0,177832,-940336423,245140
145,178493,0,178493,-940336423,245140
146,178225,0,178225,-940336423,245140
147,182466,0,182466,-940336423,245140
148,178638,0,178638,-940336423,245140
149,178719,0,178719,-940336423,245140
150,178910,0,178910,-940336423,245140
151,179792,0,179792,-940336423,245140
152,178223,0,178223,-940336423,245140
153,181424,0,181424,-940336423,245140
154,182496,0,182496,-940336423,245140
155,179077,0,179077,-940336423,245140
156,178218,0,178218,-940336423,245140
157,177919,0,177919,-940336423,245140
158,178481,0,178481,-940336423,245140
159,178133,0,178133,-940336423,245140
160,179584,0,179584,-940336423,245140
161,177636,0,177636,-940336423,245140
162,177717,0,177717,-940336423,245140
163,177508,0,177508,-940336423,245140
164,178240,0,178240,-940336423,245140
165,178131,0,178131,-940336423,245140
166,177812,0,177812,-940336423,245140
167,178853,0,178853,-940336423,245140
168,178355,0,178355,-940336423,245140
169,178696,0,178696,-940336423,245140
170,180867,0,180867,-940336423,245140
171,179579,0,179579,-940336423,245140
172,178370,0,178370,-940336423,245140
173,177412,0,177412,-940336423,245140
174,178493,0,178493,-940336423,245140
175,190135,0,190135,-940336423,245140
176,184646,0,184646,-940336423,245140
177,193667,0,193667,-940336423,245140
178,194209,0,194209,-940336423,245140
179,190140,0,190140,-940336423,245140
180,185021,0,185021,-940336423,245140
181,193693,0,193693,-940336423,245140
182,190424,0,190424,-940336423,245140
183,193875,0,193875,-940336423,245140
184,190037,0,190037,-940336423,245140
185,198028,0,198028,-940336423,245140
186,197219,0,197219,-940336423,245140
187,191091,0,191091,-940336423,245140
188,197783,0,197783,-940336423,245140
189,193474,0,193474,-940336423,245140
190,202436,0,202436,-940336423,245140
191,198288,0,198288,-940336423,245140
192,193269,0,193269,-940336423,245140
193,201530,0,201530,-940336423,245140
194,197312,0,197312,-940336423,245140
195,204863,0,204863,-940336423,245140
196,201094,0,201094,-940336423,245140
197,197065,0,197065,-940336423,245140
198,205557,0,205557,-940336423,245140
199,201217,0,201217,-940336423,245140
200,208298,0,208298,-940336423,245140
201,204930,0,204930,-940336423,245140
202,203892,0,203892,-940336423,245140
203,210163,0,210163,-940336423,245140
204,204905,0,204905,-940336423,245140
205,212146,0,212146,-940336423,245140
206,207997,0,207997,-940336423,245140
207,204518,0,204518,-940336423,245140
208,212910,0,212910,-940336423,245140
209,208891,0,208891,-940336423,245140
210,216662,0,216662,-940336423,245140
211,212154,0,212154,-940336423,245140
212,208215,0,208215,-940336423,245140
213,216416,0,216416,-940336423,245140
214,212958,0,212958,-940336423,245140
215,219969,0,219969,-940336423,245140
216,221091,0,221091,-940336423,245140
217,209532,0,209532,-940336423,245140
218,205714,0,205714,-940336423,245140
219,194085,0,194085,-940336423,245140
220,186096,0,186096,-940336423,245140
221,178867,0,178867,-940336423,245140
222,177979,0,177979,-940336423,245140
223,178000,0,178000,-940336423,245140
224,177731,0,177731,-940336423,245140
225,178013,0,178013,-940336423,245140
226,177894,0,177894,-940336423,245140
227,180595,0,180595,-940336423,245140
228,179107,0,179107,-940336423,245140
229,178869,0,178869,-940336423,245140
230,179780,0,179780,-940336423,245140
231,181751,0,181751,-940336423,245140
232,178883,0,178883,-940336423,245140
233,177834,0,177834,-940336423,245140
234,181875,0,181875,-940336423,245140
235,178817,0,178817,-940336423,245140
236,178178,0,178178,-940336423,245140
237,178679,0,178679,-940336423,245140
238,179240,0,179240,-940336423,245140
239,178792,0,178792,-940336423,245140
240,179063,0,179063,-940336423,245140
241,177804,0,177804,-940336423,245140
242,177657,0,177657,-940336423,245140
243,178168,0,178168,-940336423,245140
244,178099,0,178099,-940336423,245140
245,178411,0,178411,-940336423,245140
246,179392,0,179392,-940336423,245140
247,178633,0,178633,-940336423,245140
248,177914,0,177914,-940336423,245140
249,178096,0,178096,-940336423,245140
250,180607,0,180607,-940336423,245140
251,180068,0,180068,-940336423,245140
252,177370,0,177370,-940336423,245140
253,178361,0,178361,-940336423,245140
254,177491,0,177491,-940336423,245140
255,177914,0,177914,-940336423,245140
256,179106,0,179106,-940336423,245140
257,178267,0,178267,-940336423,245140
258,178328,0,178328,-940336423,245140
259,182900,0,182900,-940336423,245140
260,178231,0,178231,-940336423,245140
261,178442,0,178442,-940336423,245140
262,178994,0,178994,-940336423,245140
263,178225,0,178225,-940336423,245140
264,179426,0,179426,-940336423,245140
265,179698,0,179698,-940336423,245140
266,181139,0,181139,-940336423,245140
267,178720,0,178720,-940336423,245140
268,178342,0,178342,-940336423,245140
269,178444,0,178444,-940336423,245140
270,177785,0,177785,-940336423,245140
271,177786,0,177786,-940336423,245140
272,179058,0,179058,-940336423,245140
273,178169,0,178169,-940336423,245140
274,178070,0,178070,-940336423,245140
275,178321,0,178321,-940336423,245140
276,181463,0,181463,-940336423,245140
277,178954,0,178954,-940336423,245140
278,178265,0,178265,-940336423,245140
279,179807,0,179807,-940336423,245140
280,178179,0,178179,-940336423,245140
281,178410,0,178410,-940336423,245140
282,180482,0,180482,-940336423,245140
283,179323,0,179323,-940336423,245140
284,178764,0,178764,-940336423,245140
285,178015,0,178015,-940336423,245140
286,178027,0,178027,-940336423,245140
287,182298,0,182298,-940336423,245140
288,178559,0,178559,-940336423,245140
289,177551,0,177551,-940336423,245140
290,178682,0,178682,-940336423,245140
291,177763,0,177763,-940336423,245140
292,177865,0,177865,-940336423,245140
293,178997,0,178997,-940336423,245140
294,177878,0,177878,-940336423,245140
295,179429,0,179429,-940336423,245140
296,178391,0,178391,-940336423,245140
297,179302,0,179302,-940336423,245140
298,181723,0,181723,-940336423,245140
299,177835,0,177835,-940336423,245140
